question,subject,choices,answer,qa
"निम्नलिखित तर्क के निष्कर्ष की पहचान करें यह हमारे साथियों में सत्यापित करने के लिए मुश्किल नहीं है एक ही कमजोर बुद्धि भावनाओं के कारण कि हम अपने रोजमर्रा के रोगियों में निरीक्षण हमारी चेतना का अहंकार, जो सामान्य तौर पर, सबसे मजबूत रक्षा तंत्र से संबंधित है, अवचेतन परिसरों को अवरुद्ध करता है इस वजह से, अचेतन के बारे में लोगों को समझाना मुश्किल है, और बदले में उन्हें वह सिखाना जो उनके चेतन ज्ञान का विरोधाभास है (सिगमंड फ्रायड, मनोविश्लेषण की उत्पत्ति और विकास)",formal_logic,"['यह सत्यापित करना कठिन नहीं है कि हमारे साथियों में वही कमजोर बुद्धि है जो भावनाओं के कारण होती है जो हम अपने रोजमर्रा के रोगियों में देखते हैं।', 'हमारी चेतना का अहंकार, जो सामान्य तौर पर, सबसे मजबूत रक्षा तंत्रों से संबंधित है, अवचेतन परिसरों को अवरुद्ध करता है।', 'इस वजह से अचेतन के बारे में लोगों को समझाना और बदले में उन्हें वह सिखाना मुश्किल है जो उनके चेतन ज्ञान के विपरीत है।', 'लोगों को अवचेतन के बारे में समझाना कठिन है, और बदले में उन्हें वह सिखाना जो उनके चेतन ज्ञान का खंडन करता है।']",3,"प्रश्न: निम्नलिखित तर्क के निष्कर्ष की पहचान करें यह हमारे साथियों में सत्यापित करने के लिए मुश्किल नहीं है एक ही कमजोर बुद्धि भावनाओं के कारण कि हम अपने रोजमर्रा के रोगियों में निरीक्षण हमारी चेतना का अहंकार, जो सामान्य तौर पर, सबसे मजबूत रक्षा तंत्र से संबंधित है, अवचेतन परिसरों को अवरुद्ध करता है इस वजह से, अचेतन के बारे में लोगों को समझाना मुश्किल है, और बदले में उन्हें वह सिखाना जो उनके चेतन ज्ञान का विरोधाभास है (सिगमंड फ्रायड, मनोविश्लेषण की उत्पत्ति और विकास)

उत्तर विकल्प: ['यह सत्यापित करना कठिन नहीं है कि हमारे साथियों में वही कमजोर बुद्धि है जो भावनाओं के कारण होती है जो हम अपने रोजमर्रा के रोगियों में देखते हैं।', 'हमारी चेतना का अहंकार, जो सामान्य तौर पर, सबसे मजबूत रक्षा तंत्रों से संबंधित है, अवचेतन परिसरों को अवरुद्ध करता है।', 'इस वजह से अचेतन के बारे में लोगों को समझाना और बदले में उन्हें वह सिखाना मुश्किल है जो उनके चेतन ज्ञान के विपरीत है।', 'लोगों को अवचेतन के बारे में समझाना कठिन है, और बदले में उन्हें वह सिखाना जो उनके चेतन ज्ञान का खंडन करता है।']

उत्तर: लोगों को अवचेतन के बारे में समझाना कठिन है, और बदले में उन्हें वह सिखाना जो उनके चेतन ज्ञान का खंडन करता है।"
भविष्यवाणी तर्क में सबसे अच्छा अनुवाद चुनें. डेविड क्रिस सिखाता है. (c: क्रिस; d: डेविड; Txy: x y सिखाता है),formal_logic,"['टीडीसी', 'टीसीडी', 'टीसीसी', 'डीटीसी']",0,"प्रश्न: भविष्यवाणी तर्क में सबसे अच्छा अनुवाद चुनें. डेविड क्रिस सिखाता है. (c: क्रिस; d: डेविड; Txy: x y सिखाता है)

उत्तर विकल्प: ['टीडीसी', 'टीसीडी', 'टीसीसी', 'डीटीसी']

उत्तर: टीडीसी"
दिए गए प्रस्ताव की सबसे अच्छी अंग्रेजी व्याख्या का चयन करें निम्नलिखित अनुवाद कुंजी का उपयोग करकेः Ax: x एक अपार्टमेंट है Hx: x एक घर है Lx: x बड़ा है Bxy: x y से बड़ा है (x) [(Ax • Lx) • (y) ((Hy • Bxy) ],formal_logic,"['कुछ बड़े घर कुछ अपार्टमेंट से भी बड़े होते हैं।', 'कुछ घर सभी बड़े अपार्टमेंट से बड़े होते हैं।', 'कुछ बड़े अपार्टमेंट कुछ घरों से बड़े होते हैं।', 'कुछ घर बड़े अपार्टमेंट से बड़े होते हैं।']",2,"प्रश्न: दिए गए प्रस्ताव की सबसे अच्छी अंग्रेजी व्याख्या का चयन करें निम्नलिखित अनुवाद कुंजी का उपयोग करकेः Ax: x एक अपार्टमेंट है Hx: x एक घर है Lx: x बड़ा है Bxy: x y से बड़ा है (x) [(Ax • Lx) • (y) ((Hy • Bxy) ]

उत्तर विकल्प: ['कुछ बड़े घर कुछ अपार्टमेंट से भी बड़े होते हैं।', 'कुछ घर सभी बड़े अपार्टमेंट से बड़े होते हैं।', 'कुछ बड़े अपार्टमेंट कुछ घरों से बड़े होते हैं।', 'कुछ घर बड़े अपार्टमेंट से बड़े होते हैं।']

उत्तर: कुछ बड़े अपार्टमेंट कुछ घरों से बड़े होते हैं।"
"निम्नलिखित तर्क के लिए एक पूर्ण सत्य तालिका का निर्माण करें फिर, सत्य तालिका का उपयोग कर, निर्धारित करें कि तर्क मान्य है या अमान्य है यदि तर्क अमान्य है, तो एक विकल्प चुनें जो प्रति-उदाहरण प्रस्तुत करता है (अन्य प्रति-उदाहरण भी हो सकते हैं) ~G  H ~H / G",formal_logic,"['वैध', 'अवैध. प्रतिउदाहरण जब G और H सत्य हों', 'अवैध. प्रतिउदाहरण जब G सच है और H गलत है', 'अवैध. प्रतिउदाहरण जब H सच है और G झूठा है']",0,"प्रश्न: निम्नलिखित तर्क के लिए एक पूर्ण सत्य तालिका का निर्माण करें फिर, सत्य तालिका का उपयोग कर, निर्धारित करें कि तर्क मान्य है या अमान्य है यदि तर्क अमान्य है, तो एक विकल्प चुनें जो प्रति-उदाहरण प्रस्तुत करता है (अन्य प्रति-उदाहरण भी हो सकते हैं) ~G  H ~H / G

उत्तर विकल्प: ['वैध', 'अवैध. प्रतिउदाहरण जब G और H सत्य हों', 'अवैध. प्रतिउदाहरण जब G सच है और H गलत है', 'अवैध. प्रतिउदाहरण जब H सच है और G झूठा है']

उत्तर: वैध"
प्राकृतिक करने के लिए PL के दिए गए सूत्र का अनुवाद करने के लिए निम्नलिखित कुंजी का उपयोग करें अंग्रेजी वाक्य. ए: मरीना पर्सी जैक्सन की किताब पढ़ती है. बी: इज़ी माइनक्राफ्ट खेलती है. सी: एमिली काम करना बंद कर देती है. डी: रसेल रात का खाना बनाती है. ई: एश्ले रुक जाती है. (~ बी • ई)  डी,formal_logic,"['यदि यह मामला नहीं है कि दोनों इज़ी Minecraft खेलता है और एशले द्वारा बंद हो जाता है तो रसेल रात का खाना बनाता है।', 'अगर यह दोनों नहीं है कि Izzy Minecraft खेलता है और Ashleigh द्वारा बंद हो जाता है तो रसेल रात का खाना बनाता है।', 'Izzy Minecraft खेल रहा है और Ashleigh रोक रही है कि रसेल रात का खाना बनाता है।', 'रसेल रात का खाना बना रहा है एक पर्याप्त शर्त के लिए Izzy नहीं Minecraft और Ashleigh द्वारा बंद खेल रहा है.']",1,"प्रश्न: प्राकृतिक करने के लिए PL के दिए गए सूत्र का अनुवाद करने के लिए निम्नलिखित कुंजी का उपयोग करें अंग्रेजी वाक्य. ए: मरीना पर्सी जैक्सन की किताब पढ़ती है. बी: इज़ी माइनक्राफ्ट खेलती है. सी: एमिली काम करना बंद कर देती है. डी: रसेल रात का खाना बनाती है. ई: एश्ले रुक जाती है. (~ बी • ई)  डी

उत्तर विकल्प: ['यदि यह मामला नहीं है कि दोनों इज़ी Minecraft खेलता है और एशले द्वारा बंद हो जाता है तो रसेल रात का खाना बनाता है।', 'अगर यह दोनों नहीं है कि Izzy Minecraft खेलता है और Ashleigh द्वारा बंद हो जाता है तो रसेल रात का खाना बनाता है।', 'Izzy Minecraft खेल रहा है और Ashleigh रोक रही है कि रसेल रात का खाना बनाता है।', 'रसेल रात का खाना बना रहा है एक पर्याप्त शर्त के लिए Izzy नहीं Minecraft और Ashleigh द्वारा बंद खेल रहा है.']

उत्तर: अगर यह दोनों नहीं है कि Izzy Minecraft खेलता है और Ashleigh द्वारा बंद हो जाता है तो रसेल रात का खाना बनाता है।"
दिए गए प्रस्ताव की सबसे अच्छी अंग्रेजी व्याख्या का चयन करें निम्नलिखित अनुवाद कुंजी का उपयोग करकेः Ax: x एक अपार्टमेंट है Hx: x एक घर है Lx: x बड़ा है Bxy: x y से बड़ा है (x) [Hx • (∀y) ((Ay  Bxy) ],formal_logic,"['कुछ घर सभी अपार्टमेंट से छोटे होते हैं।', 'हर घर हर अपार्टमेंट से बड़ा होता है।', 'कुछ अपार्टमेंट हर घर से छोटे होते हैं।', 'कुछ घर हर अपार्टमेंट से बड़े होते हैं।']",3,"प्रश्न: दिए गए प्रस्ताव की सबसे अच्छी अंग्रेजी व्याख्या का चयन करें निम्नलिखित अनुवाद कुंजी का उपयोग करकेः Ax: x एक अपार्टमेंट है Hx: x एक घर है Lx: x बड़ा है Bxy: x y से बड़ा है (x) [Hx • (∀y) ((Ay  Bxy) ]

उत्तर विकल्प: ['कुछ घर सभी अपार्टमेंट से छोटे होते हैं।', 'हर घर हर अपार्टमेंट से बड़ा होता है।', 'कुछ अपार्टमेंट हर घर से छोटे होते हैं।', 'कुछ घर हर अपार्टमेंट से बड़े होते हैं।']

उत्तर: कुछ घर हर अपार्टमेंट से बड़े होते हैं।"
"निम्नलिखित तर्क के लिए एक पूर्ण सत्य तालिका का निर्माण करें फिर, सत्य तालिका का उपयोग कर, निर्धारित करें कि तर्क मान्य है या अमान्य है यदि तर्क अमान्य है, तो एक विकल्प चुनें जो प्रति-उदाहरण प्रस्तुत करता है (अन्य प्रति-उदाहरण भी हो सकते हैं) ~K  L / (K · L)  (K · ~L)",formal_logic,"['वैध', 'अवैध. प्रतिउदाहरण जब K और L सत्य हों', 'अमान्य. प्रतिउदाहरण जब K सच है और L गलत है', 'अवैध. प्रतिउदाहरण जब L सच है और K गलत है']",3,"प्रश्न: निम्नलिखित तर्क के लिए एक पूर्ण सत्य तालिका का निर्माण करें फिर, सत्य तालिका का उपयोग कर, निर्धारित करें कि तर्क मान्य है या अमान्य है यदि तर्क अमान्य है, तो एक विकल्प चुनें जो प्रति-उदाहरण प्रस्तुत करता है (अन्य प्रति-उदाहरण भी हो सकते हैं) ~K  L / (K · L)  (K · ~L)

उत्तर विकल्प: ['वैध', 'अवैध. प्रतिउदाहरण जब K और L सत्य हों', 'अमान्य. प्रतिउदाहरण जब K सच है और L गलत है', 'अवैध. प्रतिउदाहरण जब L सच है और K गलत है']

उत्तर: अवैध. प्रतिउदाहरण जब L सच है और K गलत है"
निम्नलिखित सशर्त प्रस्ताव के पूर्ववर्ती की पहचान करेंः यदि विश्वविद्यालय वित्तीय सहायता में वृद्धि नहीं करता है या तो अध्यक्ष इसे अनुमोदित करने में विफल रहता है या निदेशक मंडल इसे रोकता है।,formal_logic,"['विश्वविद्यालय वित्तीय सहायता बढ़ाता है।', 'विश्वविद्यालय वित्तीय सहायता में वृद्धि नहीं करता है।', 'निदेशक मंडल इसे रोकता है।', 'राष्ट्रपति इसे अनुमोदित करने में विफल रहता है।']",1,"प्रश्न: निम्नलिखित सशर्त प्रस्ताव के पूर्ववर्ती की पहचान करेंः यदि विश्वविद्यालय वित्तीय सहायता में वृद्धि नहीं करता है या तो अध्यक्ष इसे अनुमोदित करने में विफल रहता है या निदेशक मंडल इसे रोकता है।

उत्तर विकल्प: ['विश्वविद्यालय वित्तीय सहायता बढ़ाता है।', 'विश्वविद्यालय वित्तीय सहायता में वृद्धि नहीं करता है।', 'निदेशक मंडल इसे रोकता है।', 'राष्ट्रपति इसे अनुमोदित करने में विफल रहता है।']

उत्तर: विश्वविद्यालय वित्तीय सहायता में वृद्धि नहीं करता है।"
निम्नलिखित में से कौन सा प्रस्ताव PL में दिए गए परिसरों का तत्काल (एक-चरण) परिणाम है? ~E  ~F G  F H  ~E H  I ~I,formal_logic,"['ई  एफ', 'एफ  जी', 'H  ~E', '~H']",3,"प्रश्न: निम्नलिखित में से कौन सा प्रस्ताव PL में दिए गए परिसरों का तत्काल (एक-चरण) परिणाम है? ~E  ~F G  F H  ~E H  I ~I

उत्तर विकल्प: ['ई  एफ', 'एफ  जी', 'H  ~E', '~H']

उत्तर: ~H"
"PL के दिए गए सूत्रों में से कौन सा निम्नलिखित वाक्य का सबसे अच्छा प्रतीक है? हर कोई रेमंड से प्यार करता है, या नहीं।",formal_logic,"['एल', '~एल', 'एल • ~ एल', 'L  ~L']",3,"प्रश्न: PL के दिए गए सूत्रों में से कौन सा निम्नलिखित वाक्य का सबसे अच्छा प्रतीक है? हर कोई रेमंड से प्यार करता है, या नहीं।

उत्तर विकल्प: ['एल', '~एल', 'एल • ~ एल', 'L  ~L']

उत्तर: L  ~L"
