question,subject,choices,answer,qa
निम्नलिखित में से कौन सा कथन उम्र बढ़ने और यौन कार्य के बीच संबंध व्यक्त करता है,professional_psychology,"['उम्र बढ़ने का संबंध योनि स्नेहन में वृद्धि से है', 'वृद्धावस्था दोनों लिंगों में ओर्गास्मिक संकुचन की आवृत्ति और संख्या में वृद्धि के साथ जुड़ी हुई है', 'किसी भी लिंग में उम्र बढ़ने और यौन प्रतिक्रियाओं के बीच कोई महत्वपूर्ण संबंध नहीं है', 'वृद्धावस्था पुरुषों में इरेक्टाइल कठोरता के कुछ नुकसान से संबंधित है']",3,"प्रश्न: निम्नलिखित में से कौन सा कथन उम्र बढ़ने और यौन कार्य के बीच संबंध व्यक्त करता है

उत्तर विकल्प: ['उम्र बढ़ने का संबंध योनि स्नेहन में वृद्धि से है', 'वृद्धावस्था दोनों लिंगों में ओर्गास्मिक संकुचन की आवृत्ति और संख्या में वृद्धि के साथ जुड़ी हुई है', 'किसी भी लिंग में उम्र बढ़ने और यौन प्रतिक्रियाओं के बीच कोई महत्वपूर्ण संबंध नहीं है', 'वृद्धावस्था पुरुषों में इरेक्टाइल कठोरता के कुछ नुकसान से संबंधित है']

उत्तर: वृद्धावस्था पुरुषों में इरेक्टाइल कठोरता के कुछ नुकसान से संबंधित है"
"पियाजे के अनुसार, बच्चे ___________ होते हैं।",professional_psychology,"['खाली पट्टियाँ', 'वयस्कों से कम बुद्धिमान', 'छोटे वैज्ञानिक', 'संस्कृति द्वारा आकार दिया गया']",2,"प्रश्न: पियाजे के अनुसार, बच्चे ___________ होते हैं।

उत्तर विकल्प: ['खाली पट्टियाँ', 'वयस्कों से कम बुद्धिमान', 'छोटे वैज्ञानिक', 'संस्कृति द्वारा आकार दिया गया']

उत्तर: छोटे वैज्ञानिक"
"यदि किसी परीक्षण में 15 अंकों की मानक माप त्रुटि होती है, तो यह निष्कर्ष निकालना सही है कि",professional_psychology,"['परीक्षण आबादी के लिए अवलोकन किए गए स्कोर का लगभग 68% औसत स्कोर से 15 अंकों के भीतर है', 'एक निश्चित इलाज स्कोर वाले लगभग 68% व्यक्तियों ने वास्तविक स्कोर से 15 अंकों के भीतर स्कोर देखा होगा', 'लगभग 15% स्कोर त्रुटिपूर्ण हैं (यानी, वे विशेषता को विश्वसनीय रूप से नहीं माप रहे हैं)', '30 अंकों तक का अंतर एक ही वास्तविक स्कोर का प्रतिनिधित्व करता है']",1,"प्रश्न: यदि किसी परीक्षण में 15 अंकों की मानक माप त्रुटि होती है, तो यह निष्कर्ष निकालना सही है कि

उत्तर विकल्प: ['परीक्षण आबादी के लिए अवलोकन किए गए स्कोर का लगभग 68% औसत स्कोर से 15 अंकों के भीतर है', 'एक निश्चित इलाज स्कोर वाले लगभग 68% व्यक्तियों ने वास्तविक स्कोर से 15 अंकों के भीतर स्कोर देखा होगा', 'लगभग 15% स्कोर त्रुटिपूर्ण हैं (यानी, वे विशेषता को विश्वसनीय रूप से नहीं माप रहे हैं)', '30 अंकों तक का अंतर एक ही वास्तविक स्कोर का प्रतिनिधित्व करता है']

उत्तर: एक निश्चित इलाज स्कोर वाले लगभग 68% व्यक्तियों ने वास्तविक स्कोर से 15 अंकों के भीतर स्कोर देखा होगा"
कोई भी पदार्थ जो भ्रूण के विकास पर नकारात्मक प्रभाव डाल सकता है वह ___________ है।,professional_psychology,"['एक अपगर', 'एक टेराटोजेन', 'केवल पहले 6 सप्ताह में समस्या', 'एक नियंत्रित पदार्थ']",1,"प्रश्न: कोई भी पदार्थ जो भ्रूण के विकास पर नकारात्मक प्रभाव डाल सकता है वह ___________ है।

उत्तर विकल्प: ['एक अपगर', 'एक टेराटोजेन', 'केवल पहले 6 सप्ताह में समस्या', 'एक नियंत्रित पदार्थ']

उत्तर: एक टेराटोजेन"
"यदि आपको एक बड़ी कंपनी द्वारा एक नया प्रशिक्षण कार्यक्रम विकसित करने के लिए काम पर रखा गया था, तो आपका पहला कदम शायद यह होगा कि आप एक:",professional_psychology,"['विश्लेषण की जरूरत है।', 'नौकरी मूल्यांकन।', 'संक्षिप्त मूल्यांकन।', 'शैक्षिक मूल्यांकन।']",0,"प्रश्न: यदि आपको एक बड़ी कंपनी द्वारा एक नया प्रशिक्षण कार्यक्रम विकसित करने के लिए काम पर रखा गया था, तो आपका पहला कदम शायद यह होगा कि आप एक:

उत्तर विकल्प: ['विश्लेषण की जरूरत है।', 'नौकरी मूल्यांकन।', 'संक्षिप्त मूल्यांकन।', 'शैक्षिक मूल्यांकन।']

उत्तर: विश्लेषण की जरूरत है।"
गेस्टाल्ट मनोचिकित्सा के चिकित्सक ग्राहक के अपने अतीत के बारे में बात करने की इच्छा को इस प्रकार समझते हैंः,professional_psychology,"['ग्राहक को वर्तमान को समझने में मदद करने के लिए एक उपयोगी रणनीति।', 'ग्राहक के लिए वर्तमान के साथ समझौता करने से बचने का एक तरीका।', 'चिकित्सा की 'दूसरी परत'।', ''चिकित्सा के अंत के निकट 'समापन' प्राप्त करने का एक तरीका।']",1,"प्रश्न: गेस्टाल्ट मनोचिकित्सा के चिकित्सक ग्राहक के अपने अतीत के बारे में बात करने की इच्छा को इस प्रकार समझते हैंः

उत्तर विकल्प: ['ग्राहक को वर्तमान को समझने में मदद करने के लिए एक उपयोगी रणनीति।', 'ग्राहक के लिए वर्तमान के साथ समझौता करने से बचने का एक तरीका।', 'चिकित्सा की 'दूसरी परत'।', ''चिकित्सा के अंत के निकट 'समापन' प्राप्त करने का एक तरीका।']

उत्तर: ग्राहक के लिए वर्तमान के साथ समझौता करने से बचने का एक तरीका।"
"स्मृति के संबंध में, उम्र बढ़ने के साथ सबसे अधिक निकटता से जुड़ा हुआ है",professional_psychology,"['नियंत्रित स्मृति प्रक्रियाओं की दक्षता', 'मेटामेमोरी कौशल, या स्मृति के बारे में ज्ञान', 'पहचान स्मृति', 'उपलब्ध तथ्यात्मक स्मृति ज्ञान की मात्रा']",0,"प्रश्न: स्मृति के संबंध में, उम्र बढ़ने के साथ सबसे अधिक निकटता से जुड़ा हुआ है

उत्तर विकल्प: ['नियंत्रित स्मृति प्रक्रियाओं की दक्षता', 'मेटामेमोरी कौशल, या स्मृति के बारे में ज्ञान', 'पहचान स्मृति', 'उपलब्ध तथ्यात्मक स्मृति ज्ञान की मात्रा']

उत्तर: नियंत्रित स्मृति प्रक्रियाओं की दक्षता"
"एक 66 वर्षीय ग्राहक जो उदास है, लयबद्ध हाथ आंदोलनों है, और एक समतल प्रभाव है शायद से पीड़ित है",professional_psychology,"['पार्किंसंस रोग', 'संवहनी मनोभ्रंश', 'दाहिने फ्रंटल लोब ट्यूमर', 'अल्जाइमर रोग']",0,"प्रश्न: एक 66 वर्षीय ग्राहक जो उदास है, लयबद्ध हाथ आंदोलनों है, और एक समतल प्रभाव है शायद से पीड़ित है

उत्तर विकल्प: ['पार्किंसंस रोग', 'संवहनी मनोभ्रंश', 'दाहिने फ्रंटल लोब ट्यूमर', 'अल्जाइमर रोग']

उत्तर: पार्किंसंस रोग"
"एक शुक्रवार दोपहर, सप्ताहांत की टिप पर जाने से ठीक पहले, एक मनोवैज्ञानिक को एक थेरेपी ग्राहक से एक कॉल प्राप्त होता है जो आत्महत्या के प्रयास में गोलियों की अधिक खुराक लेने का दावा करता है मनोचिकित्सक: ग्राहक को तुरंत एक चिकित्सक को बुलाने और 9: 00 AM में आने के लिए कहता है सोमवार को एक सत्र के लिए मनोचिकित्सक हस्तक्षेप करने का कोई और प्रयास नहीं करता है, और उस शाम बाद में सहायता के लिए कोई अन्य कॉल किए बिना ग्राहक की मृत्यु हो जाती है इस स्थिति में, मनोवैज्ञानिक का व्यवहार स्पष्ट रूप से था",professional_psychology,"['अनैतिक, क्योंकि ग्राहक की जरूरतों को अधिक सीधे संबोधित नहीं किया गया था', 'अनैतिक, क्योंकि मनोवैज्ञानिक को यात्रा में देरी करनी चाहिए थी और उस दोपहर के लिए ग्राहक को एक नियुक्ति देनी चाहिए थी', 'अनैतिक, क्योंकि मनोवैज्ञानिक एक चिकित्सक सीधे बुलाया जाना चाहिए था', 'नैतिक, क्योंकि यह निर्धारित करना संभव नहीं था कि ग्राहक हेरफेर कर रहा था या नहीं']",0,"प्रश्न: एक शुक्रवार दोपहर, सप्ताहांत की टिप पर जाने से ठीक पहले, एक मनोवैज्ञानिक को एक थेरेपी ग्राहक से एक कॉल प्राप्त होता है जो आत्महत्या के प्रयास में गोलियों की अधिक खुराक लेने का दावा करता है मनोचिकित्सक: ग्राहक को तुरंत एक चिकित्सक को बुलाने और 9: 00 AM में आने के लिए कहता है सोमवार को एक सत्र के लिए मनोचिकित्सक हस्तक्षेप करने का कोई और प्रयास नहीं करता है, और उस शाम बाद में सहायता के लिए कोई अन्य कॉल किए बिना ग्राहक की मृत्यु हो जाती है इस स्थिति में, मनोवैज्ञानिक का व्यवहार स्पष्ट रूप से था

उत्तर विकल्प: ['अनैतिक, क्योंकि ग्राहक की जरूरतों को अधिक सीधे संबोधित नहीं किया गया था', 'अनैतिक, क्योंकि मनोवैज्ञानिक को यात्रा में देरी करनी चाहिए थी और उस दोपहर के लिए ग्राहक को एक नियुक्ति देनी चाहिए थी', 'अनैतिक, क्योंकि मनोवैज्ञानिक एक चिकित्सक सीधे बुलाया जाना चाहिए था', 'नैतिक, क्योंकि यह निर्धारित करना संभव नहीं था कि ग्राहक हेरफेर कर रहा था या नहीं']

उत्तर: अनैतिक, क्योंकि ग्राहक की जरूरतों को अधिक सीधे संबोधित नहीं किया गया था"
साल्वाडोर मिनुचिन के संरचनात्मक दृष्टिकोण का उपयोग करने वाला एक पारिवारिक चिकित्सक सबसे अधिक संभावनाः,professional_psychology,"['परिवार के सदस्यों के बीच सीमाओं को स्पष्ट करें ताकि उलझन को कम किया जा सके।', 'शुरुआत में परिवार के सबसे अलग-अलग सदस्य के साथ काम करें।', 'किसी भी चिकित्सक को पारिवारिक प्रणाली में 'त्रिकोणित' होने से रोकने के लिए एक बहु-चिकित्सक टीम का उपयोग करें।', 'विघटनकारी प्रक्रियाओं का मुकाबला करने के लिए विशिष्ट 'निर्देश' जारी करना।']",0,"प्रश्न: साल्वाडोर मिनुचिन के संरचनात्मक दृष्टिकोण का उपयोग करने वाला एक पारिवारिक चिकित्सक सबसे अधिक संभावनाः

उत्तर विकल्प: ['परिवार के सदस्यों के बीच सीमाओं को स्पष्ट करें ताकि उलझन को कम किया जा सके।', 'शुरुआत में परिवार के सबसे अलग-अलग सदस्य के साथ काम करें।', 'किसी भी चिकित्सक को पारिवारिक प्रणाली में 'त्रिकोणित' होने से रोकने के लिए एक बहु-चिकित्सक टीम का उपयोग करें।', 'विघटनकारी प्रक्रियाओं का मुकाबला करने के लिए विशिष्ट 'निर्देश' जारी करना।']

उत्तर: परिवार के सदस्यों के बीच सीमाओं को स्पष्ट करें ताकि उलझन को कम किया जा सके।"
