question,subject,choices,answer,qa
एक वैध विघटनकारी सिल्लोगिज्म में एक प्रमुख आधार होता है कि:,logical_fallacies,"['दो या अधिक विकल्पों को शामिल करता है', 'विषयों को वर्गीकृत करता है', 'पूर्ववर्ती की पुष्टि करता है या परिणामी का खंडन करता है', 'एक वैध निष्कर्ष की ओर ले जाता है']",0,"प्रश्न: एक वैध विघटनकारी सिल्लोगिज्म में एक प्रमुख आधार होता है कि:

उत्तर विकल्प: ['दो या अधिक विकल्पों को शामिल करता है', 'विषयों को वर्गीकृत करता है', 'पूर्ववर्ती की पुष्टि करता है या परिणामी का खंडन करता है', 'एक वैध निष्कर्ष की ओर ले जाता है']

उत्तर: दो या अधिक विकल्पों को शामिल करता है"
निम्नलिखित में से कौन सा सबसे अच्छा शैली पर सामग्री की भ्रांति का वर्णन करता है?,logical_fallacies,"['तर्क के एक भाग से दूसरे भाग में किसी शब्द या वाक्यांश का अर्थ बदलना।', 'प्रतीकात्मक भाषा को शाब्दिक भाषा के साथ भ्रमित करना।', 'तर्क करना कि आकर्षक तरीके से प्रस्तुत विचार सही हैं, संदेश की सामग्री की परवाह किए बिना।', 'किसी दावे के विषय के बारे में एक धारणा बनाने के लिए भावनात्मक रूप से चार्ज भाषा का उपयोग करना, यह तर्क दिए बिना कि भाषा विषय को फिट करती है।']",2,"प्रश्न: निम्नलिखित में से कौन सा सबसे अच्छा शैली पर सामग्री की भ्रांति का वर्णन करता है?

उत्तर विकल्प: ['तर्क के एक भाग से दूसरे भाग में किसी शब्द या वाक्यांश का अर्थ बदलना।', 'प्रतीकात्मक भाषा को शाब्दिक भाषा के साथ भ्रमित करना।', 'तर्क करना कि आकर्षक तरीके से प्रस्तुत विचार सही हैं, संदेश की सामग्री की परवाह किए बिना।', 'किसी दावे के विषय के बारे में एक धारणा बनाने के लिए भावनात्मक रूप से चार्ज भाषा का उपयोग करना, यह तर्क दिए बिना कि भाषा विषय को फिट करती है।']

उत्तर: तर्क करना कि आकर्षक तरीके से प्रस्तुत विचार सही हैं, संदेश की सामग्री की परवाह किए बिना।"
निम्नलिखित में से कौन सा भ्रम साक्ष्य को दबाने का एक तरीका है जो स्रोत को दोषपूर्ण होने का दावा करके साक्ष्य के स्रोत को विचार से बाहर कर देता है जब कथित दोष और स्रोत की विश्वसनीयता के बीच कोई वास्तविक संबंध नहीं है?,logical_fallacies,"['महत्व', 'अतिशयोक्ति', 'कुएं में जहर डालना', 'गुमनाम प्राधिकारी से अपील']",2,"प्रश्न: निम्नलिखित में से कौन सा भ्रम साक्ष्य को दबाने का एक तरीका है जो स्रोत को दोषपूर्ण होने का दावा करके साक्ष्य के स्रोत को विचार से बाहर कर देता है जब कथित दोष और स्रोत की विश्वसनीयता के बीच कोई वास्तविक संबंध नहीं है?

उत्तर विकल्प: ['महत्व', 'अतिशयोक्ति', 'कुएं में जहर डालना', 'गुमनाम प्राधिकारी से अपील']

उत्तर: कुएं में जहर डालना"
झूठी सादृश्य त्रुटि है,logical_fallacies,"['एक विशिष्ट प्रकार का मिथ्या कारण भ्रम जो तर्क देता है कि चूंकि दो घटनाएं एक ही समय में हुईं, इसलिए एक घटना ने दूसरे का कारण होना चाहिए', 'तर्क देना कि एक घटना जो किसी अन्य घटना से पहले हुई है, अनिवार्य रूप से दूसरी घटना का कारण है', 'तर्क देना कि चूंकि कुछ नया है, यह जरूरी है कि यह अच्छा है', 'तुलना के आधार पर निष्कर्ष निकालना जब तुलना की जा रही आइटम निष्कर्ष का समर्थन करने के लिए पर्याप्त समान नहीं हैं।']",3,"प्रश्न: झूठी सादृश्य त्रुटि है

उत्तर विकल्प: ['एक विशिष्ट प्रकार का मिथ्या कारण भ्रम जो तर्क देता है कि चूंकि दो घटनाएं एक ही समय में हुईं, इसलिए एक घटना ने दूसरे का कारण होना चाहिए', 'तर्क देना कि एक घटना जो किसी अन्य घटना से पहले हुई है, अनिवार्य रूप से दूसरी घटना का कारण है', 'तर्क देना कि चूंकि कुछ नया है, यह जरूरी है कि यह अच्छा है', 'तुलना के आधार पर निष्कर्ष निकालना जब तुलना की जा रही आइटम निष्कर्ष का समर्थन करने के लिए पर्याप्त समान नहीं हैं।']

उत्तर: तुलना के आधार पर निष्कर्ष निकालना जब तुलना की जा रही आइटम निष्कर्ष का समर्थन करने के लिए पर्याप्त समान नहीं हैं।"
_ad nauseam_ भ्रम है,logical_fallacies,"['तर्क देते हैं कि कुछ किया जाना चाहिए क्योंकि यह है कि जिस तरह से यह अतीत में किया गया है.', 'यह तर्क देना कि एक कार्य इसलिए किया जाना चाहिए क्योंकि इसके कोई महत्वपूर्ण परिणाम नहीं होंगे, जब प्रभावों का कोई सबूत नहीं है', 'तर्क है कि एक निष्कर्ष सच है क्योंकि यह इतनी बार दावा किया गया है', 'तर्क देना कि एक दावा सच है क्योंकि इतने सारे लोग मानते हैं कि यह सच है']",2,"प्रश्न: _ad nauseam_ भ्रम है

उत्तर विकल्प: ['तर्क देते हैं कि कुछ किया जाना चाहिए क्योंकि यह है कि जिस तरह से यह अतीत में किया गया है.', 'यह तर्क देना कि एक कार्य इसलिए किया जाना चाहिए क्योंकि इसके कोई महत्वपूर्ण परिणाम नहीं होंगे, जब प्रभावों का कोई सबूत नहीं है', 'तर्क है कि एक निष्कर्ष सच है क्योंकि यह इतनी बार दावा किया गया है', 'तर्क देना कि एक दावा सच है क्योंकि इतने सारे लोग मानते हैं कि यह सच है']

उत्तर: तर्क है कि एक निष्कर्ष सच है क्योंकि यह इतनी बार दावा किया गया है"
"यह तर्क देना कि जो एक संपूर्ण वस्तु के लिए सत्य है, वह उस वस्तु के प्रत्येक भाग के लिए भी सत्य है,",logical_fallacies,"['गलत मानदंड', 'जल्दबाजी में किया गया सामान्यीकरण', 'क्रुमेनम', 'विभाजन']",3,"प्रश्न: यह तर्क देना कि जो एक संपूर्ण वस्तु के लिए सत्य है, वह उस वस्तु के प्रत्येक भाग के लिए भी सत्य है,

उत्तर विकल्प: ['गलत मानदंड', 'जल्दबाजी में किया गया सामान्यीकरण', 'क्रुमेनम', 'विभाजन']

उत्तर: विभाजन"
निम्नलिखित में से कौन घोड़े की हँसी भ्रांति का वर्णन करता है?,logical_fallacies,"['प्रतिवाद के बजाय उपहास की अभिव्यक्ति के साथ एक तर्क का जवाब देना', 'सन्देश द्वारा जगाई गई भावनाओं के आधार पर ही सहमति प्राप्त करने का प्रयास', 'प्रतिद्वंद्वी की स्थिति को इस तरह से चित्रित करना कि वह या उसके परिणाम हास्यास्पद प्रतीत हों', 'यह तर्क देते हुए कि नकारात्मक परिणामों से बचने के लिए कार्रवाई की जानी चाहिए, जब वे परिणाम अतिरंजित, असंभव या अप्रासंगिक हों']",0,"प्रश्न: निम्नलिखित में से कौन घोड़े की हँसी भ्रांति का वर्णन करता है?

उत्तर विकल्प: ['प्रतिवाद के बजाय उपहास की अभिव्यक्ति के साथ एक तर्क का जवाब देना', 'सन्देश द्वारा जगाई गई भावनाओं के आधार पर ही सहमति प्राप्त करने का प्रयास', 'प्रतिद्वंद्वी की स्थिति को इस तरह से चित्रित करना कि वह या उसके परिणाम हास्यास्पद प्रतीत हों', 'यह तर्क देते हुए कि नकारात्मक परिणामों से बचने के लिए कार्रवाई की जानी चाहिए, जब वे परिणाम अतिरंजित, असंभव या अप्रासंगिक हों']

उत्तर: प्रतिवाद के बजाय उपहास की अभिव्यक्ति के साथ एक तर्क का जवाब देना"
तर्क है कि सबूत की कमी कुछ साबित करता है की गलतफहमी है ...,logical_fallacies,"['अज्ञानता की अपील', 'डबल नकारात्मक', 'अस्पष्टता', 'साक्ष्य का बोझ']",0,"प्रश्न: तर्क है कि सबूत की कमी कुछ साबित करता है की गलतफहमी है ...

उत्तर विकल्प: ['अज्ञानता की अपील', 'डबल नकारात्मक', 'अस्पष्टता', 'साक्ष्य का बोझ']

उत्तर: अज्ञानता की अपील"
व्यक्ति के विरुद्ध तर्क में शामिल है-,logical_fallacies,"['दूसरे व्यक्ति के तर्क को अनदेखा करना और उसके बजाय उसके चरित्र पर हमला करना', 'यह दावा करना कि एक विरोधी तर्ककर्ता ने आसानी से पराजित स्थिति ले ली है, जिसे उसने वास्तव में नहीं लिया है', 'एक तर्क के दौरान भ्रम पैदा करना जो खंडन में संलग्न होने की क्षमता की कमी के कारण होता है', 'सहमत होने के लिए तर्क के बजाय नुकसान की धमकियों का उपयोग करना']",0,"प्रश्न: व्यक्ति के विरुद्ध तर्क में शामिल है-

उत्तर विकल्प: ['दूसरे व्यक्ति के तर्क को अनदेखा करना और उसके बजाय उसके चरित्र पर हमला करना', 'यह दावा करना कि एक विरोधी तर्ककर्ता ने आसानी से पराजित स्थिति ले ली है, जिसे उसने वास्तव में नहीं लिया है', 'एक तर्क के दौरान भ्रम पैदा करना जो खंडन में संलग्न होने की क्षमता की कमी के कारण होता है', 'सहमत होने के लिए तर्क के बजाय नुकसान की धमकियों का उपयोग करना']

उत्तर: दूसरे व्यक्ति के तर्क को अनदेखा करना और उसके बजाय उसके चरित्र पर हमला करना"
निम्नलिखित में से कौन-सी गलतफहमी तब होती है जब कोई यह निष्कर्ष निकालता है कि किसी को ईमानदार होना चाहिए क्योंकि उसके साथ रहने वाले लोग ईमानदार हैं?,logical_fallacies,"['सराहनीय व्यक्तित्व', 'संघ द्वारा दोषी', 'निंदनीय व्यक्तित्व', 'परिपत्र तर्क']",1,"प्रश्न: निम्नलिखित में से कौन-सी गलतफहमी तब होती है जब कोई यह निष्कर्ष निकालता है कि किसी को ईमानदार होना चाहिए क्योंकि उसके साथ रहने वाले लोग ईमानदार हैं?

उत्तर विकल्प: ['सराहनीय व्यक्तित्व', 'संघ द्वारा दोषी', 'निंदनीय व्यक्तित्व', 'परिपत्र तर्क']

उत्तर: संघ द्वारा दोषी"
