question,subject,choices,answer,qa
Welche der folgenden Methoden zur Erkennung von Brustkrebs beinhaltet eine Strahlenexposition?,human_sexuality,"['Absaugung der Nadel', 'Mammographie', 'Mastektomie', 'Lumpektomie']",1,"Frage: Welche der folgenden Methoden zur Erkennung von Brustkrebs beinhaltet eine Strahlenexposition?

Antwortoptionen: ['Absaugung der Nadel', 'Mammographie', 'Mastektomie', 'Lumpektomie']

Antwort: Mammographie"
"Die Bereiche des Körpers, die beim Berühren sexuell erregend sind:",human_sexuality,"['unterscheiden sich von Person zu Person', 'für Frauen abhängig von den Phasen des Menstruationszyklus variieren', 'sind hauptsächlich auf dem unteren Teil des Körpers', 'alle oben genannten']",3,"Frage: Die Bereiche des Körpers, die beim Berühren sexuell erregend sind:

Antwortoptionen: ['unterscheiden sich von Person zu Person', 'für Frauen abhängig von den Phasen des Menstruationszyklus variieren', 'sind hauptsächlich auf dem unteren Teil des Körpers', 'alle oben genannten']

Antwort: alle oben genannten"
Welche der folgenden Aussagen gelten für Gonorrhoe?,human_sexuality,"['kann mit Antibiotika behandelt werden', 'hat ein hohes Infektionsrisiko bei einer einzigen Exposition', 'ist bei nur einem kleinen Prozentsatz der Infizierten asymptomatisch (ohne Symptome)', 'Infektionen sind auf den Genitalbereich beschränkt']",0,"Frage: Welche der folgenden Aussagen gelten für Gonorrhoe?

Antwortoptionen: ['kann mit Antibiotika behandelt werden', 'hat ein hohes Infektionsrisiko bei einer einzigen Exposition', 'ist bei nur einem kleinen Prozentsatz der Infizierten asymptomatisch (ohne Symptome)', 'Infektionen sind auf den Genitalbereich beschränkt']

Antwort: kann mit Antibiotika behandelt werden"
"Sie sind ein homosexueller Mann: Gestern Abend wurden Sie von dem lüsternen, schwarzen Jacques (König der Bruderschaftsreihe) versucht, sich ihm in der örtlichen Milchbar anzuschließen, um ein großes, kühles Glas Milch zu trinken. Du hast auch kurz darüber nachgedacht, für diesen Test zu lernen, aber Jacques hat gewonnen. In freudianischen Begriffen, welche der folgenden war vorherrschend?",human_sexuality,"['die Kennung', 'Das Ego.', 'das Superego', 'der Ödipuskomplex']",0,"Frage: Sie sind ein homosexueller Mann: Gestern Abend wurden Sie von dem lüsternen, schwarzen Jacques (König der Bruderschaftsreihe) versucht, sich ihm in der örtlichen Milchbar anzuschließen, um ein großes, kühles Glas Milch zu trinken. Du hast auch kurz darüber nachgedacht, für diesen Test zu lernen, aber Jacques hat gewonnen. In freudianischen Begriffen, welche der folgenden war vorherrschend?

Antwortoptionen: ['die Kennung', 'Das Ego.', 'das Superego', 'der Ödipuskomplex']

Antwort: die Kennung"
"Soziobiologen glauben, dass es mehr Männer als Frauen mit Paraphilie gibt, weil:",human_sexuality,"['Paraphilie garantiert das Überleben der Spezies.', 'Die evolutionäre Selektion hat die Entwicklung von Männchen begünstigt , die auf neue sexuelle Reize reagieren .', 'der Unterschiede zwischen dem linken Gehirn und dem rechten Gehirn zwischen den Geschlechtern', 'Männliche Gehirne sind besser entwickelt als weibliche Gehirne.']",1,"Frage: Soziobiologen glauben, dass es mehr Männer als Frauen mit Paraphilie gibt, weil:

Antwortoptionen: ['Paraphilie garantiert das Überleben der Spezies.', 'Die evolutionäre Selektion hat die Entwicklung von Männchen begünstigt , die auf neue sexuelle Reize reagieren .', 'der Unterschiede zwischen dem linken Gehirn und dem rechten Gehirn zwischen den Geschlechtern', 'Männliche Gehirne sind besser entwickelt als weibliche Gehirne.']

Antwort: Die evolutionäre Selektion hat die Entwicklung von Männchen begünstigt , die auf neue sexuelle Reize reagieren ."
"Laut einer Studie von Sprecher, Barbee und Schwartz (1995) hatten Frauen nach dem ersten Geschlechtsverkehr häufiger ________ als Männer.",human_sexuality,"['fühlte sich glücklich', 'Angst gefühlt', 'erlebte Schuldgefühle', 'erlebte Bedauern']",2,"Frage: Laut einer Studie von Sprecher, Barbee und Schwartz (1995) hatten Frauen nach dem ersten Geschlechtsverkehr häufiger ________ als Männer.

Antwortoptionen: ['fühlte sich glücklich', 'Angst gefühlt', 'erlebte Schuldgefühle', 'erlebte Bedauern']

Antwort: erlebte Schuldgefühle"
Was hat Kokainmissbrauch während der Schwangerschaft damit zu tun?,human_sexuality,"['ein erhöhtes Risiko für Babys mit niedrigem Geburtsgewicht', 'schlechteres Wachstum und geringere Intelligenz', 'kleiner Kopfumfang', 'alle oben genannten']",3,"Frage: Was hat Kokainmissbrauch während der Schwangerschaft damit zu tun?

Antwortoptionen: ['ein erhöhtes Risiko für Babys mit niedrigem Geburtsgewicht', 'schlechteres Wachstum und geringere Intelligenz', 'kleiner Kopfumfang', 'alle oben genannten']

Antwort: alle oben genannten"
Joe will verzweifelt in die Nähe von Helen kommen . Helen scheint von Joes verzweifelten Annäherungen abgeschreckt zu sein. Das ist typisch für Joes Beziehungen zu Frauen. Nach der Bindungstheorie könnte man Joe am besten beschreiben als:,human_sexuality,"['eine sichere Geliebte', 'ein liebhaberischer Geliebter,', 'ein ängstlich-ambivalenter Liebhaber', 'ein leidenschaftlicher Liebhaber']",2,"Frage: Joe will verzweifelt in die Nähe von Helen kommen . Helen scheint von Joes verzweifelten Annäherungen abgeschreckt zu sein. Das ist typisch für Joes Beziehungen zu Frauen. Nach der Bindungstheorie könnte man Joe am besten beschreiben als:

Antwortoptionen: ['eine sichere Geliebte', 'ein liebhaberischer Geliebter,', 'ein ängstlich-ambivalenter Liebhaber', 'ein leidenschaftlicher Liebhaber']

Antwort: ein ängstlich-ambivalenter Liebhaber"
"Bruce ist ein homosexueller Mann. Sein Freund Chuck ist ein heterosexueller Mann. Wenn wir Bruce und Chuck als Kinder beobachtet hätten, hätten wir folgendes erwartet?",human_sexuality,"['Bruce hat wahrscheinlich an mehr weiblichen Spielen teilgenommen als Chuck.', 'Bruce hat wahrscheinlich mehr an männlichen Spielen teilgenommen als Chuck.', 'Bruce und Chuck spielten wahrscheinlich mehr männlich-typisches Spiel als weiblich-typisches Spiel.', 'Bruces Vater hatte eher homosexuelle Tendenzen als Chucks Vater.']",0,"Frage: Bruce ist ein homosexueller Mann. Sein Freund Chuck ist ein heterosexueller Mann. Wenn wir Bruce und Chuck als Kinder beobachtet hätten, hätten wir folgendes erwartet?

Antwortoptionen: ['Bruce hat wahrscheinlich an mehr weiblichen Spielen teilgenommen als Chuck.', 'Bruce hat wahrscheinlich mehr an männlichen Spielen teilgenommen als Chuck.', 'Bruce und Chuck spielten wahrscheinlich mehr männlich-typisches Spiel als weiblich-typisches Spiel.', 'Bruces Vater hatte eher homosexuelle Tendenzen als Chucks Vater.']

Antwort: Bruce hat wahrscheinlich an mehr weiblichen Spielen teilgenommen als Chuck."
Das Judentum betrachtet Sexualität als,human_sexuality,"['von Natur aus böse', 'Gottes nachträglicher Gedanke und ist zu einer Abweichung geworden', 'Eine Gabe von Gott.', 'in erster Linie eine biologische Funktion']",2,"Frage: Das Judentum betrachtet Sexualität als

Antwortoptionen: ['von Natur aus böse', 'Gottes nachträglicher Gedanke und ist zu einer Abweichung geworden', 'Eine Gabe von Gott.', 'in erster Linie eine biologische Funktion']

Antwort: Eine Gabe von Gott."
