question,subject,choices,answer,qa
Le principal facteur qui empêche les économies de subsistance de progresser économiquement est l'absence de,high_school_geography,"['une monnaie.', 'une infrastructure de transport bien connectée.', 'l'activité gouvernementale.', 'un service bancaire.']",1,"Question: Le principal facteur qui empêche les économies de subsistance de progresser économiquement est l'absence de

Choix: ['une monnaie.', 'une infrastructure de transport bien connectée.', 'l'activité gouvernementale.', 'un service bancaire.']

Réponse: une infrastructure de transport bien connectée."
La tendance d'une population à continuer de croître longtemps après que la fertilité de remplacement a été atteinte est appelée,high_school_geography,"['Zéro croissance démographique.', 'taux de croissance rapide.', 'plateau homéostatique.', 'l'élan démographique.']",3,"Question: La tendance d'une population à continuer de croître longtemps après que la fertilité de remplacement a été atteinte est appelée

Choix: ['Zéro croissance démographique.', 'taux de croissance rapide.', 'plateau homéostatique.', 'l'élan démographique.']

Réponse: l'élan démographique."
La tendance de la migration à diminuer avec la distance est appelée,high_school_geography,"['facteurs de poussée.', 'les facteurs d'attraction.', 'décroissance de la distance.', 'sélectivité de la migration.']",2,"Question: La tendance de la migration à diminuer avec la distance est appelée

Choix: ['facteurs de poussée.', 'les facteurs d'attraction.', 'décroissance de la distance.', 'sélectivité de la migration.']

Réponse: décroissance de la distance."
"Quelle zone contient des bidonvilles à faible revenu, des ghettos ethniques et une détérioration générale dans le modèle de forme urbaine de la zone concentrique de Burgess?",high_school_geography,"['Tout d'abord', 'Deuxième', 'Troisièmement', 'Quatrième']",0,"Question: Quelle zone contient des bidonvilles à faible revenu, des ghettos ethniques et une détérioration générale dans le modèle de forme urbaine de la zone concentrique de Burgess?

Choix: ['Tout d'abord', 'Deuxième', 'Troisièmement', 'Quatrième']

Réponse: Tout d'abord"
Laquelle des affirmations suivantes est VRAIE en ce qui concerne les femmes qui travaillent?,high_school_geography,"['La plupart des femmes travaillent dans l'agriculture', 'Le pourcentage de femmes actives sur le marché du travail a diminué dans le monde entier', 'Le pourcentage de femmes dans la population active totale a diminué', 'Les femmes passent plus d'heures par jour au travail que les hommes dans toutes les régions à l'exception de l'Anglo-Amérique et de l'Australie']",3,"Question: Laquelle des affirmations suivantes est VRAIE en ce qui concerne les femmes qui travaillent?

Choix: ['La plupart des femmes travaillent dans l'agriculture', 'Le pourcentage de femmes actives sur le marché du travail a diminué dans le monde entier', 'Le pourcentage de femmes dans la population active totale a diminué', 'Les femmes passent plus d'heures par jour au travail que les hommes dans toutes les régions à l'exception de l'Anglo-Amérique et de l'Australie']

Réponse: Les femmes passent plus d'heures par jour au travail que les hommes dans toutes les régions à l'exception de l'Anglo-Amérique et de l'Australie"
Tous les facteurs suivants peuvent être considérés comme des facteurs d'attraction de la migration,high_school_geography,"['Pour la sécurité.', 'un meilleur climat.', 'de meilleures écoles.', 'surpeuplement.']",3,"Question: Tous les facteurs suivants peuvent être considérés comme des facteurs d'attraction de la migration

Choix: ['Pour la sécurité.', 'un meilleur climat.', 'de meilleures écoles.', 'surpeuplement.']

Réponse: surpeuplement."
Lequel des pays suivants n'a PAS un exemple bien connu d'une frontière relique?,high_school_geography,"['États-Unis', 'Royaume-Uni', 'Autriche', 'Autriche']",3,"Question: Lequel des pays suivants n'a PAS un exemple bien connu d'une frontière relique?

Choix: ['États-Unis', 'Royaume-Uni', 'Autriche', 'Autriche']

Réponse: Autriche"
Quelle forme de migration suivante les travailleurs agricoles d'un autre pays sont-ils le plus susceptibles de pratiquer au cours de l'année?,high_school_geography,"['Migration en chaîne', 'Migration des groupes', 'Migration circulaire', 'Les migrations internationales']",2,"Question: Quelle forme de migration suivante les travailleurs agricoles d'un autre pays sont-ils le plus susceptibles de pratiquer au cours de l'année?

Choix: ['Migration en chaîne', 'Migration des groupes', 'Migration circulaire', 'Les migrations internationales']

Réponse: Migration circulaire"
Laquelle des forces suivantes est une force centrifuge dans un pays?,high_school_geography,"['Différences religieuses', 'Une fête nationale', 'Une attaque d'un autre pays', 'Un leader national charismatique']",0,"Question: Laquelle des forces suivantes est une force centrifuge dans un pays?

Choix: ['Différences religieuses', 'Une fête nationale', 'Une attaque d'un autre pays', 'Un leader national charismatique']

Réponse: Différences religieuses"
Les premières colonies et la forte densité de population le long des côtes et des rivières sont mieux attribuées à laquelle des villes suivantes?,high_school_geography,"['Le climat méditerranéen', 'Couverture forestière limitée', 'Croissance de l'industrie manufacturière', 'Accès aux routes commerciales']",3,"Question: Les premières colonies et la forte densité de population le long des côtes et des rivières sont mieux attribuées à laquelle des villes suivantes?

Choix: ['Le climat méditerranéen', 'Couverture forestière limitée', 'Croissance de l'industrie manufacturière', 'Accès aux routes commerciales']

Réponse: Accès aux routes commerciales"
