question,subject,choices,answer,qa
जहाजों पर किए गए अपराधों के संबंध में कौन सा राज्य सामान्यतः क्षेत्राधिकार का प्रयोग करता है?,international_law,"['तटीय राज्य', 'ध्वज राज्य', 'सभी राज्य इस तरह के अधिकार क्षेत्र का आनंद लेते हैं', 'समुद्री कानून के लिए अंतर्राष्ट्रीय ट्रिब्यूनल']",1,"प्रश्न: जहाजों पर किए गए अपराधों के संबंध में कौन सा राज्य सामान्यतः क्षेत्राधिकार का प्रयोग करता है?

उत्तर विकल्प: ['तटीय राज्य', 'ध्वज राज्य', 'सभी राज्य इस तरह के अधिकार क्षेत्र का आनंद लेते हैं', 'समुद्री कानून के लिए अंतर्राष्ट्रीय ट्रिब्यूनल']

उत्तर: ध्वज राज्य"
न्याययोग्यता का क्या अर्थ है?,international_law,"['न्यायिकता संबंधित अधिकार धारकों द्वारा किसी विशेष अधिकार के प्रवर्तन की संभावना को संदर्भित करती है', 'न्यायसंगतता किसी विशेष अधिकार की उचित प्रकृति या कारण को संदर्भित करती है', 'न्यायिकता से तात्पर्य न्यायालयों द्वारा यह आकलन करने से है कि क्या किसी विशेष अधिकार का प्रवर्तन न करना न्याय के सिद्धांतों के अनुरूप है', 'न्यायिकता किसी विशेष अधिकार को लागू करने के लिए राज्य के दायित्व को संदर्भित करती है।']",0,"प्रश्न: न्याययोग्यता का क्या अर्थ है?

उत्तर विकल्प: ['न्यायिकता संबंधित अधिकार धारकों द्वारा किसी विशेष अधिकार के प्रवर्तन की संभावना को संदर्भित करती है', 'न्यायसंगतता किसी विशेष अधिकार की उचित प्रकृति या कारण को संदर्भित करती है', 'न्यायिकता से तात्पर्य न्यायालयों द्वारा यह आकलन करने से है कि क्या किसी विशेष अधिकार का प्रवर्तन न करना न्याय के सिद्धांतों के अनुरूप है', 'न्यायिकता किसी विशेष अधिकार को लागू करने के लिए राज्य के दायित्व को संदर्भित करती है।']

उत्तर: न्यायिकता संबंधित अधिकार धारकों द्वारा किसी विशेष अधिकार के प्रवर्तन की संभावना को संदर्भित करती है"
संरक्षण की जिम्मेदारी (आर2पी) मानवीय हस्तक्षेप से किस प्रकार भिन्न है?,international_law,"['R2P अनिवार्य रूप से मानवीय हस्तक्षेप के समान है', 'आर2पी को संकट में राज्य द्वारा सहायता के लिए एक कॉल की आवश्यकता होती है', 'आर2पी कम मनमानी है क्योंकि इसके लिए कुछ यूएनएससी इनपुट की आवश्यकता होती है और इसका प्राथमिक उद्देश्य एक मानवीय संकट को रोकना है।', 'R2P हमेशा सशस्त्र बल को शामिल करता है, जबकि मानवीय हस्तक्षेप नहीं करता है']",2,"प्रश्न: संरक्षण की जिम्मेदारी (आर2पी) मानवीय हस्तक्षेप से किस प्रकार भिन्न है?

उत्तर विकल्प: ['R2P अनिवार्य रूप से मानवीय हस्तक्षेप के समान है', 'आर2पी को संकट में राज्य द्वारा सहायता के लिए एक कॉल की आवश्यकता होती है', 'आर2पी कम मनमानी है क्योंकि इसके लिए कुछ यूएनएससी इनपुट की आवश्यकता होती है और इसका प्राथमिक उद्देश्य एक मानवीय संकट को रोकना है।', 'R2P हमेशा सशस्त्र बल को शामिल करता है, जबकि मानवीय हस्तक्षेप नहीं करता है']

उत्तर: आर2पी कम मनमानी है क्योंकि इसके लिए कुछ यूएनएससी इनपुट की आवश्यकता होती है और इसका प्राथमिक उद्देश्य एक मानवीय संकट को रोकना है।"
'लोटस सिद्धांत' क्या है?,international_law,"['तथाकथित लोटस सिद्धांत यह है कि 'राज्य की स्वतंत्रता पर प्रतिबंध इसलिए नहीं माना जा सकता है' या जैसा कि समझा गया है 'जो कुछ भी निषिद्ध नहीं है वह अंतर्राष्ट्रीय कानून में अनुमत है'', 'तथाकथित लोटस सिद्धांत यह है कि राज्य न्यायालय को चुनने के लिए स्वतंत्र हैं कि वे अपने विवादों को प्रस्तुत करेंगे', 'तथाकथित लोटस सिद्धांत यह है कि राज्यों को खुले समुद्र में अपने प्रवर्तन क्षेत्राधिकार का दावा करने से मना नहीं किया जाता है', 'तथाकथित लोटस सिद्धांत यह है कि प्रथागत कानून राज्य प्रथा और opinio juris के संयोजन से उत्पन्न होता है।']",0,"प्रश्न: 'लोटस सिद्धांत' क्या है?

उत्तर विकल्प: ['तथाकथित लोटस सिद्धांत यह है कि 'राज्य की स्वतंत्रता पर प्रतिबंध इसलिए नहीं माना जा सकता है' या जैसा कि समझा गया है 'जो कुछ भी निषिद्ध नहीं है वह अंतर्राष्ट्रीय कानून में अनुमत है'', 'तथाकथित लोटस सिद्धांत यह है कि राज्य न्यायालय को चुनने के लिए स्वतंत्र हैं कि वे अपने विवादों को प्रस्तुत करेंगे', 'तथाकथित लोटस सिद्धांत यह है कि राज्यों को खुले समुद्र में अपने प्रवर्तन क्षेत्राधिकार का दावा करने से मना नहीं किया जाता है', 'तथाकथित लोटस सिद्धांत यह है कि प्रथागत कानून राज्य प्रथा और opinio juris के संयोजन से उत्पन्न होता है।']

उत्तर: तथाकथित लोटस सिद्धांत यह है कि ""राज्य की स्वतंत्रता पर प्रतिबंध इसलिए नहीं माना जा सकता है"" या जैसा कि समझा गया है ""जो कुछ भी निषिद्ध नहीं है वह अंतर्राष्ट्रीय कानून में अनुमत है"""
इनमें से कौन सा कथन यूनाइटेड किंगडम के संविधान का सबसे अच्छा वर्णन करता है?,international_law,"['यूनाइटेड किंगडम के संविधान की शक्ति का एकमात्र स्रोत संप्रभु है', 'यूनाइटेड किंगडम का संविधान न्यायपालिका को संसद के अधिनियमों को निरस्त करने की शक्ति देता है।', 'यूनाइटेड किंगडम का संविधान अनकोडिफाइड है और इसे कई स्रोतों में पाया जा सकता है।', 'यूनाइटेड किंगडम का संविधान अधिकारों के बिल पर आधारित है।']",2,"प्रश्न: इनमें से कौन सा कथन यूनाइटेड किंगडम के संविधान का सबसे अच्छा वर्णन करता है?

उत्तर विकल्प: ['यूनाइटेड किंगडम के संविधान की शक्ति का एकमात्र स्रोत संप्रभु है', 'यूनाइटेड किंगडम का संविधान न्यायपालिका को संसद के अधिनियमों को निरस्त करने की शक्ति देता है।', 'यूनाइटेड किंगडम का संविधान अनकोडिफाइड है और इसे कई स्रोतों में पाया जा सकता है।', 'यूनाइटेड किंगडम का संविधान अधिकारों के बिल पर आधारित है।']

उत्तर: यूनाइटेड किंगडम का संविधान अनकोडिफाइड है और इसे कई स्रोतों में पाया जा सकता है।"
विवादों के शांतिपूर्ण समाधान का दायित्व क्या है?,international_law,"['यह परिणाम का दायित्व है, अर्थात, राज्यों को अपने विवादों को जल्द से जल्द हल करने का सख्त दायित्व है।', 'यह एक आचरण का दायित्व है, यानी राज्यों का दायित्व है कि वे अपने विवादों को शांतिपूर्ण माध्यमों से सुलझाने का प्रयास करें।', 'यह अंतर्राष्ट्रीय कानून का एक अनिवार्य नियम है और सभी राज्यों को किसी दिए गए विवाद में इसके आवेदन की रक्षा करने का कानूनी हित है।', 'यह एक ऐसा दायित्व है जो केवल अंतरराष्ट्रीय न्यायालयों और न्यायाधिकरणों से संबंधित है']",1,"प्रश्न: विवादों के शांतिपूर्ण समाधान का दायित्व क्या है?

उत्तर विकल्प: ['यह परिणाम का दायित्व है, अर्थात, राज्यों को अपने विवादों को जल्द से जल्द हल करने का सख्त दायित्व है।', 'यह एक आचरण का दायित्व है, यानी राज्यों का दायित्व है कि वे अपने विवादों को शांतिपूर्ण माध्यमों से सुलझाने का प्रयास करें।', 'यह अंतर्राष्ट्रीय कानून का एक अनिवार्य नियम है और सभी राज्यों को किसी दिए गए विवाद में इसके आवेदन की रक्षा करने का कानूनी हित है।', 'यह एक ऐसा दायित्व है जो केवल अंतरराष्ट्रीय न्यायालयों और न्यायाधिकरणों से संबंधित है']

उत्तर: यह एक आचरण का दायित्व है, यानी राज्यों का दायित्व है कि वे अपने विवादों को शांतिपूर्ण माध्यमों से सुलझाने का प्रयास करें।"
निम्नलिखित कथनों में से कौन सा कथन गलत है?,international_law,"['प्रोटोकॉल 14 ने तीन न्यायाधीशों से एक न्यायाधीश गठन के लिए स्वीकार्यता मामलों की सुनवाई करने वाली समिति को बदल दिया', 'प्रोटोकॉल 14 ने स्वीकार्यता के लिए एक नया मानदंड जोड़ा', 'प्रोटोकॉल 14 ने मानवाधिकार आयोग को समाप्त कर दिया', 'प्रोटोकॉल 14 ने यूरोपीय मानवाधिकार न्यायालय के न्यायिक कार्यकाल का विस्तार किया']",2,"प्रश्न: निम्नलिखित कथनों में से कौन सा कथन गलत है?

उत्तर विकल्प: ['प्रोटोकॉल 14 ने तीन न्यायाधीशों से एक न्यायाधीश गठन के लिए स्वीकार्यता मामलों की सुनवाई करने वाली समिति को बदल दिया', 'प्रोटोकॉल 14 ने स्वीकार्यता के लिए एक नया मानदंड जोड़ा', 'प्रोटोकॉल 14 ने मानवाधिकार आयोग को समाप्त कर दिया', 'प्रोटोकॉल 14 ने यूरोपीय मानवाधिकार न्यायालय के न्यायिक कार्यकाल का विस्तार किया']

उत्तर: प्रोटोकॉल 14 ने मानवाधिकार आयोग को समाप्त कर दिया"
यूएन कन्वेंशन ऑफ द लॉ ऑफ द सी (यूएनसीएलओएस) के तहत 'रॉक' क्या है?,international_law,"['चट्टानें वे द्वीप हैं जो 10 वर्ग मील से कम हैं', 'चट्टानें वे द्वीप हैं जिनके पास कोई समुद्री क्षेत्र नहीं है', 'चट्टानें वे द्वीप हैं जो मानव निवास या अपने स्वयं के आर्थिक जीवन को बनाए नहीं रख सकते हैं और अनुच्छेद 121 (3) के अनुसार कोई विशेष आर्थिक क्षेत्र या महाद्वीपीय शेल्फ नहीं है।', 'चट्टानें छोटे द्वीप हैं जो मानव निवास को बनाए रख सकते हैं']",2,"प्रश्न: यूएन कन्वेंशन ऑफ द लॉ ऑफ द सी (यूएनसीएलओएस) के तहत 'रॉक' क्या है?

उत्तर विकल्प: ['चट्टानें वे द्वीप हैं जो 10 वर्ग मील से कम हैं', 'चट्टानें वे द्वीप हैं जिनके पास कोई समुद्री क्षेत्र नहीं है', 'चट्टानें वे द्वीप हैं जो मानव निवास या अपने स्वयं के आर्थिक जीवन को बनाए नहीं रख सकते हैं और अनुच्छेद 121 (3) के अनुसार कोई विशेष आर्थिक क्षेत्र या महाद्वीपीय शेल्फ नहीं है।', 'चट्टानें छोटे द्वीप हैं जो मानव निवास को बनाए रख सकते हैं']

उत्तर: चट्टानें वे द्वीप हैं जो मानव निवास या अपने स्वयं के आर्थिक जीवन को बनाए नहीं रख सकते हैं और अनुच्छेद 121 (3) के अनुसार कोई विशेष आर्थिक क्षेत्र या महाद्वीपीय शेल्फ नहीं है।"
अंतर्राष्ट्रीय कानूनी व्यक्तित्व का क्या अर्थ है?,international_law,"['इसका अर्थ है कि केवल राज्यों को ही अंतर्राष्ट्रीय कानून का विषय माना जाता है', 'इसका अर्थ है अंतरराष्ट्रीय कानून के तहत अधिकारों और कर्तव्यों का होना और संबंधित अभिनेता द्वारा या उसके खिलाफ इन्हें लागू करने की क्षमता।', 'इसका मतलब है कि एक संस्था राज्यों के अधिकार को चुनौती दे सकती है', 'यह एक ऐसा शब्द है जो अंतर्राष्ट्रीय कानून के तहत भौतिक व्यक्तियों के विपरीत, कानूनी व्यक्तियों को इंगित करने के लिए है']",1,"प्रश्न: अंतर्राष्ट्रीय कानूनी व्यक्तित्व का क्या अर्थ है?

उत्तर विकल्प: ['इसका अर्थ है कि केवल राज्यों को ही अंतर्राष्ट्रीय कानून का विषय माना जाता है', 'इसका अर्थ है अंतरराष्ट्रीय कानून के तहत अधिकारों और कर्तव्यों का होना और संबंधित अभिनेता द्वारा या उसके खिलाफ इन्हें लागू करने की क्षमता।', 'इसका मतलब है कि एक संस्था राज्यों के अधिकार को चुनौती दे सकती है', 'यह एक ऐसा शब्द है जो अंतर्राष्ट्रीय कानून के तहत भौतिक व्यक्तियों के विपरीत, कानूनी व्यक्तियों को इंगित करने के लिए है']

उत्तर: इसका अर्थ है अंतरराष्ट्रीय कानून के तहत अधिकारों और कर्तव्यों का होना और संबंधित अभिनेता द्वारा या उसके खिलाफ इन्हें लागू करने की क्षमता।"
निम्नलिखित में से कौन-सा संधि आधारित मानवाधिकार तंत्र है?,international_law,"['संयुक्त राष्ट्र मानवाधिकार समिति', 'संयुक्त राष्ट्र मानवाधिकार परिषद', 'संयुक्त राष्ट्र सार्वभौमिक आवधिक समीक्षा', 'संयुक्त राष्ट्र के विशेष जनादेश']",0,"प्रश्न: निम्नलिखित में से कौन-सा संधि आधारित मानवाधिकार तंत्र है?

उत्तर विकल्प: ['संयुक्त राष्ट्र मानवाधिकार समिति', 'संयुक्त राष्ट्र मानवाधिकार परिषद', 'संयुक्त राष्ट्र सार्वभौमिक आवधिक समीक्षा', 'संयुक्त राष्ट्र के विशेष जनादेश']

उत्तर: संयुक्त राष्ट्र मानवाधिकार समिति"
