question,answer
Janets Enten legen 16 Eier am Tag. Sie isst jeden Morgen drei zum Frühstück und backt mit vier täglich Muffins für ihre Freunde. Sie verkauft den Rest auf dem Bauernmarkt täglich für 2 Dollar pro frisches Enten-Ei. Wie viel Dollar verdient sie jeden Tag auf dem Bauernmarkt?,Janet verkauft 16 - 3 - 4 = <<16-3-4=9>> 9 Enten-Eier pro Tag. Sie verdient 9 * 2 = $ <<9*2=18>> 18 jeden Tag auf dem Bauernmarkt. #### 18
Ein Gewand benötigt zwei Schrauben blaue Faser und die Hälfte so viel weiße Faser. Wie viele Schrauben braucht es insgesamt?,Es dauert 2/2= <<2/2=1>> 1 Bolzen weißer Faser also die Gesamtmenge an Stoff ist 2+1= <<2+1=3>> 3 Bolzen Stoff #### 3
"Josh beschließt, ein Haus umzudrehen. Er kauft ein Haus für 80.000 Dollar und investiert dann 50.000 Dollar in Reparaturen. Dadurch stieg der Wert des Hauses um 150%. Wie viel Gewinn hat er gemacht?",Die Kosten des Hauses und Reparaturen kamen zu 80.000 + 50.000 = $ <<80000+50000=130000>> 130.000 Er erhöhte den Wert des Hauses um 80.000 * 1.5 = <<80000*1.5=120000>> 120.000 Also der neue Wert des Hauses ist 120.000 + 80.000 = $ <<120000+80000=200000>> 200.000 Also machte er einen Gewinn von 200.000-130.000 = $ <<200000-130000=70000>> 70.000 #### 70000
"James entscheidet sich, drei Sprints dreimal pro Woche zu laufen. Er läuft 60 Meter pro Sprint. Wie viele Meter läuft er pro Woche?",Er sprintet 3*3= <<3*3=9>> 9 mal also läuft er 9*60= <<9*60=540>> 540 Meter #### 540
"Jeden Tag füttert Wendi jedes ihrer Hühner mit drei Tassen Mischfutter, das Samen, Mehlwürmer und Gemüse enthält, um sie gesund zu halten. Sie gibt den Hühnern ihre Nahrung in drei getrennten Mahlzeiten. Am Morgen gibt sie ihrer Hühnerherde 15 Tassen Futter. Am Nachmittag gibt sie ihren Hühnern weitere 25 Tassen Futter. Wie viele Tassen Futter braucht sie, um ihre Hühner bei der letzten Mahlzeit des Tages zu füttern, wenn Wendis Herde 20 Hühner hat?","Wenn jedes Huhn 3 Tassen Futter pro Tag zu sich nimmt, dann benötigen 20 Hühner 3*20= <<3*20=60>> 60 Tassen Futter pro Tag. Wenn sie die Herde 15 Tassen Futter am Morgen füttert, und 25 Tassen am Nachmittag, Dann ... Die letzte Mahlzeit erfordert 60-15-25= <<60-15-25=20>> 20 Tassen Hühnerfutter. #### 20"
"Kylar ging in den Laden, um Gläser für seine neue Wohnung zu kaufen. Ein Glas kostet 5 Dollar, aber jedes zweite Glas kostet nur 60% des Preises. Kylar will 16 Gläser kaufen. Wie viel muss er dafür bezahlen?","Der Rabattpreis für ein Glas beträgt 60/100 * 5 = $ <<60/100*5=3>> 3. Wenn jedes zweite Glas billiger ist, bedeutet das, dass Kylar 16 / 2 = <<16/2=8>> 8 billigere Gläser kaufen wird. Für die billigere Brille zahlt Kylar 8 * 3 = $ <<8*3=24>> 24. Und für die normalpreisigen Gläser zahlt Kylar 8 * 5 = $ <<8*5=40>> 40. Also insgesamt muss Kylar 24 + 40 = $ <<24+40=64>> 64 für die Brille zahlen, die er kaufen will. #### 64"
"Toulouse hat doppelt so viele Schafe wie Charleston. Charleston hat viermal so viele Schafe wie Seattle. Wie viele Schafe haben Toulouse, Charleston und Seattle zusammen, wenn Seattle 20 Schafe hat?","Wenn Seattle 20 Schafe hat, hat Charleston 4 * 20 Schafe = <<20*4=80>> 80 Schafe Toulouse hat doppelt so viele Schafe wie Charleston, das ist 2 * 80 Schafe = <<2*80=160>> 160 Schafe Zusammen haben die drei 20 Schafe + 160 Schafe + 80 Schafe = <<20+160+80=260>> 260 Schafe #### 260"
"Carla lädt eine 200-GB-Datei herunter. Normalerweise kann sie 2 GB / Minute herunterladen, aber 40% des Weges durch den Download zwingt Windows einen Neustart, um Updates zu installieren, was 20 Minuten dauert. Dann muss Carla den Download von vorne starten. Wie lange dauert es, die Datei herunterzuladen?","Finden Sie zuerst, wie viele Gigabyte in 40% der Datei sind: 200 GB * 40% = <<200*40*.01=80>> 80 GB Dann teilen Sie diese Zahl durch die Downloadrate, um die Zeit bis zum Neustart von Windows zu finden: 80 GB / 2 GB / Minute = <<80/2=40>> 40 Minuten Dann finden Sie die Zeit, um die gesamte Datei nach dem Neustart herunterzuladen: 200 GB / 2 GB / Minute = <<200/2=100>> 100 Minuten Dann addieren Sie die Zeit, um 40% der Datei herunterzuladen, um die gesamte Datei herunterzuladen, und Warten auf die Aktualisierung von Windows: 40 Minuten + 100 Minuten + 20 Minuten = <<40+100+20=160>> 160 Minuten #### 160"
"John fährt 3 Stunden mit einer Geschwindigkeit von 100 km/h und dreht sich dann um, weil er merkt, dass er etwas sehr Wichtiges zu Hause vergessen hat. Er versucht, in 4 Stunden nach Hause zu kommen, aber die ersten 2 Stunden verbringt er im Stau. Er verbringt die nächste halbe Stunde mit einer Geschwindigkeit von 30 Meilen pro Stunde, bevor er in der Lage ist, die verbleibende Zeit der 4 Stunden mit 80 Meilen pro Stunde zu fahren. Wie weit ist er nach diesen 4 Stunden von zu Hause entfernt?","Als er sich umdrehte, war er 3*60= <<3*60=180>> 180 Meilen von zu Hause entfernt Er war nur in der Lage zu fahren 4-2= <<4-2=2>> 2 Stunden in den ersten vier Stunden In einer halben Stunde fährt er 30*.5= <<30*.5=15>> 15 Meilen Er fährt dann weitere 2-.5= <<2-.5=1.5>> 1,5 Stunden In dieser Zeit fährt er 80*1.5= <<80*1.5=120>> 120 Meilen Also fuhr er 120+15= <<120+15=135>> 135 Meilen Also ist er 180-135= <<180-135=45>> 45 Meilen von zu Hause entfernt #### 45"
"Elizas Stundenlohn für die ersten 40 Stunden, die sie jede Woche arbeitet, beträgt 10 Dollar. Sie erhält außerdem eine Überstundengebühr, die das 1,2-fache ihres regulären Stundensatzes beträgt. Wenn Eliza diese Woche 45 Stunden gearbeitet hat, wie viel verdient sie diese Woche?","Eliza hat Anspruch auf 45 -40 = <<45-40=5>> 5 Stunden Überstundengeld. Ihr Stundensatz für die Überstundengebühr beträgt 10 x 1,2 = $ <<10*1.2=12>> 12. Eliza erhält also $12 x 5 = $<<12*5=60>> 60 für Überstunden. Ihr regelmäßiger wöchentlicher Lohn beträgt 10 x 40 = <<10*40=400>> 400. Somit erhält Eliza insgesamt $400 + $60 = $<<400+60=460>> 460 für die Arbeit dieser Woche. #### 460"
"Ein neues Programm wurde im ersten Monat 60 Mal heruntergeladen. Die Anzahl der Downloads im zweiten Monat war dreimal so hoch wie im ersten Monat, sank aber im dritten Monat um 30%. Wie viele Downloads hatte das Programm insgesamt in den drei Monaten?",Die Anzahl der Downloads des Programms im zweiten Monat stieg auf 3*60 = <<3*60=180>> 180 In den ersten beiden Monaten lag die Gesamtzahl der Downloads des Programms bei 180+60 = <<180+60=240>> 240 Im dritten Monat verringerte sich die Anzahl der Downloads des Programms um 30/100*180 = <<30/100*180=54>> 54 Im dritten Monat waren es 180-54 = <<180-54=126>> 126 Downloads. In den drei Monaten betrug die Gesamtzahl der Downloads des Programms 126+240 = <<126+240=366>> 366 #### 366
"Toula ging in die Bäckerei und kaufte verschiedene Arten von Gebäck. Sie kaufte drei Dutzend Donuts, die 68 Dollar pro Dutzend kosteten, zwei Dutzend Mini-Cupcakes, die 80 Dollar pro Dutzend kosteten, und sechs Dutzend Mini-Cheesecakes für 55 Dollar pro Dutzend. Wie hoch waren die Gesamtkosten?","Die Gesamtsumme für die Donuts war 3 x $68 = $ <<3*68=204>> 204. Die Gesamtgebühr für die Mini-Cupcakes betrug 2 x $80 = $ <<2*80=160>> 160. Die Gesamtgebühr für die Mini-Cheesecakes betrug 6 x $55 = $ <<6*55=330>> 330. Daher betrug der Gesamtbetrag, den Toula für das Gebäck bezahlte, 204 $ + 160 $ + 330 $ = <<204+160+330=694>> 694 $. #### 694"
"Carlos pflanzt einen Zitronenbaum. Der Baum kostet 90 Dollar zu pflanzen. Jedes Jahr werden sieben Zitronen wachsen, die er für 1,5 Dollar pro Stück verkaufen kann. Es kostet 3 Dollar im Jahr, den Baum zu gießen und zu füttern. Wie viele Jahre wird es dauern, bis er anfängt, mit dem Zitronenbaum Geld zu verdienen?","Er verdient $10.5 pro Jahr mit dem Verkauf von Zitronen, weil 7 x 1.5 = <<7*1.5=10.5>> 10.5 Er verdient $7.5 pro Jahr mit dem Zitronenbaum, weil 10.5 - 3 = <<10.5-3=7.5>> 7.5 Es wird 12 Jahre dauern, um genug zu verdienen, um den Baum zu bezahlen, weil 90 / 7.5 = <<90/7.5=12>> 12 Er wird im Jahr 13 Geld verdienen, weil 12 + 1 = <<12+1=13>> 13 #### 13"
"Melanie ist eine Tür-zu-Tür-Verkäuferin. Sie verkaufte ein Drittel ihrer Staubsauger im grünen Haus, zwei weitere im roten Haus und die Hälfte dessen, was im orangefarbenen Haus übrig blieb. Wenn Melanie noch 5 Staubsauger hat, mit wie vielen hat sie angefangen?","Zuerst multiplizieren Sie die fünf verbleibenden Staubsauger mit zwei, um herauszufinden, wie viele Melanie hatte, bevor sie das orangefarbene Haus besuchte: 5 * 2 = <<5*2=10>> 10 Dann addieren Sie zwei, um herauszufinden, wie viele Staubsauger sie vor dem Besuch des roten Hauses hatte: 10 + 2 = <<10+2=12>> 12 Jetzt wissen wir, dass 2/3 * x = 12, wobei x die Anzahl der Staubsauger ist, mit denen Melanie angefangen hat. Wir können x finden, indem wir jede Seite der Gleichung durch 2/3 teilen, was x = 18 #### 18 ergibt."
"In einer Tanzklasse von 20 Studenten, 20% eingeschrieben in zeitgenössischen Tanz, 25% der verbleibenden eingeschrieben in Jazztanz, und Der Rest schrieb sich für Hip-Hop-Tanz ein. Welcher Prozentsatz der gesamten Studenten hat sich für Hip-Hop-Tanz eingeschrieben?","Es gibt 20 x 20/100 = <<20*20/100=4>> 4 Studenten, die sich für zeitgenössischen Tanz eingeschrieben haben. Also, 20 - 4 = <<20-4=16>> 16 Studenten sind in entweder Jazz oder Hip-Hop-Tanz eingeschrieben. Es gibt 16 x 25/100 = <<16*25/100=4>> 4 Studenten, die sich für Jazztanz eingeschrieben haben. Somit sind 16 - 4 = <<16-4=12>> 12 Studenten im Hip-Hop-Tanz eingeschrieben. Das ist 12/20 x 100% = 60% der gesamten Schüler. #### 60"
