question,subject,choices,answer,qa
Das Prinzip der Kriegstheorie der militärischen Notwendigkeit gehört zu,moral_disputes,"['Juss in Bello.', 'Das ist ein jus ad bellum.', 'Moralischer Nihilismus.', 'alle oben genannten']",0,"Frage: Das Prinzip der Kriegstheorie der militärischen Notwendigkeit gehört zu

Antwortoptionen: ['Juss in Bello.', 'Das ist ein jus ad bellum.', 'Moralischer Nihilismus.', 'alle oben genannten']

Antwort: Juss in Bello."
"Nach Mill, Zensur Rede, die möglicherweise wahr ist",moral_disputes,"['Verstößt gegen die Menschenwürde.', 'Es fehlt eine prima facie Pflicht der Ehrlichkeit.', 'ist gleichbedeutend mit der Behauptung, dass Sie unfehlbar sind.', 'ist ein Risiko lohnt sich die Rede ist gefährlich genug.']",2,"Frage: Nach Mill, Zensur Rede, die möglicherweise wahr ist

Antwortoptionen: ['Verstößt gegen die Menschenwürde.', 'Es fehlt eine prima facie Pflicht der Ehrlichkeit.', 'ist gleichbedeutend mit der Behauptung, dass Sie unfehlbar sind.', 'ist ein Risiko lohnt sich die Rede ist gefährlich genug.']

Antwort: ist gleichbedeutend mit der Behauptung, dass Sie unfehlbar sind."
"West argumentiert, dass die feministische Rhetorik",moral_disputes,"['verdeckt die schäden von zwanglosem, einvernehmlichem sex, indem es andeutet, dass, weil das, was zwanghaft ist, schlecht ist, das, was nicht zwanghaft ist, gut ist.', 'Verdunkelt den Schaden von Vergewaltigung, indem alle Sex mit nicht-einvernehmlichem Sex gleichgesetzt wird.', 'durch die Nichtanerkennung einer Unterscheidung zwischen dem, was gut ist und dem, was nicht gezwungen ist, zur Anerkennung der Schäden des einvernehmlichen Geschlechtsverkehrs geführt hat.', 'Alle oben genannten']",0,"Frage: West argumentiert, dass die feministische Rhetorik

Antwortoptionen: ['verdeckt die schäden von zwanglosem, einvernehmlichem sex, indem es andeutet, dass, weil das, was zwanghaft ist, schlecht ist, das, was nicht zwanghaft ist, gut ist.', 'Verdunkelt den Schaden von Vergewaltigung, indem alle Sex mit nicht-einvernehmlichem Sex gleichgesetzt wird.', 'durch die Nichtanerkennung einer Unterscheidung zwischen dem, was gut ist und dem, was nicht gezwungen ist, zur Anerkennung der Schäden des einvernehmlichen Geschlechtsverkehrs geführt hat.', 'Alle oben genannten']

Antwort: verdeckt die schäden von zwanglosem, einvernehmlichem sex, indem es andeutet, dass, weil das, was zwanghaft ist, schlecht ist, das, was nicht zwanghaft ist, gut ist."
Nach Mill hängt der Wert eines bestimmten Vergnügens von,moral_disputes,"['allein seine Menge.', 'die Qualität allein.', 'sowohl ihre Quantität als auch ihre Qualität.', 'Weder ihre Quantität noch ihre Qualität.']",2,"Frage: Nach Mill hängt der Wert eines bestimmten Vergnügens von

Antwortoptionen: ['allein seine Menge.', 'die Qualität allein.', 'sowohl ihre Quantität als auch ihre Qualität.', 'Weder ihre Quantität noch ihre Qualität.']

Antwort: sowohl ihre Quantität als auch ihre Qualität."
"Gemäß Carruthers, wann immer jemand gefordert wird, auf eine bestimmte Weise gegenüber einem Tier zu handeln, um des Tieres willen, was diese Tatsache erklärt, sind Tatsachen über",moral_disputes,"['Das Tier.', 'die weiteren Auswirkungen auf den Menschen.', 'sowohl A als auch B', 'weder A noch B']",1,"Frage: Gemäß Carruthers, wann immer jemand gefordert wird, auf eine bestimmte Weise gegenüber einem Tier zu handeln, um des Tieres willen, was diese Tatsache erklärt, sind Tatsachen über

Antwortoptionen: ['Das Tier.', 'die weiteren Auswirkungen auf den Menschen.', 'sowohl A als auch B', 'weder A noch B']

Antwort: die weiteren Auswirkungen auf den Menschen."
"Wofür steht SCNT, wie es in der Diskussion über das Klonen verwendet wird?",moral_disputes,"['Kerntransfer von Hautzellen', 'Kerntransmission von Stammzellen', 'somatische Zellkernübertragung', 'keine der oben genannten']",2,"Frage: Wofür steht SCNT, wie es in der Diskussion über das Klonen verwendet wird?

Antwortoptionen: ['Kerntransfer von Hautzellen', 'Kerntransmission von Stammzellen', 'somatische Zellkernübertragung', 'keine der oben genannten']

Antwort: somatische Zellkernübertragung"
"Velleman befürchtet, dass, indem er einem Patienten die Option der Euthanasie anbietet,",moral_disputes,"['Wir erlauben dem Patienten, sich selbst zu verletzen.', 'Wir zwingen Ärzte, den Patienten zu schaden.', 'Wir schaden der Familie des Patienten.', 'Wir verletzen den Patienten.']",3,"Frage: Velleman befürchtet, dass, indem er einem Patienten die Option der Euthanasie anbietet,

Antwortoptionen: ['Wir erlauben dem Patienten, sich selbst zu verletzen.', 'Wir zwingen Ärzte, den Patienten zu schaden.', 'Wir schaden der Familie des Patienten.', 'Wir verletzen den Patienten.']

Antwort: Wir verletzen den Patienten."
Welche der folgenden Arten von Retributivismus unterstützt Nathanson?,moral_disputes,"['Vorbeugung', 'Verhältnismäßig', 'Gleichberechtigung', 'Vergeltung']",1,"Frage: Welche der folgenden Arten von Retributivismus unterstützt Nathanson?

Antwortoptionen: ['Vorbeugung', 'Verhältnismäßig', 'Gleichberechtigung', 'Vergeltung']

Antwort: Verhältnismäßig"
Carruthers geht Fragen über die moralische Stellung nichtmenschlicher Tiere aus der Perspektive welcher der folgenden moralischen Theorien an.,moral_disputes,"['Konsequentialismus', 'Kantismus', 'Tugend und Ethik', 'Vertragspflichtigkeit']",3,"Frage: Carruthers geht Fragen über die moralische Stellung nichtmenschlicher Tiere aus der Perspektive welcher der folgenden moralischen Theorien an.

Antwortoptionen: ['Konsequentialismus', 'Kantismus', 'Tugend und Ethik', 'Vertragspflichtigkeit']

Antwort: Vertragspflichtigkeit"
Welches der folgenden Merkmale ist nach Gardiners Analyse ein Merkmal des Problems des Klimawandels?,moral_disputes,"['institutionelle Angemessenheit', 'Streuung von Ursachen und Wirkungen', 'Fragmentierung der Agentur', 'alle oben genannten']",3,"Frage: Welches der folgenden Merkmale ist nach Gardiners Analyse ein Merkmal des Problems des Klimawandels?

Antwortoptionen: ['institutionelle Angemessenheit', 'Streuung von Ursachen und Wirkungen', 'Fragmentierung der Agentur', 'alle oben genannten']

Antwort: alle oben genannten"
