question,subject,choices,answer,qa
Die Theorie der Massengesellschaft schlägt vor:,sociology,"['Der Inhalt der Medien wird von den Marktkräften bestimmt.', 'Die untergeordneten Klassen werden von der Ideologie der herrschenden Klasse dominiert .', 'die Medien manipulieren 'die Massen' als verletzliche, passive Konsumenten', 'Zuschauer machen selektive Interpretationen von Medienbotschaften']",2,"Frage: Die Theorie der Massengesellschaft schlägt vor:

Antwortoptionen: ['Der Inhalt der Medien wird von den Marktkräften bestimmt.', 'Die untergeordneten Klassen werden von der Ideologie der herrschenden Klasse dominiert .', 'die Medien manipulieren 'die Massen' als verletzliche, passive Konsumenten', 'Zuschauer machen selektive Interpretationen von Medienbotschaften']

Antwort: die Medien manipulieren ""die Massen"" als verletzliche, passive Konsumenten"
Der ökologische Ansatz der städtischen Soziologie beinhaltete die Untersuchung:,sociology,"['wie soziale Gruppen verschiedene Bereiche der Stadt kolonisierten und um Ressourcen konkurrierten', 'die Formen der Tierwelt und der natürlichen Lebensräume, die an den Rändern der Stadt zu finden sind', 'die Art und Weise, wie Menschen kollektive Proteste gegen Umweltprobleme organisierten', 'Wie Männer und Frauen die öffentlichen Räume der Stadt unterschiedlich nutzen']",0,"Frage: Der ökologische Ansatz der städtischen Soziologie beinhaltete die Untersuchung:

Antwortoptionen: ['wie soziale Gruppen verschiedene Bereiche der Stadt kolonisierten und um Ressourcen konkurrierten', 'die Formen der Tierwelt und der natürlichen Lebensräume, die an den Rändern der Stadt zu finden sind', 'die Art und Weise, wie Menschen kollektive Proteste gegen Umweltprobleme organisierten', 'Wie Männer und Frauen die öffentlichen Räume der Stadt unterschiedlich nutzen']

Antwort: wie soziale Gruppen verschiedene Bereiche der Stadt kolonisierten und um Ressourcen konkurrierten"
"Becker erklärte, dass der Cannabiskonsum:",sociology,"['In den siebziger Jahren stieg die Zahl der Jugendlichen in allen Altersstufen.', 'gelehrt allmählich durch die sozialen Prozesse einer abweichenden Karriere', 'ein gefährlicher Zeitvertreib, dem sich Jugendliche nicht widmen sollten', 'nicht so angenehm wie andere Soziologen vorgeschlagen hatten']",1,"Frage: Becker erklärte, dass der Cannabiskonsum:

Antwortoptionen: ['In den siebziger Jahren stieg die Zahl der Jugendlichen in allen Altersstufen.', 'gelehrt allmählich durch die sozialen Prozesse einer abweichenden Karriere', 'ein gefährlicher Zeitvertreib, dem sich Jugendliche nicht widmen sollten', 'nicht so angenehm wie andere Soziologen vorgeschlagen hatten']

Antwort: gelehrt allmählich durch die sozialen Prozesse einer abweichenden Karriere"
"Die Mittelschichten, die sich im Laufe des 19. Jahrhunderts entwickelten, waren:",sociology,"['eine städtische Einrichtung, die sich in zivilgesellschaftlichen Einrichtungen und freiwilligen Vereinigungen engagiert', 'zu vielfältig, um ein starkes Klassenbewusstsein zu haben.', 'häufig an 'weißen Kragen'-Arbeiten beteiligt', 'alle oben genannten']",3,"Frage: Die Mittelschichten, die sich im Laufe des 19. Jahrhunderts entwickelten, waren:

Antwortoptionen: ['eine städtische Einrichtung, die sich in zivilgesellschaftlichen Einrichtungen und freiwilligen Vereinigungen engagiert', 'zu vielfältig, um ein starkes Klassenbewusstsein zu haben.', 'häufig an 'weißen Kragen'-Arbeiten beteiligt', 'alle oben genannten']

Antwort: alle oben genannten"
Technologische Formen der Überwachung haben es erleichtert:,sociology,"['Zugang zu und Austausch von 'privaten' Informationen über Verbraucher', 'Verringerung der Gefängnisüberfüllung durch den Einsatz elektronischer Kennzeichnungen', 'Überwachung der Tätigkeiten der Mitarbeiter bei der Arbeit', 'alle oben genannten']",3,"Frage: Technologische Formen der Überwachung haben es erleichtert:

Antwortoptionen: ['Zugang zu und Austausch von 'privaten' Informationen über Verbraucher', 'Verringerung der Gefängnisüberfüllung durch den Einsatz elektronischer Kennzeichnungen', 'Überwachung der Tätigkeiten der Mitarbeiter bei der Arbeit', 'alle oben genannten']

Antwort: alle oben genannten"
Das von Ferdinand Tönnies entwickelte Konzept der gemeinschaft beschreibt grundsätzlich die gleichen Beziehungsmerkmale wie,sociology,"['organische Solidarität', 'mechanische Solidarität', 'Gesellschaft', 'Schwangerschaftsstörung']",1,"Frage: Das von Ferdinand Tönnies entwickelte Konzept der gemeinschaft beschreibt grundsätzlich die gleichen Beziehungsmerkmale wie

Antwortoptionen: ['organische Solidarität', 'mechanische Solidarität', 'Gesellschaft', 'Schwangerschaftsstörung']

Antwort: mechanische Solidarität"
"In den 80er Jahren nahm die Einkommensungleichheit zu, weil",sociology,"['Einkommensteuersätze für alle Berufsgruppen gleichermaßen erhöht', 'Es gab mehr professionelle Arbeitsplätze, aber nicht genug Leute, um sie zu besetzen.', 'Die Preise für Konsumgüter stiegen stärker als die Einkommen.', 'Die wachsende Arbeitslosigkeit machte mehr Menschen von Sozialleistungen abhängig']",3,"Frage: In den 80er Jahren nahm die Einkommensungleichheit zu, weil

Antwortoptionen: ['Einkommensteuersätze für alle Berufsgruppen gleichermaßen erhöht', 'Es gab mehr professionelle Arbeitsplätze, aber nicht genug Leute, um sie zu besetzen.', 'Die Preise für Konsumgüter stiegen stärker als die Einkommen.', 'Die wachsende Arbeitslosigkeit machte mehr Menschen von Sozialleistungen abhängig']

Antwort: Die wachsende Arbeitslosigkeit machte mehr Menschen von Sozialleistungen abhängig"
"Wenn eine abweichende Handlung ""normalisiert"" ist, ist sie:",sociology,"['als Verstoß gegen eine wichtige Verhaltensnorm anerkannt', 'eine vorübergehende Abweichung von einem ansonsten 'normalen' Charakter gesehen', 'Der erste Schritt, eine abweichende Karriere aufzubauen.', 'auf die genetische oder anatomische Zusammensetzung der Person zurückzuführen']",1,"Frage: Wenn eine abweichende Handlung ""normalisiert"" ist, ist sie:

Antwortoptionen: ['als Verstoß gegen eine wichtige Verhaltensnorm anerkannt', 'eine vorübergehende Abweichung von einem ansonsten 'normalen' Charakter gesehen', 'Der erste Schritt, eine abweichende Karriere aufzubauen.', 'auf die genetische oder anatomische Zusammensetzung der Person zurückzuführen']

Antwort: eine vorübergehende Abweichung von einem ansonsten ""normalen"" Charakter gesehen"
"In der Debatte über die ""managerial revolution"" argumentierte John Scott (1997) folgendes:",sociology,"['Eigentümer übten weiterhin die Kontrolle über Aktionärsgruppen und vernetzte Direktionen aus.', 'Eigentum und Management wurden zunehmend getrennte Funktionen', 'Die Techniken des wissenschaftlichen Managements waren übermäßig bürokratisch und ineffizient.', 'Führungskräfte waren mit ihren Arbeitsbedingungen unzufrieden und planten den Sturz der Unternehmer.']",0,"Frage: In der Debatte über die ""managerial revolution"" argumentierte John Scott (1997) folgendes:

Antwortoptionen: ['Eigentümer übten weiterhin die Kontrolle über Aktionärsgruppen und vernetzte Direktionen aus.', 'Eigentum und Management wurden zunehmend getrennte Funktionen', 'Die Techniken des wissenschaftlichen Managements waren übermäßig bürokratisch und ineffizient.', 'Führungskräfte waren mit ihren Arbeitsbedingungen unzufrieden und planten den Sturz der Unternehmer.']

Antwort: Eigentümer übten weiterhin die Kontrolle über Aktionärsgruppen und vernetzte Direktionen aus."
Marxistische Feministinnen erklären das Patriarchat folgendermaßen:,sociology,"['mangelnde Gleichberechtigung und Chancengleichheit von Männern und Frauen', 'Sexklassen, durch die Männer Frauen wirtschaftlich, politisch und sexuell unterdrücken', 'Ausbeutung der weiblichen Hausarbeit durch die kapitalistische Wirtschaft', 'die Doppelsysteme des Kapitalismus und der männlichen Dominanz']",2,"Frage: Marxistische Feministinnen erklären das Patriarchat folgendermaßen:

Antwortoptionen: ['mangelnde Gleichberechtigung und Chancengleichheit von Männern und Frauen', 'Sexklassen, durch die Männer Frauen wirtschaftlich, politisch und sexuell unterdrücken', 'Ausbeutung der weiblichen Hausarbeit durch die kapitalistische Wirtschaft', 'die Doppelsysteme des Kapitalismus und der männlichen Dominanz']

Antwort: Ausbeutung der weiblichen Hausarbeit durch die kapitalistische Wirtschaft"
