good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.3297599627126544,1415,4291,2648,3058,7,100925440
0.0001,1,layers.1,0.19498607242339833,840,4308,2350,2798,7,100925440
0.0001,1,layers.10,0.6415431327022683,3592,5599,4303,4888,7,100925440
0.0001,1,layers.11,0.6383906119027661,3808,5965,4682,5091,7,100925440
0.0001,1,layers.12,0.4823156783389055,2741,5683,4040,4384,7,100925440
0.0001,1,layers.13,0.5942275042444821,3500,5890,4462,4928,7,100925440
0.0001,1,layers.14,0.5980725623582767,3165,5292,4023,4434,7,100925440
0.0001,1,layers.15,0.6799618320610687,3563,5240,4322,4481,7,100925440
0.0001,1,layers.16,0.6540084388185654,3100,4740,3785,4055,7,100925440
0.0001,1,layers.17,0.687299893276414,4508,6559,5273,5794,7,100925440
0.0001,1,layers.18,0.6166339461003034,3455,5603,4330,4728,7,100925440
0.0001,1,layers.19,0.6232366771159875,3181,5104,4007,4278,7,100925440
0.0001,1,layers.2,0.23529411764705882,928,3944,2809,2063,7,100925440
0.0001,1,layers.20,0.659095006309717,3656,5547,4405,4798,7,100925440
0.0001,1,layers.21,0.6006351726875744,3026,5038,3981,4083,7,100925440
0.0001,1,layers.22,0.5069749665583795,2653,5233,3928,3958,7,100925440
0.0001,1,layers.23,0.47267170082704063,2629,5562,3953,4238,7,100925440
0.0001,1,layers.24,0.40102389078498296,2115,5274,3706,3683,7,100925440
0.0001,1,layers.25,0.44663613948573444,2536,5678,3994,4220,7,100925440
0.0001,1,layers.26,0.455622380171314,2500,5487,3939,4048,7,100925440
0.0001,1,layers.27,0.46260089686098654,2579,5575,3697,4457,7,100925440
0.0001,1,layers.28,0.4650291423813489,2234,4804,3371,3667,7,100925440
0.0001,1,layers.29,0.3834245799509156,2031,5297,3478,3850,7,100925440
0.0001,1,layers.3,0.1690512048192771,898,5312,3228,2982,7,100925440
0.0001,1,layers.30,0.30519018841094914,1717,5626,3671,3672,7,100925440
0.0001,1,layers.31,0.2773972602739726,1053,3796,2265,2584,7,100925440
0.0001,1,layers.32,0.1329225352112676,604,4544,2707,2441,7,100925440
