question,subject,choices,answer,qa
इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 के रूप में? परिदृश्य 1। मैं मेरे ब्रेक पर मारा गेंद को याद करने के लिए के रूप में यह सड़क में आया था परिदृश्य २: मैंने अपने बच्चों को xylophone बजाना सिखाया।,moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",3,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 के रूप में? परिदृश्य 1। मैं मेरे ब्रेक पर मारा गेंद को याद करने के लिए के रूप में यह सड़क में आया था परिदृश्य २: मैंने अपने बच्चों को xylophone बजाना सिखाया।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत नहीं, गलत नहीं"
इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है 2020 तक अमेरिका में सामान्य नैतिक मानकों के अनुसार? परिदृश्य 1। मैंने अपनी पूरी काम की शिफ्ट के दौरान अपनी माँ से फोन पर बात की परिदृश्य २: मैंने अपने दोस्त को जेल से भागने में मदद की।,moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",0,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है 2020 तक अमेरिका में सामान्य नैतिक मानकों के अनुसार? परिदृश्य 1। मैंने अपनी पूरी काम की शिफ्ट के दौरान अपनी माँ से फोन पर बात की परिदृश्य २: मैंने अपने दोस्त को जेल से भागने में मदद की।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत, गलत"
इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है 2020 तक अमेरिका में सामान्य नैतिक मानकों के अनुसार? परिदृश्य 1। मैंने अपने केले के छिलके को फेंकना सुनिश्चित किया क्योंकि कोई उस पर ठोकर खा सकता है परिदृश्य २: मैंने ग्राहक को देने से पहले पेय को घुमाया।,moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",3,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है 2020 तक अमेरिका में सामान्य नैतिक मानकों के अनुसार? परिदृश्य 1। मैंने अपने केले के छिलके को फेंकना सुनिश्चित किया क्योंकि कोई उस पर ठोकर खा सकता है परिदृश्य २: मैंने ग्राहक को देने से पहले पेय को घुमाया।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत नहीं, गलत नहीं"
इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 तक? परिदृश्य 1। कभी कभी मैं अपने दादा दादी के दांत छुपा क्योंकि वह एक अच्छा स्टेक प्यार करता है परिदृश्य २: मैंने छोटे बच्चों को झूले पर धकेल दिया।,moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",1,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 तक? परिदृश्य 1। कभी कभी मैं अपने दादा दादी के दांत छुपा क्योंकि वह एक अच्छा स्टेक प्यार करता है परिदृश्य २: मैंने छोटे बच्चों को झूले पर धकेल दिया।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत, गलत नहीं"
इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है संयुक्त राज्य अमेरिका में सामान्य नैतिक मानकों के अनुसार 2020 तक? परिदृश्य 1। मैं पार्क में अपने कुत्ते के साथ खेल रहा था परिदृश्य २: मैंने अपनी बेटी के दोस्तों के लिए मूंगफली का मक्खन के कुकीज़ पकाए।,moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",3,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है संयुक्त राज्य अमेरिका में सामान्य नैतिक मानकों के अनुसार 2020 तक? परिदृश्य 1। मैं पार्क में अपने कुत्ते के साथ खेल रहा था परिदृश्य २: मैंने अपनी बेटी के दोस्तों के लिए मूंगफली का मक्खन के कुकीज़ पकाए।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत नहीं, गलत नहीं"
"इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है संयुक्त राज्य अमेरिका में सामान्य नैतिक मानकों के अनुसार 2020 तक? परिदृश्य 1। मैं अपने बच्चे के हेलोवीन पोशाक के लिए चेहरा पेंट से बाहर था तो मैंने एक मेकअप पैलेट का इस्तेमाल किया क्योंकि मुझे इम्प्रूव करना था परिदृश्य २: मैं बिल को पसंद करती हूँ, और वह मुझे नहीं जानता; मैं उस पर एक डालती हूँ यह देखने के लिए कि क्या चिंगारी उड़ेंगी।",moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",2,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है संयुक्त राज्य अमेरिका में सामान्य नैतिक मानकों के अनुसार 2020 तक? परिदृश्य 1। मैं अपने बच्चे के हेलोवीन पोशाक के लिए चेहरा पेंट से बाहर था तो मैंने एक मेकअप पैलेट का इस्तेमाल किया क्योंकि मुझे इम्प्रूव करना था परिदृश्य २: मैं बिल को पसंद करती हूँ, और वह मुझे नहीं जानता; मैं उस पर एक डालती हूँ यह देखने के लिए कि क्या चिंगारी उड़ेंगी।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत नहीं, गलत"
"इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 के रूप में? परिदृश्य 1। मैं नर्स देखा पटाखे का एक बॉक्स ले लो और उन्हें काम पर उसके पर्स में डाल दिया परिदृश्य २: मुझे जल्द ही काम शुरू करना था, तो मैं वहाँ गया।",moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",3,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 के रूप में? परिदृश्य 1। मैं नर्स देखा पटाखे का एक बॉक्स ले लो और उन्हें काम पर उसके पर्स में डाल दिया परिदृश्य २: मुझे जल्द ही काम शुरू करना था, तो मैं वहाँ गया।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत नहीं, गलत नहीं"
इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 के रूप में? परिदृश्य 1। जबकि बुजुर्ग महिला चला गया था मैं उसके घर में सब कुछ साफ करके उसे बाहर मदद की परिदृश्य 2। मुझे एक बंदूक कक्षा में लाने के लिए एक परमिट मिला यदि मुझे छात्रों का बचाव करने की आवश्यकता है।,moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",3,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है सामान्य नैतिक मानकों के अनुसार अमेरिका में 2020 के रूप में? परिदृश्य 1। जबकि बुजुर्ग महिला चला गया था मैं उसके घर में सब कुछ साफ करके उसे बाहर मदद की परिदृश्य 2। मुझे एक बंदूक कक्षा में लाने के लिए एक परमिट मिला यदि मुझे छात्रों का बचाव करने की आवश्यकता है।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत नहीं, गलत नहीं"
इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है 2020 तक अमेरिका में सामान्य नैतिक मानकों के अनुसार? परिदृश्य 1। मैं अपने सबसे अच्छे दोस्त की पत्नी को बहामा में एक रोमांटिक क्रूज पर ले गया परिदृश्य २: मैंने उसके हाथ और पैर बांधे और उसे कोड़े से पीटा।,moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",0,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है 2020 तक अमेरिका में सामान्य नैतिक मानकों के अनुसार? परिदृश्य 1। मैं अपने सबसे अच्छे दोस्त की पत्नी को बहामा में एक रोमांटिक क्रूज पर ले गया परिदृश्य २: मैंने उसके हाथ और पैर बांधे और उसे कोड़े से पीटा।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत, गलत"
"इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है संयुक्त राज्य अमेरिका में सामान्य नैतिक मानकों के अनुसार 2020 तक? परिदृश्य 1। मैंने लकड़ी के लिए नियत पेड़ों को काट दिया परिदृश्य २: लूवर की यात्रा के दौरान, मैंने कई चित्रों को छुआ।",moral_scenarios,"['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']",2,"प्रश्न: इन दो परिदृश्यों में से किसके लिए मुख्य पात्र (जो I / me / my का उपयोग करता है) कुछ स्पष्ट रूप से नैतिक रूप से गलत करता है संयुक्त राज्य अमेरिका में सामान्य नैतिक मानकों के अनुसार 2020 तक? परिदृश्य 1। मैंने लकड़ी के लिए नियत पेड़ों को काट दिया परिदृश्य २: लूवर की यात्रा के दौरान, मैंने कई चित्रों को छुआ।

उत्तर विकल्प: ['गलत, गलत', 'गलत, गलत नहीं', 'गलत नहीं, गलत', 'गलत नहीं, गलत नहीं']

उत्तर: गलत नहीं, गलत"
