question,subject,choices,answer,qa
Welcher Staat ist für Straftaten an Bord von Schiffen üblicherweise zuständig?,international_law,"['Der Küstenstaat', 'Flaggenstaat', 'Alle Staaten haben diese Zuständigkeit.', 'Das Internationale Tribunal für das Seerecht']",1,"Frage: Welcher Staat ist für Straftaten an Bord von Schiffen üblicherweise zuständig?

Antwortoptionen: ['Der Küstenstaat', 'Flaggenstaat', 'Alle Staaten haben diese Zuständigkeit.', 'Das Internationale Tribunal für das Seerecht']

Antwort: Flaggenstaat"
Was ist die Bedeutung von Gerechtigkeit?,international_law,"['Die Rechtsprechung bezieht sich auf die Möglichkeit der Durchsetzung eines bestimmten Rechts durch die jeweiligen Rechteinhaber.', 'Gerechtigkeit bezieht sich auf die gerechte Natur oder Ursache eines bestimmten Rechts', 'Gerechtigkeit bezieht sich auf die Beurteilung durch die Gerichte, ob die Nichtdurchsetzung bestimmter Rechte mit den Grundsätzen der Gerechtigkeit übereinstimmt.', 'Gerechtigkeit bezieht sich auf die Verpflichtung eines Staates, ein bestimmtes Recht durchzusetzen.']",0,"Frage: Was ist die Bedeutung von Gerechtigkeit?

Antwortoptionen: ['Die Rechtsprechung bezieht sich auf die Möglichkeit der Durchsetzung eines bestimmten Rechts durch die jeweiligen Rechteinhaber.', 'Gerechtigkeit bezieht sich auf die gerechte Natur oder Ursache eines bestimmten Rechts', 'Gerechtigkeit bezieht sich auf die Beurteilung durch die Gerichte, ob die Nichtdurchsetzung bestimmter Rechte mit den Grundsätzen der Gerechtigkeit übereinstimmt.', 'Gerechtigkeit bezieht sich auf die Verpflichtung eines Staates, ein bestimmtes Recht durchzusetzen.']

Antwort: Die Rechtsprechung bezieht sich auf die Möglichkeit der Durchsetzung eines bestimmten Rechts durch die jeweiligen Rechteinhaber."
Inwiefern unterscheidet sich Responsibility to Protect (R2P) von humanitären Interventionen?,international_law,"['R2P ist im Wesentlichen das Gleiche wie humanitäre Intervention', 'R2P erfordert einen Hilferuf des in Not geratenen Staates', 'R2P ist weniger willkürlich, da es einen Beitrag des UN-Sicherheitsrates erfordert und sein Hauptziel darin besteht, eine humanitäre Krise abzuwenden', 'R2P beinhaltet immer bewaffnete Gewalt, während humanitäre Intervention']",2,"Frage: Inwiefern unterscheidet sich Responsibility to Protect (R2P) von humanitären Interventionen?

Antwortoptionen: ['R2P ist im Wesentlichen das Gleiche wie humanitäre Intervention', 'R2P erfordert einen Hilferuf des in Not geratenen Staates', 'R2P ist weniger willkürlich, da es einen Beitrag des UN-Sicherheitsrates erfordert und sein Hauptziel darin besteht, eine humanitäre Krise abzuwenden', 'R2P beinhaltet immer bewaffnete Gewalt, während humanitäre Intervention']

Antwort: R2P ist weniger willkürlich, da es einen Beitrag des UN-Sicherheitsrates erfordert und sein Hauptziel darin besteht, eine humanitäre Krise abzuwenden"
"Was ist das ""Lotusprinzip""?",international_law,"['Das sogenannte Lotus-Prinzip besagt, daß 'Einschränkungen der Unabhängigkeit von Staaten daher nicht vermutet werden können'. oder wie es ausgelegt wurde 'Alles, was nicht verboten ist, ist im Völkerrecht erlaubt'.', 'Das sogenannte Lotus-Prinzip besagt, dass es den Staaten freisteht, den Gerichtshof zu wählen, dem sie ihre Streitigkeiten vorlegen.', 'Das sogenannte Lotus-Prinzip besagt, dass es den Staaten nicht verboten ist, ihre Vollstreckungsgerichtsbarkeit auf hoher See geltend zu machen.', 'Das sogenannte Lotus-Prinzip besagt, dass das Gewohnheitsrecht aus der Kombination von staatlicher Praxis und']",0,"Frage: Was ist das ""Lotusprinzip""?

Antwortoptionen: ['Das sogenannte Lotus-Prinzip besagt, daß 'Einschränkungen der Unabhängigkeit von Staaten daher nicht vermutet werden können'. oder wie es ausgelegt wurde 'Alles, was nicht verboten ist, ist im Völkerrecht erlaubt'.', 'Das sogenannte Lotus-Prinzip besagt, dass es den Staaten freisteht, den Gerichtshof zu wählen, dem sie ihre Streitigkeiten vorlegen.', 'Das sogenannte Lotus-Prinzip besagt, dass es den Staaten nicht verboten ist, ihre Vollstreckungsgerichtsbarkeit auf hoher See geltend zu machen.', 'Das sogenannte Lotus-Prinzip besagt, dass das Gewohnheitsrecht aus der Kombination von staatlicher Praxis und']

Antwort: Das sogenannte Lotus-Prinzip besagt, daß ""Einschränkungen der Unabhängigkeit von Staaten daher nicht vermutet werden können"". oder wie es ausgelegt wurde ""Alles, was nicht verboten ist, ist im Völkerrecht erlaubt""."
Welche dieser Aussagen beschreibt die Verfassung des Vereinigten Königreichs am besten?,international_law,"['Die einzige Machtquelle der britischen Verfassung ist die des souveränen', 'Die Verfassung des Vereinigten Königreichs gibt der Justiz die Befugnis, Gesetze des Parlaments aufzuheben', 'Die Verfassung des Vereinigten Königreichs ist nicht kodifiziert und kann in einer Reihe von Quellen gefunden werden', 'Die Verfassung des Vereinigten Königreichs basiert auf einer Bill of Rights']",2,"Frage: Welche dieser Aussagen beschreibt die Verfassung des Vereinigten Königreichs am besten?

Antwortoptionen: ['Die einzige Machtquelle der britischen Verfassung ist die des souveränen', 'Die Verfassung des Vereinigten Königreichs gibt der Justiz die Befugnis, Gesetze des Parlaments aufzuheben', 'Die Verfassung des Vereinigten Königreichs ist nicht kodifiziert und kann in einer Reihe von Quellen gefunden werden', 'Die Verfassung des Vereinigten Königreichs basiert auf einer Bill of Rights']

Antwort: Die Verfassung des Vereinigten Königreichs ist nicht kodifiziert und kann in einer Reihe von Quellen gefunden werden"
Was ist die Verpflichtung zur friedlichen Beilegung von Streitigkeiten?,international_law,"['Es handelt sich um eine Ergebnisverpflichtung, d.h. die Staaten sind strikt verpflichtet, ihre Streitigkeiten so schnell wie möglich zu lösen.', 'Es handelt sich um eine Verhaltensverpflichtung, d.h. die Staaten sind verpflichtet, ihre Streitigkeiten mit friedlichen Mitteln zu lösen.', 'Es handelt sich um eine zwingende Norm des Völkerrechts, und alle Staaten haben ein rechtliches Interesse daran, ihre Anwendung in jedem Streitfall zu gewährleisten.', 'Es handelt sich um eine Verpflichtung, die ausschließlich internationale Gerichte betrifft.']",1,"Frage: Was ist die Verpflichtung zur friedlichen Beilegung von Streitigkeiten?

Antwortoptionen: ['Es handelt sich um eine Ergebnisverpflichtung, d.h. die Staaten sind strikt verpflichtet, ihre Streitigkeiten so schnell wie möglich zu lösen.', 'Es handelt sich um eine Verhaltensverpflichtung, d.h. die Staaten sind verpflichtet, ihre Streitigkeiten mit friedlichen Mitteln zu lösen.', 'Es handelt sich um eine zwingende Norm des Völkerrechts, und alle Staaten haben ein rechtliches Interesse daran, ihre Anwendung in jedem Streitfall zu gewährleisten.', 'Es handelt sich um eine Verpflichtung, die ausschließlich internationale Gerichte betrifft.']

Antwort: Es handelt sich um eine Verhaltensverpflichtung, d.h. die Staaten sind verpflichtet, ihre Streitigkeiten mit friedlichen Mitteln zu lösen."
Welche der folgenden Aussagen ist falsch?,international_law,"['Protokoll Nr. 14 änderte die Zusammensetzung des Ausschusses für Zulässigkeitsverfahren von drei auf einen Richter', 'Protokoll 14 fügte ein neues Zulässigkeitskriterium hinzu', 'Mit dem Protokoll Nr. 14 wurde die Menschenrechtskommission abgeschafft.', 'Mit dem Protokoll Nr. 14 wurde die Amtszeit des Europäischen Gerichtshofs für Menschenrechte verlängert']",2,"Frage: Welche der folgenden Aussagen ist falsch?

Antwortoptionen: ['Protokoll Nr. 14 änderte die Zusammensetzung des Ausschusses für Zulässigkeitsverfahren von drei auf einen Richter', 'Protokoll 14 fügte ein neues Zulässigkeitskriterium hinzu', 'Mit dem Protokoll Nr. 14 wurde die Menschenrechtskommission abgeschafft.', 'Mit dem Protokoll Nr. 14 wurde die Amtszeit des Europäischen Gerichtshofs für Menschenrechte verlängert']

Antwort: Mit dem Protokoll Nr. 14 wurde die Menschenrechtskommission abgeschafft."
"Welches ist ein ""Fels"" nach dem Seerechtsübereinkommen der Vereinten Nationen (UNCLOS)?",international_law,"['Felsen sind die Inseln, die weniger als 16 Quadratkilometer groß sind.', 'Felsen sind die Inseln, die keine Meereszone haben.', 'Felsen sind die Inseln, die keine menschliche Besiedlung oder ein eigenes wirtschaftliches Leben aufrechterhalten können und gemäß Artikel 121 Absatz 3 keine ausschließliche Wirtschaftszone oder kein Festlandsockel haben.', 'Felsen sind die kleinen Inseln, auf denen Menschen leben können.']",2,"Frage: Welches ist ein ""Fels"" nach dem Seerechtsübereinkommen der Vereinten Nationen (UNCLOS)?

Antwortoptionen: ['Felsen sind die Inseln, die weniger als 16 Quadratkilometer groß sind.', 'Felsen sind die Inseln, die keine Meereszone haben.', 'Felsen sind die Inseln, die keine menschliche Besiedlung oder ein eigenes wirtschaftliches Leben aufrechterhalten können und gemäß Artikel 121 Absatz 3 keine ausschließliche Wirtschaftszone oder kein Festlandsockel haben.', 'Felsen sind die kleinen Inseln, auf denen Menschen leben können.']

Antwort: Felsen sind die Inseln, die keine menschliche Besiedlung oder ein eigenes wirtschaftliches Leben aufrechterhalten können und gemäß Artikel 121 Absatz 3 keine ausschließliche Wirtschaftszone oder kein Festlandsockel haben."
Welche Bedeutung hat die internationale Rechtspersönlichkeit?,international_law,"['Das bedeutet, daß nur Staaten als Subjekte des Völkerrechts betrachtet werden.', 'Es bedeutet, nach internationalem Recht Rechte und Pflichten zu haben und die Fähigkeit zu haben, diese durch den betreffenden Akteur oder gegen ihn durchzusetzen.', 'Es bedeutet, dass ein Unternehmen die Autorität der', 'Es ist ein Begriff, der juristische, im Gegensatz zu natürlichen Personen nach internationalem Recht bezeichnen soll']",1,"Frage: Welche Bedeutung hat die internationale Rechtspersönlichkeit?

Antwortoptionen: ['Das bedeutet, daß nur Staaten als Subjekte des Völkerrechts betrachtet werden.', 'Es bedeutet, nach internationalem Recht Rechte und Pflichten zu haben und die Fähigkeit zu haben, diese durch den betreffenden Akteur oder gegen ihn durchzusetzen.', 'Es bedeutet, dass ein Unternehmen die Autorität der', 'Es ist ein Begriff, der juristische, im Gegensatz zu natürlichen Personen nach internationalem Recht bezeichnen soll']

Antwort: Es bedeutet, nach internationalem Recht Rechte und Pflichten zu haben und die Fähigkeit zu haben, diese durch den betreffenden Akteur oder gegen ihn durchzusetzen."
Welcher der folgenden Mechanismen ist ein auf Verträgen basierender Menschenrechtsmechanismus?,international_law,"['Das UN-Menschenrechtskomitee', 'Der Menschenrechtsrat der Vereinten Nationen', 'Die allgemeine periodische Überprüfung der Vereinten Nationen', 'Die Sondermandate der Vereinten Nationen']",0,"Frage: Welcher der folgenden Mechanismen ist ein auf Verträgen basierender Menschenrechtsmechanismus?

Antwortoptionen: ['Das UN-Menschenrechtskomitee', 'Der Menschenrechtsrat der Vereinten Nationen', 'Die allgemeine periodische Überprüfung der Vereinten Nationen', 'Die Sondermandate der Vereinten Nationen']

Antwort: Das UN-Menschenrechtskomitee"
