question,subject,choices,answer,qa
"अधिकांश अन्य प्राचीन सभ्यताओं के विपरीत, मिनोआ संस्कृति में निम्न के बहुत कम प्रमाण पाए जाते हैं:",prehistory,"['व्यापार।', 'युद्ध।', 'एक आम धर्म का विकास।', 'कुलीन वर्गों द्वारा ध्यान देने योग्य उपभोग।']",3,"प्रश्न: अधिकांश अन्य प्राचीन सभ्यताओं के विपरीत, मिनोआ संस्कृति में निम्न के बहुत कम प्रमाण पाए जाते हैं:

उत्तर विकल्प: ['व्यापार।', 'युद्ध।', 'एक आम धर्म का विकास।', 'कुलीन वर्गों द्वारा ध्यान देने योग्य उपभोग।']

उत्तर: कुलीन वर्गों द्वारा ध्यान देने योग्य उपभोग।"
गीज़ा में सबसे बड़े मिस्र के पिरामिडों का निर्माण किया गया था:,prehistory,"['फिरौन Khufu, Khufu के बेटे Khafre, और Khufu के पोते Menkaure के लिए दफन स्मारक के रूप में.', 'दासों द्वारा जो मजबूर थे और मृत्यु के खतरे के तहत काम करते थे, जैसा कि पुराने नियम के निर्गमन पुस्तक में वर्णित है।', 'छठे राजवंश के निर्माण उन्माद में।', 'उपरोक्त सभी।']",0,"प्रश्न: गीज़ा में सबसे बड़े मिस्र के पिरामिडों का निर्माण किया गया था:

उत्तर विकल्प: ['फिरौन Khufu, Khufu के बेटे Khafre, और Khufu के पोते Menkaure के लिए दफन स्मारक के रूप में.', 'दासों द्वारा जो मजबूर थे और मृत्यु के खतरे के तहत काम करते थे, जैसा कि पुराने नियम के निर्गमन पुस्तक में वर्णित है।', 'छठे राजवंश के निर्माण उन्माद में।', 'उपरोक्त सभी।']

उत्तर: फिरौन Khufu, Khufu के बेटे Khafre, और Khufu के पोते Menkaure के लिए दफन स्मारक के रूप में."
"जब शारीरिक रूप से आधुनिक मनुष्य पहली बार मध्य पूर्व में पहुंचे, तो वे किससे मिले?",prehistory,"['निएंडरटल, यूरोप और एशिया के पूर्व-आधुनिक मानव निवासियों के विकासवादी वंशज', 'होमो इरेक्टस, यूरोप और एशिया के पूर्व-आधुनिक मानव निवासियों के विकासवादी वंशज', 'होमो सैपियंस, जो एशिया में स्वतंत्र रूप से विकसित हुए थे और 200,000 साल पहले वहां पहुंचे थे', 'उपरोक्त सभी']",0,"प्रश्न: जब शारीरिक रूप से आधुनिक मनुष्य पहली बार मध्य पूर्व में पहुंचे, तो वे किससे मिले?

उत्तर विकल्प: ['निएंडरटल, यूरोप और एशिया के पूर्व-आधुनिक मानव निवासियों के विकासवादी वंशज', 'होमो इरेक्टस, यूरोप और एशिया के पूर्व-आधुनिक मानव निवासियों के विकासवादी वंशज', 'होमो सैपियंस, जो एशिया में स्वतंत्र रूप से विकसित हुए थे और 200,000 साल पहले वहां पहुंचे थे', 'उपरोक्त सभी']

उत्तर: निएंडरटल, यूरोप और एशिया के पूर्व-आधुनिक मानव निवासियों के विकासवादी वंशज"
Hohlenstein-Stadel गुफा से Lion Man इसका एक उदाहरण हैः,prehistory,"['फर्नीचर कला।', 'विदेशी कच्चे माल का लंबी दूरी का व्यापार।', 'समोच्च कला।', 'एक वीनस मूर्ति।']",0,"प्रश्न: Hohlenstein-Stadel गुफा से Lion Man इसका एक उदाहरण हैः

उत्तर विकल्प: ['फर्नीचर कला।', 'विदेशी कच्चे माल का लंबी दूरी का व्यापार।', 'समोच्च कला।', 'एक वीनस मूर्ति।']

उत्तर: फर्नीचर कला।"
माना जाता है कि कनोसस के महल में अपने उच्चतम स्तर पर _________ से अधिक कमरे थे।,prehistory,"['१००', '५००', '१,०००', '५०००']",2,"प्रश्न: माना जाता है कि कनोसस के महल में अपने उच्चतम स्तर पर _________ से अधिक कमरे थे।

उत्तर विकल्प: ['१००', '५००', '१,०००', '५०००']

उत्तर: १,०००"
"होपवेल जटिल रैंक समाज थे, लेकिन वे एक राज्य नहीं थे। होपवेल संस्कृति में निम्नलिखित सभी तत्वों की कमी थी EXCEPT:",prehistory,"['औपचारिक सरकार', 'स्मारकीय मिट्टी का काम', 'शहरी केंद्र', 'एक स्थायी सैन्य']",1,"प्रश्न: होपवेल जटिल रैंक समाज थे, लेकिन वे एक राज्य नहीं थे। होपवेल संस्कृति में निम्नलिखित सभी तत्वों की कमी थी EXCEPT:

उत्तर विकल्प: ['औपचारिक सरकार', 'स्मारकीय मिट्टी का काम', 'शहरी केंद्र', 'एक स्थायी सैन्य']

उत्तर: स्मारकीय मिट्टी का काम"
हुआका डेल सोल की मिट्टी की ईंटों पर पाए गए निशान संभवतः हैंः,prehistory,"['वहाँ इंजीनियरों द्वारा लिखे गए बिल्डरों के लिए निर्देश।', 'यादृच्छिक खरोंच और कोई सार्थक लिपि या लिखित भाषा नहीं।', 'स्थानीय समूह की पहचान करने का इरादा था जिसने उन्हें तैयार किया था।', 'निर्माण स्थल पर बढ़ई द्वारा किए गए सरल अंकगणित।']",2,"प्रश्न: हुआका डेल सोल की मिट्टी की ईंटों पर पाए गए निशान संभवतः हैंः

उत्तर विकल्प: ['वहाँ इंजीनियरों द्वारा लिखे गए बिल्डरों के लिए निर्देश।', 'यादृच्छिक खरोंच और कोई सार्थक लिपि या लिखित भाषा नहीं।', 'स्थानीय समूह की पहचान करने का इरादा था जिसने उन्हें तैयार किया था।', 'निर्माण स्थल पर बढ़ई द्वारा किए गए सरल अंकगणित।']

उत्तर: स्थानीय समूह की पहचान करने का इरादा था जिसने उन्हें तैयार किया था।"
स्टोनहेंज में 30 खड़ी पत्थरों को _______ कहा जाता है; क्षैतिज पत्थरों को _________ कहा जाता है।,prehistory,"['फलियां, सरसेन', 'लैंटेल्स, स्टेले', 'सरसेन, लिंटेल्स', 'त्रिलिथन, थोलोई']",2,"प्रश्न: स्टोनहेंज में 30 खड़ी पत्थरों को _______ कहा जाता है; क्षैतिज पत्थरों को _________ कहा जाता है।

उत्तर विकल्प: ['फलियां, सरसेन', 'लैंटेल्स, स्टेले', 'सरसेन, लिंटेल्स', 'त्रिलिथन, थोलोई']

उत्तर: सरसेन, लिंटेल्स"
"आधुनिक मानव शिशुओं की द्वितीयक अन्यजातीय स्थिति एक विकासवादी समाधान हो सकती है, जिसमेंः",prehistory,"['होमिनिड्स के मस्तिष्क का आकार एक लाख वर्षों से अधिक समय तक नहीं बढ़ा था, जिससे शिशुओं के लिए चलना मुश्किल हो गया था।', 'यह दोपहियापन और छोटी उम्र में मां से स्वतंत्रता की अनुमति देता है।', 'यह मस्तिष्क के बाद के विकास के लिए अनुमति दी, क्योंकि bipedalism महिला श्रोणि में एक संकीर्ण जन्म नहर में परिणाम दिया था.', 'यह जन्म से पहले मस्तिष्क को लगभग वयस्क आकार तक बढ़ने की अनुमति देता है, क्योंकि द्विपादत्व के परिणामस्वरूप मादा श्रोणि में एक व्यापक जन्म नहर होती है।']",2,"प्रश्न: आधुनिक मानव शिशुओं की द्वितीयक अन्यजातीय स्थिति एक विकासवादी समाधान हो सकती है, जिसमेंः

उत्तर विकल्प: ['होमिनिड्स के मस्तिष्क का आकार एक लाख वर्षों से अधिक समय तक नहीं बढ़ा था, जिससे शिशुओं के लिए चलना मुश्किल हो गया था।', 'यह दोपहियापन और छोटी उम्र में मां से स्वतंत्रता की अनुमति देता है।', 'यह मस्तिष्क के बाद के विकास के लिए अनुमति दी, क्योंकि bipedalism महिला श्रोणि में एक संकीर्ण जन्म नहर में परिणाम दिया था.', 'यह जन्म से पहले मस्तिष्क को लगभग वयस्क आकार तक बढ़ने की अनुमति देता है, क्योंकि द्विपादत्व के परिणामस्वरूप मादा श्रोणि में एक व्यापक जन्म नहर होती है।']

उत्तर: यह मस्तिष्क के बाद के विकास के लिए अनुमति दी, क्योंकि bipedalism महिला श्रोणि में एक संकीर्ण जन्म नहर में परिणाम दिया था."
C3 और C4 मार्गों पर शोध से संकेत मिलता है कि पौधों के समुदायों में परिवर्तन प्राचीन होमिनिड्स के आहार में संक्रमण से जुड़े थे:,prehistory,"['प्रजातियों के लिए घास और नट्स और फलों पर ध्यान केंद्रित किया।', 'फल और सब्जियों के लिए मांस।', 'मछली के लिए फल और सब्जियां।', 'अधिक घास पर केंद्रित प्रजातियों के लिए नट और फल।']",3,"प्रश्न: C3 और C4 मार्गों पर शोध से संकेत मिलता है कि पौधों के समुदायों में परिवर्तन प्राचीन होमिनिड्स के आहार में संक्रमण से जुड़े थे:

उत्तर विकल्प: ['प्रजातियों के लिए घास और नट्स और फलों पर ध्यान केंद्रित किया।', 'फल और सब्जियों के लिए मांस।', 'मछली के लिए फल और सब्जियां।', 'अधिक घास पर केंद्रित प्रजातियों के लिए नट और फल।']

उत्तर: अधिक घास पर केंद्रित प्रजातियों के लिए नट और फल।"
