Unnamed: 0.1,Unnamed: 0,instruct,qa
0,0,"प्रश्न: नतालिया ने अप्रैल में अपने 48 दोस्तों को क्लिप बेची, और फिर उसने मई में आधे क्लिप बेचे। नतालिया ने अप्रैल और मई में कुल कितने क्लिप बेचे? उत्तर: चलो एक-एक करके सोचें। नतालिया ने मई में 48/2 = <<48/2=24>> 24 क्लिप बेचीं। नतालिया ने अप्रैल और मई में कुल मिलाकर 48+24 = <<48+24=72>> 72 क्लिप बेचीं। #### 72","प्रश्न: नतालिया ने अप्रैल में अपने 48 दोस्तों को क्लिप बेची, और फिर उसने मई में आधे क्लिप बेचे। नतालिया ने अप्रैल और मई में कुल कितने क्लिप बेचे? उत्तर: चलो एक-एक करके सोचें। नतालिया ने मई में 48/2 = <<48/2=24>> 24 क्लिप बेचीं। नतालिया ने अप्रैल और मई में कुल मिलाकर 48+24 = <<48+24=72>> 72 क्लिप बेचीं। उत्तर है 72"
1,1,"प्रश्न: वेंग को बच्चे की देखभाल के लिए 12 डॉलर प्रति घंटा मिलता है। कल, वह सिर्फ 50 मिनट के लिए बच्चे की देखभाल की थी. उसने कितना कमाया? उत्तर: चलो एक-एक करके सोचें। वेंग 12/60 = $ <<12/60=0.2>> 0.2 प्रति मिनट कमाता है। 50 मिनट काम करने पर, उसने 0.2 x 50 = $ <<0.2*50=10>> 10 कमाया। #### 10","प्रश्न: वेंग को बच्चे की देखभाल के लिए 12 डॉलर प्रति घंटा मिलता है। कल, वह सिर्फ 50 मिनट के लिए बच्चे की देखभाल की थी. उसने कितना कमाया? उत्तर: चलो एक-एक करके सोचें। वेंग 12/60 = $ <<12/60=0.2>> 0.2 प्रति मिनट कमाता है। 50 मिनट काम करने पर, उसने 0.2 x 50 = $ <<0.2*50=10>> 10 कमाया। उत्तर है 10"
2,2,"प्रश्न: बेट्टी एक नए बटुए के लिए पैसे बचा रही है जिसकी कीमत 100 डॉलर है। बेट्टी के पास उसकी ज़रूरत के आधे पैसे ही हैं। उसके माता-पिता ने उस उद्देश्य के लिए उसे 15 डॉलर देने का फैसला किया, और उसके दादा-दादी ने उसके माता-पिता की तुलना में दोगुना दिया। बटुआ खरीदने के लिए बेट्टी को और कितने पैसे चाहिए? उत्तर: चलो एक-एक करके सोचें। शुरुआत में, बेट्टी के पास केवल 100 / 2 = $ <<100/2=50>> 50 है। बेट्टी के दादा-दादी ने उसे 15 * 2 = $ <<15*2=30>> 30 दिया। इसका मतलब है, बेट्टी 100 - 50 - 30 - 15 = $ <<100-50-30-15=5>> 5 अधिक की जरूरत है। #### 5","प्रश्न: बेट्टी एक नए बटुए के लिए पैसे बचा रही है जिसकी कीमत 100 डॉलर है। बेट्टी के पास उसकी ज़रूरत के आधे पैसे ही हैं। उसके माता-पिता ने उस उद्देश्य के लिए उसे 15 डॉलर देने का फैसला किया, और उसके दादा-दादी ने उसके माता-पिता की तुलना में दोगुना दिया। बटुआ खरीदने के लिए बेट्टी को और कितने पैसे चाहिए? उत्तर: चलो एक-एक करके सोचें। शुरुआत में, बेट्टी के पास केवल 100 / 2 = $ <<100/2=50>> 50 है। बेट्टी के दादा-दादी ने उसे 15 * 2 = $ <<15*2=30>> 30 दिया। इसका मतलब है, बेट्टी 100 - 50 - 30 - 15 = $ <<100-50-30-15=5>> 5 अधिक की जरूरत है। उत्तर है 5"
3,3,"प्रश्न: जूली 120 पन्नों की किताब पढ़ रही है। कल, वह 12 पृष्ठ पढ़ने में सक्षम थी और आज, उसने कल की तुलना में दोगुने पृष्ठ पढ़े। यदि वह कल शेष पृष्ठों के आधे को पढ़ना चाहती है, तो उसे कितने पृष्ठ पढ़ने चाहिए? उत्तर: चलो एक-एक करके सोचें। मैला ने आज 12 x 2 = <<12*2=24>> 24 पृष्ठ पढ़े। तो वह कल से कुल 12 + 24 = <<12+24=36>> 36 पृष्ठ पढ़ने में सक्षम थी। पढ़ने के लिए 120 - 36 = <<120-36=84>> 84 पृष्ठ शेष हैं। चूंकि वह कल शेष पृष्ठों के आधे को पढ़ना चाहती है, तो उसे 84/2 = <<84/2=42>> 42 पृष्ठों को पढ़ना चाहिए। #### 42","प्रश्न: जूली 120 पन्नों की किताब पढ़ रही है। कल, वह 12 पृष्ठ पढ़ने में सक्षम थी और आज, उसने कल की तुलना में दोगुने पृष्ठ पढ़े। यदि वह कल शेष पृष्ठों के आधे को पढ़ना चाहती है, तो उसे कितने पृष्ठ पढ़ने चाहिए? उत्तर: चलो एक-एक करके सोचें। मैला ने आज 12 x 2 = <<12*2=24>> 24 पृष्ठ पढ़े। तो वह कल से कुल 12 + 24 = <<12+24=36>> 36 पृष्ठ पढ़ने में सक्षम थी। पढ़ने के लिए 120 - 36 = <<120-36=84>> 84 पृष्ठ शेष हैं। चूंकि वह कल शेष पृष्ठों के आधे को पढ़ना चाहती है, तो उसे 84/2 = <<84/2=42>> 42 पृष्ठों को पढ़ना चाहिए। उत्तर 42 है"
4,4,प्रश्न: जेम्स सप्ताह में दो बार दो अलग-अलग दोस्तों को तीन पन्नों का पत्र लिखता है। वह एक वर्ष में कितने पृष्ठ लिखता है? उत्तर: चलो एक-एक करके सोचें। वह हर दोस्त को लिखता है 3*2= <<3*2=6>> 6 पेज एक सप्ताह तो वह लिखता है 6*2= <<6*2=12>> 12 पेज हर हफ्ते इसका मतलब है कि वह लिखता है 12*52= <<12*52=624>> 624 पेज एक वर्ष #### 624,प्रश्न: जेम्स सप्ताह में दो बार दो अलग-अलग दोस्तों को तीन पन्नों का पत्र लिखता है। वह एक वर्ष में कितने पृष्ठ लिखता है? उत्तर: चलो एक-एक करके सोचें। वह हर दोस्त को लिखता है 3*2= <<3*2=6>> 6 पेज एक हफ्ते तो वह लिखता है 6*2= <<6*2=12>> 12 पेज हर हफ्ते इसका मतलब है कि वह लिखता है 12*52= <<12*52=624>> 624 पेज एक साल जवाब है 624
5,5,"प्रश्न: मार्क के पास फूलों का बगीचा है। उसने उसमें तीन अलग-अलग रंगों के पौधे लगाए। उनमें से दस पीले रंग के हैं, और उनमें से 80% अधिक बैंगनी रंग के हैं। हरे फूलों की संख्या पीले और बैंगनी फूलों की संख्या से केवल 25 प्रतिशत अधिक है। मार्क के बगीचे में कितने फूल हैं? उत्तर: चलो एक-एक करके सोचें। पीले फूलों की तुलना में 80/100 * 10 = <<80/100*10=8>> 8 अधिक बैंगनी फूल हैं। तो मार्क के बगीचे में, 10 + 8 = <<10+8=18>> 18 बैंगनी फूल हैं। बैंगनी और पीले फूलों का योग 10 + 18 = <<10+18=28>> 28 फूलों तक होता है। इसका अर्थ है कि मार्क के बगीचे में 25/100 * 28 = <<25/100*28=7>> 7 हरे फूल हैं। तो कुल मिलाकर मार्क के बाग में 28 + 7 = <<28+7=35>> 35 पौधे हैं। #### 35","प्रश्न: मार्क के पास फूलों का बगीचा है। उसने उसमें तीन अलग-अलग रंगों के पौधे लगाए। उनमें से दस पीले रंग के हैं, और उनमें से 80% अधिक बैंगनी रंग के हैं। हरे फूलों की संख्या पीले और बैंगनी फूलों की संख्या से केवल 25 प्रतिशत अधिक है। मार्क के बगीचे में कितने फूल हैं? उत्तर: चलो एक-एक करके सोचें। पीले फूलों की तुलना में 80/100 * 10 = <<80/100*10=8>> 8 अधिक बैंगनी फूल हैं। तो मार्क के बगीचे में, 10 + 8 = <<10+8=18>> 18 बैंगनी फूल हैं। बैंगनी और पीले फूलों का योग 10 + 18 = <<10+18=28>> 28 फूलों तक होता है। इसका अर्थ है कि मार्क के बगीचे में 25/100 * 28 = <<25/100*28=7>> 7 हरे फूल हैं। तो कुल मिलाकर मार्क के बाग में 28 + 7 = <<28+7=35>> 35 पौधे हैं। जवाब है 35"
6,6,"प्रश्न: अल्बर्ट सोच रहा है कि वह एक दिन में कितना पिज्जा खा सकता है। वह 2 बड़े पिज्जा और 2 छोटे पिज्जा खरीदता है। एक बड़े पिज्जा में 16 टुकड़े होते हैं और एक छोटे पिज्जा में 8 टुकड़े होते हैं। अगर उसने सब खा लिया, तो उस दिन उसने कितने टुकड़े खाए? उत्तर: चलो एक-एक करके सोचें। वह सबसे बड़े पिज्जा से 32 खाती है क्योंकि 2 x 16 = <<2*16=32>> 32 वह छोटे पिज्जा से 16 खाती है क्योंकि 2 x 8 = <<2*8=16>> 16 वह 48 टुकड़े खाती है क्योंकि 32 + 16 = <<32+16=48>> 48 #### 48","प्रश्न: अल्बर्ट सोच रहा है कि वह एक दिन में कितना पिज्जा खा सकता है। वह 2 बड़े पिज्जा और 2 छोटे पिज्जा खरीदता है। एक बड़े पिज्जा में 16 टुकड़े होते हैं और एक छोटे पिज्जा में 8 टुकड़े होते हैं। अगर उसने सब खा लिया, तो उस दिन उसने कितने टुकड़े खाए? उत्तर: चलो एक-एक करके सोचें। वह सबसे बड़े पिज्जा से 32 खाती है क्योंकि 2 x 16 = <<2*16=32>> 32 वह छोटे पिज्जा से 16 खाती है क्योंकि 2 x 8 = <<2*8=16>> 16 वह 48 टुकड़े खाती है क्योंकि 32 + 16 = <<32+16=48>> 48 जवाब है 48"
7,7,"प्रश्न: केन ने अपने भाई को भेजने के लिए एक देखभाल पैकेज बनाया, जो बोर्डिंग स्कूल में था। केन ने एक तराजू पर एक बॉक्स रखा, और फिर उसने बॉक्स में पर्याप्त जेली बीन्स डाले ताकि वजन 2 पाउंड हो जाए। फिर, वह वजन को तीन गुना करने के लिए पर्याप्त ब्राउनी जोड़ा। इसके बाद, उसने एक और 2 पाउंड जेली बीन्स जोड़े। और अंत में, उन्होंने एक बार फिर वजन को दोगुना करने के लिए पर्याप्त गमकी कीड़े जोड़े। पाउंड में उपहारों के बक्से का अंतिम वजन क्या था? उत्तर: चलो एक-एक करके सोचें। जेली बीन के शुरुआती 2 पाउंड में, उन्होंने वजन को तीन गुना करने के लिए पर्याप्त ब्राउनी जोड़े, जिससे वजन 2 * 3 = <<2*3=6>> 6 पाउंड हो गया। इसके बाद, उन्होंने एक और 2 पाउंड जेली बीन्स जोड़े, जिससे वजन 6+2= <<6+2=8>> 8 पाउंड हो गया। और अंत में, उन्होंने एक बार फिर वजन को दोगुना करने के लिए पर्याप्त गमकी कीड़े जोड़े, एक अंतिम वजन के लिए 8*2= <<8*2=16>> 16 पाउंड. #### 16","प्रश्न: केन ने अपने भाई को भेजने के लिए एक देखभाल पैकेज बनाया, जो बोर्डिंग स्कूल में था। केन ने एक तराजू पर एक बॉक्स रखा, और फिर उसने बॉक्स में पर्याप्त जेली बीन्स डाले ताकि वजन 2 पाउंड हो जाए। फिर, वह वजन को तीन गुना करने के लिए पर्याप्त ब्राउनी जोड़ा। इसके बाद, उसने एक और 2 पाउंड जेली बीन्स जोड़े। और अंत में, उन्होंने एक बार फिर वजन को दोगुना करने के लिए पर्याप्त गमकी कीड़े जोड़े। पाउंड में उपहारों के बक्से का अंतिम वजन क्या था? उत्तर: चलो एक-एक करके सोचें। जेली बीन के शुरुआती 2 पाउंड में, उन्होंने वजन को तीन गुना करने के लिए पर्याप्त ब्राउनी जोड़े, जिससे वजन 2 * 3 = <<2*3=6>> 6 पाउंड हो गया। इसके बाद, उन्होंने एक और 2 पाउंड जेली बीन्स जोड़े, जिससे वजन 6+2= <<6+2=8>> 8 पाउंड हो गया। और अंत में, उन्होंने एक बार फिर वजन को दोगुना करने के लिए पर्याप्त गमकी कीड़े जोड़े, एक अंतिम वजन के लिए 8*2= <<8*2=16>> 16 पाउंड. उत्तर है 16"
8,8,"प्रश्न: एलेक्सिस एक नई नौकरी के लिए आवेदन कर रही है और साक्षात्कार के लिए पहनने के लिए नए व्यापारिक कपड़ों का एक सेट खरीदा है। वह 200 डॉलर के बजट के साथ एक डिपार्टमेंटल स्टोर में गई और एक बटन-अप शर्ट पर 30 डॉलर खर्च किए, सूट पैंट पर 46 डॉलर, सूट कोट पर 38 डॉलर, मोजे पर 11 डॉलर, और एक बेल्ट पर $ 18। उसने एक जोड़ी जूते भी खरीदे, लेकिन उनकी रसीद खो दी। उसके पास अपने बजट से 16 डॉलर बचे हैं। एलेक्सिस ने जूते के लिए कितना भुगतान किया? उत्तर: चलो एक-एक करके सोचें। चलो एस राशि एलेक्सिस जूते के लिए भुगतान किया है। उसने S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>> 143 खर्च किया। उसने अपने बजट के 16 डॉलर को छोड़कर सभी का उपयोग किया, इसलिए एस + 143 = 200 - 16 = 184. इस प्रकार, एलेक्सिस ने जूते के लिए S = 184 - 143 = $ <<184-143=41>> 41 का भुगतान किया। #### 41","प्रश्न: एलेक्सिस एक नई नौकरी के लिए आवेदन कर रही है और साक्षात्कार के लिए पहनने के लिए नए व्यापारिक कपड़ों का एक सेट खरीदा है। वह 200 डॉलर के बजट के साथ एक डिपार्टमेंटल स्टोर में गई और एक बटन-अप शर्ट पर 30 डॉलर खर्च किए, सूट पैंट पर 46 डॉलर, सूट कोट पर 38 डॉलर, मोजे पर 11 डॉलर, और एक बेल्ट पर $ 18। उसने एक जोड़ी जूते भी खरीदे, लेकिन उनकी रसीद खो दी। उसके पास अपने बजट से 16 डॉलर बचे हैं। एलेक्सिस ने जूते के लिए कितना भुगतान किया? उत्तर: चलो एक-एक करके सोचें। चलो एस राशि एलेक्सिस जूते के लिए भुगतान किया है। उसने S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>> 143 खर्च किया। उसने अपने बजट के 16 डॉलर को छोड़कर सभी का उपयोग किया, इसलिए एस + 143 = 200 - 16 = 184. इस प्रकार, एलेक्सिस ने जूते के लिए S = 184 - 143 = $ <<184-143=41>> 41 का भुगतान किया। उत्तर 41 है"
9,9,"प्रश्न: टीना प्रति घंटा 18.00 डॉलर कमाती है। यदि वह प्रति शिफ्ट 8 घंटे से अधिक काम करती है, तो वह ओवरटाइम के लिए पात्र है, जो आपके प्रति घंटा वेतन + 1/2 आपके प्रति घंटा वेतन से भुगतान किया जाता है। यदि वह 5 दिनों के लिए हर दिन 10 घंटे काम करती है, तो वह कितना पैसा बनाती है? उत्तर: चलो एक-एक करके सोचें। वह $ 18 प्रति घंटे के लिए एक दिन में 8 घंटे काम करता है तो वह 8 * 18 = $ <<8*18=144.00>> 144.00 प्रति 8 घंटे की शिफ्ट वह एक दिन में 10 घंटे काम करता है और 8 घंटे से अधिक कुछ भी ओवरटाइम के लिए पात्र है, इसलिए वह 10-8 = <<10-8=2>> 2 घंटे ओवरटाइम ओवरटाइम की गणना समय और आधे के रूप में की जाती है और वह $ 18 / घंटा बनाती है इसलिए उसका ओवरटाइम वेतन 18 * 5 = $ <<18*.5=9.00>> 9.00 उसका ओवरटाइम वेतन 18 + 9 = $ <<18+9=27.00>> 27.00 उसका मूल वेतन $ 144.00 प्रति 8 घंटे की शिफ्ट है और वह 5 दिन काम करती है और 5 * $ 144 = $ <<144*5=720.00>> 720.00 उसका ओवरटाइम वेतन $ 27.00 प्रति घंटे है और वह प्रति दिन 2 घंटे ओवरटाइम काम करती है और 27 * 2 = $ <<27*2=54.00>> 54.00 ओवरटाइम का भुगतान 2 घंटे ओवरटाइम का भुगतान 5 दिनों के लिए किया जाता है इसका मतलब है कि वह 54 * 5 = $ 270.00 5 दिनों में उसका मूल वेतन $ 20.7 है और वह ओवरटाइम में $ 270.00 का भुगतान करती है इसलिए वह $ 720 + $ 270 = $ <<720+270=990.00>> 990.00 #### 990","प्रश्न: टीना प्रति घंटा 18.00 डॉलर कमाती है। यदि वह प्रति शिफ्ट 8 घंटे से अधिक काम करती है, तो वह ओवरटाइम के लिए पात्र है, जो आपके प्रति घंटा वेतन + 1/2 आपके प्रति घंटा वेतन से भुगतान किया जाता है। यदि वह 5 दिनों के लिए हर दिन 10 घंटे काम करती है, तो वह कितना पैसा बनाती है? उत्तर: चलो एक-एक करके सोचें। वह $ 18 प्रति घंटे के लिए एक दिन में 8 घंटे काम करता है तो वह 8 * 18 = $ <<8*18=144.00>> 144.00 प्रति 8 घंटे की शिफ्ट वह एक दिन में 10 घंटे काम करता है और 8 घंटे से अधिक कुछ भी ओवरटाइम के लिए पात्र है, इसलिए वह 10-8 = <<10-8=2>> 2 घंटे ओवरटाइम ओवरटाइम की गणना समय और आधे के रूप में की जाती है और वह $18/घंटा बनाती है तो उसका ओवरटाइम वेतन 18*5 = $<<18*.5=9.00>> 9.00 उसका ओवरटाइम वेतन 18+9 = $<<18+9=27.00>> 27.00 उसका मूल वेतन $144.00 प्रति 8 घंटे की शिफ्ट है और वह 5 दिन काम करती है और 5 * $144 = $<<144*5=720.00>> 720.00 उसका ओवरटाइम वेतन $27.00 प्रति घंटे है और वह प्रति दिन 2 घंटे ओवरटाइम काम करती है और 27*2 = $<<27*2=54.00>> 54.00 ओवरटाइम वेतन 2 घंटे ओवरटाइम वेतन 5 दिनों के लिए इसका मतलब है कि वह 54*5 = $270.00 बनाती है 5 दिनों में उसका मूल वेतन $20.7 है और वह ओवरटाइम में $270.00 बनाती है तो वह $720 + $270 = $<<720+270=990.00>> 990.00 जवाब है 990"
