question,subject,choices,answer,qa
Une lésion provoquant une compression du nerf facial au niveau du foramen stylomastoïde entraînera des lésions ipsilatérales.,anatomy,"['paralysie des muscles faciaux.', 'paralysie des muscles faciaux et perte du goût.', 'paralysie des muscles faciaux, perte du goût et larmoiement.', 'paralysie des muscles faciaux, perte du goût, larmoiement et diminution de la salivation.']",0,"Question: Une lésion provoquant une compression du nerf facial au niveau du foramen stylomastoïde entraînera des lésions ipsilatérales.

Choix: ['paralysie des muscles faciaux.', 'paralysie des muscles faciaux et perte du goût.', 'paralysie des muscles faciaux, perte du goût et larmoiement.', 'paralysie des muscles faciaux, perte du goût, larmoiement et diminution de la salivation.']

Réponse: paralysie des muscles faciaux."
"Un profil de ""visage plat"" est souvent associé à",anatomy,"['une mandibule saillante due à la réactivation du cartilage condyle par acromégalie.', 'un maxillaire récessif dû à une défaillance de l'allongement de la base crânienne.', 'une hypertrophie de l'os frontal due à une hydrocéphalie.', 'développement défectueux du sinus aérien maxillaire.']",1,"Question: Un profil de ""visage plat"" est souvent associé à

Choix: ['une mandibule saillante due à la réactivation du cartilage condyle par acromégalie.', 'un maxillaire récessif dû à une défaillance de l'allongement de la base crânienne.', 'une hypertrophie de l'os frontal due à une hydrocéphalie.', 'développement défectueux du sinus aérien maxillaire.']

Réponse: un maxillaire récessif dû à une défaillance de l'allongement de la base crânienne."
Lequel des éléments suivants décrit le mieux la structure qui recueille l'urine dans le corps?,anatomy,"['La vésicule urinaire', 'Les reins', 'L'urètre', 'L'urètre']",0,"Question: Lequel des éléments suivants décrit le mieux la structure qui recueille l'urine dans le corps?

Choix: ['La vésicule urinaire', 'Les reins', 'L'urètre', 'L'urètre']

Réponse: La vésicule urinaire"
Laquelle des structures suivantes est dérivée de l'ectomesenchyme?,anatomy,"['Neurones moteurs', 'Les muscles squelettiques', 'Mélanocytes', 'Glandes sudoripares']",2,"Question: Laquelle des structures suivantes est dérivée de l'ectomesenchyme?

Choix: ['Neurones moteurs', 'Les muscles squelettiques', 'Mélanocytes', 'Glandes sudoripares']

Réponse: Mélanocytes"
Lequel des éléments suivants décrit le groupe de capillaires sanguins que l'on trouve dans chaque néphron du rein?,anatomy,"['Artériole afférente', 'Des glomérules', 'Boucle de Henle', 'Bassin rénaux']",1,"Question: Lequel des éléments suivants décrit le groupe de capillaires sanguins que l'on trouve dans chaque néphron du rein?

Choix: ['Artériole afférente', 'Des glomérules', 'Boucle de Henle', 'Bassin rénaux']

Réponse: Des glomérules"
Un patient souffre d'une fracture du cou avec des lésions de la moelle épinière au niveau de la sixième vertèbre cervicale.,anatomy,"['Ils seront incapables de respirer sans soutien de vie.', 'Ils ne pourront que respirer tranquillement.', 'Il est impossible de prévoir un effet sur la respiration.', 'La respiration ne sera pas affectée.']",1,"Question: Un patient souffre d'une fracture du cou avec des lésions de la moelle épinière au niveau de la sixième vertèbre cervicale.

Choix: ['Ils seront incapables de respirer sans soutien de vie.', 'Ils ne pourront que respirer tranquillement.', 'Il est impossible de prévoir un effet sur la respiration.', 'La respiration ne sera pas affectée.']

Réponse: Ils ne pourront que respirer tranquillement."
Laquelle des régions anatomiques suivantes de l'abdomen se trouve juste distal au sternum?,anatomy,"['L'épigastrique', 'Hypocondriaque', 'Hypogastrique', 'Colonne vertébrale']",0,"Question: Laquelle des régions anatomiques suivantes de l'abdomen se trouve juste distal au sternum?

Choix: ['L'épigastrique', 'Hypocondriaque', 'Hypogastrique', 'Colonne vertébrale']

Réponse: L'épigastrique"
Lequel des éléments suivants décrit le mieux le mécanisme de défense du corps humain contre les bactéries environnementales?,anatomy,"['Des poils dans le nez.', 'Membranes muqueuses', 'Les ostéoblastes', 'La salive']",1,"Question: Lequel des éléments suivants décrit le mieux le mécanisme de défense du corps humain contre les bactéries environnementales?

Choix: ['Des poils dans le nez.', 'Membranes muqueuses', 'Les ostéoblastes', 'La salive']

Réponse: Membranes muqueuses"
Les processus palatins commencent à fusionner à,anatomy,"['six semaines après la fécondation.', 'huit semaines après la fécondation.', 'dix semaines après la fécondation.', 'douze semaines après la fécondation.']",2,"Question: Les processus palatins commencent à fusionner à

Choix: ['six semaines après la fécondation.', 'huit semaines après la fécondation.', 'dix semaines après la fécondation.', 'douze semaines après la fécondation.']

Réponse: dix semaines après la fécondation."
L'activité du cortex moteur primaire entraîne,anatomy,"['contraction bilatérale des muscles anti-gravité des membres.', 'contraction bilatérale de la musculature des membres.', 'contraction de la musculature ipsilatérale des membres.', 'contraction de la musculature contralatérale des membres.']",3,"Question: L'activité du cortex moteur primaire entraîne

Choix: ['contraction bilatérale des muscles anti-gravité des membres.', 'contraction bilatérale de la musculature des membres.', 'contraction de la musculature ipsilatérale des membres.', 'contraction de la musculature contralatérale des membres.']

Réponse: contraction de la musculature contralatérale des membres."
Vous remarquez que les ganglions lymphatiques sous-mandibulaires de votre patient sont élargis.,anatomy,"['le palais est dur.', 'le palais dur et la lèvre supérieure.', 'le palais dur, la lèvre supérieure et l'incisif central supérieur.', 'le palais dur, la lèvre supérieure, l'incisif central supérieur et la première molaire inférieure.']",3,"Question: Vous remarquez que les ganglions lymphatiques sous-mandibulaires de votre patient sont élargis.

Choix: ['le palais est dur.', 'le palais dur et la lèvre supérieure.', 'le palais dur, la lèvre supérieure et l'incisif central supérieur.', 'le palais dur, la lèvre supérieure, l'incisif central supérieur et la première molaire inférieure.']

Réponse: le palais dur, la lèvre supérieure, l'incisif central supérieur et la première molaire inférieure."
Un patient subit des dommages à l'orbite lors d'un accident de la route entraînant des dommages au troisième nerf crânien.,anatomy,"['Rétrécissement des pupilles et strabisme médian', 'Une dilatation pupillaire et un strabisme médian', 'Rétrécissement des pupilles et strabisme latéral', 'Dilatation des pupilles et strabisme latéral']",3,"Question: Un patient subit des dommages à l'orbite lors d'un accident de la route entraînant des dommages au troisième nerf crânien.

Choix: ['Rétrécissement des pupilles et strabisme médian', 'Une dilatation pupillaire et un strabisme médian', 'Rétrécissement des pupilles et strabisme latéral', 'Dilatation des pupilles et strabisme latéral']

Réponse: Dilatation des pupilles et strabisme latéral"
Laquelle des affirmations suivantes est vraie pour l'articulation temporomandibulaire ?,anatomy,"['Il a un disque articulaire de cartilage hyaline', 'Ses surfaces articulaires sont couvertes de cartilage hyaline .', 'Les informations propriocéptives sont transmises par le tympan et les nerfs temporaux profonds.', 'L'information proprioceptive est portée par les nerfs massetériques et auriculotemporaux.']",3,"Question: Laquelle des affirmations suivantes est vraie pour l'articulation temporomandibulaire ?

Choix: ['Il a un disque articulaire de cartilage hyaline', 'Ses surfaces articulaires sont couvertes de cartilage hyaline .', 'Les informations propriocéptives sont transmises par le tympan et les nerfs temporaux profonds.', 'L'information proprioceptive est portée par les nerfs massetériques et auriculotemporaux.']

Réponse: L'information proprioceptive est portée par les nerfs massetériques et auriculotemporaux."
L'examen laryngoscopique des plis vocaux après soupçon de lésion récurrente du nerf laryngé montre généralement que le pli vocal du côté blessé est tendu et dans une position intermédiaire entre l'addition et l'abduction C' est parce que,anatomy,"['Le muscle cricothyroïde est toujours fonctionnel mais les muscles inter-arythénoïdes sont pleinement actifs.', 'Le muscle cricothyroïdien est toujours fonctionnel mais les interarythinoïdes sont faibles.', 'Le muscle cricothyroïdien est paralysé mais les interarythinoïdes sont pleinement actifs.', 'Le muscle cricothyroïdien est paralysé mais les interarythinoïdes sont faibles.']",1,"Question: L'examen laryngoscopique des plis vocaux après soupçon de lésion récurrente du nerf laryngé montre généralement que le pli vocal du côté blessé est tendu et dans une position intermédiaire entre l'addition et l'abduction C' est parce que

Choix: ['Le muscle cricothyroïde est toujours fonctionnel mais les muscles inter-arythénoïdes sont pleinement actifs.', 'Le muscle cricothyroïdien est toujours fonctionnel mais les interarythinoïdes sont faibles.', 'Le muscle cricothyroïdien est paralysé mais les interarythinoïdes sont pleinement actifs.', 'Le muscle cricothyroïdien est paralysé mais les interarythinoïdes sont faibles.']

Réponse: Le muscle cricothyroïdien est toujours fonctionnel mais les interarythinoïdes sont faibles."
Laquelle des affirmations suivantes concernant la croissance de la mandibule est correcte?,anatomy,"['La symphyse mentale se ferme à environ 1 an après la naissance', 'Le cartilage de croissance condylique cesse son activité à la puberté.', 'Le centre d'ossification apparaît environ 8 semaines I.U.L médial au cartilage de Meckel', 'La matrice fonctionnelle agissant sur l'angle de la mandibule est le muscle pterygoïde latéral']",0,"Question: Laquelle des affirmations suivantes concernant la croissance de la mandibule est correcte?

Choix: ['La symphyse mentale se ferme à environ 1 an après la naissance', 'Le cartilage de croissance condylique cesse son activité à la puberté.', 'Le centre d'ossification apparaît environ 8 semaines I.U.L médial au cartilage de Meckel', 'La matrice fonctionnelle agissant sur l'angle de la mandibule est le muscle pterygoïde latéral']

Réponse: La symphyse mentale se ferme à environ 1 an après la naissance"
Laquelle des affirmations suivantes est vraie pour le réflexe lumineux pupillaire ?,anatomy,"['Son membre efferent est porté dans le nerf optique .', 'Elle est médiée par les collicules inférieurs du milieu du cerveau .', 'C' est un réflexe consensuel .', 'Son membre afférent est porté dans le nerf oculomotor .']",2,"Question: Laquelle des affirmations suivantes est vraie pour le réflexe lumineux pupillaire ?

Choix: ['Son membre efferent est porté dans le nerf optique .', 'Elle est médiée par les collicules inférieurs du milieu du cerveau .', 'C' est un réflexe consensuel .', 'Son membre afférent est porté dans le nerf oculomotor .']

Réponse: C' est un réflexe consensuel ."
Quels muscles sont normalement actifs lors d'une inspiration silencieuse ?,anatomy,"['Les muscles intercostaux externes et internes', 'Les muscles intercostaux externes et le diaphragme', 'Les muscles intercostaux internes et le diaphragme', 'Les muscles intercostaux externes et internes et le diaphragme']",1,"Question: Quels muscles sont normalement actifs lors d'une inspiration silencieuse ?

Choix: ['Les muscles intercostaux externes et internes', 'Les muscles intercostaux externes et le diaphragme', 'Les muscles intercostaux internes et le diaphragme', 'Les muscles intercostaux externes et internes et le diaphragme']

Réponse: Les muscles intercostaux externes et le diaphragme"
Les hormones mâles sont produites par lequel des éléments suivants?,anatomy,"['Glande du pénis', 'Prépuce', 'Prostate', 'Les essais']",3,"Question: Les hormones mâles sont produites par lequel des éléments suivants?

Choix: ['Glande du pénis', 'Prépuce', 'Prostate', 'Les essais']

Réponse: Les essais"
Par lequel des organes suivants le sang oxygéné est- il transporté jusqu'au cœur?,anatomy,"['L' aorte', 'Les artères carotides', 'Veine caverneuse inférieure', 'Veines pulmonaires']",3,"Question: Par lequel des organes suivants le sang oxygéné est- il transporté jusqu'au cœur?

Choix: ['L' aorte', 'Les artères carotides', 'Veine caverneuse inférieure', 'Veines pulmonaires']

Réponse: Veines pulmonaires"
Lequel des éléments suivants permet à l'air de pénétrer dans les poumons ?,anatomy,"['L' aorte', 'L' œsophage', 'Trachée', 'Pancréas']",2,"Question: Lequel des éléments suivants permet à l'air de pénétrer dans les poumons ?

Choix: ['L' aorte', 'L' œsophage', 'Trachée', 'Pancréas']

Réponse: Trachée"
Où est situé le nœud sino-auriculaire ?,anatomy,"['Entre l'oreillette gauche et le ventricule gauche', 'Entre l'oreillette droite et le ventricule droit', 'Dans la paroi supérieure de l'oreillette droite', 'Dans la paroi supérieure du ventricule gauche']",2,"Question: Où est situé le nœud sino-auriculaire ?

Choix: ['Entre l'oreillette gauche et le ventricule gauche', 'Entre l'oreillette droite et le ventricule droit', 'Dans la paroi supérieure de l'oreillette droite', 'Dans la paroi supérieure du ventricule gauche']

Réponse: Dans la paroi supérieure de l'oreillette droite"
"En relation avec la côte, le nerf intercostale correspondant se trouve",anatomy,"['profonde jusqu'à sa frontière supérieure.', 'superficielle à sa bordure supérieure.', 'profonde jusqu'à sa bordure inférieure.', 'superficielle à sa bordure inférieure.']",2,"Question: En relation avec la côte, le nerf intercostale correspondant se trouve

Choix: ['profonde jusqu'à sa frontière supérieure.', 'superficielle à sa bordure supérieure.', 'profonde jusqu'à sa bordure inférieure.', 'superficielle à sa bordure inférieure.']

Réponse: profonde jusqu'à sa bordure inférieure."
Le drainage lymphatique régional du côté gauche de la pointe de la langue est,anatomy,"['le ganglion lymphatique sous-mental gauche.', 'les ganglions lymphatiques submentaux gauche et droit.', 'le ganglion lymphatique sous-mandibulaire gauche.', 'les ganglions lymphatiques sous-mandibulaires gauche et droit.']",1,"Question: Le drainage lymphatique régional du côté gauche de la pointe de la langue est

Choix: ['le ganglion lymphatique sous-mental gauche.', 'les ganglions lymphatiques submentaux gauche et droit.', 'le ganglion lymphatique sous-mandibulaire gauche.', 'les ganglions lymphatiques sous-mandibulaires gauche et droit.']

Réponse: les ganglions lymphatiques submentaux gauche et droit."
La gastrulation est le processus de,anatomy,"['la formation du mésoderm et se produit après la neurulation.', 'la formation de l' ectomesenchyme et se produit avant la neurulation.', 'la formation du mésoderm et se produit avant la neurulation.', 'formation de l' ectomesenchyme et se produit après la neurulation.']",1,"Question: La gastrulation est le processus de

Choix: ['la formation du mésoderm et se produit après la neurulation.', 'la formation de l' ectomesenchyme et se produit avant la neurulation.', 'la formation du mésoderm et se produit avant la neurulation.', 'formation de l' ectomesenchyme et se produit après la neurulation.']

Réponse: la formation de l' ectomesenchyme et se produit avant la neurulation."
