question,subject,choices,answer,qa
Quelle est la structure du Conseil de sécurité des Nations unies?,us_foreign_policy,"['5 membres permanents avec droit de veto, 10 membres rotatifs sans droit de veto', '5 membres permanents et 10 membres rotatifs, tous dotés d'un droit de veto', '10 membres permanents avec droit de veto et 5 membres rotatifs sans droit de veto', '15 membres permanents avec droit de veto']",0,"Question: Quelle est la structure du Conseil de sécurité des Nations unies?

Choix: ['5 membres permanents avec droit de veto, 10 membres rotatifs sans droit de veto', '5 membres permanents et 10 membres rotatifs, tous dotés d'un droit de veto', '10 membres permanents avec droit de veto et 5 membres rotatifs sans droit de veto', '15 membres permanents avec droit de veto']

Réponse: 5 membres permanents avec droit de veto, 10 membres rotatifs sans droit de veto"
Quelle était la signification de la résolution du Golfe du Tonkin?,us_foreign_policy,"['Cela a permis aux États-Unis d'intensifier leur implication au Vietnam.', 'Il illustre l'influence de l'opinion publique sur la politique étrangère américaine', 'Il a renforcé le contrôle du Congrès sur la guerre du Vietnam', 'Il a réduit l'implication des États-Unis au Vietnam .']",0,"Question: Quelle était la signification de la résolution du Golfe du Tonkin?

Choix: ['Cela a permis aux États-Unis d'intensifier leur implication au Vietnam.', 'Il illustre l'influence de l'opinion publique sur la politique étrangère américaine', 'Il a renforcé le contrôle du Congrès sur la guerre du Vietnam', 'Il a réduit l'implication des États-Unis au Vietnam .']

Réponse: Cela a permis aux États-Unis d'intensifier leur implication au Vietnam."
Qui n'est pas un acteur non étatique qui représente une menace pour les États-Unis ?,us_foreign_policy,"['Des terroristes.', 'Crime organisé', 'Les trafiquants de drogue', 'États-Unis']",3,"Question: Qui n'est pas un acteur non étatique qui représente une menace pour les États-Unis ?

Choix: ['Des terroristes.', 'Crime organisé', 'Les trafiquants de drogue', 'États-Unis']

Réponse: États-Unis"
Qui a été le premier président américain à visiter la Chine communiste ?,us_foreign_policy,"['Il s'agit de Richard Nixon .', 'Le président George H. W. Bush', 'Je suis Jimmy Carter .', 'Le président Ronald Reagan']",0,"Question: Qui a été le premier président américain à visiter la Chine communiste ?

Choix: ['Il s'agit de Richard Nixon .', 'Le président George H. W. Bush', 'Je suis Jimmy Carter .', 'Le président Ronald Reagan']

Réponse: Il s'agit de Richard Nixon ."
Le Traité sur la réduction des armes stratégiques a été le premier accord,us_foreign_policy,"['sur les armes nucléaires signées entre les États-Unis et l'Union soviétique.', 'Il s'agit de réduire les armes conventionnelles en Europe.', 'd'être rejeté par le Sénat américain.', 'qui exige l'élimination de nombreux missiles nucléaires à longue portée.']",3,"Question: Le Traité sur la réduction des armes stratégiques a été le premier accord

Choix: ['sur les armes nucléaires signées entre les États-Unis et l'Union soviétique.', 'Il s'agit de réduire les armes conventionnelles en Europe.', 'd'être rejeté par le Sénat américain.', 'qui exige l'élimination de nombreux missiles nucléaires à longue portée.']

Réponse: qui exige l'élimination de nombreux missiles nucléaires à longue portée."
Quelles ont été les implications de la guerre froide pour l'exceptionnalisme américain ?,us_foreign_policy,"['Il a mis fin à l'influence de l'exceptionnalisme américain entièrement', 'L'exceptionnalisme a été renforcé par le statut de l'Amérique en tant que 'leader du monde libre'', 'L'extension de la puissance américaine à l'échelle mondiale remis en question les hypothèses de base de l'exceptionnalisme', 'Les deux b et c']",3,"Question: Quelles ont été les implications de la guerre froide pour l'exceptionnalisme américain ?

Choix: ['Il a mis fin à l'influence de l'exceptionnalisme américain entièrement', 'L'exceptionnalisme a été renforcé par le statut de l'Amérique en tant que 'leader du monde libre'', 'L'extension de la puissance américaine à l'échelle mondiale remis en question les hypothèses de base de l'exceptionnalisme', 'Les deux b et c']

Réponse: Les deux b et c"
"Pourquoi Franklin D. Roosevelt a-t-il initialement favorisé une position ""isolationniste"" de la part des États-Unis au cours des années 1930?",us_foreign_policy,"['Il croyait que la réforme interne plutôt que la négociation internationale était la clé de la régénération économique des États-Unis.', 'Il croyait que la domination allemande sur l'Europe serait dans l'intérêt des États-Unis.', 'Il a toujours favorisé l'isolationnisme.', 'Tout ce qui précède']",0,"Question: Pourquoi Franklin D. Roosevelt a-t-il initialement favorisé une position ""isolationniste"" de la part des États-Unis au cours des années 1930?

Choix: ['Il croyait que la réforme interne plutôt que la négociation internationale était la clé de la régénération économique des États-Unis.', 'Il croyait que la domination allemande sur l'Europe serait dans l'intérêt des États-Unis.', 'Il a toujours favorisé l'isolationnisme.', 'Tout ce qui précède']

Réponse: Il croyait que la réforme interne plutôt que la négociation internationale était la clé de la régénération économique des États-Unis."
"Quel était le ""nouveau populisme""?",us_foreign_policy,"['Un fil de sentiment néo-isolationniste', 'Un brin de sentiment internationaliste', 'Une expression de la supériorité culturelle américaine .', 'Intégration accrue de l'opinion publique dans l'élaboration de la politique étrangère']",0,"Question: Quel était le ""nouveau populisme""?

Choix: ['Un fil de sentiment néo-isolationniste', 'Un brin de sentiment internationaliste', 'Une expression de la supériorité culturelle américaine .', 'Intégration accrue de l'opinion publique dans l'élaboration de la politique étrangère']

Réponse: Un fil de sentiment néo-isolationniste"
Comment la Première Guerre mondiale a- t- elle déplacé la puissance économique de l'Europe vers les États-Unis?,us_foreign_policy,"['La guerre a réduit la population européenne au-dessous de celle des États-Unis.', 'Les États-Unis ont saisi les ressources allemandes après la guerre.', 'Les pays européens ont payé les États-Unis pour l'assistance', 'Les États-Unis sont devenus un pays créancier et un centre financier, les dépenses de guerre européennes stimulant l'économie américaine.']",3,"Question: Comment la Première Guerre mondiale a- t- elle déplacé la puissance économique de l'Europe vers les États-Unis?

Choix: ['La guerre a réduit la population européenne au-dessous de celle des États-Unis.', 'Les États-Unis ont saisi les ressources allemandes après la guerre.', 'Les pays européens ont payé les États-Unis pour l'assistance', 'Les États-Unis sont devenus un pays créancier et un centre financier, les dépenses de guerre européennes stimulant l'économie américaine.']

Réponse: Les États-Unis sont devenus un pays créancier et un centre financier, les dépenses de guerre européennes stimulant l'économie américaine."
"Dans le gouvernement américain, le pouvoir de déclarer la guerre repose sur",us_foreign_policy,"['le président des États-Unis.', 'Le secrétaire à la Défense.', 'le président des chefs d'état-major interarmées.', 'Le Congrès.']",3,"Question: Dans le gouvernement américain, le pouvoir de déclarer la guerre repose sur

Choix: ['le président des États-Unis.', 'Le secrétaire à la Défense.', 'le président des chefs d'état-major interarmées.', 'Le Congrès.']

Réponse: Le Congrès."
Comment le contexte de la guerre froide a-t-il façonné les perceptions américaines du tiers monde ?,us_foreign_policy,"['Les États-Unis ont ignoré le tiers monde.', 'Les développements locaux ont été considérés à travers une lentille géopolitique', 'Les États-Unis ont soutenu sans réserve la décolonisation.', 'Rien de ce qui précède']",1,"Question: Comment le contexte de la guerre froide a-t-il façonné les perceptions américaines du tiers monde ?

Choix: ['Les États-Unis ont ignoré le tiers monde.', 'Les développements locaux ont été considérés à travers une lentille géopolitique', 'Les États-Unis ont soutenu sans réserve la décolonisation.', 'Rien de ce qui précède']

Réponse: Les développements locaux ont été considérés à travers une lentille géopolitique"
Qu'est-ce qui était unique dans l'intervention de l'OTAN au Kosovo ?,us_foreign_policy,"['C'était la première fois que les États-Unis s'impliquaient dans les Balkans.', 'C'était la première fois que l'OTAN utilisait la force militaire.', 'C' était la première guerre gagnée par la seule puissance aérienne .', 'C'était la première guerre à utiliser des 'armes intelligentes'']",2,"Question: Qu'est-ce qui était unique dans l'intervention de l'OTAN au Kosovo ?

Choix: ['C'était la première fois que les États-Unis s'impliquaient dans les Balkans.', 'C'était la première fois que l'OTAN utilisait la force militaire.', 'C' était la première guerre gagnée par la seule puissance aérienne .', 'C'était la première guerre à utiliser des 'armes intelligentes'']

Réponse: C' était la première guerre gagnée par la seule puissance aérienne ."
"Selon les théories systémiques, quel est le principal déterminant de la politique étrangère d'un État?",us_foreign_policy,"['Le caractère d'un chef d'État', 'La répartition du pouvoir dans le système international', 'La répartition du pouvoir au sein du système gouvernemental d'un État', 'L'idéologie politique d'un État']",1,"Question: Selon les théories systémiques, quel est le principal déterminant de la politique étrangère d'un État?

Choix: ['Le caractère d'un chef d'État', 'La répartition du pouvoir dans le système international', 'La répartition du pouvoir au sein du système gouvernemental d'un État', 'L'idéologie politique d'un État']

Réponse: La répartition du pouvoir dans le système international"
Pourquoi y a- t- il tant d'incertitude quant à savoir quels États possèdent des armes nucléaires?,us_foreign_policy,"['Les dirigeants ont des incitations à mentir', 'Si les dirigeants révélaient leurs programmes, ils seraient plus susceptibles d'être attaqués.', 'Les dirigeants ne permettront pas toujours aux observateurs étrangers d'accéder à leurs programmes nucléaires.', 'TOUT ce qui précède']",3,"Question: Pourquoi y a- t- il tant d'incertitude quant à savoir quels États possèdent des armes nucléaires?

Choix: ['Les dirigeants ont des incitations à mentir', 'Si les dirigeants révélaient leurs programmes, ils seraient plus susceptibles d'être attaqués.', 'Les dirigeants ne permettront pas toujours aux observateurs étrangers d'accéder à leurs programmes nucléaires.', 'TOUT ce qui précède']

Réponse: TOUT ce qui précède"
"Au sein de la politique américaine, le pouvoir d'accorder la reconnaissance officielle à d'autres pays appartient à",us_foreign_policy,"['le Sénat.', 'Le président.', 'Le secrétaire d'État.', 'le président des chefs d'état-major.']",1,"Question: Au sein de la politique américaine, le pouvoir d'accorder la reconnaissance officielle à d'autres pays appartient à

Choix: ['le Sénat.', 'Le président.', 'Le secrétaire d'État.', 'le président des chefs d'état-major.']

Réponse: Le président."
Qu'a fait le Traité de Moscou sur la réduction des forces offensives stratégiques ?,us_foreign_policy,"['Obligé les États-Unis et la Russie à démobiliser leurs armées', 'Obligé les États-Unis et la Russie à démanteler un nombre important de leurs armes nucléaires', 'Interdit l'acquisition de nouvelles bases militaires', 'Armes nucléaires à courte portée interdites']",1,"Question: Qu'a fait le Traité de Moscou sur la réduction des forces offensives stratégiques ?

Choix: ['Obligé les États-Unis et la Russie à démobiliser leurs armées', 'Obligé les États-Unis et la Russie à démanteler un nombre important de leurs armes nucléaires', 'Interdit l'acquisition de nouvelles bases militaires', 'Armes nucléaires à courte portée interdites']

Réponse: Obligé les États-Unis et la Russie à démanteler un nombre important de leurs armes nucléaires"
"C'était quoi ces ""notes de porte ouverte"" ?",us_foreign_policy,"['Une déclaration américaine selon laquelle les États-Unis seraient toujours ouverts à l'immigration chinoise.', 'Une proclamation américaine selon laquelle la Chine devrait être divisée entre les États-Unis, le Japon et les empires européens.', 'Une proclamation américaine selon laquelle la Chine devrait être ouverte au commerce et aux missionnaires américains.', 'Une déclaration américaine de soutien au protectionnisme économique chinois']",2,"Question: C'était quoi ces ""notes de porte ouverte"" ?

Choix: ['Une déclaration américaine selon laquelle les États-Unis seraient toujours ouverts à l'immigration chinoise.', 'Une proclamation américaine selon laquelle la Chine devrait être divisée entre les États-Unis, le Japon et les empires européens.', 'Une proclamation américaine selon laquelle la Chine devrait être ouverte au commerce et aux missionnaires américains.', 'Une déclaration américaine de soutien au protectionnisme économique chinois']

Réponse: Une proclamation américaine selon laquelle la Chine devrait être ouverte au commerce et aux missionnaires américains."
"Le commerce international profitera presque toujours aux deux pays, alors pourquoi les pays essaient- ils de protéger leurs propres entreprises de l'exposition au marché mondial?",us_foreign_policy,"['Irrationalité de la part des dirigeants', 'Les coûts du libre-échange sont concentrés, mais les bénéfices sont dispersés', 'Type de régime', 'Des conflits internationaux entravent le commerce']",1,"Question: Le commerce international profitera presque toujours aux deux pays, alors pourquoi les pays essaient- ils de protéger leurs propres entreprises de l'exposition au marché mondial?

Choix: ['Irrationalité de la part des dirigeants', 'Les coûts du libre-échange sont concentrés, mais les bénéfices sont dispersés', 'Type de régime', 'Des conflits internationaux entravent le commerce']

Réponse: Les coûts du libre-échange sont concentrés, mais les bénéfices sont dispersés"
