question,subject,choices,answer,qa
इनमें से कौन सा सिद्धांत संरक्षण के दायित्व का तत्व नहीं है?,security_studies,"['रोकथाम की जिम्मेदारी।', 'प्रतिक्रिया देने की जिम्मेदारी।', 'सार्वभौम बने रहने की जिम्मेदारी।', 'पुनर्निर्माण की जिम्मेदारी।']",2,"प्रश्न: इनमें से कौन सा सिद्धांत संरक्षण के दायित्व का तत्व नहीं है?

उत्तर विकल्प: ['रोकथाम की जिम्मेदारी।', 'प्रतिक्रिया देने की जिम्मेदारी।', 'सार्वभौम बने रहने की जिम्मेदारी।', 'पुनर्निर्माण की जिम्मेदारी।']

उत्तर: सार्वभौम बने रहने की जिम्मेदारी।"
क्या पर्यावरणीय परिवर्तनों को राष्ट्रीय सुरक्षा हितों के साथ मिलाया जा सकता है?,security_studies,"['आर्थिक विकास के लिए पर्यावरणीय चुनौतियाँ जैसे प्राकृतिक संसाधन प्रबंधन और रोजगार विविधीकरण और अनुसंधान की ओर ले जाता है जिसके परिणामस्वरूप दीर्घकालिक रूप से सैन्य कार्यक्रमों को बढ़ावा देने वाली तकनीकी प्रगति हो सकती है।', 'पर्यावरणीय परिवर्तन राष्ट्रीय सुरक्षा को कई मायनों में कमजोर कर सकते हैं; सैन्य क्षमता को निर्धारित करने वाले आर्थिक आधार को कमजोर करना भी शामिल है इसलिए यदि किसी अर्थव्यवस्था का प्राकृतिक पूंजी आधार क्षीण हो जाता है तो उसके सशस्त्र बलों की दीर्घकालिक क्षमता भी क्षीण हो जाती है हालांकि, कोई भी विकास प्रभाव में 'मानव' होगा।', 'देशों द्वारा सामना की जाने वाली पर्यावरणीय समस्याएं मुख्य रूप से आंतरिक हैं बाहरी खतरे किसी देश के नियंत्रण में रहते हैं: बाहरी सैन्य खतरे अपरिवर्तित रहेंगे और एक प्राथमिक चिंता का विषय बने रहेंगे।', 'ये सभी विकल्प।']",1,"प्रश्न: क्या पर्यावरणीय परिवर्तनों को राष्ट्रीय सुरक्षा हितों के साथ मिलाया जा सकता है?

उत्तर विकल्प: ['आर्थिक विकास के लिए पर्यावरणीय चुनौतियाँ जैसे प्राकृतिक संसाधन प्रबंधन और रोजगार विविधीकरण और अनुसंधान की ओर ले जाता है जिसके परिणामस्वरूप दीर्घकालिक रूप से सैन्य कार्यक्रमों को बढ़ावा देने वाली तकनीकी प्रगति हो सकती है।', 'पर्यावरणीय परिवर्तन राष्ट्रीय सुरक्षा को कई मायनों में कमजोर कर सकते हैं; सैन्य क्षमता को निर्धारित करने वाले आर्थिक आधार को कमजोर करना भी शामिल है इसलिए यदि किसी अर्थव्यवस्था का प्राकृतिक पूंजी आधार क्षीण हो जाता है तो उसके सशस्त्र बलों की दीर्घकालिक क्षमता भी क्षीण हो जाती है हालांकि, कोई भी विकास प्रभाव में 'मानव' होगा।', 'देशों द्वारा सामना की जाने वाली पर्यावरणीय समस्याएं मुख्य रूप से आंतरिक हैं बाहरी खतरे किसी देश के नियंत्रण में रहते हैं: बाहरी सैन्य खतरे अपरिवर्तित रहेंगे और एक प्राथमिक चिंता का विषय बने रहेंगे।', 'ये सभी विकल्प।']

उत्तर: पर्यावरणीय परिवर्तन राष्ट्रीय सुरक्षा को कई मायनों में कमजोर कर सकते हैं; सैन्य क्षमता को निर्धारित करने वाले आर्थिक आधार को कमजोर करना भी शामिल है इसलिए यदि किसी अर्थव्यवस्था का प्राकृतिक पूंजी आधार क्षीण हो जाता है तो उसके सशस्त्र बलों की दीर्घकालिक क्षमता भी क्षीण हो जाती है हालांकि, कोई भी विकास प्रभाव में 'मानव' होगा।"
निम्नलिखित में से किस कथन को भविष्य की ऊर्जा सुरक्षा पर उदार दृष्टिकोण के रूप में वर्णित किया जा सकता है?,security_studies,"['वैश्विक अर्थव्यवस्था आपस में जुड़ी हुई है, जिससे यह सुनिश्चित होता है कि किसी के लिए ऊर्जा सुरक्षा सभी के लिए ऊर्जा सुरक्षा पर निर्भर है। इस प्रकार इस बाजार के संचालन की शर्तों को बनाए रखने और विस्तारित करने में सभी मुख्य शक्तियों का समान हित है। जब तक यह आर्थिक व्यवस्था बनी रहेगी, तब तक ऊर्जा भंडार को लेकर महाशक्तियों के बीच संघर्ष की संभावना बहुत कम है।', 'ऊर्जा की कमी से वैश्विक प्रणाली में भविष्य में व्यवधान और 'नई अंतर्राष्ट्रीय ऊर्जा व्यवस्था' का उदय होने की संभावना है। राज्यवाद और नव-व्यापारीवाद की तुलना में उदार मुक्त बाजार व्यापार की कम विशेषता है।', 'तेल वर्तमान व्यवस्था की जीवनरक्त बनी हुई है - एक ऐसी व्यवस्था जो पूंजीवादी आर्थिक अभिजात वर्ग के पक्ष में धन और शक्ति के असमान (और गहरे अन्यायपूर्ण) वितरण पर आधारित है जो लोग प्रचलित व्यवस्था से सबसे अधिक लाभान्वित होंगे, वे यह सुनिश्चित करेंगे कि अनुकूल परिस्थितियों में ऊर्जा का प्रवाह वैश्विक प्रणाली में उनकी स्थिति को मजबूत करता रहे।', 'ऊर्जा की कमी अधिक भू-राजनीतिक टकराव के युग में वापसी का संकेत देगी 'संसाधन युद्ध' विशेष रूप से ऊर्जा स्रोतों पर अंतरराष्ट्रीय सहयोग में टूट-फूट की स्पष्ट संभावना पेश करते हैं जैसे-जैसे राज्य प्रमुख भंडारों के नियंत्रण के लिए प्रतिस्पर्धा (और अंततः संघर्ष) शुरू करते हैं।']",0,"प्रश्न: निम्नलिखित में से किस कथन को भविष्य की ऊर्जा सुरक्षा पर उदार दृष्टिकोण के रूप में वर्णित किया जा सकता है?

उत्तर विकल्प: ['वैश्विक अर्थव्यवस्था आपस में जुड़ी हुई है, जिससे यह सुनिश्चित होता है कि किसी के लिए ऊर्जा सुरक्षा सभी के लिए ऊर्जा सुरक्षा पर निर्भर है। इस प्रकार इस बाजार के संचालन की शर्तों को बनाए रखने और विस्तारित करने में सभी मुख्य शक्तियों का समान हित है। जब तक यह आर्थिक व्यवस्था बनी रहेगी, तब तक ऊर्जा भंडार को लेकर महाशक्तियों के बीच संघर्ष की संभावना बहुत कम है।', 'ऊर्जा की कमी से वैश्विक प्रणाली में भविष्य में व्यवधान और 'नई अंतर्राष्ट्रीय ऊर्जा व्यवस्था' का उदय होने की संभावना है। राज्यवाद और नव-व्यापारीवाद की तुलना में उदार मुक्त बाजार व्यापार की कम विशेषता है।', 'तेल वर्तमान व्यवस्था की जीवनरक्त बनी हुई है - एक ऐसी व्यवस्था जो पूंजीवादी आर्थिक अभिजात वर्ग के पक्ष में धन और शक्ति के असमान (और गहरे अन्यायपूर्ण) वितरण पर आधारित है जो लोग प्रचलित व्यवस्था से सबसे अधिक लाभान्वित होंगे, वे यह सुनिश्चित करेंगे कि अनुकूल परिस्थितियों में ऊर्जा का प्रवाह वैश्विक प्रणाली में उनकी स्थिति को मजबूत करता रहे।', 'ऊर्जा की कमी अधिक भू-राजनीतिक टकराव के युग में वापसी का संकेत देगी 'संसाधन युद्ध' विशेष रूप से ऊर्जा स्रोतों पर अंतरराष्ट्रीय सहयोग में टूट-फूट की स्पष्ट संभावना पेश करते हैं जैसे-जैसे राज्य प्रमुख भंडारों के नियंत्रण के लिए प्रतिस्पर्धा (और अंततः संघर्ष) शुरू करते हैं।']

उत्तर: वैश्विक अर्थव्यवस्था आपस में जुड़ी हुई है, जिससे यह सुनिश्चित होता है कि किसी के लिए ऊर्जा सुरक्षा सभी के लिए ऊर्जा सुरक्षा पर निर्भर है। इस प्रकार इस बाजार के संचालन की शर्तों को बनाए रखने और विस्तारित करने में सभी मुख्य शक्तियों का समान हित है। जब तक यह आर्थिक व्यवस्था बनी रहेगी, तब तक ऊर्जा भंडार को लेकर महाशक्तियों के बीच संघर्ष की संभावना बहुत कम है।"
मानव सुरक्षा की अवधारणा की निम्नलिखित में से कौन सी आम आलोचना है?,security_studies,"['मानव सुरक्षा नव-औपनिवेशिक है।', 'मानव सुरक्षा वैश्विक पूंजीवाद को बढ़ावा देती है।', 'मानव सुरक्षा बहुत व्यापक है।', 'ये सभी विकल्प।']",3,"प्रश्न: मानव सुरक्षा की अवधारणा की निम्नलिखित में से कौन सी आम आलोचना है?

उत्तर विकल्प: ['मानव सुरक्षा नव-औपनिवेशिक है।', 'मानव सुरक्षा वैश्विक पूंजीवाद को बढ़ावा देती है।', 'मानव सुरक्षा बहुत व्यापक है।', 'ये सभी विकल्प।']

उत्तर: ये सभी विकल्प।"
शीत युद्ध के बाद टीएनसी के खतरे पर सरकारों ने किस तरह से प्रतिक्रिया दी है?,security_studies,"['राज्य की अखंडता के लिए बढ़ते खतरे के संबंध में अंतर-राष्ट्रीय अपराध के प्रति राज्य की प्रतिक्रियाएं विकसित हुई हैं। संगठित अपराध को मुख्य रूप से राष्ट्रीय सुरक्षा के खतरे के रूप में देखा गया है जिसे घरेलू स्तर पर संबोधित किया जाना चाहिए। सूचना के आदान-प्रदान के लिए संस्थागत अंतरराष्ट्रीय दृष्टिकोण मुख्य रूप से द्विपक्षीय रहे हैं ताकि अपराधियों को न्याय के दायरे में लाया जा सके जो न्याय से बचने की कोशिश कर रहे हैं।', '1990 के दशक में टीएनसी के विस्तार के साथ राज्य कानूनों के सामंजस्य और पुलिस क्षमता और नेटवर्किंग में वृद्धि के माध्यम से देशों के बीच असममितियों को कम करने के लिए उपाय करने के लिए तेजी से तैयार हो गए। पार-राष्ट्रीय अपराध के प्रति सरकार की प्रतिक्रिया, आपराधिक बाजारों के बजाय, अपराध करने वाले व्यक्तियों और संगठनों को लक्षित करने पर केंद्रित है।', 'नशीली दवाओं के खिलाफ अमेरिकी युद्ध ने सरकार की प्रतिक्रिया के निर्माण पर भारी प्रभाव डाला है कि टीएनसी की घटना एक राष्ट्रीय सुरक्षा खतरे का प्रतिनिधित्व करती है। इस दृष्टिकोण में द्विपक्षीय आधार पर कानून प्रवर्तन पर द्विपक्षीय और बहुपक्षीय सहयोग पर जोर दिया गया है ताकि राज्यों को टीएनसी के खिलाफ विनियमन और प्रवर्तन बढ़ाने के लिए प्रेरित किया जा सके।', 'संगठित अपराध के भूत को संबोधित करने और कानूनों को सामंजस्यपूर्ण बनाने के लिए प्रतिक्रिया को नियंत्रित करने वाले मानदंडों का उद्भव आतंकवाद के खिलाफ विकसित वैश्विक युद्ध के साथ हुआ, जिसमें आतंकवाद-संगठित अपराध नेक्सस के परिणामस्वरूप कानून प्रवर्तन का सैन्यीकरण हुआः सैन्य प्रौद्योगिकी और खुफिया का उपयोग एक अंतरराष्ट्रीय संस्थागत प्रतिक्रिया के माध्यम से अवैध व्यापार को सुविधाजनक बनाने वाली अंतर्निहित स्थितियों को संबोधित करने के विपरीत।']",1,"प्रश्न: शीत युद्ध के बाद टीएनसी के खतरे पर सरकारों ने किस तरह से प्रतिक्रिया दी है?

उत्तर विकल्प: ['राज्य की अखंडता के लिए बढ़ते खतरे के संबंध में अंतर-राष्ट्रीय अपराध के प्रति राज्य की प्रतिक्रियाएं विकसित हुई हैं। संगठित अपराध को मुख्य रूप से राष्ट्रीय सुरक्षा के खतरे के रूप में देखा गया है जिसे घरेलू स्तर पर संबोधित किया जाना चाहिए। सूचना के आदान-प्रदान के लिए संस्थागत अंतरराष्ट्रीय दृष्टिकोण मुख्य रूप से द्विपक्षीय रहे हैं ताकि अपराधियों को न्याय के दायरे में लाया जा सके जो न्याय से बचने की कोशिश कर रहे हैं।', '1990 के दशक में टीएनसी के विस्तार के साथ राज्य कानूनों के सामंजस्य और पुलिस क्षमता और नेटवर्किंग में वृद्धि के माध्यम से देशों के बीच असममितियों को कम करने के लिए उपाय करने के लिए तेजी से तैयार हो गए। पार-राष्ट्रीय अपराध के प्रति सरकार की प्रतिक्रिया, आपराधिक बाजारों के बजाय, अपराध करने वाले व्यक्तियों और संगठनों को लक्षित करने पर केंद्रित है।', 'नशीली दवाओं के खिलाफ अमेरिकी युद्ध ने सरकार की प्रतिक्रिया के निर्माण पर भारी प्रभाव डाला है कि टीएनसी की घटना एक राष्ट्रीय सुरक्षा खतरे का प्रतिनिधित्व करती है। इस दृष्टिकोण में द्विपक्षीय आधार पर कानून प्रवर्तन पर द्विपक्षीय और बहुपक्षीय सहयोग पर जोर दिया गया है ताकि राज्यों को टीएनसी के खिलाफ विनियमन और प्रवर्तन बढ़ाने के लिए प्रेरित किया जा सके।', 'संगठित अपराध के भूत को संबोधित करने और कानूनों को सामंजस्यपूर्ण बनाने के लिए प्रतिक्रिया को नियंत्रित करने वाले मानदंडों का उद्भव आतंकवाद के खिलाफ विकसित वैश्विक युद्ध के साथ हुआ, जिसमें आतंकवाद-संगठित अपराध नेक्सस के परिणामस्वरूप कानून प्रवर्तन का सैन्यीकरण हुआः सैन्य प्रौद्योगिकी और खुफिया का उपयोग एक अंतरराष्ट्रीय संस्थागत प्रतिक्रिया के माध्यम से अवैध व्यापार को सुविधाजनक बनाने वाली अंतर्निहित स्थितियों को संबोधित करने के विपरीत।']

उत्तर: 1990 के दशक में टीएनसी के विस्तार के साथ राज्य कानूनों के सामंजस्य और पुलिस क्षमता और नेटवर्किंग में वृद्धि के माध्यम से देशों के बीच असममितियों को कम करने के लिए उपाय करने के लिए तेजी से तैयार हो गए। पार-राष्ट्रीय अपराध के प्रति सरकार की प्रतिक्रिया, आपराधिक बाजारों के बजाय, अपराध करने वाले व्यक्तियों और संगठनों को लक्षित करने पर केंद्रित है।"
अकादमिक-राजनीतिक बातचीत के संस्थागतकरण में नीति के लिए कौन सी संभावित समस्या सामने आई?,security_studies,"['सुरक्षा अध्ययन के सिद्धांत के लिए मुख्य अनुशासनात्मक संदर्भ राजनीति विज्ञान के अनुशासनात्मक प्रभुत्व से दूर समाजशास्त्र से बहु-शैक्षणिक बातचीत की ओर एक कदम था। गणित मनोविज्ञान प्राकृतिक और राजनीतिक विज्ञान और अर्थशास्त्र।', 'नीति-अकादमिक विकास के परिणामस्वरूप नीति से दूर थिंक टैंक की भूमिका का राजनीतिकरण प्रतिरोधी सिद्धांत की ओर परिवर्तन हुआ है।', 'सुरक्षा अध्ययन अनुशासन के क्रमिक 'IR-ification' द्वारा चिह्नित किया गया है सुरक्षा अध्ययन अंतर्राष्ट्रीय संबंध (आईआर) के दो स्तंभों में से एक बन गया, दूसरा अंतर्राष्ट्रीय राजनीतिक अर्थव्यवस्था है। अब से आईआर मुख्य अनुशासनात्मक संदर्भ बन गया जिसमें सुरक्षा अध्ययनों पर विचार किया गया था।', 'थिंक टैंक और नीति निर्माता तेजी से एक दूसरे से जुड़े हुए हैं। विश्वविद्यालयों, थिंक टैंक और नीति के बीच संस्थागत धुंधलापन के परिणामस्वरूप हर स्तर पर नीति विलय हो गया है।']",2,"प्रश्न: अकादमिक-राजनीतिक बातचीत के संस्थागतकरण में नीति के लिए कौन सी संभावित समस्या सामने आई?

उत्तर विकल्प: ['सुरक्षा अध्ययन के सिद्धांत के लिए मुख्य अनुशासनात्मक संदर्भ राजनीति विज्ञान के अनुशासनात्मक प्रभुत्व से दूर समाजशास्त्र से बहु-शैक्षणिक बातचीत की ओर एक कदम था। गणित मनोविज्ञान प्राकृतिक और राजनीतिक विज्ञान और अर्थशास्त्र।', 'नीति-अकादमिक विकास के परिणामस्वरूप नीति से दूर थिंक टैंक की भूमिका का राजनीतिकरण प्रतिरोधी सिद्धांत की ओर परिवर्तन हुआ है।', 'सुरक्षा अध्ययन अनुशासन के क्रमिक 'IR-ification' द्वारा चिह्नित किया गया है सुरक्षा अध्ययन अंतर्राष्ट्रीय संबंध (आईआर) के दो स्तंभों में से एक बन गया, दूसरा अंतर्राष्ट्रीय राजनीतिक अर्थव्यवस्था है। अब से आईआर मुख्य अनुशासनात्मक संदर्भ बन गया जिसमें सुरक्षा अध्ययनों पर विचार किया गया था।', 'थिंक टैंक और नीति निर्माता तेजी से एक दूसरे से जुड़े हुए हैं। विश्वविद्यालयों, थिंक टैंक और नीति के बीच संस्थागत धुंधलापन के परिणामस्वरूप हर स्तर पर नीति विलय हो गया है।']

उत्तर: सुरक्षा अध्ययन अनुशासन के क्रमिक ""IR-ification"" द्वारा चिह्नित किया गया है सुरक्षा अध्ययन अंतर्राष्ट्रीय संबंध (आईआर) के दो स्तंभों में से एक बन गया, दूसरा अंतर्राष्ट्रीय राजनीतिक अर्थव्यवस्था है। अब से आईआर मुख्य अनुशासनात्मक संदर्भ बन गया जिसमें सुरक्षा अध्ययनों पर विचार किया गया था।"
निम्नलिखित में से कौन सा वाशिंगटन आम सहमति के 10 चरणों में से एक नहीं है?,security_studies,"['राजकोषीय अनुशासन: सकल घरेलू उत्पाद (जीडीपी) के 2 प्रतिशत से अधिक का बजट घाटा।', 'कर सुधार: कर आधार का विस्तार, सीमांत कर दरों में कटौती, कर प्रशासन में सुधार।', 'संपत्ति के अधिकार: अत्यधिक लागत के बिना संपत्ति के अधिकारों को सुरक्षित करने और अनौपचारिक क्षेत्र को नियमित करने के लिए कानूनी सुधार।', 'राष्ट्रीयकरण: राज्य उद्यमों को संरक्षित किया जाना चाहिए।']",3,"प्रश्न: निम्नलिखित में से कौन सा वाशिंगटन आम सहमति के 10 चरणों में से एक नहीं है?

उत्तर विकल्प: ['राजकोषीय अनुशासन: सकल घरेलू उत्पाद (जीडीपी) के 2 प्रतिशत से अधिक का बजट घाटा।', 'कर सुधार: कर आधार का विस्तार, सीमांत कर दरों में कटौती, कर प्रशासन में सुधार।', 'संपत्ति के अधिकार: अत्यधिक लागत के बिना संपत्ति के अधिकारों को सुरक्षित करने और अनौपचारिक क्षेत्र को नियमित करने के लिए कानूनी सुधार।', 'राष्ट्रीयकरण: राज्य उद्यमों को संरक्षित किया जाना चाहिए।']

उत्तर: राष्ट्रीयकरण: राज्य उद्यमों को संरक्षित किया जाना चाहिए।"
निम्नलिखित में से कौन सी अवधारणा साइबर सुरक्षा पर तकनीकी प्रवचन का हिस्सा नहीं है?,security_studies,"['व्यावसायिक नेटवर्क', 'कंप्यूटर विशेषज्ञ', 'एंटी-वायरस उद्योग', 'कम्प्यूटर नेटवर्क']",0,"प्रश्न: निम्नलिखित में से कौन सी अवधारणा साइबर सुरक्षा पर तकनीकी प्रवचन का हिस्सा नहीं है?

उत्तर विकल्प: ['व्यावसायिक नेटवर्क', 'कंप्यूटर विशेषज्ञ', 'एंटी-वायरस उद्योग', 'कम्प्यूटर नेटवर्क']

उत्तर: व्यावसायिक नेटवर्क"
ऊर्जा सुरक्षा की खोज में संयुक्त राज्य अमेरिका द्वारा अपनाई गई रणनीति की विशेषताएं और अभिव्यक्तियां क्या हैं?,security_studies,"['फारस की खाड़ी में सैनिकों की तैनाती तेल-समृद्ध क्षेत्र में अपना प्रभुत्व सुरक्षित करने के अमेरिका के प्रयास का हिस्सा है।', 'ये सभी विकल्प।', 'संयुक्त राज्य अमेरिका ने सैनिकों की तैनाती और अन्य हस्तक्षेपों के माध्यम से मित्र और प्रतिद्वंद्वी शक्तियों के विरूद्ध अपनी प्रधानता की पुष्टि करने का प्रयास किया है।', 'संयुक्त राज्य अमेरिका ने सक्रिय रूप से तेल-समृद्ध मैत्रीपूर्ण राजनीतिक अभिनेताओं को स्थिर करने और आर्थिक और राजनीतिक यथास्थिति को सुरक्षित करने का प्रयास किया है।']",1,"प्रश्न: ऊर्जा सुरक्षा की खोज में संयुक्त राज्य अमेरिका द्वारा अपनाई गई रणनीति की विशेषताएं और अभिव्यक्तियां क्या हैं?

उत्तर विकल्प: ['फारस की खाड़ी में सैनिकों की तैनाती तेल-समृद्ध क्षेत्र में अपना प्रभुत्व सुरक्षित करने के अमेरिका के प्रयास का हिस्सा है।', 'ये सभी विकल्प।', 'संयुक्त राज्य अमेरिका ने सैनिकों की तैनाती और अन्य हस्तक्षेपों के माध्यम से मित्र और प्रतिद्वंद्वी शक्तियों के विरूद्ध अपनी प्रधानता की पुष्टि करने का प्रयास किया है।', 'संयुक्त राज्य अमेरिका ने सक्रिय रूप से तेल-समृद्ध मैत्रीपूर्ण राजनीतिक अभिनेताओं को स्थिर करने और आर्थिक और राजनीतिक यथास्थिति को सुरक्षित करने का प्रयास किया है।']

उत्तर: ये सभी विकल्प।"
पारंपरिक और समालोचनात्मक सामाजिक रचनावाद के सिद्धांत किस प्रकार भिन्न हैं?,security_studies,"['पारंपरिक रचनात्मकवादी रचनात्मकता को तर्कवादी और प्रतिबिंबवादी दृष्टिकोणों के बीच एक पुल के रूप में देखते हैं, दोनों को दूसरे के अंतर्दृष्टि से लाभान्वित करने में सक्षम बनाते हैं। इसके विपरीत, आलोचनात्मक रचनावादियों का तर्क है कि यह दृष्टिकोण केवल द्विआधारी भेदों को पुनः उत्पन्न करता है जो सकारात्मकवादी पद्धति की विशेषता है।', 'समालोचनात्मक रचनावाद सामाजिक रचनावाद की ताकत को तर्कवादी और चिंतनशीलता दृष्टिकोणों को जोड़ने की क्षमता मानता है इसके विपरीत, सामाजिक रचनावादी इसे विश्लेषण के सकारात्मकवादी द्विआधारी ढांचे के लिए एक बेकार प्रतिगमन के रूप में देखते हैं।', 'पारंपरिक रचनावाद सामाजिक रचनावादी सिद्धांतकारों के पहले के कार्यों को संदर्भित करता है जो सकारात्मकवादी पद्धति की अस्वीकृति की विशेषता है। आलोचनात्मक रचनावादी इन सिद्धांतों को चुनौती देते हैं, अपने काम में सकारात्मकवादी कार्यप्रणाली को अपनाते हैं।', 'सामाजिक रचनावाद को सामाजिक पहचान और सुरक्षा के निर्माण के लिए एक समान दृष्टिकोण के रूप में सबसे अच्छा समझा जाता है; हालांकि क्षेत्र के भीतर मतभेद मौजूद हैं इन्हें आसानी से विशिष्ट अलग-अलग दृष्टिकोणों के रूप में परिभाषित नहीं किया जा सकता है।']",0,"प्रश्न: पारंपरिक और समालोचनात्मक सामाजिक रचनावाद के सिद्धांत किस प्रकार भिन्न हैं?

उत्तर विकल्प: ['पारंपरिक रचनात्मकवादी रचनात्मकता को तर्कवादी और प्रतिबिंबवादी दृष्टिकोणों के बीच एक पुल के रूप में देखते हैं, दोनों को दूसरे के अंतर्दृष्टि से लाभान्वित करने में सक्षम बनाते हैं। इसके विपरीत, आलोचनात्मक रचनावादियों का तर्क है कि यह दृष्टिकोण केवल द्विआधारी भेदों को पुनः उत्पन्न करता है जो सकारात्मकवादी पद्धति की विशेषता है।', 'समालोचनात्मक रचनावाद सामाजिक रचनावाद की ताकत को तर्कवादी और चिंतनशीलता दृष्टिकोणों को जोड़ने की क्षमता मानता है इसके विपरीत, सामाजिक रचनावादी इसे विश्लेषण के सकारात्मकवादी द्विआधारी ढांचे के लिए एक बेकार प्रतिगमन के रूप में देखते हैं।', 'पारंपरिक रचनावाद सामाजिक रचनावादी सिद्धांतकारों के पहले के कार्यों को संदर्भित करता है जो सकारात्मकवादी पद्धति की अस्वीकृति की विशेषता है। आलोचनात्मक रचनावादी इन सिद्धांतों को चुनौती देते हैं, अपने काम में सकारात्मकवादी कार्यप्रणाली को अपनाते हैं।', 'सामाजिक रचनावाद को सामाजिक पहचान और सुरक्षा के निर्माण के लिए एक समान दृष्टिकोण के रूप में सबसे अच्छा समझा जाता है; हालांकि क्षेत्र के भीतर मतभेद मौजूद हैं इन्हें आसानी से विशिष्ट अलग-अलग दृष्टिकोणों के रूप में परिभाषित नहीं किया जा सकता है।']

उत्तर: पारंपरिक रचनात्मकवादी रचनात्मकता को तर्कवादी और प्रतिबिंबवादी दृष्टिकोणों के बीच एक पुल के रूप में देखते हैं, दोनों को दूसरे के अंतर्दृष्टि से लाभान्वित करने में सक्षम बनाते हैं। इसके विपरीत, आलोचनात्मक रचनावादियों का तर्क है कि यह दृष्टिकोण केवल द्विआधारी भेदों को पुनः उत्पन्न करता है जो सकारात्मकवादी पद्धति की विशेषता है।"
