question,subject,choices,answer,qa
संयुक्त राष्ट्र सुरक्षा परिषद की संरचना क्या है?,us_foreign_policy,"['वीटो शक्ति के साथ 5 स्थायी सदस्य, वीटो शक्ति के बिना 10 घूर्णन सदस्य', '5 स्थायी सदस्य और 10 रोटिंग सदस्य, सभी के पास वीटो का अधिकार है', 'वीटो शक्ति के साथ 10 स्थायी सदस्य और वीटो शक्ति के बिना 5 घूर्णन सदस्य', '15 स्थायी सदस्य जिनके पास वीटो का अधिकार है']",0,"प्रश्न: संयुक्त राष्ट्र सुरक्षा परिषद की संरचना क्या है?

उत्तर विकल्प: ['वीटो शक्ति के साथ 5 स्थायी सदस्य, वीटो शक्ति के बिना 10 घूर्णन सदस्य', '5 स्थायी सदस्य और 10 रोटिंग सदस्य, सभी के पास वीटो का अधिकार है', 'वीटो शक्ति के साथ 10 स्थायी सदस्य और वीटो शक्ति के बिना 5 घूर्णन सदस्य', '15 स्थायी सदस्य जिनके पास वीटो का अधिकार है']

उत्तर: वीटो शक्ति के साथ 5 स्थायी सदस्य, वीटो शक्ति के बिना 10 घूर्णन सदस्य"
टोंकिन की खाड़ी के संकल्प का क्या महत्व था?,us_foreign_policy,"['इसने अमेरिका को वियतनाम में अपनी भागीदारी तेज करने की अनुमति दी।', 'यह अमेरिकी विदेश नीति पर जनमत के प्रभाव को दर्शाता है', 'इसने वियतनाम युद्ध पर कांग्रेस के नियंत्रण को बढ़ाया', 'इसने वियतनाम में अमेरिका की भागीदारी को कम कर दिया']",0,"प्रश्न: टोंकिन की खाड़ी के संकल्प का क्या महत्व था?

उत्तर विकल्प: ['इसने अमेरिका को वियतनाम में अपनी भागीदारी तेज करने की अनुमति दी।', 'यह अमेरिकी विदेश नीति पर जनमत के प्रभाव को दर्शाता है', 'इसने वियतनाम युद्ध पर कांग्रेस के नियंत्रण को बढ़ाया', 'इसने वियतनाम में अमेरिका की भागीदारी को कम कर दिया']

उत्तर: इसने अमेरिका को वियतनाम में अपनी भागीदारी तेज करने की अनुमति दी।"
जो एक गैर-राज्य अभिनेता नहीं है जो संयुक्त राज्य अमेरिका के लिए खतरा पैदा करता है?,us_foreign_policy,"['आतंकवादी', 'संगठित अपराध', 'नशीली दवाओं के तस्कर', 'चीन']",3,"प्रश्न: जो एक गैर-राज्य अभिनेता नहीं है जो संयुक्त राज्य अमेरिका के लिए खतरा पैदा करता है?

उत्तर विकल्प: ['आतंकवादी', 'संगठित अपराध', 'नशीली दवाओं के तस्कर', 'चीन']

उत्तर: चीन"
कम्युनिस्ट चीन का दौरा करने वाले पहले अमेरिकी राष्ट्रपति कौन थे?,us_foreign_policy,"['रिचर्ड निक्सन', 'जॉर्ज एच. डब्ल्यू. बुश', 'जिमी कार्टर', 'रोनाल्ड रीगन']",0,"प्रश्न: कम्युनिस्ट चीन का दौरा करने वाले पहले अमेरिकी राष्ट्रपति कौन थे?

उत्तर विकल्प: ['रिचर्ड निक्सन', 'जॉर्ज एच. डब्ल्यू. बुश', 'जिमी कार्टर', 'रोनाल्ड रीगन']

उत्तर: रिचर्ड निक्सन"
सामरिक हथियारों की कमी संधि पहला समझौता था,us_foreign_policy,"['संयुक्त राज्य अमेरिका और सोवियत संघ के बीच परमाणु हथियारों पर हस्ताक्षर किए गए।', 'यूरोप में पारंपरिक हथियारों को काटना।', 'अमेरिकी सीनेट द्वारा खारिज कर दिया जाना है.', 'कई लंबी दूरी की परमाणु मिसाइलों के उन्मूलन को अनिवार्य करना।']",3,"प्रश्न: सामरिक हथियारों की कमी संधि पहला समझौता था

उत्तर विकल्प: ['संयुक्त राज्य अमेरिका और सोवियत संघ के बीच परमाणु हथियारों पर हस्ताक्षर किए गए।', 'यूरोप में पारंपरिक हथियारों को काटना।', 'अमेरिकी सीनेट द्वारा खारिज कर दिया जाना है.', 'कई लंबी दूरी की परमाणु मिसाइलों के उन्मूलन को अनिवार्य करना।']

उत्तर: कई लंबी दूरी की परमाणु मिसाइलों के उन्मूलन को अनिवार्य करना।"
अमेरिकी अपवादवादवाद के लिए शीत युद्ध के क्या निहितार्थ थे?,us_foreign_policy,"['इसने पूरी तरह से अमेरिकी अपवादवादवाद के प्रभाव को समाप्त कर दिया', ''मुक्त दुनिया के नेता' के रूप में अमेरिका की स्थिति द्वारा अपवादवादवाद को बढ़ाया गया था', 'वैश्विक स्तर पर अमेरिकी शक्ति के विस्तार ने अपवादवादवाद की मुख्य धारणाओं को चुनौती दी', 'दोनों बी और सी']",3,"प्रश्न: अमेरिकी अपवादवादवाद के लिए शीत युद्ध के क्या निहितार्थ थे?

उत्तर विकल्प: ['इसने पूरी तरह से अमेरिकी अपवादवादवाद के प्रभाव को समाप्त कर दिया', ''मुक्त दुनिया के नेता' के रूप में अमेरिका की स्थिति द्वारा अपवादवादवाद को बढ़ाया गया था', 'वैश्विक स्तर पर अमेरिकी शक्ति के विस्तार ने अपवादवादवाद की मुख्य धारणाओं को चुनौती दी', 'दोनों बी और सी']

उत्तर: दोनों बी और सी"
1930 के दशक में फ्रैंकलिन डी रूजवेल्ट ने अमेरिका के 'अलगाववादी' रुख का समर्थन क्यों किया था?,us_foreign_policy,"['उनका मानना था कि अंतरराष्ट्रीय बातचीत के बजाय आंतरिक सुधार अमेरिका के आर्थिक पुनरुद्धार की कुंजी थी।', 'उनका मानना था कि यूरोप में जर्मन प्रभुत्व अमेरिका के हितों में होगा', 'वह हमेशा अलगाववाद का पक्षधर रहा है।', 'उपरोक्त सभी']",0,"प्रश्न: 1930 के दशक में फ्रैंकलिन डी रूजवेल्ट ने अमेरिका के 'अलगाववादी' रुख का समर्थन क्यों किया था?

उत्तर विकल्प: ['उनका मानना था कि अंतरराष्ट्रीय बातचीत के बजाय आंतरिक सुधार अमेरिका के आर्थिक पुनरुद्धार की कुंजी थी।', 'उनका मानना था कि यूरोप में जर्मन प्रभुत्व अमेरिका के हितों में होगा', 'वह हमेशा अलगाववाद का पक्षधर रहा है।', 'उपरोक्त सभी']

उत्तर: उनका मानना था कि अंतरराष्ट्रीय बातचीत के बजाय आंतरिक सुधार अमेरिका के आर्थिक पुनरुद्धार की कुंजी थी।"
'नया जनवाद' क्या था?,us_foreign_policy,"['नव-पृथकवादी भावना का एक धागा', 'अंतर्राष्ट्रीय भावना का एक धागा', 'अमेरिकी सांस्कृतिक श्रेष्ठता की अभिव्यक्ति', 'विदेश नीति निर्माण में जनमत का अधिक समावेश']",0,"प्रश्न: 'नया जनवाद' क्या था?

उत्तर विकल्प: ['नव-पृथकवादी भावना का एक धागा', 'अंतर्राष्ट्रीय भावना का एक धागा', 'अमेरिकी सांस्कृतिक श्रेष्ठता की अभिव्यक्ति', 'विदेश नीति निर्माण में जनमत का अधिक समावेश']

उत्तर: नव-पृथकवादी भावना का एक धागा"
प्रथम विश्व युद्ध ने आर्थिक शक्ति को यूरोप से संयुक्त राज्य अमेरिका में कैसे स्थानांतरित किया?,us_foreign_policy,"['युद्ध ने संयुक्त राज्य अमेरिका की तुलना में यूरोपीय जनसंख्या के स्तर को कम कर दिया', 'युद्ध के बाद संयुक्त राज्य अमेरिका ने जर्मन संसाधनों पर कब्जा कर लिया', 'यूरोपीय देशों ने सहायता के लिए संयुक्त राज्य अमेरिका को भुगतान किया', 'संयुक्त राज्य अमेरिका एक ऋणदाता देश और वित्तीय केंद्र बन गया, यूरोपीय युद्ध खर्च ने अमेरिकी अर्थव्यवस्था को बढ़ावा दिया']",3,"प्रश्न: प्रथम विश्व युद्ध ने आर्थिक शक्ति को यूरोप से संयुक्त राज्य अमेरिका में कैसे स्थानांतरित किया?

उत्तर विकल्प: ['युद्ध ने संयुक्त राज्य अमेरिका की तुलना में यूरोपीय जनसंख्या के स्तर को कम कर दिया', 'युद्ध के बाद संयुक्त राज्य अमेरिका ने जर्मन संसाधनों पर कब्जा कर लिया', 'यूरोपीय देशों ने सहायता के लिए संयुक्त राज्य अमेरिका को भुगतान किया', 'संयुक्त राज्य अमेरिका एक ऋणदाता देश और वित्तीय केंद्र बन गया, यूरोपीय युद्ध खर्च ने अमेरिकी अर्थव्यवस्था को बढ़ावा दिया']

उत्तर: संयुक्त राज्य अमेरिका एक ऋणदाता देश और वित्तीय केंद्र बन गया, यूरोपीय युद्ध खर्च ने अमेरिकी अर्थव्यवस्था को बढ़ावा दिया"
"अमेरिकी सरकार में, युद्ध की घोषणा करने की शक्ति",us_foreign_policy,"['संयुक्त राज्य अमेरिका के राष्ट्रपति।', 'रक्षा सचिव।', 'संयुक्त चीफ्स ऑफ स्टाफ के अध्यक्ष।', 'कांग्रेस।']",3,"प्रश्न: अमेरिकी सरकार में, युद्ध की घोषणा करने की शक्ति

उत्तर विकल्प: ['संयुक्त राज्य अमेरिका के राष्ट्रपति।', 'रक्षा सचिव।', 'संयुक्त चीफ्स ऑफ स्टाफ के अध्यक्ष।', 'कांग्रेस।']

उत्तर: कांग्रेस।"
