good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,42,layers.0,0.07137907137907137,206,2886,1889,1203,7,60817408
0.0001,42,layers.1,0.10867446393762183,223,2052,1383,892,7,60817408
0.0001,42,layers.2,0.09971853638922397,248,2487,1791,944,7,60817408
0.0001,42,layers.3,0.1631578947368421,403,2470,1787,1086,7,60817408
0.0001,42,layers.4,0.23485107839780897,686,2921,2157,1450,7,60817408
0.0001,42,layers.5,0.1236036036036036,343,2775,1818,1300,7,60817408
0.0001,42,layers.6,0.19320388349514564,597,3090,2180,1507,7,60817408
0.0001,42,layers.7,0.15776782638649672,458,2903,1929,1432,7,60817408
0.0001,42,layers.8,0.14375,483,3360,2509,1334,7,60817408
0.0001,42,layers.9,0.12149278125851266,446,3671,2512,1605,7,60817408
0.0001,42,layers.10,0.13678985107556535,496,3626,2443,1679,7,60817408
0.0001,42,layers.11,0.11313868613138686,372,3288,2274,1386,7,60817408
0.0001,42,layers.12,0.09567406729228656,418,4369,2988,1799,7,60817408
0.0001,42,layers.13,0.11011310711909514,331,3006,2272,1065,7,60817408
0.0001,42,layers.14,0.04765863119977833,172,3609,2456,1325,7,60817408
0.0001,42,layers.15,0.04885844748858448,107,2190,1351,946,7,60817408
0.001,42,layers.0,0.08212989969410259,2309,28114,18186,12237,7,60817408
0.001,42,layers.1,0.18948929159802305,5751,30350,22051,14050,7,60817408
0.001,42,layers.2,0.16172360948345804,5382,33279,23172,15489,7,60817408
0.001,42,layers.3,0.17044466345875123,5880,34498,22018,18360,7,60817408
0.001,42,layers.4,0.23212400856479387,7697,33159,23577,17279,7,60817408
0.001,42,layers.5,0.22092945947742837,6646,30082,21469,15259,7,60817408
0.001,42,layers.6,0.21437459070072037,6547,30540,21324,15763,7,60817408
0.001,42,layers.7,0.1794022135330373,5414,30178,20061,15531,7,60817408
0.001,42,layers.8,0.1744193653909061,5332,30570,22870,13032,7,60817408
0.001,42,layers.9,0.17132705082651012,5545,32365,24857,13053,7,60817408
0.001,42,layers.10,0.1347206027446408,4506,33447,23687,14266,7,60817408
0.001,42,layers.11,0.11072511717673009,4016,36270,27538,12748,7,60817408
0.001,42,layers.12,0.12229943145925458,4840,39575,29491,14924,7,60817408
0.001,42,layers.13,0.11331018518518518,3916,34560,24692,13784,7,60817408
0.001,42,layers.14,0.07286048918668628,2675,36714,26443,12946,7,60817408
0.001,42,layers.15,0.04217159476490548,1305,30945,19523,12727,7,60817408
0.01,42,layers.0,0.1344299914438587,34094,253619,164604,123109,7,60817408
0.01,42,layers.1,0.16573849161680193,44760,270064,184579,130245,7,60817408
0.01,42,layers.2,0.18593036626771633,54652,293938,202351,146239,7,60817408
0.01,42,layers.3,0.1848204258260098,47066,254658,182950,118774,7,60817408
0.01,42,layers.4,0.2206505259538286,56468,255916,188923,123461,7,60817408
0.01,42,layers.5,0.22724587956013528,60404,265809,182979,143234,7,60817408
0.01,42,layers.6,0.2104088659755019,55913,265735,174557,147091,7,60817408
0.01,42,layers.7,0.20372007806587805,51148,251070,172261,129957,7,60817408
0.01,42,layers.8,0.18598478407133298,50310,270506,189122,131694,7,60817408
0.01,42,layers.9,0.17441362148379963,48431,277679,183306,142804,7,60817408
0.01,42,layers.10,0.1350500598339515,36339,269078,171059,134358,7,60817408
0.01,42,layers.11,0.16703299018299791,47573,284812,197882,134503,7,60817408
0.01,42,layers.12,0.14637586375467385,44315,302748,211702,135361,7,60817408
0.01,42,layers.13,0.13470528367632092,39045,289855,209758,119142,7,60817408
0.01,42,layers.14,0.15528566440754288,47589,306461,216011,138039,7,60817408
0.01,42,layers.15,0.09221362918573106,22774,246970,155754,113990,7,60817408
0.025,42,layers.0,0.14606196790278259,99713,682676,437903,344486,7,60817408
0.025,42,layers.1,0.1460253252085224,84472,578475,355826,307121,7,60817408
0.025,42,layers.2,0.1650524763956183,94940,575211,380374,289777,7,60817408
0.025,42,layers.3,0.18226018226018226,112160,615384,391701,335843,7,60817408
0.025,42,layers.4,0.20639810581533008,126224,611556,382282,355498,7,60817408
0.025,42,layers.5,0.21413185109436078,129826,606290,400767,335349,7,60817408
0.025,42,layers.6,0.1942741449702162,116106,597640,397086,316660,7,60817408
0.025,42,layers.7,0.1973036199103273,108209,548439,369432,287216,7,60817408
0.025,42,layers.8,0.17761896433597066,110698,623233,391280,342651,7,60817408
0.025,42,layers.9,0.18136285943045305,112579,620739,408140,325178,7,60817408
0.025,42,layers.10,0.15749188518067236,95390,605682,424596,276476,7,60817408
