question,subject,choices,answer,qa
"Die Ästhetik beschäftigt sich mit Objekten, die_____ sind.",philosophy,"['unerlässlich für unsere Existenz', 'für die meisten Menschen unwichtig', 'nicht unerlässlich für unsere Existenz', 'selten angesehen']",2,"Frage: Die Ästhetik beschäftigt sich mit Objekten, die_____ sind.

Antwortoptionen: ['unerlässlich für unsere Existenz', 'für die meisten Menschen unwichtig', 'nicht unerlässlich für unsere Existenz', 'selten angesehen']

Antwort: nicht unerlässlich für unsere Existenz"
"Für Sokrates ist ein unerforschtes Leben eine Tragödie, weil es _____ schweren Schaden zufügt.",philosophy,"['der Staat', 'das Justizsystem', 'der Körper', 'die Seele']",3,"Frage: Für Sokrates ist ein unerforschtes Leben eine Tragödie, weil es _____ schweren Schaden zufügt.

Antwortoptionen: ['der Staat', 'das Justizsystem', 'der Körper', 'die Seele']

Antwort: die Seele"
"Laut Kant kann nichts ohne Qualifikation als ""gut"" bezeichnet werden, außer _____.",philosophy,"['richtige Handlung', 'gute Folgen', 'Glückseligkeit', 'ein guter Wille']",3,"Frage: Laut Kant kann nichts ohne Qualifikation als ""gut"" bezeichnet werden, außer _____.

Antwortoptionen: ['richtige Handlung', 'gute Folgen', 'Glückseligkeit', 'ein guter Wille']

Antwort: ein guter Wille"
Nach Platons Ansicht ist wahre Schönheit _____.,philosophy,"['in Gegenständen des täglichen Gebrauchs', 'nicht vorhanden', 'überall in der natürlichen Welt', 'Nicht von dieser Welt']",3,"Frage: Nach Platons Ansicht ist wahre Schönheit _____.

Antwortoptionen: ['in Gegenständen des täglichen Gebrauchs', 'nicht vorhanden', 'überall in der natürlichen Welt', 'Nicht von dieser Welt']

Antwort: Nicht von dieser Welt"
"In Aristoteles' Terminologie ist Inkontinenz, wenn:",philosophy,"['Man weiß nicht, dass das, was man tut, falsch ist.', 'Man weiß, dass das, was man tut, falsch ist, aber man tut es trotzdem.', 'Man weiß, dass seine Gefühle unangemessen sind, und handelt nicht danach.', 'Man tut das Richtige, aber aus dem Falschen.']",1,"Frage: In Aristoteles' Terminologie ist Inkontinenz, wenn:

Antwortoptionen: ['Man weiß nicht, dass das, was man tut, falsch ist.', 'Man weiß, dass das, was man tut, falsch ist, aber man tut es trotzdem.', 'Man weiß, dass seine Gefühle unangemessen sind, und handelt nicht danach.', 'Man tut das Richtige, aber aus dem Falschen.']

Antwort: Man weiß, dass das, was man tut, falsch ist, aber man tut es trotzdem."
"Nagel behauptet, dass die meisten skeptischen Argumente:",philosophy,"['sind das Ergebnis der Anwendung willkürlich strenger Standards.', 'Sie beruhen auf sprachlichen Verwirrungen.', 'sind logisch selbst widerlegend.', 'die sich aus der konsequenten Anwendung gewöhnlicher Normen ergeben.']",3,"Frage: Nagel behauptet, dass die meisten skeptischen Argumente:

Antwortoptionen: ['sind das Ergebnis der Anwendung willkürlich strenger Standards.', 'Sie beruhen auf sprachlichen Verwirrungen.', 'sind logisch selbst widerlegend.', 'die sich aus der konsequenten Anwendung gewöhnlicher Normen ergeben.']

Antwort: die sich aus der konsequenten Anwendung gewöhnlicher Normen ergeben."
"Rawls konzipiert den ursprünglichen Vertrag als einen, um:",philosophy,"['in eine bestimmte Gesellschaft eintreten.', 'eine bestimmte Regierungsform aufzubauen.', 'die Grundsätze der Gerechtigkeit für die grundlegende Struktur der Gesellschaft festlegen.', 'den Inhalt der Moral festzulegen.']",2,"Frage: Rawls konzipiert den ursprünglichen Vertrag als einen, um:

Antwortoptionen: ['in eine bestimmte Gesellschaft eintreten.', 'eine bestimmte Regierungsform aufzubauen.', 'die Grundsätze der Gerechtigkeit für die grundlegende Struktur der Gesellschaft festlegen.', 'den Inhalt der Moral festzulegen.']

Antwort: die Grundsätze der Gerechtigkeit für die grundlegende Struktur der Gesellschaft festlegen."
Nach Singer erfordert die Einhaltung seines Grundsatzes:,philosophy,"['Der Präsident. - Nach der Tagesordnung folgt die Aussprache über den Bericht (Dok.', 'Der Präsident. - Nach der Tagesordnung folgt die Aussprache über den Bericht (Dok.', 'drastische Veränderungen in unseren persönlichen Gewohnheiten, aber nicht in unserer Gesellschaft.', 'drastische Veränderungen sowohl in unseren persönlichen Gewohnheiten als auch in unserer Gesellschaft.']",3,"Frage: Nach Singer erfordert die Einhaltung seines Grundsatzes:

Antwortoptionen: ['Der Präsident. - Nach der Tagesordnung folgt die Aussprache über den Bericht (Dok.', 'Der Präsident. - Nach der Tagesordnung folgt die Aussprache über den Bericht (Dok.', 'drastische Veränderungen in unseren persönlichen Gewohnheiten, aber nicht in unserer Gesellschaft.', 'drastische Veränderungen sowohl in unseren persönlichen Gewohnheiten als auch in unserer Gesellschaft.']

Antwort: drastische Veränderungen sowohl in unseren persönlichen Gewohnheiten als auch in unserer Gesellschaft."
Für Sokrates wird die Seele durch den Mangel an _____ geschädigt.,philosophy,"['Erkenntnis', 'Vermögen', 'Gemeinschaft', 'Mut und Mutlosigkeit']",0,"Frage: Für Sokrates wird die Seele durch den Mangel an _____ geschädigt.

Antwortoptionen: ['Erkenntnis', 'Vermögen', 'Gemeinschaft', 'Mut und Mutlosigkeit']

Antwort: Erkenntnis"
Laut Kant verlangt die Moral von uns:,philosophy,"['die Handlung auszuführen, die zum größten Glück führt.', 'Handeln wir nur nach Maximen, die wir wollen, um universelle Gesetze zu werden.', 'Verhalten Sie sich nur so, wie sich ein vollkommen tugendhafter Mensch verhalten würde.', 'die Interessen anderer über unsere eigenen Interessen stellen.']",1,"Frage: Laut Kant verlangt die Moral von uns:

Antwortoptionen: ['die Handlung auszuführen, die zum größten Glück führt.', 'Handeln wir nur nach Maximen, die wir wollen, um universelle Gesetze zu werden.', 'Verhalten Sie sich nur so, wie sich ein vollkommen tugendhafter Mensch verhalten würde.', 'die Interessen anderer über unsere eigenen Interessen stellen.']

Antwort: Handeln wir nur nach Maximen, die wir wollen, um universelle Gesetze zu werden."
