question,subject,choices,answer,qa
"Der Hauptfaktor, der die wirtschaftlichen Fortschritte der Subsistenzökonomien verhindert, ist der Mangel an",high_school_geography,"['eine Währung.', 'eine gut vernetzte Verkehrsinfrastruktur.', 'Regierungstätigkeit.', 'ein Bankdienst.']",1,"Frage: Der Hauptfaktor, der die wirtschaftlichen Fortschritte der Subsistenzökonomien verhindert, ist der Mangel an

Antwortoptionen: ['eine Währung.', 'eine gut vernetzte Verkehrsinfrastruktur.', 'Regierungstätigkeit.', 'ein Bankdienst.']

Antwort: eine gut vernetzte Verkehrsinfrastruktur."
"Die Tendenz einer Population, lange nach Erreichung der Ersatzfruchtbarkeit weiter zu wachsen, wird als",high_school_geography,"['Null Bevölkerungswachstum.', 'schnelle Wachstumsrate.', 'homöostatisches Plateau.', 'demografische Dynamik.']",3,"Frage: Die Tendenz einer Population, lange nach Erreichung der Ersatzfruchtbarkeit weiter zu wachsen, wird als

Antwortoptionen: ['Null Bevölkerungswachstum.', 'schnelle Wachstumsrate.', 'homöostatisches Plateau.', 'demografische Dynamik.']

Antwort: demografische Dynamik."
Die Tendenz zur Abnahme der Wanderung mit der Entfernung wird als,high_school_geography,"['Push-Faktoren.', 'Anziehungsfaktoren.', 'Entfernungszerfall.', 'Migrationsselektivität.']",2,"Frage: Die Tendenz zur Abnahme der Wanderung mit der Entfernung wird als

Antwortoptionen: ['Push-Faktoren.', 'Anziehungsfaktoren.', 'Entfernungszerfall.', 'Migrationsselektivität.']

Antwort: Entfernungszerfall."
"Welche Zone enthält einkommensschwache Slums, ethnische Ghettos und allgemeine Verschlechterung in Burgess' konzentrischem Zonenmodell der städtischen Form?",high_school_geography,"['Zuerst', 'Zweitens', 'Drittens:', 'Viertens']",0,"Frage: Welche Zone enthält einkommensschwache Slums, ethnische Ghettos und allgemeine Verschlechterung in Burgess' konzentrischem Zonenmodell der städtischen Form?

Antwortoptionen: ['Zuerst', 'Zweitens', 'Drittens:', 'Viertens']

Antwort: Zuerst"
Welche der folgenden Aussagen bezüglich der Erwerbstätigen ist WAHR?,high_school_geography,"['Die meisten Frauen arbeiten in der Landwirtschaft', 'Der Anteil der wirtschaftlich aktiven Frauen an der Erwerbsbevölkerung ging weltweit zurück', 'Der Anteil der Frauen an der gesamten Erwerbsbevölkerung ging zurück', 'Frauen arbeiten mehr Stunden pro Tag als Männer in allen Regionen außer Angloamerika und Australien']",3,"Frage: Welche der folgenden Aussagen bezüglich der Erwerbstätigen ist WAHR?

Antwortoptionen: ['Die meisten Frauen arbeiten in der Landwirtschaft', 'Der Anteil der wirtschaftlich aktiven Frauen an der Erwerbsbevölkerung ging weltweit zurück', 'Der Anteil der Frauen an der gesamten Erwerbsbevölkerung ging zurück', 'Frauen arbeiten mehr Stunden pro Tag als Männer in allen Regionen außer Angloamerika und Australien']

Antwort: Frauen arbeiten mehr Stunden pro Tag als Männer in allen Regionen außer Angloamerika und Australien"
Alle folgenden Faktoren können als Anziehungsfaktoren der Migration angesehen werden,high_school_geography,"['Sicherheit.', 'besseres Klima.', 'bessere Schulen.', 'Überfüllung.']",3,"Frage: Alle folgenden Faktoren können als Anziehungsfaktoren der Migration angesehen werden

Antwortoptionen: ['Sicherheit.', 'besseres Klima.', 'bessere Schulen.', 'Überfüllung.']

Antwort: Überfüllung."
Welches der folgenden Länder hat NICHT ein bekanntes Beispiel für eine Reliktgrenze?,high_school_geography,"['Südafrika', 'Vereinigtes Königreich', 'Vereinigtes Königreich', 'Südafrika']",3,"Frage: Welches der folgenden Länder hat NICHT ein bekanntes Beispiel für eine Reliktgrenze?

Antwortoptionen: ['Südafrika', 'Vereinigtes Königreich', 'Vereinigtes Königreich', 'Südafrika']

Antwort: Südafrika"
Welche der folgenden Migrationsformen praktizieren landwirtschaftliche Arbeiter aus einem anderen Land am ehesten im Laufe des Jahres?,high_school_geography,"['Kettenmigration', 'Migration von Clustern', 'Kreislaufmigration', 'Internationale Migration']",2,"Frage: Welche der folgenden Migrationsformen praktizieren landwirtschaftliche Arbeiter aus einem anderen Land am ehesten im Laufe des Jahres?

Antwortoptionen: ['Kettenmigration', 'Migration von Clustern', 'Kreislaufmigration', 'Internationale Migration']

Antwort: Kreislaufmigration"
Welche der folgenden Kraft ist eine Zentrifugalkraft in einem Land?,high_school_geography,"['Religiöse Unterschiede', 'Ein nationaler Feiertag', 'Ein Angriff eines anderen Landes', 'Ein charismatischer nationaler Führer']",0,"Frage: Welche der folgenden Kraft ist eine Zentrifugalkraft in einem Land?

Antwortoptionen: ['Religiöse Unterschiede', 'Ein nationaler Feiertag', 'Ein Angriff eines anderen Landes', 'Ein charismatischer nationaler Führer']

Antwort: Religiöse Unterschiede"
Die frühen Siedlungen und die hohe Bevölkerungsdichte entlang der Küsten und Flüsse lassen sich am besten auf welche der folgenden Bezeichnungen zurückführen?,high_school_geography,"['Mittelmeerklima', 'Begrenzte Waldfläche', 'Wachstum des verarbeitenden Gewerbes', 'Zugang zu Handelsrouten']",3,"Frage: Die frühen Siedlungen und die hohe Bevölkerungsdichte entlang der Küsten und Flüsse lassen sich am besten auf welche der folgenden Bezeichnungen zurückführen?

Antwortoptionen: ['Mittelmeerklima', 'Begrenzte Waldfläche', 'Wachstum des verarbeitenden Gewerbes', 'Zugang zu Handelsrouten']

Antwort: Zugang zu Handelsrouten"
