question,subject,choices,answer,qa
निम्नलिखित शैलियों में से कौन सा फ्यूज़र निम्नलिखित प्रोग्राम में कोड की प्रत्येक पंक्ति को कवर करने वाले मार्गों का पता लगाने की अधिक संभावना है?,computer_security,"['पीढ़ीगत', 'ब्लैकबॉक्स', 'व्हाइटबॉक्स', 'उत्परिवर्तन आधारित']",2,"प्रश्न: निम्नलिखित शैलियों में से कौन सा फ्यूज़र निम्नलिखित प्रोग्राम में कोड की प्रत्येक पंक्ति को कवर करने वाले मार्गों का पता लगाने की अधिक संभावना है?

उत्तर विकल्प: ['पीढ़ीगत', 'ब्लैकबॉक्स', 'व्हाइटबॉक्स', 'उत्परिवर्तन आधारित']

उत्तर: व्हाइटबॉक्स"
"मान लें कि एक टीएलएस कनेक्शन एक ग्राहक और एक सर्वर के बीच सफलतापूर्वक स्थापित किया गया है सत्र की स्थापना सर्वर प्रमाणपत्र की जाँच और एक DiffieHelmann विनिमय निष्पादित शामिल है, लेकिन ग्राहक एक ग्राहक प्रमाणपत्र प्रदान नहीं किया इसके अलावा, मान लें कि क्लाइंट और सर्वर ईमानदार हैं, कि क्लाइंट और सर्वर अपनी चाबियाँ लीक नहीं करते हैं, और क्रिप्टोग्राफी अच्छी है निम्नलिखित में से किस हमले से टीएलएस सुरक्षा प्रदान करता है? एक हमलावर एक क्लाइंट द्वारा पहले भेजे गए बाइट्स को फिर से चला रहा है. 2 एक हमलावर सर्वर का पर्दाफाश कर रहा है.",computer_security,"['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']",0,"प्रश्न: मान लें कि एक टीएलएस कनेक्शन एक ग्राहक और एक सर्वर के बीच सफलतापूर्वक स्थापित किया गया है सत्र की स्थापना सर्वर प्रमाणपत्र की जाँच और एक DiffieHelmann विनिमय निष्पादित शामिल है, लेकिन ग्राहक एक ग्राहक प्रमाणपत्र प्रदान नहीं किया इसके अलावा, मान लें कि क्लाइंट और सर्वर ईमानदार हैं, कि क्लाइंट और सर्वर अपनी चाबियाँ लीक नहीं करते हैं, और क्रिप्टोग्राफी अच्छी है निम्नलिखित में से किस हमले से टीएलएस सुरक्षा प्रदान करता है? एक हमलावर एक क्लाइंट द्वारा पहले भेजे गए बाइट्स को फिर से चला रहा है. 2 एक हमलावर सर्वर का पर्दाफाश कर रहा है.

उत्तर विकल्प: ['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']

उत्तर: सच, सच"
एमआईटी के केर्बेरोस केडीसी सर्वर का अधिकतम टिकट जीवनकाल 24 घंटे (अधिकांश उपयोगकर्ता प्रिंसिपल के लिए) है। यह क्या सुनिश्चित करता है कि एक समाप्त हो गया केर्बेरोस टिकट अब उपयोग नहीं किया जा सकता है?,computer_security,"['केर्बेरोस सर्वर (केडीसी) समाप्त हो चुके टिकटों के लिए क्लाइंट और सर्वर के बीच नए कनेक्शन स्थापित करने से इनकार करता है।', 'जब कोई क्लाइंट किसी सर्वर से कनेक्ट होता है, तो सर्वर कनेक्शन को समाप्त करने के लिए 24 घंटे का टाइमर सेट करता है, जो यह सुनिश्चित करता है कि कोई क्लाइंट टिकट के अधिकतम जीवनकाल से अधिक कनेक्टेड नहीं रह सकता है।', 'जब कोई क्लाइंट सर्वर से जुड़ता है सर्वर सर्वर की वर्तमान घड़ी के लिए टिकट की समाप्ति समय की तुलना करता है और उपयोगकर्ता को प्रमाणित करने से इनकार करता है यदि टिकट समाप्ति समय अतीत में है।', 'जब कोई क्लाइंट सर्वर से जुड़ता है सर्वर केडीसी को यह जांचने के लिए एक क्वेरी भेजता है कि क्या टिकट अभी भी केडीसी की घड़ी के संबंध में वैध है और यदि केडीसी रिपोर्ट करता है कि टिकट समाप्त हो गया है तो उपयोगकर्ता को प्रमाणित करने से इनकार करता है।']",2,"प्रश्न: एमआईटी के केर्बेरोस केडीसी सर्वर का अधिकतम टिकट जीवनकाल 24 घंटे (अधिकांश उपयोगकर्ता प्रिंसिपल के लिए) है। यह क्या सुनिश्चित करता है कि एक समाप्त हो गया केर्बेरोस टिकट अब उपयोग नहीं किया जा सकता है?

उत्तर विकल्प: ['केर्बेरोस सर्वर (केडीसी) समाप्त हो चुके टिकटों के लिए क्लाइंट और सर्वर के बीच नए कनेक्शन स्थापित करने से इनकार करता है।', 'जब कोई क्लाइंट किसी सर्वर से कनेक्ट होता है, तो सर्वर कनेक्शन को समाप्त करने के लिए 24 घंटे का टाइमर सेट करता है, जो यह सुनिश्चित करता है कि कोई क्लाइंट टिकट के अधिकतम जीवनकाल से अधिक कनेक्टेड नहीं रह सकता है।', 'जब कोई क्लाइंट सर्वर से जुड़ता है सर्वर सर्वर की वर्तमान घड़ी के लिए टिकट की समाप्ति समय की तुलना करता है और उपयोगकर्ता को प्रमाणित करने से इनकार करता है यदि टिकट समाप्ति समय अतीत में है।', 'जब कोई क्लाइंट सर्वर से जुड़ता है सर्वर केडीसी को यह जांचने के लिए एक क्वेरी भेजता है कि क्या टिकट अभी भी केडीसी की घड़ी के संबंध में वैध है और यदि केडीसी रिपोर्ट करता है कि टिकट समाप्त हो गया है तो उपयोगकर्ता को प्रमाणित करने से इनकार करता है।']

उत्तर: जब कोई क्लाइंट सर्वर से जुड़ता है सर्वर सर्वर की वर्तमान घड़ी के लिए टिकट की समाप्ति समय की तुलना करता है और उपयोगकर्ता को प्रमाणित करने से इनकार करता है यदि टिकट समाप्ति समय अतीत में है।"
"संदेश कंडेंशियल में, प्रेषित संदेश को केवल इच्छित के लिए समझ में आना चाहिए",computer_security,"['प्राप्तकर्ता', 'प्रेषक', 'मॉड्यूलर', 'अनुवादक']",0,"प्रश्न: संदेश कंडेंशियल में, प्रेषित संदेश को केवल इच्छित के लिए समझ में आना चाहिए

उत्तर विकल्प: ['प्राप्तकर्ता', 'प्रेषक', 'मॉड्यूलर', 'अनुवादक']

उत्तर: प्राप्तकर्ता"
निम्नलिखित में से कौन सा एक दूरस्थ ट्रोजन है?,computer_security,"['ट्रोया', 'डिक्रिप्टिक', 'बैंकर', 'खेल-ट्रोजन']",0,"प्रश्न: निम्नलिखित में से कौन सा एक दूरस्थ ट्रोजन है?

उत्तर विकल्प: ['ट्रोया', 'डिक्रिप्टिक', 'बैंकर', 'खेल-ट्रोजन']

उत्तर: ट्रोया"
______________ एक व्यापक एप्लिकेशन कोडिंग त्रुटि है जो डेवलपर्स द्वारा बनाई गई है जिसका उपयोग एक हमलावर द्वारा आपके सिस्टम तक पहुंच या खराबी प्राप्त करने के लिए किया जा सकता है।,computer_security,"['स्मृति रिसाव', 'बफर ओवररोल', 'कम प्रसंस्करण शक्ति', 'अप्रभावी प्रोग्रामिंग']",1,"प्रश्न: ______________ एक व्यापक एप्लिकेशन कोडिंग त्रुटि है जो डेवलपर्स द्वारा बनाई गई है जिसका उपयोग एक हमलावर द्वारा आपके सिस्टम तक पहुंच या खराबी प्राप्त करने के लिए किया जा सकता है।

उत्तर विकल्प: ['स्मृति रिसाव', 'बफर ओवररोल', 'कम प्रसंस्करण शक्ति', 'अप्रभावी प्रोग्रामिंग']

उत्तर: बफर ओवररोल"
"कागज पर विचार करें मूल ग्राहकः पोर्टेबल के लिए एक सैंडबॉक्स, अविश्वसनीय x86 मूल कोड द्वारा यी एट अल बेन बिटडिडल नोट करता है कि NaCl इंटेल x86 विभाजन का उपयोग करता है ताकि यह सुनिश्चित किया जा सके कि सैंडबॉक्स मॉड्यूल अपने स्वयं के डेटा क्षेत्र के बाहर मेमोरी नहीं पढ़ता या लिखता है और अपने स्वयं के कोड के बाहर के निर्देशों को निष्पादित नहीं करता है बेन सोचता है कि इन प्रतिबंधों के साथ अकेले, सैंडबॉक्स मॉड्यूल को निष्पादित करना सुरक्षित होना चाहिए; अर्थात्, वह सोचता है कि सत्यापन की आवश्यकता नहीं है बेन गलत है x86 मशीन निर्देशों के प्रकारों को सर्कल करें जो सत्यापनकर्ता हमेशा सैंडबॉक्स कोड में प्रतिबंधित करता है कृपया ट्रेम्पोलिन और स्प्रिंगबोर्ड कोड को अनदेखा करें।",computer_security,"['सभी निर्देश जो खंड राज्य को संशोधित करते हैं', 'सभी लोड या स्टोर उन पते के लिए जो 0 mod 32 नहीं हैं', 'सभी अप्रत्यक्ष भार या भंडार (एक रजिस्टर या चर में एक पते के माध्यम से)', 'सभी अप्रत्यक्ष कूद (एक रजिस्टर या चर में एक पते के माध्यम से)']",0,"प्रश्न: कागज पर विचार करें मूल ग्राहकः पोर्टेबल के लिए एक सैंडबॉक्स, अविश्वसनीय x86 मूल कोड द्वारा यी एट अल बेन बिटडिडल नोट करता है कि NaCl इंटेल x86 विभाजन का उपयोग करता है ताकि यह सुनिश्चित किया जा सके कि सैंडबॉक्स मॉड्यूल अपने स्वयं के डेटा क्षेत्र के बाहर मेमोरी नहीं पढ़ता या लिखता है और अपने स्वयं के कोड के बाहर के निर्देशों को निष्पादित नहीं करता है बेन सोचता है कि इन प्रतिबंधों के साथ अकेले, सैंडबॉक्स मॉड्यूल को निष्पादित करना सुरक्षित होना चाहिए; अर्थात्, वह सोचता है कि सत्यापन की आवश्यकता नहीं है बेन गलत है x86 मशीन निर्देशों के प्रकारों को सर्कल करें जो सत्यापनकर्ता हमेशा सैंडबॉक्स कोड में प्रतिबंधित करता है कृपया ट्रेम्पोलिन और स्प्रिंगबोर्ड कोड को अनदेखा करें।

उत्तर विकल्प: ['सभी निर्देश जो खंड राज्य को संशोधित करते हैं', 'सभी लोड या स्टोर उन पते के लिए जो 0 mod 32 नहीं हैं', 'सभी अप्रत्यक्ष भार या भंडार (एक रजिस्टर या चर में एक पते के माध्यम से)', 'सभी अप्रत्यक्ष कूद (एक रजिस्टर या चर में एक पते के माध्यम से)']

उत्तर: सभी निर्देश जो खंड राज्य को संशोधित करते हैं"
____________ डार्कनेट का एक हिस्सा भी है जिसका उपयोग फ़ाइलों को गुमनाम रूप से स्थानांतरित करने के लिए किया जाता है।,computer_security,"['फ्रीनेट', 'ARPANET', 'स्टक्सनेट', 'इंटरनेट']",0,"प्रश्न: ____________ डार्कनेट का एक हिस्सा भी है जिसका उपयोग फ़ाइलों को गुमनाम रूप से स्थानांतरित करने के लिए किया जाता है।

उत्तर विकल्प: ['फ्रीनेट', 'ARPANET', 'स्टक्सनेट', 'इंटरनेट']

उत्तर: फ्रीनेट"
"सी, सी++ जैसी भाषाओं में विकसित ऐप्स बफर-ओवरफ्लो के लिए प्रवण क्यों हैं?",computer_security,"['पूर्वनिर्धारित फ़ंक्शंस में कोई स्ट्रिंग सीमा जाँच नहीं', 'बाहरी मेमोरी में भंडारण जाँच नहीं', 'कोई प्रसंस्करण शक्ति जाँच नहीं', 'कोई डेटाबेस जाँच नहीं']",0,"प्रश्न: सी, सी++ जैसी भाषाओं में विकसित ऐप्स बफर-ओवरफ्लो के लिए प्रवण क्यों हैं?

उत्तर विकल्प: ['पूर्वनिर्धारित फ़ंक्शंस में कोई स्ट्रिंग सीमा जाँच नहीं', 'बाहरी मेमोरी में भंडारण जाँच नहीं', 'कोई प्रसंस्करण शक्ति जाँच नहीं', 'कोई डेटाबेस जाँच नहीं']

उत्तर: पूर्वनिर्धारित फ़ंक्शंस में कोई स्ट्रिंग सीमा जाँच नहीं"
बीच में आदमी हमला अगर दो दलों नहीं कर रहे हैं Diffie Hellman विधि की सुरक्षा को खतरे में डाल सकता है,computer_security,"['सम्मिलित', 'प्रमाणित', 'प्रस्तुत किया गया', 'साझा']",1,"प्रश्न: बीच में आदमी हमला अगर दो दलों नहीं कर रहे हैं Diffie Hellman विधि की सुरक्षा को खतरे में डाल सकता है

उत्तर विकल्प: ['सम्मिलित', 'प्रमाणित', 'प्रस्तुत किया गया', 'साझा']

उत्तर: प्रमाणित"
पूर्णांक अतिप्रवाह तब होता है जब,computer_security,"['एक पूर्णांक अभिव्यक्ति का परिणाम 'चारों ओर लपेटता है'; एक बहुत बड़ी संख्या बनाने के बजाय, एक बहुत छोटी (या नकारात्मक) संख्या बनाई जा रही है', 'पूर्णांक का उपयोग पॉइंटर के रूप में किया जाता है', 'एक पूर्णांक का उपयोग बफर की सीमाओं के बाहर एक बफर का उपयोग करने के लिए किया जाता है', 'वहाँ कार्यक्रम में पूर्णांक रखने के लिए और कोई जगह नहीं है']",3,"प्रश्न: पूर्णांक अतिप्रवाह तब होता है जब

उत्तर विकल्प: ['एक पूर्णांक अभिव्यक्ति का परिणाम 'चारों ओर लपेटता है'; एक बहुत बड़ी संख्या बनाने के बजाय, एक बहुत छोटी (या नकारात्मक) संख्या बनाई जा रही है', 'पूर्णांक का उपयोग पॉइंटर के रूप में किया जाता है', 'एक पूर्णांक का उपयोग बफर की सीमाओं के बाहर एक बफर का उपयोग करने के लिए किया जाता है', 'वहाँ कार्यक्रम में पूर्णांक रखने के लिए और कोई जगह नहीं है']

उत्तर: वहाँ कार्यक्रम में पूर्णांक रखने के लिए और कोई जगह नहीं है"
