question,subject,choices,answer,qa
Welche Lebensmittel werden in Wales und Schottland tendenziell in geringeren Mengen konsumiert (Stand 2020)?,nutrition,"['Fleisch', 'Süßwaren', 'Obst und Gemüse', 'Kartoffeln']",2,"Frage: Welche Lebensmittel werden in Wales und Schottland tendenziell in geringeren Mengen konsumiert (Stand 2020)?

Antwortoptionen: ['Fleisch', 'Süßwaren', 'Obst und Gemüse', 'Kartoffeln']

Antwort: Obst und Gemüse"
"Unter welchen der folgenden Umständen wird die Prävalenz einer Krankheit in der Bevölkerung zunehmen, wenn alle anderen Bedingungen gleich bleiben?",nutrition,"['Wenn die Inzidenz der Krankheit sinkt.', 'Wenn die Überlebenszeit mit der Krankheit zunimmt.', 'Wenn die Genesung der Krankheit schneller ist.', 'Wenn die Bevölkerung, in der die Krankheit gemessen wird, zunimmt.']",1,"Frage: Unter welchen der folgenden Umständen wird die Prävalenz einer Krankheit in der Bevölkerung zunehmen, wenn alle anderen Bedingungen gleich bleiben?

Antwortoptionen: ['Wenn die Inzidenz der Krankheit sinkt.', 'Wenn die Überlebenszeit mit der Krankheit zunimmt.', 'Wenn die Genesung der Krankheit schneller ist.', 'Wenn die Bevölkerung, in der die Krankheit gemessen wird, zunimmt.']

Antwort: Wenn die Überlebenszeit mit der Krankheit zunimmt."
Welche der folgenden Aussagen ist richtig?,nutrition,"['Die Klasse der Flavonoide umfasst Flavonoide und Isoflavonoide.', 'Die Verdaulichkeit und Bioverfügbarkeit von Isoflavonen in Soja-Lebensmitteln wird durch die Verarbeitung nicht verändert.', 'ß-Carotin und Lycopin können beide als Provitamin A wirken.', 'Carotinoide und Flavonoide gehören beide zur Polyphenol-Klasse.']",0,"Frage: Welche der folgenden Aussagen ist richtig?

Antwortoptionen: ['Die Klasse der Flavonoide umfasst Flavonoide und Isoflavonoide.', 'Die Verdaulichkeit und Bioverfügbarkeit von Isoflavonen in Soja-Lebensmitteln wird durch die Verarbeitung nicht verändert.', 'ß-Carotin und Lycopin können beide als Provitamin A wirken.', 'Carotinoide und Flavonoide gehören beide zur Polyphenol-Klasse.']

Antwort: Die Klasse der Flavonoide umfasst Flavonoide und Isoflavonoide."
Was sind die Hauptursachen der Adipositas-Epidemie?,nutrition,"['Erhöhte Energiemenge/Energiedichte und eine eher sitzende Lebensweise', 'Verminderte Freizeitaktivität', 'Veränderungen der genetischen Profile', 'Keine der angegebenen Optionen ist korrekt']",0,"Frage: Was sind die Hauptursachen der Adipositas-Epidemie?

Antwortoptionen: ['Erhöhte Energiemenge/Energiedichte und eine eher sitzende Lebensweise', 'Verminderte Freizeitaktivität', 'Veränderungen der genetischen Profile', 'Keine der angegebenen Optionen ist korrekt']

Antwort: Erhöhte Energiemenge/Energiedichte und eine eher sitzende Lebensweise"
Welches Vitamin ist ein wichtiges lipidlösliches Antioxidans in Zellmembranen?,nutrition,"['Vitamin A', 'Vitamin D', 'Vitamin E', 'Vitamin K']",2,"Frage: Welches Vitamin ist ein wichtiges lipidlösliches Antioxidans in Zellmembranen?

Antwortoptionen: ['Vitamin A', 'Vitamin D', 'Vitamin E', 'Vitamin K']

Antwort: Vitamin E"
Welcher der folgenden Faktoren trägt zu einem Vitamin-B12-Mangel bei älteren Erwachsenen bei?,nutrition,"['Verminderte Sekretion von intrinsischem Faktor', 'Atrophische Gastritis', 'Infektion mit Helicobacter pylori', 'Alle oben genannten']",3,"Frage: Welcher der folgenden Faktoren trägt zu einem Vitamin-B12-Mangel bei älteren Erwachsenen bei?

Antwortoptionen: ['Verminderte Sekretion von intrinsischem Faktor', 'Atrophische Gastritis', 'Infektion mit Helicobacter pylori', 'Alle oben genannten']

Antwort: Alle oben genannten"
"Übergewicht erhöht das Risiko, an Endometriumkrebs zu erkranken.",nutrition,"['Testosteron', 'Östrogen', 'Insulinähnlicher Wachstumsfaktor-1', 'Thyroxin']",1,"Frage: Übergewicht erhöht das Risiko, an Endometriumkrebs zu erkranken.

Antwortoptionen: ['Testosteron', 'Östrogen', 'Insulinähnlicher Wachstumsfaktor-1', 'Thyroxin']

Antwort: Östrogen"
Welches Vitamin wird für die Kalziumabsorption aus dem Dünndarm benötigt?,nutrition,"['Vitamin A', 'Vitamin D', 'Vitamin E', 'Vitamin K']",1,"Frage: Welches Vitamin wird für die Kalziumabsorption aus dem Dünndarm benötigt?

Antwortoptionen: ['Vitamin A', 'Vitamin D', 'Vitamin E', 'Vitamin K']

Antwort: Vitamin D"
Welche der folgenden Aussagen über den metabolischen Bedarf an Aminosäuren ist richtig?,nutrition,"['Der Stoffwechselbedarf wird nur durch die Nahrung befriedigt.', 'Der metabolische Bedarf besteht darin, den Proteinumsatz aufrechtzuerhalten.', 'Der metabolische Bedarf beinhaltet den Verbrauch von Aminosäuren durch eine Reihe von irreversiblen Wegen, die entweder obligatorisch oder anpassungsfähig sind.', 'Der metabolische Bedarf ist ein fester Betrag']",2,"Frage: Welche der folgenden Aussagen über den metabolischen Bedarf an Aminosäuren ist richtig?

Antwortoptionen: ['Der Stoffwechselbedarf wird nur durch die Nahrung befriedigt.', 'Der metabolische Bedarf besteht darin, den Proteinumsatz aufrechtzuerhalten.', 'Der metabolische Bedarf beinhaltet den Verbrauch von Aminosäuren durch eine Reihe von irreversiblen Wegen, die entweder obligatorisch oder anpassungsfähig sind.', 'Der metabolische Bedarf ist ein fester Betrag']

Antwort: Der metabolische Bedarf beinhaltet den Verbrauch von Aminosäuren durch eine Reihe von irreversiblen Wegen, die entweder obligatorisch oder anpassungsfähig sind."
Welche der folgenden Aussagen über den menschlichen Bedarf an Aminosäuren in der menschlichen Ernährung ist richtig?,nutrition,"['Der für Erwachsene ermittelte Bedarf an Aminosäuren gilt als das Bedarfmuster für alle Altersgruppen.', 'Die für Erwachsene ermittelten Aminosäureanforderungen gelten als Erhaltungsanforderungen für alle Altersgruppen.', 'Es wird davon ausgegangen, dass das Aminosäuremodell der Muttermilch das erforderliche Modell für alle Kinder ist.', 'Es wird davon ausgegangen, dass das Aminosäuremodell des menschlichen Gewebeproteins das erforderliche Modell für Säuglinge und Kleinkinder ist.']",1,"Frage: Welche der folgenden Aussagen über den menschlichen Bedarf an Aminosäuren in der menschlichen Ernährung ist richtig?

Antwortoptionen: ['Der für Erwachsene ermittelte Bedarf an Aminosäuren gilt als das Bedarfmuster für alle Altersgruppen.', 'Die für Erwachsene ermittelten Aminosäureanforderungen gelten als Erhaltungsanforderungen für alle Altersgruppen.', 'Es wird davon ausgegangen, dass das Aminosäuremodell der Muttermilch das erforderliche Modell für alle Kinder ist.', 'Es wird davon ausgegangen, dass das Aminosäuremodell des menschlichen Gewebeproteins das erforderliche Modell für Säuglinge und Kleinkinder ist.']

Antwort: Die für Erwachsene ermittelten Aminosäureanforderungen gelten als Erhaltungsanforderungen für alle Altersgruppen."
