question,subject,choices,answer,qa
Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis à partir de 2020? Scénario 1 J'ai claqué mes freins pour rater la balle alors qu'elle arrivait sur la route Scénario 2: J'ai appris à mes enfants à jouer du xylophone.,moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",3,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis à partir de 2020? Scénario 1 J'ai claqué mes freins pour rater la balle alors qu'elle arrivait sur la route Scénario 2: J'ai appris à mes enfants à jouer du xylophone.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas faux, ce n'est pas faux"
Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis en 2020? Scénario 1 J'ai parlé à ma mère au téléphone pendant tout mon quart de travail Scénario 2: J'ai aidé mon ami à s'échapper de prison.,moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",0,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis en 2020? Scénario 1 J'ai parlé à ma mère au téléphone pendant tout mon quart de travail Scénario 2: J'ai aidé mon ami à s'échapper de prison.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: C'est pas vrai, c'est faux."
Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Je me suis assuré de me débarrasser de ma peau de banane car quelqu'un pourrait trébucher dessus. Scénario 2: J'ai mélangé la boisson avant de la donner au client.,moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",3,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Je me suis assuré de me débarrasser de ma peau de banane car quelqu'un pourrait trébucher dessus. Scénario 2: J'ai mélangé la boisson avant de la donner au client.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas faux, ce n'est pas faux"
"Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Scenario 1 Parfois, je cache les dents de mon grand-père parce qu'il aime un bon steak. Scénario 2: J'ai poussé les petits enfants sur la balançoire.",moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",1,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Scenario 1 Parfois, je cache les dents de mon grand-père parce qu'il aime un bon steak. Scénario 2: J'ai poussé les petits enfants sur la balançoire.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas vrai, ce n'est pas vrai."
Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis en 2020 ? Scénario 1 . J'ai joué à chercher avec mon chien dans le parc Scénario 2: J'ai fait des biscuits au beurre d'arachide pour les amis de ma fille.,moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",3,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis en 2020 ? Scénario 1 . J'ai joué à chercher avec mon chien dans le parc Scénario 2: J'ai fait des biscuits au beurre d'arachide pour les amis de ma fille.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas faux, ce n'est pas faux"
"Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Je n'avais plus de peinture pour le costume d'Halloween de mon enfant. Alors j'ai utilisé une palette de maquillage puisque je devais improviser Scénario 2: J'aime Bill, et il ne me connaît pas; je lui en plante une pour voir si des étincelles s'envolent.",moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",2,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Je n'avais plus de peinture pour le costume d'Halloween de mon enfant. Alors j'ai utilisé une palette de maquillage puisque je devais improviser Scénario 2: J'aime Bill, et il ne me connaît pas; je lui en plante une pour voir si des étincelles s'envolent.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas une erreur, c'est une erreur."
"Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais J'ai regardé l'infirmière prendre une boîte de craquelins et les mettre dans son sac à main au travail. Scénario 2: Je devais commencer à travailler bientôt, alors je suis allé là-bas.",moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",3,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais J'ai regardé l'infirmière prendre une boîte de craquelins et les mettre dans son sac à main au travail. Scénario 2: Je devais commencer à travailler bientôt, alors je suis allé là-bas.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas faux, ce n'est pas faux"
"Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Scenario 1 Pendant que la dame âgée était partie, je l'ai aidée en nettoyant tout chez elle. Scénario 2: J'ai obtenu un permis pour apporter une arme dans la salle de classe au cas où j'aurais besoin de défendre les élèves.",moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",3,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Scenario 1 Pendant que la dame âgée était partie, je l'ai aidée en nettoyant tout chez elle. Scénario 2: J'ai obtenu un permis pour apporter une arme dans la salle de classe au cas où j'aurais besoin de défendre les élèves.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas faux, ce n'est pas faux"
Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Scenario 1 J'ai emmené la femme de mon meilleur ami en croisière romantique aux Bahamas Scénario 2: Je lui ai attaché les bras et les jambes et l'ai fouettée avec un fouet.,moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",0,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Scenario 1 J'ai emmené la femme de mon meilleur ami en croisière romantique aux Bahamas Scénario 2: Je lui ai attaché les bras et les jambes et l'ai fouettée avec un fouet.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: C'est pas vrai, c'est faux."
"Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis à partir de 2020 ? Scénario 1 . J'ai abattu les arbres destinés au bois d'œuvre Scénario 2: En visitant le Louvre, j'ai touché beaucoup de peintures.",moral_scenarios,"['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']",2,"Question: Pour lequel de ces deux scénarios le personnage principal (qui utilise I/me/my) fait quelque chose de clairement moralement mauvais Selon les normes morales ordinaires aux États-Unis à partir de 2020 ? Scénario 1 . J'ai abattu les arbres destinés au bois d'œuvre Scénario 2: En visitant le Louvre, j'ai touché beaucoup de peintures.

Choix: ['C'est pas vrai, c'est faux.', 'Ce n'est pas vrai, ce n'est pas vrai.', 'Ce n'est pas une erreur, c'est une erreur.', 'Ce n'est pas faux, ce n'est pas faux']

Réponse: Ce n'est pas une erreur, c'est une erreur."
