question,subject,choices,answer,qa
निर्वाह अर्थव्यवस्थाओं को आर्थिक रूप से आगे बढ़ने से रोकने वाला मुख्य कारक है,high_school_geography,"['एक मुद्रा।', 'एक अच्छी तरह से जुड़ा हुआ परिवहन अवसंरचना।', 'सरकारी गतिविधि।', 'एक बैंकिंग सेवा।']",1,"प्रश्न: निर्वाह अर्थव्यवस्थाओं को आर्थिक रूप से आगे बढ़ने से रोकने वाला मुख्य कारक है

उत्तर विकल्प: ['एक मुद्रा।', 'एक अच्छी तरह से जुड़ा हुआ परिवहन अवसंरचना।', 'सरकारी गतिविधि।', 'एक बैंकिंग सेवा।']

उत्तर: एक अच्छी तरह से जुड़ा हुआ परिवहन अवसंरचना।"
प्रतिस्थापन प्रजनन क्षमता प्राप्त होने के बाद लंबे समय तक जनसंख्या की वृद्धि जारी रखने की प्रवृत्ति को कहा जाता है,high_school_geography,"['शून्य जनसंख्या वृद्धि।', 'तीव्र वृद्धि दर।', 'होमियोस्टेटिक पठार।', 'जनसांख्यिकीय गति।']",3,"प्रश्न: प्रतिस्थापन प्रजनन क्षमता प्राप्त होने के बाद लंबे समय तक जनसंख्या की वृद्धि जारी रखने की प्रवृत्ति को कहा जाता है

उत्तर विकल्प: ['शून्य जनसंख्या वृद्धि।', 'तीव्र वृद्धि दर।', 'होमियोस्टेटिक पठार।', 'जनसांख्यिकीय गति।']

उत्तर: जनसांख्यिकीय गति।"
दूरी के साथ पलायन में कमी की प्रवृत्ति को कहा जाता है,high_school_geography,"['धक्का कारक।', 'कर्षण कारक।', 'दूरी क्षय।', 'पलायन की चयनात्मकता।']",2,"प्रश्न: दूरी के साथ पलायन में कमी की प्रवृत्ति को कहा जाता है

उत्तर विकल्प: ['धक्का कारक।', 'कर्षण कारक।', 'दूरी क्षय।', 'पलायन की चयनात्मकता।']

उत्तर: दूरी क्षय।"
"किस क्षेत्र में कम आय वाले झुग्गियों, जातीय घेरों, और शहरी रूप के बर्गेस के केंद्रीकृत क्षेत्र मॉडल में सामान्य गिरावट शामिल है?",high_school_geography,"['पहला', 'दूसरा', 'तीसरा', 'चौथा']",0,"प्रश्न: किस क्षेत्र में कम आय वाले झुग्गियों, जातीय घेरों, और शहरी रूप के बर्गेस के केंद्रीकृत क्षेत्र मॉडल में सामान्य गिरावट शामिल है?

उत्तर विकल्प: ['पहला', 'दूसरा', 'तीसरा', 'चौथा']

उत्तर: पहला"
कामकाजी महिलाओं के बारे में निम्नलिखित कथनों में से कौन सा सच है?,high_school_geography,"['अधिकांश महिलाएं कृषि में काम करती हैं', 'कार्यबल में आर्थिक रूप से सक्रिय महिलाओं का प्रतिशत विश्व स्तर पर घट गया', 'कुल कार्यबल में महिलाओं का प्रतिशत घट गया', 'एंग्लो-अमेरिका और ऑस्ट्रेलिया को छोड़कर सभी क्षेत्रों में महिलाएं पुरुषों की तुलना में प्रति दिन अधिक घंटे काम करती हैं']",3,"प्रश्न: कामकाजी महिलाओं के बारे में निम्नलिखित कथनों में से कौन सा सच है?

उत्तर विकल्प: ['अधिकांश महिलाएं कृषि में काम करती हैं', 'कार्यबल में आर्थिक रूप से सक्रिय महिलाओं का प्रतिशत विश्व स्तर पर घट गया', 'कुल कार्यबल में महिलाओं का प्रतिशत घट गया', 'एंग्लो-अमेरिका और ऑस्ट्रेलिया को छोड़कर सभी क्षेत्रों में महिलाएं पुरुषों की तुलना में प्रति दिन अधिक घंटे काम करती हैं']

उत्तर: एंग्लो-अमेरिका और ऑस्ट्रेलिया को छोड़कर सभी क्षेत्रों में महिलाएं पुरुषों की तुलना में प्रति दिन अधिक घंटे काम करती हैं"
निम्नलिखित सभी कारकों को प्रवासन के खींचने वाले कारकों के रूप में माना जा सकता है EXCEPT,high_school_geography,"['सुरक्षा।', 'बेहतर जलवायु।', 'बेहतर स्कूलों।', 'भीड़भाड़।']",3,"प्रश्न: निम्नलिखित सभी कारकों को प्रवासन के खींचने वाले कारकों के रूप में माना जा सकता है EXCEPT

उत्तर विकल्प: ['सुरक्षा।', 'बेहतर जलवायु।', 'बेहतर स्कूलों।', 'भीड़भाड़।']

उत्तर: भीड़भाड़।"
निम्नलिखित में से किस देश में एक अवशेष सीमा का एक प्रसिद्ध उदाहरण नहीं है?,high_school_geography,"['वियतनाम', 'यूनाइटेड किंगडम', 'जर्मनी', 'बोलिविया']",3,"प्रश्न: निम्नलिखित में से किस देश में एक अवशेष सीमा का एक प्रसिद्ध उदाहरण नहीं है?

उत्तर विकल्प: ['वियतनाम', 'यूनाइटेड किंगडम', 'जर्मनी', 'बोलिविया']

उत्तर: बोलिविया"
निम्नलिखित में से किस प्रकार के प्रवासन का वर्ष के दौरान दूसरे देश के कृषि श्रमिकों द्वारा अभ्यास किए जाने की सबसे अधिक संभावना है?,high_school_geography,"['चेन माइग्रेशन', 'क्लस्टर माइग्रेशन', 'चक्रीय पलायन', 'अंतर्राष्ट्रीय प्रवास']",2,"प्रश्न: निम्नलिखित में से किस प्रकार के प्रवासन का वर्ष के दौरान दूसरे देश के कृषि श्रमिकों द्वारा अभ्यास किए जाने की सबसे अधिक संभावना है?

उत्तर विकल्प: ['चेन माइग्रेशन', 'क्लस्टर माइग्रेशन', 'चक्रीय पलायन', 'अंतर्राष्ट्रीय प्रवास']

उत्तर: चक्रीय पलायन"
किसी देश में निम्न में से कौन-सा एक केन्द्रापसारक बल है?,high_school_geography,"['धार्मिक मतभेद', 'राष्ट्रीय अवकाश', 'किसी अन्य देश द्वारा हमला', 'एक करिश्माई राष्ट्रीय नेता']",0,"प्रश्न: किसी देश में निम्न में से कौन-सा एक केन्द्रापसारक बल है?

उत्तर विकल्प: ['धार्मिक मतभेद', 'राष्ट्रीय अवकाश', 'किसी अन्य देश द्वारा हमला', 'एक करिश्माई राष्ट्रीय नेता']

उत्तर: धार्मिक मतभेद"
किनारे और नदियों के साथ प्रारंभिक बस्तियों और उच्च जनसंख्या घनत्व को निम्नलिखित में से किसके लिए श्रेय दिया जाता है?,high_school_geography,"['भूमध्यसागरीय जलवायु', 'सीमित वन आवरण', 'विनिर्माण का विकास', 'व्यापार मार्गों तक पहुंच']",3,"प्रश्न: किनारे और नदियों के साथ प्रारंभिक बस्तियों और उच्च जनसंख्या घनत्व को निम्नलिखित में से किसके लिए श्रेय दिया जाता है?

उत्तर विकल्प: ['भूमध्यसागरीय जलवायु', 'सीमित वन आवरण', 'विनिर्माण का विकास', 'व्यापार मार्गों तक पहुंच']

उत्तर: व्यापार मार्गों तक पहुंच"
