question,subject,choices,answer,qa
"_______ wie Bitcoin werden immer mehr Mainstream und haben eine ganze Reihe von damit verbundenen ethischen Implikationen, zum Beispiel sind sie _______ und mehr ______ Sie wurden aber auch verwendet, um _______ zu betreiben.",business_ethics,"['Kryptowährungen, teuer, sicher, Finanzkriminalität', 'Traditionelle Währung, Billig, Unsicher, Spenden für wohltätige Zwecke', 'Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität', 'Traditionelle Währung, teuer, unsicher, Spenden für wohltätige Zwecke']",2,"Frage: _______ wie Bitcoin werden immer mehr Mainstream und haben eine ganze Reihe von damit verbundenen ethischen Implikationen, zum Beispiel sind sie _______ und mehr ______ Sie wurden aber auch verwendet, um _______ zu betreiben.

Antwortoptionen: ['Kryptowährungen, teuer, sicher, Finanzkriminalität', 'Traditionelle Währung, Billig, Unsicher, Spenden für wohltätige Zwecke', 'Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität', 'Traditionelle Währung, teuer, unsicher, Spenden für wohltätige Zwecke']

Antwort: Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität, Finanzielle Kriminalität"
"Typische Werbebehörden schlagen beispielsweise vor, dass Werbung nicht _________ ermutigen darf, unnötige ________ oder _____ verursachen darf und _______ nicht beleidigen darf.",business_ethics,"['Unsichere Praktiken, Wünsche, Ängste, Trivialität', 'Unsichere Praktiken, Bedrängnis, Angst, Schwerwiegende', 'Sicherheitspraktiken, Wünsche, Eifersucht, Trivialität', 'Sicherheitspraktiken, Bedrängnis, Eifersucht, Ernsthaftigkeit']",1,"Frage: Typische Werbebehörden schlagen beispielsweise vor, dass Werbung nicht _________ ermutigen darf, unnötige ________ oder _____ verursachen darf und _______ nicht beleidigen darf.

Antwortoptionen: ['Unsichere Praktiken, Wünsche, Ängste, Trivialität', 'Unsichere Praktiken, Bedrängnis, Angst, Schwerwiegende', 'Sicherheitspraktiken, Wünsche, Eifersucht, Trivialität', 'Sicherheitspraktiken, Bedrängnis, Eifersucht, Ernsthaftigkeit']

Antwort: Unsichere Praktiken, Bedrängnis, Angst, Schwerwiegende"
"______ sind die Verpflichtungen der Arbeitnehmer gegenüber ihrem Arbeitgeber, die auf individuellen Verträgen und allgemeineren Arbeitsgesetzen beruhen.",business_ethics,"['Arbeitnehmerrechte', 'Arbeitnehmerrechte', 'Pflichten des Arbeitgebers', 'Pflichten der Mitarbeiter']",3,"Frage: ______ sind die Verpflichtungen der Arbeitnehmer gegenüber ihrem Arbeitgeber, die auf individuellen Verträgen und allgemeineren Arbeitsgesetzen beruhen.

Antwortoptionen: ['Arbeitnehmerrechte', 'Arbeitnehmerrechte', 'Pflichten des Arbeitgebers', 'Pflichten der Mitarbeiter']

Antwort: Pflichten der Mitarbeiter"
"______ ist das von einem Arbeitnehmer bevorzugte Verhältnis zwischen arbeitsbezogenen und nicht arbeitsbezogenen Tätigkeiten, Aufgrund der Intensivierung der Arbeit und der technologischen Veränderungen ist in den letzten Jahren zu einem heiß umstrittenen Thema geworden.",business_ethics,"['Präsenzismus', 'Abwesenheit', 'Gleichgewicht zwischen Arbeit und Freizeit', 'Gleichgewicht zwischen Beruf und Privatleben']",3,"Frage: ______ ist das von einem Arbeitnehmer bevorzugte Verhältnis zwischen arbeitsbezogenen und nicht arbeitsbezogenen Tätigkeiten, Aufgrund der Intensivierung der Arbeit und der technologischen Veränderungen ist in den letzten Jahren zu einem heiß umstrittenen Thema geworden.

Antwortoptionen: ['Präsenzismus', 'Abwesenheit', 'Gleichgewicht zwischen Arbeit und Freizeit', 'Gleichgewicht zwischen Beruf und Privatleben']

Antwort: Gleichgewicht zwischen Beruf und Privatleben"
"_______ können mit ihren natürlichen Gegenstücken verglichen werden Ein ausgewogenes Netzwerk voneinander abhängiger Organismen und ihrer Umgebungen, das dem Nachhaltigkeitsdenken einen Mehrwert verleiht, da Unternehmen und Branchen als miteinander verbunden betrachtet werden. und gegenseitig abhängig aufgrund aller Arten von Ressourcen und Abfällen.",business_ethics,"['Industrielieferkreisläufe', 'Industrielle Ökosysteme', 'Ökologische Ökosysteme', 'Unternehmensökosysteme']",1,"Frage: _______ können mit ihren natürlichen Gegenstücken verglichen werden Ein ausgewogenes Netzwerk voneinander abhängiger Organismen und ihrer Umgebungen, das dem Nachhaltigkeitsdenken einen Mehrwert verleiht, da Unternehmen und Branchen als miteinander verbunden betrachtet werden. und gegenseitig abhängig aufgrund aller Arten von Ressourcen und Abfällen.

Antwortoptionen: ['Industrielieferkreisläufe', 'Industrielle Ökosysteme', 'Ökologische Ökosysteme', 'Unternehmensökosysteme']

Antwort: Industrielle Ökosysteme"
. . . . . . . . . . . . . . . . . . . . . . . . . wenn beispielsweise eine Partei über mehr Ressourcen verfügt ungerechte Verteilung von ________ wenn eine Partei mehr aus der Beziehung gewinnt und die CSOs sind ________ sind alle Einschränkungen und Risiken der Zusammenarbeit zwischen Unternehmen und CSO.,business_ethics,"['Machtungleichgewicht, Vorteile, Täuschung', 'Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung', 'Informationsasymmetrien, Vorteile, Täuschung', 'Informationsasymmetrien, Ressourcen, Kooptiert']",1,"Frage: . . . . . . . . . . . . . . . . . . . . . . . . . wenn beispielsweise eine Partei über mehr Ressourcen verfügt ungerechte Verteilung von ________ wenn eine Partei mehr aus der Beziehung gewinnt und die CSOs sind ________ sind alle Einschränkungen und Risiken der Zusammenarbeit zwischen Unternehmen und CSO.

Antwortoptionen: ['Machtungleichgewicht, Vorteile, Täuschung', 'Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung', 'Informationsasymmetrien, Vorteile, Täuschung', 'Informationsasymmetrien, Ressourcen, Kooptiert']

Antwort: Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung, Energieeinsparung"
"Obwohl die Gewinnmaximierung von Unternehmen nicht direkt durch die wichtigsten normativen Theorien vorgeschrieben wird, welcher normativen Theorie ist sie am ähnlichsten?",business_ethics,"['Hedonistischer Utilitarismus', 'bevorzugter Utilitarismus', 'Der kategorische Imperativ', 'Ethik der Pflege']",1,"Frage: Obwohl die Gewinnmaximierung von Unternehmen nicht direkt durch die wichtigsten normativen Theorien vorgeschrieben wird, welcher normativen Theorie ist sie am ähnlichsten?

Antwortoptionen: ['Hedonistischer Utilitarismus', 'bevorzugter Utilitarismus', 'Der kategorische Imperativ', 'Ethik der Pflege']

Antwort: bevorzugter Utilitarismus"
Was hält Milton Friedman für die alleinige Verantwortung der Wirtschaft?,business_ethics,"['Die einzige soziale Verantwortung des Unternehmens ist gegenüber seinen Aktionären', 'Führungskräfte sollten so handeln, dass die Interessen der Gesellschaft und der Aktionäre im Gleichgewicht stehen', 'Die hauptsächliche Verantwortung der Unternehmen liegt bei ihren Mitarbeitern', 'Die Hauptaufgabe der Organisation liegt bei den Interessengruppen']",0,"Frage: Was hält Milton Friedman für die alleinige Verantwortung der Wirtschaft?

Antwortoptionen: ['Die einzige soziale Verantwortung des Unternehmens ist gegenüber seinen Aktionären', 'Führungskräfte sollten so handeln, dass die Interessen der Gesellschaft und der Aktionäre im Gleichgewicht stehen', 'Die hauptsächliche Verantwortung der Unternehmen liegt bei ihren Mitarbeitern', 'Die Hauptaufgabe der Organisation liegt bei den Interessengruppen']

Antwort: Die einzige soziale Verantwortung des Unternehmens ist gegenüber seinen Aktionären"
"Die ______-Regulierung geht über die ______ hinaus, die die CSOs mit den Unternehmen haben, da sie auch _______ solcher Prozesse betrifft.",business_ethics,"['Rechtsfragen, Interaktionen, Mechanik', 'Bürgerliche Angelegenheiten, Beziehungen, Ergebnisse', 'Politik, Wechselwirkungen, Ergebnisse', 'Umwelt, Beziehungen, Mechanik']",1,"Frage: Die ______-Regulierung geht über die ______ hinaus, die die CSOs mit den Unternehmen haben, da sie auch _______ solcher Prozesse betrifft.

Antwortoptionen: ['Rechtsfragen, Interaktionen, Mechanik', 'Bürgerliche Angelegenheiten, Beziehungen, Ergebnisse', 'Politik, Wechselwirkungen, Ergebnisse', 'Umwelt, Beziehungen, Mechanik']

Antwort: Bürgerliche Angelegenheiten, Beziehungen, Ergebnisse"
"_______ Arbeitspraktiken beziehen sich auf Arbeitsmuster, die zeitliche, räumliche und aufgabenbezogene Flüssigkeit beinhalten.",business_ethics,"['Dynamisch', 'Flüssigkeit', 'Flexibel', 'Moderne']",2,"Frage: _______ Arbeitspraktiken beziehen sich auf Arbeitsmuster, die zeitliche, räumliche und aufgabenbezogene Flüssigkeit beinhalten.

Antwortoptionen: ['Dynamisch', 'Flüssigkeit', 'Flexibel', 'Moderne']

Antwort: Flexibel"
