question,subject,choices,answer,qa
"Welche der folgenden Aussagen beschreibt am besten das Gleichgewicht, das der Oberste Gerichtshof zwischen der Niederlassungsklausel und der Ausübungsklausel gefunden hat?",high_school_government_and_politics,"['Die Redefreiheit ist geschützt, außer in bestimmten Situationen, z. B. wenn man in einem überfüllten Theater 'Feuer' ruft.', 'Sobald eine Kirche von der Bundesregierung anerkannt wurde, kann ihr Steuerfreiheitsstatus niemals widerrufen werden.', 'Sobald der Kongress eine Verwaltungsbehörde geschaffen hat, kann diese Behörde nur durch eine Verfassungsänderung aufgelöst werden.', 'Staatlich gesponsertes Gebet während der Schulzeit ist verboten, aber freiwilliges Gebet von Schülergruppen vor der Schule ist erlaubt.']",3,"Frage: Welche der folgenden Aussagen beschreibt am besten das Gleichgewicht, das der Oberste Gerichtshof zwischen der Niederlassungsklausel und der Ausübungsklausel gefunden hat?

Antwortoptionen: ['Die Redefreiheit ist geschützt, außer in bestimmten Situationen, z. B. wenn man in einem überfüllten Theater 'Feuer' ruft.', 'Sobald eine Kirche von der Bundesregierung anerkannt wurde, kann ihr Steuerfreiheitsstatus niemals widerrufen werden.', 'Sobald der Kongress eine Verwaltungsbehörde geschaffen hat, kann diese Behörde nur durch eine Verfassungsänderung aufgelöst werden.', 'Staatlich gesponsertes Gebet während der Schulzeit ist verboten, aber freiwilliges Gebet von Schülergruppen vor der Schule ist erlaubt.']

Antwort: Staatlich gesponsertes Gebet während der Schulzeit ist verboten, aber freiwilliges Gebet von Schülergruppen vor der Schule ist erlaubt."
Welche der folgenden Aussagen beschreibt NICHT genau das Wahlverhalten in den Vereinigten Staaten?,high_school_government_and_politics,"['Registrierte Wähler zwischen 35 und 45 Jahren wählen mit größerer Wahrscheinlichkeit als Wähler unter 21 Jahren.', 'Ein registrierter Wähler, der seine allgemeine Bildungsentwicklung (GED) erreicht hat, wählt weniger wahrscheinlich als ein Schulabbrecher.', 'Registrierte Wähler wählen häufiger bei allgemeinen Wahlen als bei Vorwahlen.', 'Mehr Frauen als Männer haben in jeder Präsidentschaftswahl seit 1980 gewählt.']",1,"Frage: Welche der folgenden Aussagen beschreibt NICHT genau das Wahlverhalten in den Vereinigten Staaten?

Antwortoptionen: ['Registrierte Wähler zwischen 35 und 45 Jahren wählen mit größerer Wahrscheinlichkeit als Wähler unter 21 Jahren.', 'Ein registrierter Wähler, der seine allgemeine Bildungsentwicklung (GED) erreicht hat, wählt weniger wahrscheinlich als ein Schulabbrecher.', 'Registrierte Wähler wählen häufiger bei allgemeinen Wahlen als bei Vorwahlen.', 'Mehr Frauen als Männer haben in jeder Präsidentschaftswahl seit 1980 gewählt.']

Antwort: Ein registrierter Wähler, der seine allgemeine Bildungsentwicklung (GED) erreicht hat, wählt weniger wahrscheinlich als ein Schulabbrecher."
Welches der folgenden Faktoren spielt bei der Bildung der politischen Ansichten eines Kindes die wichtigste Rolle?,high_school_government_and_politics,"['Das geografische Gebiet, in dem das Kind aufwächst', 'Die Familie des Kindes', 'Die Medien, denen das Kind ausgesetzt ist', 'Die Religion des Kindes']",1,"Frage: Welches der folgenden Faktoren spielt bei der Bildung der politischen Ansichten eines Kindes die wichtigste Rolle?

Antwortoptionen: ['Das geografische Gebiet, in dem das Kind aufwächst', 'Die Familie des Kindes', 'Die Medien, denen das Kind ausgesetzt ist', 'Die Religion des Kindes']

Antwort: Die Familie des Kindes"
"Welche Befugnisse wurden den Staaten durch die Artikel der Konföderation gewährt, aber nicht durch die Verfassung?",high_school_government_and_politics,"['Herstellung von Münzen', 'Genehmigung von Verfassungsänderungen', 'Im Kongress vertreten', 'Anrufung des Präsidenten zur Beilegung von Streitigkeiten']",0,"Frage: Welche Befugnisse wurden den Staaten durch die Artikel der Konföderation gewährt, aber nicht durch die Verfassung?

Antwortoptionen: ['Herstellung von Münzen', 'Genehmigung von Verfassungsänderungen', 'Im Kongress vertreten', 'Anrufung des Präsidenten zur Beilegung von Streitigkeiten']

Antwort: Herstellung von Münzen"
"Die Hauptaufgabe der politischen Aktionskomitees (PAK) besteht darin,",high_school_government_and_politics,"['Geld für Kandidaten zur Wahl beisteuern', 'Koordinierung lokaler Wahlkampagnen', 'Förderung der Niederlage von Amtsinhabern in den Bundes- und Landesgesetzgebungen', 'organisieren Protestdemonstrationen und andere Akte des zivilen Ungehorsams']",0,"Frage: Die Hauptaufgabe der politischen Aktionskomitees (PAK) besteht darin,

Antwortoptionen: ['Geld für Kandidaten zur Wahl beisteuern', 'Koordinierung lokaler Wahlkampagnen', 'Förderung der Niederlage von Amtsinhabern in den Bundes- und Landesgesetzgebungen', 'organisieren Protestdemonstrationen und andere Akte des zivilen Ungehorsams']

Antwort: Geld für Kandidaten zur Wahl beisteuern"
Welche der folgenden Disziplinarmaßnahmen werden gegen Bundesrichter verhängt?,high_school_government_and_politics,"['Amtsenthebung, Verurteilung und Entlassung durch den Kongress', 'Entlassung durch den ernennenden Präsidenten', 'Amtsenthebung durch den gewählten Präsidenten', 'Zurückrufen von Wahlen von Bürgern mit Wohnsitz in dem Bezirk, für den der Richter zuständig ist']",0,"Frage: Welche der folgenden Disziplinarmaßnahmen werden gegen Bundesrichter verhängt?

Antwortoptionen: ['Amtsenthebung, Verurteilung und Entlassung durch den Kongress', 'Entlassung durch den ernennenden Präsidenten', 'Amtsenthebung durch den gewählten Präsidenten', 'Zurückrufen von Wahlen von Bürgern mit Wohnsitz in dem Bezirk, für den der Richter zuständig ist']

Antwort: Amtsenthebung, Verurteilung und Entlassung durch den Kongress"
"Der Umfang des Zugangs, den Kabinettssekretäre zum Präsidenten haben, wird höchstwahrscheinlich von der",high_school_government_and_politics,"['Vizepräsident', 'Stabschef des Präsidenten', 'nationaler Sicherheitsberater', 'Vorsitzender des Federal Reserve Board']",1,"Frage: Der Umfang des Zugangs, den Kabinettssekretäre zum Präsidenten haben, wird höchstwahrscheinlich von der

Antwortoptionen: ['Vizepräsident', 'Stabschef des Präsidenten', 'nationaler Sicherheitsberater', 'Vorsitzender des Federal Reserve Board']

Antwort: Stabschef des Präsidenten"
Welches der folgenden Faktoren definiert die Bedeutung eines politischen Themas?,high_school_government_and_politics,"['Der Umfang der Berichterstattung, die das Thema in den wichtigsten Nachrichtenmedien erhält', 'Das Ausmaß, in dem sich die öffentliche Meinung zu diesem Thema wahrscheinlich schnell verändern wird', 'Zahl der von dem Problem betroffenen Personen', 'Die Bedeutung des Themas für eine bestimmte Person oder Gruppe']",3,"Frage: Welches der folgenden Faktoren definiert die Bedeutung eines politischen Themas?

Antwortoptionen: ['Der Umfang der Berichterstattung, die das Thema in den wichtigsten Nachrichtenmedien erhält', 'Das Ausmaß, in dem sich die öffentliche Meinung zu diesem Thema wahrscheinlich schnell verändern wird', 'Zahl der von dem Problem betroffenen Personen', 'Die Bedeutung des Themas für eine bestimmte Person oder Gruppe']

Antwort: Die Bedeutung des Themas für eine bestimmte Person oder Gruppe"
"Wähler, die sich ausschließlich auf die Berichterstattung über nationale Wahlen durch Fernsehsender verlassen, sind sich höchstwahrscheinlich der",high_school_government_and_politics,"['Welche Interessengruppen welche Kandidaten unterstützt haben', 'die relative Stärke der Unterstützung jedes Kandidaten, wie aus Umfragen der Öffentlichkeit hervorgeht,', 'Standpunkte der Kandidaten zu internationalen Fragen', 'Standpunkte der Kandidaten zu inländischen Fragen']",1,"Frage: Wähler, die sich ausschließlich auf die Berichterstattung über nationale Wahlen durch Fernsehsender verlassen, sind sich höchstwahrscheinlich der

Antwortoptionen: ['Welche Interessengruppen welche Kandidaten unterstützt haben', 'die relative Stärke der Unterstützung jedes Kandidaten, wie aus Umfragen der Öffentlichkeit hervorgeht,', 'Standpunkte der Kandidaten zu internationalen Fragen', 'Standpunkte der Kandidaten zu inländischen Fragen']

Antwort: die relative Stärke der Unterstützung jedes Kandidaten, wie aus Umfragen der Öffentlichkeit hervorgeht,"
Welchen Grundsatz legte die Entscheidung des Obersten Gerichtshofs in der Rechtssache Marbury gegen Madison fest?,high_school_government_and_politics,"['Ein Mann, eine Stimme', 'Getrennt, aber gleich', 'Rechtsbehelf', 'Recht auf Privatsphäre']",2,"Frage: Welchen Grundsatz legte die Entscheidung des Obersten Gerichtshofs in der Rechtssache Marbury gegen Madison fest?

Antwortoptionen: ['Ein Mann, eine Stimme', 'Getrennt, aber gleich', 'Rechtsbehelf', 'Recht auf Privatsphäre']

Antwort: Rechtsbehelf"
