question,subject,choices,answer,qa
स्तन कैंसर का पता लगाने के निम्नलिखित में से किस विधि में विकिरण के संपर्क में आना शामिल है?,human_sexuality,"['सुई की आसवन', 'मैमोग्राफी', 'स्तनों की कटाई', 'लिम्पेक्टोमी']",1,"प्रश्न: स्तन कैंसर का पता लगाने के निम्नलिखित में से किस विधि में विकिरण के संपर्क में आना शामिल है?

उत्तर विकल्प: ['सुई की आसवन', 'मैमोग्राफी', 'स्तनों की कटाई', 'लिम्पेक्टोमी']

उत्तर: मैमोग्राफी"
शरीर के वे क्षेत्र जो छूने पर यौन रूप से उत्तेजित होते हैं:,human_sexuality,"['व्यक्ति से व्यक्ति में भिन्न होता है', 'मासिक धर्म चक्र के चरणों के आधार पर महिलाओं के लिए भिन्न होता है', 'मुख्य रूप से शरीर के निचले हिस्से पर होते हैं', 'उपरोक्त सभी']",3,"प्रश्न: शरीर के वे क्षेत्र जो छूने पर यौन रूप से उत्तेजित होते हैं:

उत्तर विकल्प: ['व्यक्ति से व्यक्ति में भिन्न होता है', 'मासिक धर्म चक्र के चरणों के आधार पर महिलाओं के लिए भिन्न होता है', 'मुख्य रूप से शरीर के निचले हिस्से पर होते हैं', 'उपरोक्त सभी']

उत्तर: उपरोक्त सभी"
निम्नलिखित में से कौन-सा गोनोरिया के लिए सही है?,human_sexuality,"['एंटीबायोटिक्स के साथ इलाज किया जा सकता है', 'एकल एक्सपोजर के साथ संक्रमण का उच्च जोखिम है', 'संक्रमित लोगों के केवल एक छोटे प्रतिशत में एसिम्प्टोमैटिक (बिना लक्षणों के) है', 'संक्रमण जननांग क्षेत्रों तक सीमित है']",0,"प्रश्न: निम्नलिखित में से कौन-सा गोनोरिया के लिए सही है?

उत्तर विकल्प: ['एंटीबायोटिक्स के साथ इलाज किया जा सकता है', 'एकल एक्सपोजर के साथ संक्रमण का उच्च जोखिम है', 'संक्रमित लोगों के केवल एक छोटे प्रतिशत में एसिम्प्टोमैटिक (बिना लक्षणों के) है', 'संक्रमण जननांग क्षेत्रों तक सीमित है']

उत्तर: एंटीबायोटिक्स के साथ इलाज किया जा सकता है"
"आप एक समलैंगिक पुरुष हैं: कल रात, आप लालची, श्यामला जैक्स (भ्रातृत्व पंक्ति के राजा) द्वारा लुभाया गया था एक लंबा ठंडा दूध के गिलास के लिए स्थानीय डेयरी बार में उसे शामिल होने के लिए आप भी संक्षेप में इस परीक्षण के लिए अध्ययन करने पर विचार किया, लेकिन जैक्स बाहर जीता फ्रायडियन शब्दों में, निम्नलिखित में से कौन सा प्रमुख था?",human_sexuality,"['आईडी', 'अहंकार', 'अति अहंकार', 'ओडिपस कॉम्प्लेक्स']",0,"प्रश्न: आप एक समलैंगिक पुरुष हैं: कल रात, आप लालची, श्यामला जैक्स (भ्रातृत्व पंक्ति के राजा) द्वारा लुभाया गया था एक लंबा ठंडा दूध के गिलास के लिए स्थानीय डेयरी बार में उसे शामिल होने के लिए आप भी संक्षेप में इस परीक्षण के लिए अध्ययन करने पर विचार किया, लेकिन जैक्स बाहर जीता फ्रायडियन शब्दों में, निम्नलिखित में से कौन सा प्रमुख था?

उत्तर विकल्प: ['आईडी', 'अहंकार', 'अति अहंकार', 'ओडिपस कॉम्प्लेक्स']

उत्तर: आईडी"
सामाजिक जीवविज्ञानी मानते हैं कि पैराफिलिया के साथ महिलाओं की तुलना में अधिक पुरुष हैं क्योंकि:,human_sexuality,"['पैराफिलिया प्रजातियों के अस्तित्व की गारंटी देते हैं', 'विकासवादी चयन ने नए यौन उत्तेजनाओं का जवाब देने वाले नरों के विकास का पक्ष लिया है', 'लिंगों के बीच बाएं मस्तिष्क/दाएं मस्तिष्क में अंतर', 'पुरूषों का मस्तिष्क स्त्रियों के मस्तिष्क की तुलना में अधिक विकसित होता है']",1,"प्रश्न: सामाजिक जीवविज्ञानी मानते हैं कि पैराफिलिया के साथ महिलाओं की तुलना में अधिक पुरुष हैं क्योंकि:

उत्तर विकल्प: ['पैराफिलिया प्रजातियों के अस्तित्व की गारंटी देते हैं', 'विकासवादी चयन ने नए यौन उत्तेजनाओं का जवाब देने वाले नरों के विकास का पक्ष लिया है', 'लिंगों के बीच बाएं मस्तिष्क/दाएं मस्तिष्क में अंतर', 'पुरूषों का मस्तिष्क स्त्रियों के मस्तिष्क की तुलना में अधिक विकसित होता है']

उत्तर: विकासवादी चयन ने नए यौन उत्तेजनाओं का जवाब देने वाले नरों के विकास का पक्ष लिया है"
"स्प्रेचर, बारबी और श्वार्ट्ज (१९९५) द्वारा किए गए एक अध्ययन के अनुसार, पहली बार संभोग करने के बाद महिलाओं को पुरुषों की तुलना में ________ होने की अधिक संभावना थी।",human_sexuality,"['प्रसन्नता', 'भय महसूस किया', 'अनुभवी अपराधबोध', 'अनुभव किया हुआ पछतावा']",2,"प्रश्न: स्प्रेचर, बारबी और श्वार्ट्ज (१९९५) द्वारा किए गए एक अध्ययन के अनुसार, पहली बार संभोग करने के बाद महिलाओं को पुरुषों की तुलना में ________ होने की अधिक संभावना थी।

उत्तर विकल्प: ['प्रसन्नता', 'भय महसूस किया', 'अनुभवी अपराधबोध', 'अनुभव किया हुआ पछतावा']

उत्तर: अनुभवी अपराधबोध"
गर्भावस्था के दौरान कोकीन का दुरुपयोग किससे संबंधित है?,human_sexuality,"['जन्म के समय कम वजन वाले शिशुओं के जन्म का बढ़ता जोखिम', 'कमजोर विकास और कम बुद्धि', 'छोटा सिर परिधि', 'उपरोक्त सभी']",3,"प्रश्न: गर्भावस्था के दौरान कोकीन का दुरुपयोग किससे संबंधित है?

उत्तर विकल्प: ['जन्म के समय कम वजन वाले शिशुओं के जन्म का बढ़ता जोखिम', 'कमजोर विकास और कम बुद्धि', 'छोटा सिर परिधि', 'उपरोक्त सभी']

उत्तर: उपरोक्त सभी"
जो हेलेन के करीब जाना चाहता है हेलेन जो के हताश अग्रिमों द्वारा बंद रखा जा करने के लिए प्रतीत होता है यह महिलाओं के साथ जो के रिश्तों के लिए विशिष्ट है अनुलग्नक सिद्धांत के अनुसार जो सबसे अच्छा के रूप में वर्णित किया जाएगाः,human_sexuality,"['एक सुरक्षित प्रेमी', 'जो (दूसरों से) मोहब्बत करने वाला है', 'एक चिंतित-अद्वितीय प्रेमी', 'एक भावुक प्रेमी']",2,"प्रश्न: जो हेलेन के करीब जाना चाहता है हेलेन जो के हताश अग्रिमों द्वारा बंद रखा जा करने के लिए प्रतीत होता है यह महिलाओं के साथ जो के रिश्तों के लिए विशिष्ट है अनुलग्नक सिद्धांत के अनुसार जो सबसे अच्छा के रूप में वर्णित किया जाएगाः

उत्तर विकल्प: ['एक सुरक्षित प्रेमी', 'जो (दूसरों से) मोहब्बत करने वाला है', 'एक चिंतित-अद्वितीय प्रेमी', 'एक भावुक प्रेमी']

उत्तर: एक चिंतित-अद्वितीय प्रेमी"
ब्रूस एक समलैंगिक आदमी है. उसका दोस्त चक एक विषमलैंगिक आदमी है. अगर हम ब्रूस और चक को बच्चों के रूप में देख सकते थे तो हम निम्नलिखित में से किसकी उम्मीद कर सकते थे?,human_sexuality,"['ब्रूस ने चक की तुलना में अधिक महिला-सामान्य खेल में भाग लिया।', 'ब्रूस ने चक की तुलना में अधिक पुरुष-विशिष्ट खेल में भाग लिया।', 'ब्रूस और चक ने शायद महिला-सामान्य खेल की तुलना में अधिक पुरुष-सामान्य खेल में भाग लिया।', 'ब्रूस के पिता चक के पिता की तुलना में समलैंगिक प्रवृत्तियों की अधिक संभावना थी।']",0,"प्रश्न: ब्रूस एक समलैंगिक आदमी है. उसका दोस्त चक एक विषमलैंगिक आदमी है. अगर हम ब्रूस और चक को बच्चों के रूप में देख सकते थे तो हम निम्नलिखित में से किसकी उम्मीद कर सकते थे?

उत्तर विकल्प: ['ब्रूस ने चक की तुलना में अधिक महिला-सामान्य खेल में भाग लिया।', 'ब्रूस ने चक की तुलना में अधिक पुरुष-विशिष्ट खेल में भाग लिया।', 'ब्रूस और चक ने शायद महिला-सामान्य खेल की तुलना में अधिक पुरुष-सामान्य खेल में भाग लिया।', 'ब्रूस के पिता चक के पिता की तुलना में समलैंगिक प्रवृत्तियों की अधिक संभावना थी।']

उत्तर: ब्रूस ने चक की तुलना में अधिक महिला-सामान्य खेल में भाग लिया।"
यहूदी धर्म में कामुकता को,human_sexuality,"['स्वाभाविक रूप से बुरा', 'भगवान के बाद के विचार और एक विचलन बन गया है', 'ईश्वर का उपहार', 'मुख्यतः एक जैविक कार्य']",2,"प्रश्न: यहूदी धर्म में कामुकता को

उत्तर विकल्प: ['स्वाभाविक रूप से बुरा', 'भगवान के बाद के विचार और एक विचलन बन गया है', 'ईश्वर का उपहार', 'मुख्यतः एक जैविक कार्य']

उत्तर: ईश्वर का उपहार"
