question,subject,choices,answer,qa
"Cette question se réfère à l'information suivante. ""L'avenir à grande portée et sans limites sera l'ère de la grandeur américaine Dans son magnifique domaine de l'espace et du temps la nation de nombreuses nations est destinée à manifester à l'humanité l'excellence des principes divins; à établir sur la terre le plus noble temple jamais consacré au culte du Très-Haut, du Saint et du Vrai Son sol sera un hémisphère, son toit le firmament des cieux étoilés. et son assemblée une union de nombreuses républiques comprenant des centaines de millions de personnes heureuses appelant Il n' y a pas d' homme maître . mais gouverné par la loi naturelle et morale de l'égalité de Dieu La loi de la fraternité, de la paix et de la bonne volonté parmi les hommes"". O'Sullivan, ""La grande nation du futur"", 1839 Par quels moyens les États-Unis ont-ils pris possession du territoire de l'Oregon ?",high_school_us_history,"['Les États-Unis ont obtenu le territoire dans un traité d'après-guerre avec la France.', 'Les États-Unis l'ont acheté aux Amérindiens qui y vivaient.', 'Les colons américains ont été les premiers à arriver dans la région; ils l'ont revendiquée pour leur pays.', 'La Grande-Bretagne l'a cédée aux États-Unis dans le cadre d'un traité négocié.']",3,"Question: Cette question se réfère à l'information suivante. ""L'avenir à grande portée et sans limites sera l'ère de la grandeur américaine Dans son magnifique domaine de l'espace et du temps la nation de nombreuses nations est destinée à manifester à l'humanité l'excellence des principes divins; à établir sur la terre le plus noble temple jamais consacré au culte du Très-Haut, du Saint et du Vrai Son sol sera un hémisphère, son toit le firmament des cieux étoilés. et son assemblée une union de nombreuses républiques comprenant des centaines de millions de personnes heureuses appelant Il n' y a pas d' homme maître . mais gouverné par la loi naturelle et morale de l'égalité de Dieu La loi de la fraternité, de la paix et de la bonne volonté parmi les hommes"". O'Sullivan, ""La grande nation du futur"", 1839 Par quels moyens les États-Unis ont-ils pris possession du territoire de l'Oregon ?

Choix: ['Les États-Unis ont obtenu le territoire dans un traité d'après-guerre avec la France.', 'Les États-Unis l'ont acheté aux Amérindiens qui y vivaient.', 'Les colons américains ont été les premiers à arriver dans la région; ils l'ont revendiquée pour leur pays.', 'La Grande-Bretagne l'a cédée aux États-Unis dans le cadre d'un traité négocié.']

Réponse: La Grande-Bretagne l'a cédée aux États-Unis dans le cadre d'un traité négocié."
"Cette question se rapporte aux renseignements suivants. Bien que sous la plus grande jouissance des libertés civiles si abrégé de la liberté de leur conscience en ce qui concerne leur profession religieuse et l'adoration: et le Dieu Tout-Puissant étant le seul Seigneur de la conscience Père des Lumières et des Esprits; et l'Auteur ainsi que l'Objet de toute la Connaissance divine La foi et le culte qui ne fait qu'éclairer les esprits et persuader et convaincre la compréhension des gens J'accorde et déclare par la présente Qu'aucune personne ou personnes résidant dans cette province ou ces territoires qui confessera et reconnaîtra un Dieu tout-puissant le Créateur Défenseur et Souverain du Monde; et lui ou eux-mêmes professent l'obligation de vivre tranquillement sous le Gouvernement Civil ne sera en aucun cas victime d'agressions ou de préjudices dans sa personne ou sa succession en raison de sa ou de leur persuasion consciencieuse ou de la pratique et ne sois pas contraint de fréquenter ou de maintenir une prière religieuse Lieu ou ministère Contrairement à son ou leur esprit.... William Penn Charte des privilèges accordée par William Penn carré aux habitants de la Pennsylvanie et des Territoires, 28 octobre 1701 En raison de la Charte des privilèges de Penn, la Pennsylvanie est devenue",high_school_us_history,"['l'une des colonies les plus religieusement diversifiées de l'Amérique britannique.', 'l'une des colonies les moins religieusement diversifiées d'Amérique.', 'célèbre pour la chasse aux sorcières et la superstition populaire.', 'connu pour son hostilité aux pratiques religieuses traditionnelles.']",0,"Question: Cette question se rapporte aux renseignements suivants. Bien que sous la plus grande jouissance des libertés civiles si abrégé de la liberté de leur conscience en ce qui concerne leur profession religieuse et l'adoration: et le Dieu Tout-Puissant étant le seul Seigneur de la conscience Père des Lumières et des Esprits; et l'Auteur ainsi que l'Objet de toute la Connaissance divine La foi et le culte qui ne fait qu'éclairer les esprits et persuader et convaincre la compréhension des gens J'accorde et déclare par la présente Qu'aucune personne ou personnes résidant dans cette province ou ces territoires qui confessera et reconnaîtra un Dieu tout-puissant le Créateur Défenseur et Souverain du Monde; et lui ou eux-mêmes professent l'obligation de vivre tranquillement sous le Gouvernement Civil ne sera en aucun cas victime d'agressions ou de préjudices dans sa personne ou sa succession en raison de sa ou de leur persuasion consciencieuse ou de la pratique et ne sois pas contraint de fréquenter ou de maintenir une prière religieuse Lieu ou ministère Contrairement à son ou leur esprit.... William Penn Charte des privilèges accordée par William Penn carré aux habitants de la Pennsylvanie et des Territoires, 28 octobre 1701 En raison de la Charte des privilèges de Penn, la Pennsylvanie est devenue

Choix: ['l'une des colonies les plus religieusement diversifiées de l'Amérique britannique.', 'l'une des colonies les moins religieusement diversifiées d'Amérique.', 'célèbre pour la chasse aux sorcières et la superstition populaire.', 'connu pour son hostilité aux pratiques religieuses traditionnelles.']

Réponse: l'une des colonies les plus religieusement diversifiées de l'Amérique britannique."
"Cette question se réfère à l'information suivante: ""Nous concluons que, dans le domaine de l'éducation publique, la doctrine de ""séparés mais égaux"" n'a pas sa place Les établissements d'enseignement séparés sont intrinsèquement inégaux Par conséquent , Nous estimons que les requérants et autres personnes se trouvant dans une situation similaire et pour lesquelles des actions ont été intentées sont en raison de la ségrégation dont on se plaint privés de l'égalité de protection des lois garanties par le quatorzième amendement. "" Conseil de l'éducation, 1954 La déségrégation des écoles était, en partie, une réponse aux promesses non tenues de laquelle des initiatives suivantes?",high_school_us_history,"['La grande société', 'Un accord équitable', 'Le New Deal', 'Reconstruction']",3,"Question: Cette question se réfère à l'information suivante: ""Nous concluons que, dans le domaine de l'éducation publique, la doctrine de ""séparés mais égaux"" n'a pas sa place Les établissements d'enseignement séparés sont intrinsèquement inégaux Par conséquent , Nous estimons que les requérants et autres personnes se trouvant dans une situation similaire et pour lesquelles des actions ont été intentées sont en raison de la ségrégation dont on se plaint privés de l'égalité de protection des lois garanties par le quatorzième amendement. "" Conseil de l'éducation, 1954 La déségrégation des écoles était, en partie, une réponse aux promesses non tenues de laquelle des initiatives suivantes?

Choix: ['La grande société', 'Un accord équitable', 'Le New Deal', 'Reconstruction']

Réponse: Reconstruction"
"Cette question se réfère à l'information suivante: ""Depuis que les fondations du Commonwealth américain ont été posées à l'époque coloniale il y a plus de 300 ans Des plaintes vigoureuses et des persécutions plus ou moins amères ont été dirigées contre les nouveaux arrivants sur nos côtes. Aussi les rapports du Congrès d'environ 1840 sont pleins d'abus d'immigrants anglais, écossais, gallois comme pauvres, criminels, et ainsi de suite Les anciens citoyens de Detroit d'origine irlandaise et allemande m'ont raconté les tirades féroces et la propagande dirigée contre les grandes vagues d'Irlandais et d'Allemands qui sont venus à partir de 1840 pendant quelques décennies pour échapper à la guerre civile groupe ethnique et la persécution religieuse dans leur pays d'origine Le ""Je ne sais rien"" "" les ancêtres du Ku-Klux Klan dénoncé avec amertume les Irlandais et les Allemands comme des métis détritus étrangers et une menace pour nos institutions comme d'autres grandes branches de la race caucasienne de l'histoire glorieuse et des antécédents sont réprimandés aujourd'hui .... Mais aujourd'hui, ce sont les Italiens Espagnol Polonais Des juifs. Grecs Les Russes Les Balkans et ainsi de suite. qui sont les lépreux raciaux... Dans ce projet de loi, nous trouvons la discrimination raciale à son pire - une tentative délibérée de remonter 84 ans dans notre recensement effectué tous les 10 ans afin qu'un coup puisse être porté aux peuples de l'Europe de l'Est et du Sud. Il s'agit en particulier de nos alliés récents dans la Grande Guerre, la Pologne et l'Italie. Clancy, Congressional Record, 68e Congrès, 1ère session, 1924 Lequel des actes législatifs suivants est le plus proche d'un exemple de nativisme ?",high_school_us_history,"['La loi Wagner de 1935', 'Les lois sur les étrangers et la sédition de 1798', 'La loi sur l'espionnage de 1917', 'Loi de 1965 sur l'immigration et la nationalité']",1,"Question: Cette question se réfère à l'information suivante: ""Depuis que les fondations du Commonwealth américain ont été posées à l'époque coloniale il y a plus de 300 ans Des plaintes vigoureuses et des persécutions plus ou moins amères ont été dirigées contre les nouveaux arrivants sur nos côtes. Aussi les rapports du Congrès d'environ 1840 sont pleins d'abus d'immigrants anglais, écossais, gallois comme pauvres, criminels, et ainsi de suite Les anciens citoyens de Detroit d'origine irlandaise et allemande m'ont raconté les tirades féroces et la propagande dirigée contre les grandes vagues d'Irlandais et d'Allemands qui sont venus à partir de 1840 pendant quelques décennies pour échapper à la guerre civile groupe ethnique et la persécution religieuse dans leur pays d'origine Le ""Je ne sais rien"" "" les ancêtres du Ku-Klux Klan dénoncé avec amertume les Irlandais et les Allemands comme des métis détritus étrangers et une menace pour nos institutions comme d'autres grandes branches de la race caucasienne de l'histoire glorieuse et des antécédents sont réprimandés aujourd'hui .... Mais aujourd'hui, ce sont les Italiens Espagnol Polonais Des juifs. Grecs Les Russes Les Balkans et ainsi de suite. qui sont les lépreux raciaux... Dans ce projet de loi, nous trouvons la discrimination raciale à son pire - une tentative délibérée de remonter 84 ans dans notre recensement effectué tous les 10 ans afin qu'un coup puisse être porté aux peuples de l'Europe de l'Est et du Sud. Il s'agit en particulier de nos alliés récents dans la Grande Guerre, la Pologne et l'Italie. Clancy, Congressional Record, 68e Congrès, 1ère session, 1924 Lequel des actes législatifs suivants est le plus proche d'un exemple de nativisme ?

Choix: ['La loi Wagner de 1935', 'Les lois sur les étrangers et la sédition de 1798', 'La loi sur l'espionnage de 1917', 'Loi de 1965 sur l'immigration et la nationalité']

Réponse: Les lois sur les étrangers et la sédition de 1798"
"Cette question se réfère aux informations suivantes. Nous avons organisé une société et nous l'appelons "" Partagez notre société de richesse Nous proposons de limiter la richesse des grands hommes du pays. Il y a en moyenne 15 000 $ de richesse pour chaque famille en Amérique. Nous n'avons pas l'intention de le partager à parts égales. Nous ne proposons pas un partage des richesses, mais nous proposons de limiter la pauvreté que nous allons permettre d'infliger à la famille de n'importe quel homme Nous ne dirons pas que nous allons essayer de garantir l' égalité ... mais nous ne disons qu' un tiers de la moyenne est assez bas pour une seule famille de tenir qu'il devrait y avoir une garantie d'une richesse familiale d'environ 5 $ 000; suffisant pour une maison une automobile une radio et les commodités ordinaires et l'occasion d'éduquer leurs enfants... nous devrons limiter les fortunes Notre plan actuel est que nous ne permettrons à aucun homme de posséder plus de 50 millions de dollars Nous pensons qu'avec cette limite, nous serons en mesure de réaliser l'équilibre du programme. Long de Louisiane, Discours radiophonique, 23 février 1934 Le président Franklin D. Roosevelt a répondu à des défis politiques comme celui du sénateur Long en faisant laquelle des choses suivantes ?",high_school_us_history,"['Annonçant qu'il ne se présenterait pas à la réélection', 'Lancement du deuxième New Deal, une série d'actes législatifs incluant la sécurité sociale', 'Détourner l'attention des gens en permettant aux Japonais de bombarder Pearl Harbor', 'Il exhorte le Congrès à réduire les impôts et à déréglementer l'économie.']",1,"Question: Cette question se réfère aux informations suivantes. Nous avons organisé une société et nous l'appelons "" Partagez notre société de richesse Nous proposons de limiter la richesse des grands hommes du pays. Il y a en moyenne 15 000 $ de richesse pour chaque famille en Amérique. Nous n'avons pas l'intention de le partager à parts égales. Nous ne proposons pas un partage des richesses, mais nous proposons de limiter la pauvreté que nous allons permettre d'infliger à la famille de n'importe quel homme Nous ne dirons pas que nous allons essayer de garantir l' égalité ... mais nous ne disons qu' un tiers de la moyenne est assez bas pour une seule famille de tenir qu'il devrait y avoir une garantie d'une richesse familiale d'environ 5 $ 000; suffisant pour une maison une automobile une radio et les commodités ordinaires et l'occasion d'éduquer leurs enfants... nous devrons limiter les fortunes Notre plan actuel est que nous ne permettrons à aucun homme de posséder plus de 50 millions de dollars Nous pensons qu'avec cette limite, nous serons en mesure de réaliser l'équilibre du programme. Long de Louisiane, Discours radiophonique, 23 février 1934 Le président Franklin D. Roosevelt a répondu à des défis politiques comme celui du sénateur Long en faisant laquelle des choses suivantes ?

Choix: ['Annonçant qu'il ne se présenterait pas à la réélection', 'Lancement du deuxième New Deal, une série d'actes législatifs incluant la sécurité sociale', 'Détourner l'attention des gens en permettant aux Japonais de bombarder Pearl Harbor', 'Il exhorte le Congrès à réduire les impôts et à déréglementer l'économie.']

Réponse: Lancement du deuxième New Deal, une série d'actes législatifs incluant la sécurité sociale"
"Cette question se réfère à l'information suivante. "" J'étais autrefois un outil d'oppression et aussi vert qu'un enfoiré pouvait l'être et les monopoles se sont regroupés pour battre un pauvre fou comme moi. "" Les chemins de fer et les anciens patrons du parti ensemble étaient d'accord; et ils pensaient qu'il y aurait peu de problèmes à travailler un fou comme moi . ""  ""The Hayseed"" La chanson, et le mouvement auquel elle était liée, mettent en évidence lequel des développements suivants dans la société plus large à la fin des années 1800?",high_school_us_history,"['La corruption au sein du gouvernement - en particulier en ce qui concerne les grandes entreprises - a stimulé le public à exiger un contrôle populaire accru et une réforme des gouvernements locaux, étatiques et nationaux.', 'Un mouvement à grande échelle d'agriculteurs afro-américains et blancs en difficulté, ainsi que de travailleurs d'usines urbaines, a été en mesure d'exercer une grande influence sur la législation fédérale.', 'Le système bipartite de l'époque s'est effondré et a conduit à l'émergence d'un parti majeur supplémentaire qui a été en mesure de prendre le contrôle du Congrès dans les dix ans suivant sa fondation.', 'Les escarmouches continues à la frontière dans les années 1890 avec les Indiens américains ont créé un sentiment de peur et d'amertume parmi les agriculteurs occidentaux.']",0,"Question: Cette question se réfère à l'information suivante. "" J'étais autrefois un outil d'oppression et aussi vert qu'un enfoiré pouvait l'être et les monopoles se sont regroupés pour battre un pauvre fou comme moi. "" Les chemins de fer et les anciens patrons du parti ensemble étaient d'accord; et ils pensaient qu'il y aurait peu de problèmes à travailler un fou comme moi . ""  ""The Hayseed"" La chanson, et le mouvement auquel elle était liée, mettent en évidence lequel des développements suivants dans la société plus large à la fin des années 1800?

Choix: ['La corruption au sein du gouvernement - en particulier en ce qui concerne les grandes entreprises - a stimulé le public à exiger un contrôle populaire accru et une réforme des gouvernements locaux, étatiques et nationaux.', 'Un mouvement à grande échelle d'agriculteurs afro-américains et blancs en difficulté, ainsi que de travailleurs d'usines urbaines, a été en mesure d'exercer une grande influence sur la législation fédérale.', 'Le système bipartite de l'époque s'est effondré et a conduit à l'émergence d'un parti majeur supplémentaire qui a été en mesure de prendre le contrôle du Congrès dans les dix ans suivant sa fondation.', 'Les escarmouches continues à la frontière dans les années 1890 avec les Indiens américains ont créé un sentiment de peur et d'amertume parmi les agriculteurs occidentaux.']

Réponse: La corruption au sein du gouvernement - en particulier en ce qui concerne les grandes entreprises - a stimulé le public à exiger un contrôle populaire accru et une réforme des gouvernements locaux, étatiques et nationaux."
"Cette question se réfère à l'information suivante. ""Certains hommes regardent les constitutions avec une vénération hypocrite et les considérer comme l'arche de l'alliance trop sacré pour être touché Ils attribuent aux hommes de l'âge précédent une sagesse plus qu'humaine. et supposons que ce qu'ils ont fait soit au-delà de l'amendement....Mais je sais aussi que les lois et les institutions doivent aller de pair avec le progrès de l'esprit humain Comme cela devient plus développé plus éclairés à mesure que de nouvelles découvertes sont faites de nouvelles vérités révélées et les manières et les opinions changent avec le changement de circonstances Les institutions doivent également progresser. et à suivre le rythme du temps. "" Thomas Jefferson 1816 Laquelle des déclarations suivantes est la plus exacte concernant l'existence des partis politiques aux États-Unis?",high_school_us_history,"['Après la rédaction de la Constitution Les débats continus sur les droits des États et les intérêts économiques concurrents ont conduit à la formation de partis politiques. C'est le cas des fédéralistes et des démocrates-républicains.', 'Bien que Washington ait mis en garde contre l'influence des partis politiques, il a accepté à contrecœur l'approbation du parti fédéraliste.', 'Les partis politiques n'existaient pas avant la guerre de 1812, lorsque les fédéralistes ont affirmé leur contrôle sur les politiques étrangères avec la France et la Grande-Bretagne.', 'Deux grands partis politiques dominent les élections présidentielles anticipées jusqu'à ce que John Quincy Adams fonde le parti Whig en 1824.']",1,"Question: Cette question se réfère à l'information suivante. ""Certains hommes regardent les constitutions avec une vénération hypocrite et les considérer comme l'arche de l'alliance trop sacré pour être touché Ils attribuent aux hommes de l'âge précédent une sagesse plus qu'humaine. et supposons que ce qu'ils ont fait soit au-delà de l'amendement....Mais je sais aussi que les lois et les institutions doivent aller de pair avec le progrès de l'esprit humain Comme cela devient plus développé plus éclairés à mesure que de nouvelles découvertes sont faites de nouvelles vérités révélées et les manières et les opinions changent avec le changement de circonstances Les institutions doivent également progresser. et à suivre le rythme du temps. "" Thomas Jefferson 1816 Laquelle des déclarations suivantes est la plus exacte concernant l'existence des partis politiques aux États-Unis?

Choix: ['Après la rédaction de la Constitution Les débats continus sur les droits des États et les intérêts économiques concurrents ont conduit à la formation de partis politiques. C'est le cas des fédéralistes et des démocrates-républicains.', 'Bien que Washington ait mis en garde contre l'influence des partis politiques, il a accepté à contrecœur l'approbation du parti fédéraliste.', 'Les partis politiques n'existaient pas avant la guerre de 1812, lorsque les fédéralistes ont affirmé leur contrôle sur les politiques étrangères avec la France et la Grande-Bretagne.', 'Deux grands partis politiques dominent les élections présidentielles anticipées jusqu'à ce que John Quincy Adams fonde le parti Whig en 1824.']

Réponse: Bien que Washington ait mis en garde contre l'influence des partis politiques, il a accepté à contrecœur l'approbation du parti fédéraliste."
"Cette question se réfère à l'information suivante: lors d'une réunion des ouvrières tenue à Hull House au cours d'une grève dans une grande usine de chaussures Les discussions ont montré clairement que les grévistes qui avaient été les plus facilement effrayés et donc le premier à capituler étaient naturellement ces filles qui payaient la pension et avaient peur d'être mises dehors si elles tombaient trop en arrière Après un récit d'un cas de difficultés particulières l'un d'eux s'est exclamé: ""Ne serait- il pas bien si nous avions un club d'embarquement de notre propre et puis nous pourrions nous soutenir les uns les autres dans un moment comme celui-ci? "" Après que les événements se sont déplacés rapidement Nous avons ... discuté de toutes les difficultés et les fascinations d'une telle entreprise, et le premier mai 1891, deux appartements confortables près de Hull House ont été loués et meublés L'établissement était responsable des meubles et payait le loyer du premier mois. Mais au-delà de cela, les membres ont géré le club eux-mêmes... à la fin de la troisième année, le club a occupé tous les six appartements que le bâtiment d'origine contenait. et comptait cinquante membres. Jane Addams Vingt ans à Hull House 1912 Un travailleur de maison d'établissement était le plus susceptible d'être motivé par lequel des éléments suivants?",high_school_us_history,"['L'Évangile social', 'Le darwinisme social', 'Le communisme', 'Le soutien d'une machine politique urbaine']",0,"Question: Cette question se réfère à l'information suivante: lors d'une réunion des ouvrières tenue à Hull House au cours d'une grève dans une grande usine de chaussures Les discussions ont montré clairement que les grévistes qui avaient été les plus facilement effrayés et donc le premier à capituler étaient naturellement ces filles qui payaient la pension et avaient peur d'être mises dehors si elles tombaient trop en arrière Après un récit d'un cas de difficultés particulières l'un d'eux s'est exclamé: ""Ne serait- il pas bien si nous avions un club d'embarquement de notre propre et puis nous pourrions nous soutenir les uns les autres dans un moment comme celui-ci? "" Après que les événements se sont déplacés rapidement Nous avons ... discuté de toutes les difficultés et les fascinations d'une telle entreprise, et le premier mai 1891, deux appartements confortables près de Hull House ont été loués et meublés L'établissement était responsable des meubles et payait le loyer du premier mois. Mais au-delà de cela, les membres ont géré le club eux-mêmes... à la fin de la troisième année, le club a occupé tous les six appartements que le bâtiment d'origine contenait. et comptait cinquante membres. Jane Addams Vingt ans à Hull House 1912 Un travailleur de maison d'établissement était le plus susceptible d'être motivé par lequel des éléments suivants?

Choix: ['L'Évangile social', 'Le darwinisme social', 'Le communisme', 'Le soutien d'une machine politique urbaine']

Réponse: L'Évangile social"
"Cette question se réfère à l'information suivante: ""Lincoln était fortement anti-esclavagiste, mais il n'était pas abolitionniste ou républicain radical et n'a jamais prétendu en être un. Il a fait une nette distinction entre son souhait personnel, souvent répété, que ""tous les hommes partout puissent être libres"" et ses fonctions officielles de législateur. député et président dans un système juridique et constitutionnel qui a reconnu le droit du Sud à la propriété des esclaves Même après avoir publié la Proclamation d'Émancipation, il a continué à déclarer sa préférence pour l'abolition progressive Alors que ses opinions raciales ont changé pendant la guerre civile Il n'est jamais devenu un égalitaire de principe à la manière des abolitionnistes comme Frederick Douglass ou Wendell Phillips ou des républicains radicaux comme Charles Sumner. "" L'épreuve ardente 2010 Comment la publication par le président Lincoln de la Proclamation d'émancipation a-t-elle modifié le cours de la guerre civile?",high_school_us_history,"['La guerre a pris fin rapidement parce que la Proclamation a fait réaliser à la Confédération l'inutilité de leur cause.', 'La guerre prend de l'ampleur parce que la Proclamation oblige la Grande-Bretagne à se joindre au combat du côté de l'Union.', 'Le président Jefferson Davis de la Confédération a juré une résistance massive à tout effort de l'Union pour libérer les esclaves.', 'Les objectifs de guerre des États-Unis n'étaient plus exclusivement axés sur la préservation de l'Union.']",3,"Question: Cette question se réfère à l'information suivante: ""Lincoln était fortement anti-esclavagiste, mais il n'était pas abolitionniste ou républicain radical et n'a jamais prétendu en être un. Il a fait une nette distinction entre son souhait personnel, souvent répété, que ""tous les hommes partout puissent être libres"" et ses fonctions officielles de législateur. député et président dans un système juridique et constitutionnel qui a reconnu le droit du Sud à la propriété des esclaves Même après avoir publié la Proclamation d'Émancipation, il a continué à déclarer sa préférence pour l'abolition progressive Alors que ses opinions raciales ont changé pendant la guerre civile Il n'est jamais devenu un égalitaire de principe à la manière des abolitionnistes comme Frederick Douglass ou Wendell Phillips ou des républicains radicaux comme Charles Sumner. "" L'épreuve ardente 2010 Comment la publication par le président Lincoln de la Proclamation d'émancipation a-t-elle modifié le cours de la guerre civile?

Choix: ['La guerre a pris fin rapidement parce que la Proclamation a fait réaliser à la Confédération l'inutilité de leur cause.', 'La guerre prend de l'ampleur parce que la Proclamation oblige la Grande-Bretagne à se joindre au combat du côté de l'Union.', 'Le président Jefferson Davis de la Confédération a juré une résistance massive à tout effort de l'Union pour libérer les esclaves.', 'Les objectifs de guerre des États-Unis n'étaient plus exclusivement axés sur la préservation de l'Union.']

Réponse: Les objectifs de guerre des États-Unis n'étaient plus exclusivement axés sur la préservation de l'Union."
"Cette question se réfère à l'information suivante: 7 décembre 1941 - date qui restera dans l'infamie - les États-Unis d'Amérique ont été soudainement et délibérément attaqués par les forces navales et aériennes de l'Empire du Japon. Les États-Unis étaient en paix avec cette nation et à la sollicitation du Japon était toujours en conversation avec son gouvernement et son empereur en vue du maintien de la paix dans le Pacifique C' est vrai . Une heure après le début des bombardements, l'ambassadeur du Japon aux États-Unis et son collègue ont remis au secrétaire d'État une réponse officielle à un message américain. Alors que cette réponse indiquait qu'il semblait inutile de poursuivre les négociations diplomatiques existantes Il ne contenait aucune menace ou indice de guerre ou d'attaque armée. L'attaque d'hier a causé de graves dommages aux forces navales et militaires américaines. De nombreuses vies américaines ont été perdues . En outre, des navires américains ont été torpillés en haute mer. J'ai ordonné que toutes les mesures soient prises pour notre défense. Roosevelt, discours radiophonique, 8 décembre 1941 Quelle des déclarations suivantes décrit le mieux les conséquences économiques de la déclaration de guerre décrite ci-dessus?",high_school_us_history,"['La diminution du commerce avec les pays asiatiques a précipité la récession économique aux États-Unis et en Europe.', 'La situation dévastée par la guerre en Asie et en Europe a permis aux États-Unis d'émerger comme l'une des nations les plus prospères de la Terre.', 'Les tensions de la guerre froide ont isolé les économies de l'Union soviétique et des États-Unis, entraînant une lutte économique pour les deux nations.', 'Le Japon a ensuite été obligé de payer des réparations aux États-Unis, ce qui l'a forcé dans une dépression prolongée.']",1,"Question: Cette question se réfère à l'information suivante: 7 décembre 1941 - date qui restera dans l'infamie - les États-Unis d'Amérique ont été soudainement et délibérément attaqués par les forces navales et aériennes de l'Empire du Japon. Les États-Unis étaient en paix avec cette nation et à la sollicitation du Japon était toujours en conversation avec son gouvernement et son empereur en vue du maintien de la paix dans le Pacifique C' est vrai . Une heure après le début des bombardements, l'ambassadeur du Japon aux États-Unis et son collègue ont remis au secrétaire d'État une réponse officielle à un message américain. Alors que cette réponse indiquait qu'il semblait inutile de poursuivre les négociations diplomatiques existantes Il ne contenait aucune menace ou indice de guerre ou d'attaque armée. L'attaque d'hier a causé de graves dommages aux forces navales et militaires américaines. De nombreuses vies américaines ont été perdues . En outre, des navires américains ont été torpillés en haute mer. J'ai ordonné que toutes les mesures soient prises pour notre défense. Roosevelt, discours radiophonique, 8 décembre 1941 Quelle des déclarations suivantes décrit le mieux les conséquences économiques de la déclaration de guerre décrite ci-dessus?

Choix: ['La diminution du commerce avec les pays asiatiques a précipité la récession économique aux États-Unis et en Europe.', 'La situation dévastée par la guerre en Asie et en Europe a permis aux États-Unis d'émerger comme l'une des nations les plus prospères de la Terre.', 'Les tensions de la guerre froide ont isolé les économies de l'Union soviétique et des États-Unis, entraînant une lutte économique pour les deux nations.', 'Le Japon a ensuite été obligé de payer des réparations aux États-Unis, ce qui l'a forcé dans une dépression prolongée.']

Réponse: La situation dévastée par la guerre en Asie et en Europe a permis aux États-Unis d'émerger comme l'une des nations les plus prospères de la Terre."
