question,subject,choices,answer,qa
"किसी ऐसे रोगी में आप किस आकार की कैन्यूल का उपयोग करेंगे, जिसे तेजी से रक्त आधान की आवश्यकता होती है (2020 के चिकित्सा ज्ञान के अनुसार)?",clinical_knowledge,"['18 गेज.', '20 गेज.', '22 गेज.', '24 गेज.']",0,"प्रश्न: किसी ऐसे रोगी में आप किस आकार की कैन्यूल का उपयोग करेंगे, जिसे तेजी से रक्त आधान की आवश्यकता होती है (2020 के चिकित्सा ज्ञान के अनुसार)?

उत्तर विकल्प: ['18 गेज.', '20 गेज.', '22 गेज.', '24 गेज.']

उत्तर: 18 गेज."
सफल मैराथन दौड़ने की मुख्य विशेषता है:,clinical_knowledge,"['शक्ति।', 'शक्ति।', 'कदम की लम्बाई।', 'सहनशक्ति।']",3,"प्रश्न: सफल मैराथन दौड़ने की मुख्य विशेषता है:

उत्तर विकल्प: ['शक्ति।', 'शक्ति।', 'कदम की लम्बाई।', 'सहनशक्ति।']

उत्तर: सहनशक्ति।"
निम्नलिखित में से कौनसा ब्रिटेन में डिमेंशिया का सबसे आम कारण है?,clinical_knowledge,"['अल्जाइमर रोग।', 'सेरेब्रोवास्कुलर (स्ट्रोक) रोग।', 'लेवी बॉडी डिमेंशिया।', 'एचआईवी संक्रमण।']",0,"प्रश्न: निम्नलिखित में से कौनसा ब्रिटेन में डिमेंशिया का सबसे आम कारण है?

उत्तर विकल्प: ['अल्जाइमर रोग।', 'सेरेब्रोवास्कुलर (स्ट्रोक) रोग।', 'लेवी बॉडी डिमेंशिया।', 'एचआईवी संक्रमण।']

उत्तर: अल्जाइमर रोग।"
निम्नलिखित में से कौन सा एनाफिलेक्सिस का लक्षण नहीं है?,clinical_knowledge,"['स्ट्रिडोर.', 'ब्रैडीकार्डिया।', 'गंभीर श्वासोच्छ्वास।', 'रश.']",1,"प्रश्न: निम्नलिखित में से कौन सा एनाफिलेक्सिस का लक्षण नहीं है?

उत्तर विकल्प: ['स्ट्रिडोर.', 'ब्रैडीकार्डिया।', 'गंभीर श्वासोच्छ्वास।', 'रश.']

उत्तर: ब्रैडीकार्डिया।"
किस स्थिति में बंद पाउच लागू होते हैं?,clinical_knowledge,"['रोगी का अर्ध-निर्मित या तरल आउटपुट होता है।', 'रोगी को कोलोस्टोमी है।', 'ऑपरेशन के तुरंत बाद की अवधि में।', 'रोगी का यूरोस्टोमी है।']",1,"प्रश्न: किस स्थिति में बंद पाउच लागू होते हैं?

उत्तर विकल्प: ['रोगी का अर्ध-निर्मित या तरल आउटपुट होता है।', 'रोगी को कोलोस्टोमी है।', 'ऑपरेशन के तुरंत बाद की अवधि में।', 'रोगी का यूरोस्टोमी है।']

उत्तर: रोगी को कोलोस्टोमी है।"
स्प्रिंट की बढ़ती संख्या के साथ:,clinical_knowledge,"['एनेरोबिक योगदान धीरे-धीरे बढ़ता है।', 'मांसपेशियों का पीएच 6.0 से कम हो जाता है।', 'रक्त ग्लूकोज की एकाग्रता 3 mmol/L से कम हो जाती है।', 'एरोबिक चयापचय के सापेक्ष योगदान में वृद्धि होती है।']",3,"प्रश्न: स्प्रिंट की बढ़ती संख्या के साथ:

उत्तर विकल्प: ['एनेरोबिक योगदान धीरे-धीरे बढ़ता है।', 'मांसपेशियों का पीएच 6.0 से कम हो जाता है।', 'रक्त ग्लूकोज की एकाग्रता 3 mmol/L से कम हो जाती है।', 'एरोबिक चयापचय के सापेक्ष योगदान में वृद्धि होती है।']

उत्तर: एरोबिक चयापचय के सापेक्ष योगदान में वृद्धि होती है।"
डिप्लोपिया में निम्नलिखित में से कौन सा सच है?,clinical_knowledge,"['यदि एक आंख ढकी हो तो डिप्लोपिया कभी नहीं हो सकता', 'बाहरी छवि हमेशा झूठी छवि होती है', 'चौथा तंत्रिका पक्षाघात तब होता है जब रोगी ऊपर की ओर देखता है', 'छठी तंत्रिका की अपंगता के कारण आंखों का झुकाव होता है']",1,"प्रश्न: डिप्लोपिया में निम्नलिखित में से कौन सा सच है?

उत्तर विकल्प: ['यदि एक आंख ढकी हो तो डिप्लोपिया कभी नहीं हो सकता', 'बाहरी छवि हमेशा झूठी छवि होती है', 'चौथा तंत्रिका पक्षाघात तब होता है जब रोगी ऊपर की ओर देखता है', 'छठी तंत्रिका की अपंगता के कारण आंखों का झुकाव होता है']

उत्तर: बाहरी छवि हमेशा झूठी छवि होती है"
सोडियम बाइकार्बोनेट के सेवन से मध्यम दूरी की दौड़ के प्रदर्शन में सुधार होता है:,clinical_knowledge,"['मांसपेशियों से हाइड्रोजन आयनों के तेजी से बहिर्वाह की अनुमति देते हुए बाहरी द्रव के पीएच और बफरिंग क्षमता को बढ़ाना।', 'मांसपेशियों से हाइड्रोजन आयनों के तेजी से बहिर्वाह की अनुमति देते हुए बाहरी द्रव के पीएच और बफर क्षमता को कम करना।', 'बाहरी द्रव के पीएच और बफर क्षमता को बढ़ाना जिससे मांसपेशियों में हाइड्रोजन आयनों का तेजी से प्रवेश हो सके।', 'व्यायाम पूर्व मांसपेशियों के पीएच को बढ़ाना।']",0,"प्रश्न: सोडियम बाइकार्बोनेट के सेवन से मध्यम दूरी की दौड़ के प्रदर्शन में सुधार होता है:

उत्तर विकल्प: ['मांसपेशियों से हाइड्रोजन आयनों के तेजी से बहिर्वाह की अनुमति देते हुए बाहरी द्रव के पीएच और बफरिंग क्षमता को बढ़ाना।', 'मांसपेशियों से हाइड्रोजन आयनों के तेजी से बहिर्वाह की अनुमति देते हुए बाहरी द्रव के पीएच और बफर क्षमता को कम करना।', 'बाहरी द्रव के पीएच और बफर क्षमता को बढ़ाना जिससे मांसपेशियों में हाइड्रोजन आयनों का तेजी से प्रवेश हो सके।', 'व्यायाम पूर्व मांसपेशियों के पीएच को बढ़ाना।']

उत्तर: मांसपेशियों से हाइड्रोजन आयनों के तेजी से बहिर्वाह की अनुमति देते हुए बाहरी द्रव के पीएच और बफरिंग क्षमता को बढ़ाना।"
कोडन निम्न से बने होते हैंः,clinical_knowledge,"['एमआरएनए या डीएनए में न्यूक्लियोटाइड आधारों के ट्रिपल अनुक्रम।', 'एमआरएनए या डीएनए में न्यूक्लियोटाइड आधारों के चौगुने अनुक्रम।', 'पॉलीपेप्टाइड श्रृंखलाओं में एमिनो एसिड के ट्रिपल अनुक्रम।', 'डीएनए में डीऑक्सीराइबोस शर्करा के ट्रिपल अनुक्रम']",0,"प्रश्न: कोडन निम्न से बने होते हैंः

उत्तर विकल्प: ['एमआरएनए या डीएनए में न्यूक्लियोटाइड आधारों के ट्रिपल अनुक्रम।', 'एमआरएनए या डीएनए में न्यूक्लियोटाइड आधारों के चौगुने अनुक्रम।', 'पॉलीपेप्टाइड श्रृंखलाओं में एमिनो एसिड के ट्रिपल अनुक्रम।', 'डीएनए में डीऑक्सीराइबोस शर्करा के ट्रिपल अनुक्रम']

उत्तर: एमआरएनए या डीएनए में न्यूक्लियोटाइड आधारों के ट्रिपल अनुक्रम।"
फैटी एसिड को माइटोकॉन्ड्रिया में ले जाया जाता हैः,clinical_knowledge,"['थियोकिनेज।', 'कोएंजाइम ए (CoA)', 'एसिटाइल-कोए', 'कार्निटाइन।']",3,"प्रश्न: फैटी एसिड को माइटोकॉन्ड्रिया में ले जाया जाता हैः

उत्तर विकल्प: ['थियोकिनेज।', 'कोएंजाइम ए (CoA)', 'एसिटाइल-कोए', 'कार्निटाइन।']

उत्तर: कार्निटाइन।"
