question,subject,choices,answer,qa
Quel État exerce ordinairement sa juridiction en ce qui concerne les crimes commis à bord des navires?,international_law,"['L'État côtier', 'État du pavillon', 'Tous les États jouissent d'une telle compétence.', 'Le Tribunal international du droit de la mer']",1,"Question: Quel État exerce ordinairement sa juridiction en ce qui concerne les crimes commis à bord des navires?

Choix: ['L'État côtier', 'État du pavillon', 'Tous les États jouissent d'une telle compétence.', 'Le Tribunal international du droit de la mer']

Réponse: État du pavillon"
Quel est le sens de la justiciabilité ?,international_law,"['La justiciabilité fait référence à la possibilité de faire respecter un droit particulier par les titulaires de droits concernés.', 'La justiciabilité fait référence à la nature ou à la cause juste d'un droit particulier.', 'La justiciabilité fait référence à l'appréciation par les tribunaux de la conformité du non-respect d'un droit particulier avec les principes de la justice.', 'La justiciabilité fait référence à l'obligation d'un État de faire respecter un droit particulier.']",0,"Question: Quel est le sens de la justiciabilité ?

Choix: ['La justiciabilité fait référence à la possibilité de faire respecter un droit particulier par les titulaires de droits concernés.', 'La justiciabilité fait référence à la nature ou à la cause juste d'un droit particulier.', 'La justiciabilité fait référence à l'appréciation par les tribunaux de la conformité du non-respect d'un droit particulier avec les principes de la justice.', 'La justiciabilité fait référence à l'obligation d'un État de faire respecter un droit particulier.']

Réponse: La justiciabilité fait référence à la possibilité de faire respecter un droit particulier par les titulaires de droits concernés."
En quoi la responsabilité de protéger (R2P) diffère-t-elle de l'intervention humanitaire ?,international_law,"['R2P est essentiellement la même chose que l'intervention humanitaire', 'R2P nécessite un appel à l'aide de l'État en détresse', 'R2P est moins arbitraire car il nécessite une contribution du Conseil de sécurité des Nations Unies et son objectif principal est d'éviter une crise humanitaire', 'La R2P implique toujours la force armée, alors que l'intervention humanitaire ne l'implique pas.']",2,"Question: En quoi la responsabilité de protéger (R2P) diffère-t-elle de l'intervention humanitaire ?

Choix: ['R2P est essentiellement la même chose que l'intervention humanitaire', 'R2P nécessite un appel à l'aide de l'État en détresse', 'R2P est moins arbitraire car il nécessite une contribution du Conseil de sécurité des Nations Unies et son objectif principal est d'éviter une crise humanitaire', 'La R2P implique toujours la force armée, alors que l'intervention humanitaire ne l'implique pas.']

Réponse: R2P est moins arbitraire car il nécessite une contribution du Conseil de sécurité des Nations Unies et son objectif principal est d'éviter une crise humanitaire"
"Quel est le ""principe de Lotus""?",international_law,"['Le principe dit de Lotus est que 'les restrictions à l'indépendance des États ne peuvent donc pas être présumées' ou comme il a été interprété 'tout ce qui n'est pas interdit est autorisé par le droit international'', 'Le principe dit de Lotus est que les États sont libres de choisir la Cour à laquelle ils soumettront leurs litiges.', 'Le principe Lotus stipule que les États ne sont pas interdits d'exercer leur juridiction d'exécution en haute mer.', 'Le principe dit de Lotus est que le droit coutumier découle de la combinaison de la pratique de l'État et de l'opinio juris.']",0,"Question: Quel est le ""principe de Lotus""?

Choix: ['Le principe dit de Lotus est que 'les restrictions à l'indépendance des États ne peuvent donc pas être présumées' ou comme il a été interprété 'tout ce qui n'est pas interdit est autorisé par le droit international'', 'Le principe dit de Lotus est que les États sont libres de choisir la Cour à laquelle ils soumettront leurs litiges.', 'Le principe Lotus stipule que les États ne sont pas interdits d'exercer leur juridiction d'exécution en haute mer.', 'Le principe dit de Lotus est que le droit coutumier découle de la combinaison de la pratique de l'État et de l'opinio juris.']

Réponse: Le principe dit de Lotus est que ""les restrictions à l'indépendance des États ne peuvent donc pas être présumées"" ou comme il a été interprété ""tout ce qui n'est pas interdit est autorisé par le droit international"""
Laquelle de ces déclarations décrit le mieux la Constitution du Royaume-Uni?,international_law,"['La seule source de pouvoir de la Constitution du Royaume-Uni est celle du souverain', 'La Constitution du Royaume-Uni donne au pouvoir judiciaire le pouvoir de renverser les lois du Parlement.', 'La Constitution du Royaume-Uni n'est pas codifiée et peut être trouvée dans un certain nombre de sources.', 'La Constitution du Royaume-Uni est basée sur une Déclaration des droits']",2,"Question: Laquelle de ces déclarations décrit le mieux la Constitution du Royaume-Uni?

Choix: ['La seule source de pouvoir de la Constitution du Royaume-Uni est celle du souverain', 'La Constitution du Royaume-Uni donne au pouvoir judiciaire le pouvoir de renverser les lois du Parlement.', 'La Constitution du Royaume-Uni n'est pas codifiée et peut être trouvée dans un certain nombre de sources.', 'La Constitution du Royaume-Uni est basée sur une Déclaration des droits']

Réponse: La Constitution du Royaume-Uni n'est pas codifiée et peut être trouvée dans un certain nombre de sources."
Quelle est l'obligation du règlement pacifique des différends ?,international_law,"['Il s'agit d'une obligation de résultat, c'est-à-dire que les États ont l'obligation stricte de résoudre leurs différends dans les meilleurs délais.', 'Il s'agit d'une obligation de conduite, c'est-à-dire que les États ont l'obligation d'essayer de résoudre leurs différends par des moyens pacifiques.', 'Il s'agit d'une norme impérative du droit international et tous les États ont un intérêt légal à sauvegarder son application dans tout différend donné.', 'Il s'agit d'une obligation qui ne concerne que les juridictions internationales.']",1,"Question: Quelle est l'obligation du règlement pacifique des différends ?

Choix: ['Il s'agit d'une obligation de résultat, c'est-à-dire que les États ont l'obligation stricte de résoudre leurs différends dans les meilleurs délais.', 'Il s'agit d'une obligation de conduite, c'est-à-dire que les États ont l'obligation d'essayer de résoudre leurs différends par des moyens pacifiques.', 'Il s'agit d'une norme impérative du droit international et tous les États ont un intérêt légal à sauvegarder son application dans tout différend donné.', 'Il s'agit d'une obligation qui ne concerne que les juridictions internationales.']

Réponse: Il s'agit d'une obligation de conduite, c'est-à-dire que les États ont l'obligation d'essayer de résoudre leurs différends par des moyens pacifiques."
Laquelle des affirmations suivantes est fausse ?,international_law,"['Le protocole n° 14 a modifié la composition du comité chargé d'examiner les affaires de recevabilité, qui est passée d'une formation de trois juges à une formation d'un seul juge.', 'Le protocole n° 14 a ajouté un nouveau critère de recevabilité', 'Le protocole n° 14 a aboli la commission des droits de l'homme', 'Le protocole n° 14 a prolongé le mandat judiciaire de la Cour européenne des droits de l'homme']",2,"Question: Laquelle des affirmations suivantes est fausse ?

Choix: ['Le protocole n° 14 a modifié la composition du comité chargé d'examiner les affaires de recevabilité, qui est passée d'une formation de trois juges à une formation d'un seul juge.', 'Le protocole n° 14 a ajouté un nouveau critère de recevabilité', 'Le protocole n° 14 a aboli la commission des droits de l'homme', 'Le protocole n° 14 a prolongé le mandat judiciaire de la Cour européenne des droits de l'homme']

Réponse: Le protocole n° 14 a aboli la commission des droits de l'homme"
"Qu'est-ce qui est considéré comme un ""rocher"" au sens de la convention des Nations unies sur le droit de la mer (CNUDM)?",international_law,"['Les rochers sont les îles qui sont moins de 10 miles carrés', 'Les rochers sont les îles qui n'ont pas de zone maritime.', 'Les îles rocheuses sont les îles qui ne peuvent soutenir l'habitation humaine ou la vie économique par elles-mêmes et qui, conformément à l'article 121, paragraphe 3, n'ont pas de zone économique exclusive ou de plateau continental.', 'Les rochers sont les petites îles qui peuvent soutenir l' habitation humaine .']",2,"Question: Qu'est-ce qui est considéré comme un ""rocher"" au sens de la convention des Nations unies sur le droit de la mer (CNUDM)?

Choix: ['Les rochers sont les îles qui sont moins de 10 miles carrés', 'Les rochers sont les îles qui n'ont pas de zone maritime.', 'Les îles rocheuses sont les îles qui ne peuvent soutenir l'habitation humaine ou la vie économique par elles-mêmes et qui, conformément à l'article 121, paragraphe 3, n'ont pas de zone économique exclusive ou de plateau continental.', 'Les rochers sont les petites îles qui peuvent soutenir l' habitation humaine .']

Réponse: Les îles rocheuses sont les îles qui ne peuvent soutenir l'habitation humaine ou la vie économique par elles-mêmes et qui, conformément à l'article 121, paragraphe 3, n'ont pas de zone économique exclusive ou de plateau continental."
Quelle est la signification de la personnalité juridique internationale?,international_law,"['Cela signifie que seuls les États sont considérés comme des sujets du droit international.', 'Cela signifie avoir des droits et des devoirs en vertu du droit international et la capacité de les faire respecter par ou contre l'acteur concerné.', 'Cela signifie qu'une entité peut contester l'autorité des États', 'Il s'agit d'un terme qui est destiné à désigner les personnes juridiques, par opposition aux personnes physiques en vertu du droit international.']",1,"Question: Quelle est la signification de la personnalité juridique internationale?

Choix: ['Cela signifie que seuls les États sont considérés comme des sujets du droit international.', 'Cela signifie avoir des droits et des devoirs en vertu du droit international et la capacité de les faire respecter par ou contre l'acteur concerné.', 'Cela signifie qu'une entité peut contester l'autorité des États', 'Il s'agit d'un terme qui est destiné à désigner les personnes juridiques, par opposition aux personnes physiques en vertu du droit international.']

Réponse: Cela signifie avoir des droits et des devoirs en vertu du droit international et la capacité de les faire respecter par ou contre l'acteur concerné."
Lequel des éléments suivants est un mécanisme de protection des droits de l'homme fondé sur un traité?,international_law,"['Le Comité des droits de l'homme des Nations unies', 'Le Conseil des droits de l'homme des Nations unies', 'L'examen périodique universel de l'ONU', 'Les mandats spéciaux de l'ONU']",0,"Question: Lequel des éléments suivants est un mécanisme de protection des droits de l'homme fondé sur un traité?

Choix: ['Le Comité des droits de l'homme des Nations unies', 'Le Conseil des droits de l'homme des Nations unies', 'L'examen périodique universel de l'ONU', 'Les mandats spéciaux de l'ONU']

Réponse: Le Comité des droits de l'homme des Nations unies"
