question,subject,choices,answer,qa
La myopie résulte de:,high_school_psychology,"['trop de courbure de la cornée et du cristallin', 'trop faible courbure de la cornée et du cristallin', 'trop de courbure de l'iris et du cristallin', 'trop faible courbure de l'iris et du cristallin']",0,"Question: La myopie résulte de:

Choix: ['trop de courbure de la cornée et du cristallin', 'trop faible courbure de la cornée et du cristallin', 'trop de courbure de l'iris et du cristallin', 'trop faible courbure de l'iris et du cristallin']

Réponse: trop de courbure de la cornée et du cristallin"
Les illusions de grandeur sont les plus caractéristiques de,high_school_psychology,"['Un trouble obsessionnel compulsif.', 'la schizophrénie.', 'troubles de la conversion.', 'Trouble de la personnalité antisociale.']",1,"Question: Les illusions de grandeur sont les plus caractéristiques de

Choix: ['Un trouble obsessionnel compulsif.', 'la schizophrénie.', 'troubles de la conversion.', 'Trouble de la personnalité antisociale.']

Réponse: la schizophrénie."
Abraham Maslow a proposé l'idée que certains motifs sont plus impératifs pour la survie que d'autres.,high_school_psychology,"['Régulation homéostatique', 'Définition des objectifs', 'Valeur attendue', 'Hiérarchie des besoins']",3,"Question: Abraham Maslow a proposé l'idée que certains motifs sont plus impératifs pour la survie que d'autres.

Choix: ['Régulation homéostatique', 'Définition des objectifs', 'Valeur attendue', 'Hiérarchie des besoins']

Réponse: Hiérarchie des besoins"
"Dans la construction et l'évaluation des essais, la validité fait référence au degré auquel un essai",high_school_psychology,"['mesure ce qu'elle prétend mesurer', 'produit des résultats cohérents au cours des administrations successives', 'a fait l'objet d'un essai pilote et d'une analyse statistique', 'comprend des normes fondées sur un échantillon représentatif de la population générale']",0,"Question: Dans la construction et l'évaluation des essais, la validité fait référence au degré auquel un essai

Choix: ['mesure ce qu'elle prétend mesurer', 'produit des résultats cohérents au cours des administrations successives', 'a fait l'objet d'un essai pilote et d'une analyse statistique', 'comprend des normes fondées sur un échantillon représentatif de la population générale']

Réponse: mesure ce qu'elle prétend mesurer"
Le précédent établi dans l'affaire Larry P. c.,high_school_psychology,"['la fourniture d'une éducation publique gratuite et appropriée aux élèves handicapés;', 'l'offre d'un enseignement bilingue pour les apprenants de langue anglaise,', 'Les écoles sont tenues responsables de fournir des tests qui ne discriminent pas sur la base de la race.', 'l'affectation d'un financement similaire aux activités sportives pour les garçons et les filles']",2,"Question: Le précédent établi dans l'affaire Larry P. c.

Choix: ['la fourniture d'une éducation publique gratuite et appropriée aux élèves handicapés;', 'l'offre d'un enseignement bilingue pour les apprenants de langue anglaise,', 'Les écoles sont tenues responsables de fournir des tests qui ne discriminent pas sur la base de la race.', 'l'affectation d'un financement similaire aux activités sportives pour les garçons et les filles']

Réponse: Les écoles sont tenues responsables de fournir des tests qui ne discriminent pas sur la base de la race."
L'héritabilité des traits d'une population clonée est,high_school_psychology,"['Nombre d'employés', 'Pourcentage', '50% du chiffre d'affaires', 'Pourcentage']",0,"Question: L'héritabilité des traits d'une population clonée est

Choix: ['Nombre d'employés', 'Pourcentage', '50% du chiffre d'affaires', 'Pourcentage']

Réponse: Nombre d'employés"
Laquelle des statistiques suivantes fournit le plus d'informations sur la répartition des scores?,high_school_psychology,"['variance', 'moyenne', 'portée', 'médiane']",0,"Question: Laquelle des statistiques suivantes fournit le plus d'informations sur la répartition des scores?

Choix: ['variance', 'moyenne', 'portée', 'médiane']

Réponse: variance"
Selon la déclaration de position Surveillance en psychologie scolaire publiée par l'Association nationale des psychologues scolaires (NASP) laquelle des affirmations suivantes est la plus exacte concernant les psychologues scolaires qui superviseront dans un district scolaire?,high_school_psychology,"['Ils n'ont besoin de superviser que les psychologues scolaires qui ne sont pas entièrement certifiés ou autorisés et les stagiaires en psychologie scolaire.', 'Ils devraient assurer un contrôle professionnel, mais pas administratif.', 'Ils sont éligibles pour servir en tant que superviseurs après un an d'expérience en tant que psychologue scolaire.', 'Ils doivent détenir le certificat de psychologue scolaire national certifié ou le certificat de psychologue scolaire de l'État.']",3,"Question: Selon la déclaration de position Surveillance en psychologie scolaire publiée par l'Association nationale des psychologues scolaires (NASP) laquelle des affirmations suivantes est la plus exacte concernant les psychologues scolaires qui superviseront dans un district scolaire?

Choix: ['Ils n'ont besoin de superviser que les psychologues scolaires qui ne sont pas entièrement certifiés ou autorisés et les stagiaires en psychologie scolaire.', 'Ils devraient assurer un contrôle professionnel, mais pas administratif.', 'Ils sont éligibles pour servir en tant que superviseurs après un an d'expérience en tant que psychologue scolaire.', 'Ils doivent détenir le certificat de psychologue scolaire national certifié ou le certificat de psychologue scolaire de l'État.']

Réponse: Ils doivent détenir le certificat de psychologue scolaire national certifié ou le certificat de psychologue scolaire de l'État."
"Dan a lu une liste de 30 mots de vocabulaire une seule fois. Si il est typique et montre l'effet de position en série, on s'attendrait à ce que les mots dont il se souvient deux jours plus tard soient",high_school_psychology,"['au début de la liste', 'au milieu de la liste', 'à la fin de la liste', 'répartis dans toute la liste']",0,"Question: Dan a lu une liste de 30 mots de vocabulaire une seule fois. Si il est typique et montre l'effet de position en série, on s'attendrait à ce que les mots dont il se souvient deux jours plus tard soient

Choix: ['au début de la liste', 'au milieu de la liste', 'à la fin de la liste', 'répartis dans toute la liste']

Réponse: au début de la liste"
"Quelle théorie explique comment les expériences de la petite enfance, de l'enfance, de l'adolescence, de l'âge adulte et de la vieillesse influencent les caractéristiques ultérieures de la personnalité?",high_school_psychology,"['La théorie du développement cognitif de Piaget', 'La théorie des stades psychosociaux d'Erikson', 'La théorie du développement moral de Kohlberg', 'La théorie de l'attachement social d'Ainsworth']",1,"Question: Quelle théorie explique comment les expériences de la petite enfance, de l'enfance, de l'adolescence, de l'âge adulte et de la vieillesse influencent les caractéristiques ultérieures de la personnalité?

Choix: ['La théorie du développement cognitif de Piaget', 'La théorie des stades psychosociaux d'Erikson', 'La théorie du développement moral de Kohlberg', 'La théorie de l'attachement social d'Ainsworth']

Réponse: La théorie des stades psychosociaux d'Erikson"
L'examen de psychologie AP donné par le College Board en mai illustre lequel des types de tests suivants?,high_school_psychology,"['l'aptitude', 'projeté', 'réalisation', 'l'intelligence']",2,"Question: L'examen de psychologie AP donné par le College Board en mai illustre lequel des types de tests suivants?

Choix: ['l'aptitude', 'projeté', 'réalisation', 'l'intelligence']

Réponse: réalisation"
De quelle autre faculté de perception dépend principalement notre capacité à percevoir la profondeur?,high_school_psychology,"['proximité et ressemblance', 'traitement de haut en bas et traitement de bas en haut', 'Indications binoculaires et monoculaires', 'constance de la taille et de la forme']",2,"Question: De quelle autre faculté de perception dépend principalement notre capacité à percevoir la profondeur?

Choix: ['proximité et ressemblance', 'traitement de haut en bas et traitement de bas en haut', 'Indications binoculaires et monoculaires', 'constance de la taille et de la forme']

Réponse: Indications binoculaires et monoculaires"
Une personne qui subit des blessures graves qui impliquent la destruction de la médulla oblongata sera,high_school_psychology,"['être paralysé', 'tomber dans le coma', 'souffrir d'une grave déficience de la parole', 'dépérir']",3,"Question: Une personne qui subit des blessures graves qui impliquent la destruction de la médulla oblongata sera

Choix: ['être paralysé', 'tomber dans le coma', 'souffrir d'une grave déficience de la parole', 'dépérir']

Réponse: dépérir"
Lequel des termes suivants s'applique aux tests de QI?,high_school_psychology,"['réalisation', 'normalisé', 'projeté', 'triarchique']",1,"Question: Lequel des termes suivants s'applique aux tests de QI?

Choix: ['réalisation', 'normalisé', 'projeté', 'triarchique']

Réponse: normalisé"
Quel terme de conditionnement classique décrit le mieux le scénario suivant: Les chiens d'Ivan Pavlov ont commencé à saliver à chaque fois qu'ils entendaient un son semblable à une cloche. comme une sonnette ou quelqu'un claquant accidentellement un verre d'eau.,high_school_psychology,"['discrimination à l'égard', 'récupération spontanée', 'conditionnement des traces', 'généralisation']",3,"Question: Quel terme de conditionnement classique décrit le mieux le scénario suivant: Les chiens d'Ivan Pavlov ont commencé à saliver à chaque fois qu'ils entendaient un son semblable à une cloche. comme une sonnette ou quelqu'un claquant accidentellement un verre d'eau.

Choix: ['discrimination à l'égard', 'récupération spontanée', 'conditionnement des traces', 'généralisation']

Réponse: généralisation"
"Sal rencontre Petunia pour la première fois Elle est extravertie et drôle . Il s'en va avec l'opinion que Petunia est une personne amusante, alors qu'en réalité Petunia est temporairement joyeuse parce qu'elle vient de gagner au loto L'opinion de Sal que Petunia est drôle s'explique mieux par",high_school_psychology,"['l'effet de la simple exposition.', 'préjugés égoïstes.', 'l'équipotentialité.', 'l'erreur fondamentale d'attribution.']",3,"Question: Sal rencontre Petunia pour la première fois Elle est extravertie et drôle . Il s'en va avec l'opinion que Petunia est une personne amusante, alors qu'en réalité Petunia est temporairement joyeuse parce qu'elle vient de gagner au loto L'opinion de Sal que Petunia est drôle s'explique mieux par

Choix: ['l'effet de la simple exposition.', 'préjugés égoïstes.', 'l'équipotentialité.', 'l'erreur fondamentale d'attribution.']

Réponse: l'erreur fondamentale d'attribution."
Tout ce qui suit sont des exemples de punition EXCEPT,high_school_psychology,"['condamner un adolescent à rester à la maison après le couvre-feu', 'donner une fessée à un enfant pour mauvaise conduite', 'révoquer définitivement les privilèges de conduite d'un conducteur ayant conduit sous l'influence de l'alcool pour la troisième fois', 'refuser de répondre à l'appel du patron après ne pas avoir reçu l'augmentation attendue']",3,"Question: Tout ce qui suit sont des exemples de punition EXCEPT

Choix: ['condamner un adolescent à rester à la maison après le couvre-feu', 'donner une fessée à un enfant pour mauvaise conduite', 'révoquer définitivement les privilèges de conduite d'un conducteur ayant conduit sous l'influence de l'alcool pour la troisième fois', 'refuser de répondre à l'appel du patron après ne pas avoir reçu l'augmentation attendue']

Réponse: refuser de répondre à l'appel du patron après ne pas avoir reçu l'augmentation attendue"
Qu'est-ce qui doit être fait lorsque les données de dépistage universel montrent que très peu d'élèves remplissent avec succès les compétences scolaires?,high_school_psychology,"['Des changements doivent être apportés à l'exécution du programme de base.', 'Les étudiants qui ne répondent pas aux compétences doivent recevoir une instruction stratégique ou complémentaire.', 'Il faut donner aux élèves plus de temps pour développer leurs compétences.', 'Les élèves qui ne répondent pas aux compétences doivent être évalués pour les troubles d'apprentissage.']",0,"Question: Qu'est-ce qui doit être fait lorsque les données de dépistage universel montrent que très peu d'élèves remplissent avec succès les compétences scolaires?

Choix: ['Des changements doivent être apportés à l'exécution du programme de base.', 'Les étudiants qui ne répondent pas aux compétences doivent recevoir une instruction stratégique ou complémentaire.', 'Il faut donner aux élèves plus de temps pour développer leurs compétences.', 'Les élèves qui ne répondent pas aux compétences doivent être évalués pour les troubles d'apprentissage.']

Réponse: Des changements doivent être apportés à l'exécution du programme de base."
Les substances toxiques pour l'homme ont souvent un goût,high_school_psychology,"['acide', 'douceur', 'd'un goût salé', 'amère']",3,"Question: Les substances toxiques pour l'homme ont souvent un goût

Choix: ['acide', 'douceur', 'd'un goût salé', 'amère']

Réponse: amère"
"Toutes les institutions publiques adhèrent aux lignes directrices éthiques suivantes, à l'exception:",high_school_psychology,"['éviter toute tromperie inutile à l'égard des personnes', 'éviter des douleurs inutiles pour les humains et les autres animaux', 'éviter l'utilisation d'animaux lorsque des ordinateurs sont disponibles', 'la protection de la confidentialité']",2,"Question: Toutes les institutions publiques adhèrent aux lignes directrices éthiques suivantes, à l'exception:

Choix: ['éviter toute tromperie inutile à l'égard des personnes', 'éviter des douleurs inutiles pour les humains et les autres animaux', 'éviter l'utilisation d'animaux lorsque des ordinateurs sont disponibles', 'la protection de la confidentialité']

Réponse: éviter l'utilisation d'animaux lorsque des ordinateurs sont disponibles"
Lequel des types de tests suivants est le plus susceptible d'être un test de réussite?,high_school_psychology,"['un test de QI', 'un test en classe sur un chapitre d'un manuel', 'un examen d'entrée à la faculté de droit', 'un test de personnalité basé sur les cinq grands traits de personnalité']",1,"Question: Lequel des types de tests suivants est le plus susceptible d'être un test de réussite?

Choix: ['un test de QI', 'un test en classe sur un chapitre d'un manuel', 'un examen d'entrée à la faculté de droit', 'un test de personnalité basé sur les cinq grands traits de personnalité']

Réponse: un test en classe sur un chapitre d'un manuel"
Un fœtus avec le génotype XXY sera très probablement,high_school_psychology,"['peut entraîner une fausse couche.', 'souffrir de stérilité à l'âge adulte.', 'être daltonien.', 'devenir un adulte déprimé.']",1,"Question: Un fœtus avec le génotype XXY sera très probablement

Choix: ['peut entraîner une fausse couche.', 'souffrir de stérilité à l'âge adulte.', 'être daltonien.', 'devenir un adulte déprimé.']

Réponse: souffrir de stérilité à l'âge adulte."
