[Race] proportion=0.001, seed=42, frac=0.05, requested=19425, actual_pruned=19425, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=42, frac=0.1, requested=38851, actual_pruned=38851, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=42, frac=0.2, requested=77703, actual_pruned=77703, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=42, frac=0.4, requested=155407, actual_pruned=155407, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=42, frac=0.6, requested=233111, actual_pruned=233111, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=42, frac=0.8, requested=310815, actual_pruned=310815, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=123, frac=0.05, requested=19425, actual_pruned=19425, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=123, frac=0.1, requested=38851, actual_pruned=38851, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=123, frac=0.2, requested=77703, actual_pruned=77703, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=123, frac=0.4, requested=155407, actual_pruned=155407, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=123, frac=0.6, requested=233111, actual_pruned=233111, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=123, frac=0.8, requested=310815, actual_pruned=310815, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=456, frac=0.05, requested=19425, actual_pruned=19425, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=456, frac=0.1, requested=38851, actual_pruned=38851, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=456, frac=0.2, requested=77703, actual_pruned=77703, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=456, frac=0.4, requested=155407, actual_pruned=155407, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=456, frac=0.6, requested=233111, actual_pruned=233111, total_math_only=388519, math_only_count=388519
[Race] proportion=0.001, seed=456, frac=0.8, requested=310815, actual_pruned=310815, total_math_only=388519, math_only_count=388519
[Race] proportion=0.01, seed=42, frac=0.05, requested=160367, actual_pruned=160367, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=42, frac=0.1, requested=320734, actual_pruned=320734, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=42, frac=0.2, requested=641469, actual_pruned=641469, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=42, frac=0.4, requested=1282938, actual_pruned=1282938, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=42, frac=0.6, requested=1924407, actual_pruned=1924407, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=42, frac=0.8, requested=2565876, actual_pruned=2565876, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=123, frac=0.05, requested=160367, actual_pruned=160367, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=123, frac=0.1, requested=320734, actual_pruned=320734, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=123, frac=0.2, requested=641469, actual_pruned=641469, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=123, frac=0.4, requested=1282938, actual_pruned=1282938, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=123, frac=0.6, requested=1924407, actual_pruned=1924407, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=123, frac=0.8, requested=2565876, actual_pruned=2565876, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=456, frac=0.05, requested=160367, actual_pruned=160367, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=456, frac=0.1, requested=320734, actual_pruned=320734, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=456, frac=0.2, requested=641469, actual_pruned=641469, total_math_only=3207345, math_only_count=3207345
[Race] proportion=0.01, seed=456, frac=0.4, requested=1282938, actual_pruned=1282938, total_math_only=3207345, math_only_count=3207345
