question,subject,choices,answer,qa
यह प्रभावों का एक पदानुक्रम या अनुक्रमिक मॉडल है जिसका उपयोग यह समझाने के लिए किया जाता है कि विज्ञापन कैसे काम करता हैः,marketing,"['एडीडी।', 'एआईडीए।', 'पीस्टल.', 'SWOT.']",1,"प्रश्न: यह प्रभावों का एक पदानुक्रम या अनुक्रमिक मॉडल है जिसका उपयोग यह समझाने के लिए किया जाता है कि विज्ञापन कैसे काम करता हैः

उत्तर विकल्प: ['एडीडी।', 'एआईडीए।', 'पीस्टल.', 'SWOT.']

उत्तर: एआईडीए।"
_____________संचार प्रक्रिया में एक महत्वपूर्ण तत्व है यह पहचानता है कि यदि स्रोत और प्राप्तकर्ता एक-दूसरे को समझते हैं तो सफल संचार प्राप्त करने की अधिक संभावना है।,marketing,"['समझ का क्षेत्र।', 'व्यक्तिगत बिक्री।', 'शोर।', 'प्रतिक्रिया।']",0,"प्रश्न: _____________संचार प्रक्रिया में एक महत्वपूर्ण तत्व है यह पहचानता है कि यदि स्रोत और प्राप्तकर्ता एक-दूसरे को समझते हैं तो सफल संचार प्राप्त करने की अधिक संभावना है।

उत्तर विकल्प: ['समझ का क्षेत्र।', 'व्यक्तिगत बिक्री।', 'शोर।', 'प्रतिक्रिया।']

उत्तर: समझ का क्षेत्र।"
"विपणन के इतिहास में, उत्पादन अवधि कब समाप्त हुई?",marketing,"['1800 के दशक के अंत में.', '1900 के दशक की शुरुआत में।', '1920 के दशक में।', 'द्वितीय विश्व युद्ध की समाप्ति के बाद।']",2,"प्रश्न: विपणन के इतिहास में, उत्पादन अवधि कब समाप्त हुई?

उत्तर विकल्प: ['1800 के दशक के अंत में.', '1900 के दशक की शुरुआत में।', '1920 के दशक में।', 'द्वितीय विश्व युद्ध की समाप्ति के बाद।']

उत्तर: 1920 के दशक में।"
"एक सेवा किसी उत्पाद को किस हद तक कवर करती है, यह कई कारकों के अनुसार भिन्न होता है। निम्नलिखित में से कौन सा कारकों में से एक नहीं है?",marketing,"['उत्पाद के प्रकार से जुड़ी स्पर्शशीलता का स्तर।', 'प्रदर्शन-मूल्य।', 'आपूर्ति और मांग में भिन्नता।', 'जिस तरह से सेवा प्रदान की जाती है।']",1,"प्रश्न: एक सेवा किसी उत्पाद को किस हद तक कवर करती है, यह कई कारकों के अनुसार भिन्न होता है। निम्नलिखित में से कौन सा कारकों में से एक नहीं है?

उत्तर विकल्प: ['उत्पाद के प्रकार से जुड़ी स्पर्शशीलता का स्तर।', 'प्रदर्शन-मूल्य।', 'आपूर्ति और मांग में भिन्नता।', 'जिस तरह से सेवा प्रदान की जाती है।']

उत्तर: प्रदर्शन-मूल्य।"
"एक समुदाय में स्वतंत्र गैसोलीन स्टेशनों के मालिक गुप्त रूप से मिलते हैं और अपनी लाभप्रदता की रक्षा के लिए अपनी कीमतों को उच्च रखने पर सहमत होते हैं यदि उनकी योजना का पता चलता है और उन पर एक अपराध का आरोप लगाया जाता है, तो वे हो सकते हैं",marketing,"['शेरमैन एंटीट्रस्ट एक्ट के तहत दोषी पाया गया और जेल समय का सामना', 'मैग्नुसन-मोस वारंटी अधिनियम के तहत दोषी पाया गया और बड़े जुर्माने का सामना', 'एडमसन अधिनियम के तहत दोषी पाया और जेल समय और जुर्माना का सामना', 'दोषी नहीं पाया गया क्योंकि खुदरा विक्रेताओं को अपने स्वयं के मूल्य स्तर निर्धारित करने की अनुमति है']",0,"प्रश्न: एक समुदाय में स्वतंत्र गैसोलीन स्टेशनों के मालिक गुप्त रूप से मिलते हैं और अपनी लाभप्रदता की रक्षा के लिए अपनी कीमतों को उच्च रखने पर सहमत होते हैं यदि उनकी योजना का पता चलता है और उन पर एक अपराध का आरोप लगाया जाता है, तो वे हो सकते हैं

उत्तर विकल्प: ['शेरमैन एंटीट्रस्ट एक्ट के तहत दोषी पाया गया और जेल समय का सामना', 'मैग्नुसन-मोस वारंटी अधिनियम के तहत दोषी पाया गया और बड़े जुर्माने का सामना', 'एडमसन अधिनियम के तहत दोषी पाया और जेल समय और जुर्माना का सामना', 'दोषी नहीं पाया गया क्योंकि खुदरा विक्रेताओं को अपने स्वयं के मूल्य स्तर निर्धारित करने की अनुमति है']

उत्तर: शेरमैन एंटीट्रस्ट एक्ट के तहत दोषी पाया गया और जेल समय का सामना"
'मार्केटिंग मिक्स' शब्द निम्नलिखित का वर्णन करता है:,marketing,"['फर्म के अंदर और बाहर के सभी पर्यावरणीय कारकों का एक समग्र विश्लेषण।', 'व्यावसायिक निर्णयों की एक श्रृंखला जो किसी उत्पाद को बेचने में सहायता करती है।', 'किसी फर्म की विपणन शक्तियों और उसकी व्यावसायिक कमजोरी के बीच संबंध।', 'विशिष्ट लक्ष्य बाजारों को संतुष्ट करने के लिए चार रणनीतिक तत्वों का मिश्रण।']",3,"प्रश्न: 'मार्केटिंग मिक्स' शब्द निम्नलिखित का वर्णन करता है:

उत्तर विकल्प: ['फर्म के अंदर और बाहर के सभी पर्यावरणीय कारकों का एक समग्र विश्लेषण।', 'व्यावसायिक निर्णयों की एक श्रृंखला जो किसी उत्पाद को बेचने में सहायता करती है।', 'किसी फर्म की विपणन शक्तियों और उसकी व्यावसायिक कमजोरी के बीच संबंध।', 'विशिष्ट लक्ष्य बाजारों को संतुष्ट करने के लिए चार रणनीतिक तत्वों का मिश्रण।']

उत्तर: विशिष्ट लक्ष्य बाजारों को संतुष्ट करने के लिए चार रणनीतिक तत्वों का मिश्रण।"
__________ संगठन और डीएमयू के सदस्यों के लिए सूचना के प्रकार और प्रवाह को नियंत्रित करने की क्षमता रखते हैं।,marketing,"['द्वारपाल।', 'खरीदार।', 'उपयोगकर्ता।', 'आरंभकर्ता।']",0,"प्रश्न: __________ संगठन और डीएमयू के सदस्यों के लिए सूचना के प्रकार और प्रवाह को नियंत्रित करने की क्षमता रखते हैं।

उत्तर विकल्प: ['द्वारपाल।', 'खरीदार।', 'उपयोगकर्ता।', 'आरंभकर्ता।']

उत्तर: द्वारपाल।"
"एक उपभोक्ता की वास्तविक और वांछित स्थिति के बीच एक असंतुलन जिसमें मान्यता है कि एक अंतर या समस्या को हल करने की आवश्यकता है, कहा जाता हैः",marketing,"['प्रेरक विकास।', 'एक रवैया।', 'एक आत्म-कल्पना।', 'उत्पाद मूल्यांकन।']",0,"प्रश्न: एक उपभोक्ता की वास्तविक और वांछित स्थिति के बीच एक असंतुलन जिसमें मान्यता है कि एक अंतर या समस्या को हल करने की आवश्यकता है, कहा जाता हैः

उत्तर विकल्प: ['प्रेरक विकास।', 'एक रवैया।', 'एक आत्म-कल्पना।', 'उत्पाद मूल्यांकन।']

उत्तर: प्रेरक विकास।"
निम्नलिखित में से कौन सा विपणन मिश्रण का एक तत्व नहीं है?,marketing,"['पदोन्नति।', 'उत्पाद।', 'लक्षित बाजार।', 'मूल्य निर्धारण।']",2,"प्रश्न: निम्नलिखित में से कौन सा विपणन मिश्रण का एक तत्व नहीं है?

उत्तर विकल्प: ['पदोन्नति।', 'उत्पाद।', 'लक्षित बाजार।', 'मूल्य निर्धारण।']

उत्तर: लक्षित बाजार।"
पत्रिकाओं में सुगंध के निःशुल्क नमूने उपलब्ध कराना निम्नलिखित में से किसका उदाहरण है?,marketing,"['क्लासिक कंडीशनिंग।', 'ऑपरेटर कंडीशनिंग।', 'सामाजिक शिक्षा।', 'व्यवहार सीखना।']",0,"प्रश्न: पत्रिकाओं में सुगंध के निःशुल्क नमूने उपलब्ध कराना निम्नलिखित में से किसका उदाहरण है?

उत्तर विकल्प: ['क्लासिक कंडीशनिंग।', 'ऑपरेटर कंडीशनिंग।', 'सामाजिक शिक्षा।', 'व्यवहार सीखना।']

उत्तर: क्लासिक कंडीशनिंग।"
