question,subject,choices,answer,qa
"Welche Kanülegröße würden Sie bei einem Patienten verwenden, der eine schnelle Bluttransfusion benötigt (medizinische Erkenntnisse aus dem Jahr 2020)?",clinical_knowledge,"['18er Schuss.', '20er Schuss.', '22er Schuss.', '24er Schuss.']",0,"Frage: Welche Kanülegröße würden Sie bei einem Patienten verwenden, der eine schnelle Bluttransfusion benötigt (medizinische Erkenntnisse aus dem Jahr 2020)?

Antwortoptionen: ['18er Schuss.', '20er Schuss.', '22er Schuss.', '24er Schuss.']

Antwort: 18er Schuss."
Der Schlüssel zum erfolgreichen Marathonlauf ist:,clinical_knowledge,"['Stärke.', 'Macht.', 'Schrittlänge.', 'Ausdauer.']",3,"Frage: Der Schlüssel zum erfolgreichen Marathonlauf ist:

Antwortoptionen: ['Stärke.', 'Macht.', 'Schrittlänge.', 'Ausdauer.']

Antwort: Ausdauer."
Welche der folgenden Krankheiten ist die häufigste Ursache von Demenz in Großbritannien?,clinical_knowledge,"['Die Alzheimer-Krankheit.', 'Zerebrovaskuläre Erkrankungen (Schlaganfall).', 'Lewy-Körper-Demenz.', 'HIV-Infektion.']",0,"Frage: Welche der folgenden Krankheiten ist die häufigste Ursache von Demenz in Großbritannien?

Antwortoptionen: ['Die Alzheimer-Krankheit.', 'Zerebrovaskuläre Erkrankungen (Schlaganfall).', 'Lewy-Körper-Demenz.', 'HIV-Infektion.']

Antwort: Die Alzheimer-Krankheit."
Welches der folgenden Symptome ist NICHT ein Symptom der Anaphylaxie?,clinical_knowledge,"['Das ist Stridor.', 'Bradykardie.', 'Schweres Keuchen.', 'Ausbrüche.']",1,"Frage: Welches der folgenden Symptome ist NICHT ein Symptom der Anaphylaxie?

Antwortoptionen: ['Das ist Stridor.', 'Bradykardie.', 'Schweres Keuchen.', 'Ausbrüche.']

Antwort: Bradykardie."
In welcher Situation sind geschlossene Beutel anzuwenden?,clinical_knowledge,"['Der Patient hat einen halbgeformten oder flüssigen Ausgang.', 'Der Patient hat eine Kolostomie.', 'In der unmittelbaren postoperativen Zeit.', 'Der Patient hat eine Urostomie.']",1,"Frage: In welcher Situation sind geschlossene Beutel anzuwenden?

Antwortoptionen: ['Der Patient hat einen halbgeformten oder flüssigen Ausgang.', 'Der Patient hat eine Kolostomie.', 'In der unmittelbaren postoperativen Zeit.', 'Der Patient hat eine Urostomie.']

Antwort: Der Patient hat eine Kolostomie."
Mit zunehmender Anzahl von Sprints:,clinical_knowledge,"['anaeroben Beitrag allmählich zunimmt.', 'Der pH-Wert des Muskels fällt unter 6,0.', 'Die Blutzuckerkonzentration fällt unter 3 mmol/l.', 'relativem Beitrag des aeroben Stoffwechsels erhöht.']",3,"Frage: Mit zunehmender Anzahl von Sprints:

Antwortoptionen: ['anaeroben Beitrag allmählich zunimmt.', 'Der pH-Wert des Muskels fällt unter 6,0.', 'Die Blutzuckerkonzentration fällt unter 3 mmol/l.', 'relativem Beitrag des aeroben Stoffwechsels erhöht.']

Antwort: relativem Beitrag des aeroben Stoffwechsels erhöht."
Welche der folgenden Aussagen trifft bei Diplopie zu?,clinical_knowledge,"['Diplopie kann nie auftreten, wenn ein Auge bedeckt ist', 'Das äußere Bild ist immer das falsche Bild', 'Eine vierte Nervenlähmung tritt auf, wenn der Patient nach oben schaut.', 'Eine Sechste-Nerven-Lähmung verursacht ein divergierendes Blinzeln.']",1,"Frage: Welche der folgenden Aussagen trifft bei Diplopie zu?

Antwortoptionen: ['Diplopie kann nie auftreten, wenn ein Auge bedeckt ist', 'Das äußere Bild ist immer das falsche Bild', 'Eine vierte Nervenlähmung tritt auf, wenn der Patient nach oben schaut.', 'Eine Sechste-Nerven-Lähmung verursacht ein divergierendes Blinzeln.']

Antwort: Das äußere Bild ist immer das falsche Bild"
Die Einnahme von Natriumbicarbonat verbessert die Leistung beim Laufen auf mittleren Distanzen durch:,clinical_knowledge,"['Erhöhung des pH-Wertes und der Pufferkapazität der extrazellulären Flüssigkeit, wodurch ein schnellerer Abfluss von Wasserstoff-Ionen aus dem Muskel ermöglicht wird.', 'Verringerung des pH-Wertes und der Pufferkapazität der extrazellulären Flüssigkeit, wodurch ein schnellerer Abfluss von Wasserstoff-Ionen aus dem Muskel ermöglicht wird.', 'Erhöhung des pH-Wertes und der Pufferkapazität der extrazellulären Flüssigkeit, wodurch ein schnellerer Zustrom von Wasserstoff-Ionen in den Muskel ermöglicht wird.', 'erhöht den pH-Wert der Muskeln vor dem Training.']",0,"Frage: Die Einnahme von Natriumbicarbonat verbessert die Leistung beim Laufen auf mittleren Distanzen durch:

Antwortoptionen: ['Erhöhung des pH-Wertes und der Pufferkapazität der extrazellulären Flüssigkeit, wodurch ein schnellerer Abfluss von Wasserstoff-Ionen aus dem Muskel ermöglicht wird.', 'Verringerung des pH-Wertes und der Pufferkapazität der extrazellulären Flüssigkeit, wodurch ein schnellerer Abfluss von Wasserstoff-Ionen aus dem Muskel ermöglicht wird.', 'Erhöhung des pH-Wertes und der Pufferkapazität der extrazellulären Flüssigkeit, wodurch ein schnellerer Zustrom von Wasserstoff-Ionen in den Muskel ermöglicht wird.', 'erhöht den pH-Wert der Muskeln vor dem Training.']

Antwort: Erhöhung des pH-Wertes und der Pufferkapazität der extrazellulären Flüssigkeit, wodurch ein schnellerer Abfluss von Wasserstoff-Ionen aus dem Muskel ermöglicht wird."
Die Codone bestehen aus:,clinical_knowledge,"['Dreifache Sequenzen von Nukleotidbasen in mRNA oder DNA .', 'Quadruplette Sequenzen von Nukleotidbasen in mRNA oder DNA.', 'Triplettsequenzen von Aminosäuren in Polypeptidketten.', 'Dreifache Sequenzen von Deoxyribosesuckern in der DNA.']",0,"Frage: Die Codone bestehen aus:

Antwortoptionen: ['Dreifache Sequenzen von Nukleotidbasen in mRNA oder DNA .', 'Quadruplette Sequenzen von Nukleotidbasen in mRNA oder DNA.', 'Triplettsequenzen von Aminosäuren in Polypeptidketten.', 'Dreifache Sequenzen von Deoxyribosesuckern in der DNA.']

Antwort: Dreifache Sequenzen von Nukleotidbasen in mRNA oder DNA ."
"Fettsäuren werden in die Mitochondrien transportiert, verbunden mit:",clinical_knowledge,"['Thiokinase.', 'Coenzym A (CoA).', 'Acetyl-CoA.', 'Carnitin.']",3,"Frage: Fettsäuren werden in die Mitochondrien transportiert, verbunden mit:

Antwortoptionen: ['Thiokinase.', 'Coenzym A (CoA).', 'Acetyl-CoA.', 'Carnitin.']

Antwort: Carnitin."
