good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.0443679092382496,219,4936,2097,3058,7,100925440
0.0001,1,layers.1,0.038834951456310676,140,3605,947,2798,7,100925440
0.0001,1,layers.10,0.2848749370488501,1697,5957,2766,4888,7,100925440
0.0001,1,layers.11,0.2779126213592233,1832,6592,3333,5091,7,100925440
0.0001,1,layers.12,0.2110395263799408,1212,5743,2571,4384,7,100925440
0.0001,1,layers.13,0.2643786240401191,1687,6381,3140,4928,7,100925440
0.0001,1,layers.14,0.29045913383262784,1784,6142,3492,4434,7,100925440
0.0001,1,layers.15,0.31100318204655836,1857,5971,3347,4481,7,100925440
0.0001,1,layers.16,0.35135135135135137,1755,4995,2695,4055,7,100925440
0.0001,1,layers.17,0.32264583052674123,2395,7423,4024,5794,7,100925440
0.0001,1,layers.18,0.32108843537414966,2124,6615,4011,4728,7,100925440
0.0001,1,layers.19,0.33002092050209203,1893,5736,3351,4278,7,100925440
0.0001,1,layers.2,0.06378066378066378,221,3465,1623,2063,7,100925440
0.0001,1,layers.20,0.3122796259389851,2037,6523,3762,4798,7,100925440
0.0001,1,layers.21,0.23355932203389831,1378,5900,3195,4083,7,100925440
0.0001,1,layers.22,0.18856285428476158,1131,5998,3171,3958,7,100925440
0.0001,1,layers.23,0.16041461006910168,975,6078,2815,4238,7,100925440
0.0001,1,layers.24,0.1296971908062751,711,5482,2510,3683,7,100925440
0.0001,1,layers.25,0.126346568174823,821,6498,3099,4220,7,100925440
0.0001,1,layers.26,0.1590022060071271,937,5893,2782,4048,7,100925440
0.0001,1,layers.27,0.15041418398488593,1035,6881,3459,4457,7,100925440
0.0001,1,layers.28,0.09932514275826268,574,5779,2686,3667,7,100925440
0.0001,1,layers.29,0.10523605150214592,613,5825,2588,3850,7,100925440
0.0001,1,layers.3,0.04366530436653044,203,4649,1870,2982,7,100925440
0.0001,1,layers.30,0.17575867052023122,973,5536,2837,3672,7,100925440
0.0001,1,layers.31,0.046896239238785685,207,4414,2037,2584,7,100925440
0.0001,1,layers.32,0.03794308537194209,152,4006,1717,2441,7,100925440
0.0001,1,layers.33,0.04984779299847793,262,5256,2061,3457,7,100925440
0.0001,1,layers.34,0.054236594351207534,265,4886,1798,3353,7,100925440
0.0001,1,layers.35,0.10164389905070619,439,4319,1565,3193,7,100925440
0.0001,1,layers.4,0.060057589469354175,292,4862,1580,3574,7,100925440
0.0001,1,layers.5,0.15532779643046474,879,5659,2381,4157,7,100925440
0.0001,1,layers.6,0.09843673668783585,403,4094,2381,2116,7,100925440
0.0001,1,layers.7,0.054969879518072286,292,5312,1928,3676,7,100925440
0.0001,1,layers.8,0.12577417818008577,792,6297,2254,4835,7,100925440
0.0001,1,layers.9,0.2666890305266689,1590,5962,2763,4789,7,100925440
0.001,1,layers.0,0.0798353705402524,3220,40333,16298,27255,7,100925440
0.001,1,layers.1,0.11056215360253364,3491,31575,14468,20598,7,100925440
0.001,1,layers.10,0.2887267692635391,16266,56337,30131,42472,7,100925440
0.001,1,layers.11,0.33318302433271474,19211,57659,33259,43611,7,100925440
0.001,1,layers.12,0.2699642769387794,14283,52907,27655,39535,7,100925440
0.001,1,layers.13,0.22909372279717574,11843,51695,25389,38149,7,100925440
0.001,1,layers.14,0.2404530302734946,12335,51299,26808,36826,7,100925440
0.001,1,layers.15,0.25091651308879775,12662,50463,26436,36689,7,100925440
0.001,1,layers.16,0.2391363284275755,12349,51640,26112,37877,7,100925440
0.001,1,layers.17,0.28853733304138385,15813,54804,28886,41731,7,100925440
0.001,1,layers.18,0.27712524006873546,13708,49465,25149,38024,7,100925440
0.001,1,layers.19,0.24144393568310085,11337,46955,22952,35340,7,100925440
0.001,1,layers.2,0.0868232020669487,3058,35221,13862,24417,7,100925440
0.001,1,layers.20,0.23489958980540057,12083,51439,23160,40362,7,100925440
0.001,1,layers.21,0.19239291740359007,9464,49191,23876,34779,7,100925440
0.001,1,layers.22,0.1799923893281468,8514,47302,19416,36400,7,100925440
0.001,1,layers.23,0.1673116877826211,8214,49094,20052,37256,7,100925440
0.001,1,layers.24,0.15644659222011797,7187,45939,15828,37298,7,100925440
0.001,1,layers.25,0.17069288921730233,9009,52779,18647,43141,7,100925440
0.001,1,layers.26,0.1867225606769966,9532,51049,20973,39608,7,100925440
0.001,1,layers.27,0.18884701448592628,9621,50946,22957,37610,7,100925440
0.001,1,layers.28,0.18259770737431177,8092,44316,19530,32878,7,100925440
0.001,1,layers.29,0.18216054595667952,7981,43813,18387,33407,7,100925440
0.001,1,layers.3,0.09340550093891528,4228,45265,19457,30036,7,100925440
0.001,1,layers.30,0.21991996021691254,9287,42229,19899,31617,7,100925440
0.001,1,layers.31,0.11651126749828511,4586,39361,17544,26403,7,100925440
0.001,1,layers.32,0.07564237749042677,2726,36038,17744,21020,7,100925440
0.001,1,layers.33,0.09488235878089943,3823,40292,19311,24804,7,100925440
0.001,1,layers.34,0.10895548241815348,4403,40411,18312,26502,7,100925440
0.001,1,layers.35,0.12185402123619246,4556,37389,12507,29438,7,100925440
0.001,1,layers.4,0.10047191011235955,4471,44500,18634,30337,7,100925440
0.001,1,layers.5,0.1046986277575126,4822,46056,19048,31830,7,100925440
0.001,1,layers.6,0.10783876848288435,5324,49370,20979,33715,7,100925440
0.001,1,layers.7,0.11118773251066147,6127,55105,23042,38190,7,100925440
0.001,1,layers.8,0.1855625115389134,11056,59581,26209,44428,7,100925440
0.001,1,layers.9,0.2538436669300956,14133,55676,28122,41687,7,100925440
0.01,1,layers.0,0.064700871368017,18912,292299,102807,208404,7,100925440
0.01,1,layers.1,0.07430762675756285,23544,316845,149404,190985,7,100925440
0.01,1,layers.10,0.24985502232164797,127101,508699,299063,336737,7,100925440
0.01,1,layers.11,0.2922064424023501,149006,509934,304767,354173,7,100925440
0.01,1,layers.12,0.27717174675224315,136292,491724,282868,345148,7,100925440
0.01,1,layers.13,0.26224710719543065,118826,453107,258588,313345,7,100925440
0.01,1,layers.14,0.2607331757511406,118358,453943,251895,320406,7,100925440
0.01,1,layers.15,0.27754897685611385,120295,433419,233162,320552,7,100925440
0.01,1,layers.16,0.27632637247860653,121963,441373,256193,307143,7,100925440
0.01,1,layers.17,0.30674505769727434,141338,460767,267857,334248,7,100925440
0.01,1,layers.18,0.29034755521650685,127883,440448,264244,304087,7,100925440
0.01,1,layers.19,0.2508506882841572,110285,439644,250699,299230,7,100925440
0.01,1,layers.2,0.11533520977766024,36633,317622,127989,226266,7,100925440
0.01,1,layers.20,0.2620798018396823,118925,453774,254931,317768,7,100925440
0.01,1,layers.21,0.24004073389054834,98765,411451,218083,292133,7,100925440
0.01,1,layers.22,0.22484406402382878,84243,374673,165417,293499,7,100925440
0.01,1,layers.23,0.19467520227433086,75599,388334,162029,301904,7,100925440
0.01,1,layers.24,0.13270050102399064,58057,437504,180684,314877,7,100925440
