Unnamed: 0.1,Unnamed: 0,instruct,qa,_doc_id
34,34,"प्रश्न: सैम ने अपने दो बेटों, केन और टोनी के बीच एक निश्चित राशि साझा की। अगर केन को 1750 डॉलर मिले, और टोनी को केन से दोगुना मिला, तो कितना पैसा बांटा गया? उत्तर: चलो एक-एक करके सोचें। टोनी दो बार $ 1750 जो है 2 * $ 1750 = $ <<2*1750=3500>> 3500 कुल राशि साझा किया गया था $ 1750 + $ 3500 = $ <<1750+3500=5250>> 5250 #### 5250","प्रश्न: सैम ने अपने दो बेटों, केन और टोनी के बीच एक निश्चित राशि साझा की। अगर केन को 1750 डॉलर मिले, और टोनी को केन से दोगुना मिला, तो कितना पैसा बांटा गया? उत्तर: चलो एक-एक करके सोचें। टोनी को दो बार $ 1750 मिला जो कि 2 * $ 1750 = $ <<2*1750=3500>> 3500 कुल राशि साझा की गई थी $ 1750 + $ 3500 = $ <<1750+3500=5250>> 5250 उत्तर 5250 है",34
44,44,"प्रश्न: जेम्स शिकागो में एक विश्वविद्यालय में प्रथम वर्ष के छात्र हैं। उसके पास प्रति सेमेस्टर $1000 का बजट है। वह अपने धन का 30 प्रतिशत भोजन पर, 15 प्रतिशत आवास पर, 25 प्रतिशत मनोरंजन पर और शेष पाठ्यक्रम सामग्री पर खर्च करता है। वह पाठ्यक्रम सामग्री पर कितना पैसा खर्च करता है? उत्तर: चलो एक-एक करके सोचें। आवास 15% * $1000=$ <<15*.01*1000=150>> 150 भोजन 30% * $1000=$ <<30*.01*1000=300>> 300 मनोरंजन 25% * $1000=$ <<25*.01*1000=250>> 250 पाठ्यक्रम सामग्री इस प्रकार $1000-($150+$300+$250) = $300 #### 300 है","प्रश्न: जेम्स शिकागो में एक विश्वविद्यालय में प्रथम वर्ष के छात्र हैं। उसके पास प्रति सेमेस्टर $1000 का बजट है। वह अपने धन का 30 प्रतिशत भोजन पर, 15 प्रतिशत आवास पर, 25 प्रतिशत मनोरंजन पर और शेष पाठ्यक्रम सामग्री पर खर्च करता है। वह पाठ्यक्रम सामग्री पर कितना पैसा खर्च करता है? उत्तर: चलो एक-एक करके सोचें। आवास 15% * $1000=$ <<15*.01*1000=150>> 150 भोजन 30% * $1000=$ <<30*.01*1000=300>> 300 मनोरंजन 25% * $1000=$ <<25*.01*1000=250>> 250 पाठ्यक्रम सामग्री इस प्रकार $1000-($150+$300+$250) = $300 है उत्तर 300 है",44
49,49,"प्रश्न: समुद्र के किनारे एक स्कूली यात्रा पर, एलन और उसके दोस्तों ने गोले इकट्ठा किए। एलन ने बेन की तुलना में चार गुना अधिक गोले एकत्र किए। बेन ने देर से शुरुआत की और लॉरी की तुलना में केवल एक तिहाई ही इकट्ठा किया। अगर लॉरी ने 36 गोले इकट्ठा किए तो एलन ने कितने इकट्ठा किए? उत्तर: चलो एक-एक करके सोचें। बेन ने 36/3= <<36/3=12>> 12 गोले एकत्र किए एलन ने 12*4= <<12*4=48>> 48 गोले एकत्र किए #### 48","प्रश्न: समुद्र के किनारे एक स्कूली यात्रा पर, एलन और उसके दोस्तों ने गोले इकट्ठा किए। एलन ने बेन की तुलना में चार गुना अधिक गोले एकत्र किए। बेन ने देर से शुरुआत की और लॉरी की तुलना में केवल एक तिहाई ही इकट्ठा किया। अगर लॉरी ने 36 गोले इकट्ठा किए तो एलन ने कितने इकट्ठा किए? उत्तर: चलो एक-एक करके सोचें। बेन ने 36/3= <<36/3=12>> 12 गोले एकत्र किए एलन ने 12*4= <<12*4=48>> 48 गोले एकत्र किए उत्तर 48 है",49
83,83,"प्रश्न: पैटिन के पास 20 लाल टोपी और 24 नीली टोपी हैं। उसकी दोस्त ज़ोला के पास उससे 4/5 गुना अधिक लाल टोपी है और नीली टोपी की संख्या दोगुनी है। यदि वे सभी टोपी एक साथ जोड़ते हैं और उन्हें अपने बीच समान रूप से साझा करते हैं, तो प्रत्येक को प्राप्त टोपी की संख्या की गणना करें। उत्तर: चलो एक-एक करके सोचें। पैटिन के पास कुल 20 टोपी + 24 टोपी = <<20+24=44>> 44 टोपी हैं। जोला के पास लाल टोपी की संख्या 4/5 * 20 टोपी = <<4/5*20=16>> 16 टोपी जोला के पास 2 * 24 टोपी = <<2*24=48>> 48 नीली टोपी भी है। ज़ोला के पास कुल 48 टोपी + 16 टोपी = <<48+16=64>> 64 टोपी हैं। जब वे अपनी टोपी जोड़ते हैं, तो उनके पास 64 टोपी + 44 टोपी = <<64+44=108>> 108 टोपी यदि वे टोपी को समान रूप से साझा करते हैं, तो प्रत्येक को 108 टोपी / 2 लोग = <<108/2=54>> 54 टोपी / व्यक्ति #### 54","प्रश्न: पैटिन के पास 20 लाल टोपी और 24 नीली टोपी हैं। उसकी दोस्त ज़ोला के पास उससे 4/5 गुना अधिक लाल टोपी है और नीली टोपी की संख्या दोगुनी है। यदि वे सभी टोपी एक साथ जोड़ते हैं और उन्हें अपने बीच समान रूप से साझा करते हैं, तो प्रत्येक को प्राप्त टोपी की संख्या की गणना करें। उत्तर: चलो एक-एक करके सोचें। पैटिन के पास कुल 20 टोपी + 24 टोपी = <<20+24=44>> 44 टोपी हैं। जोला के पास लाल टोपी की संख्या 4/5 * 20 टोपी = <<4/5*20=16>> 16 टोपी जोला के पास 2 * 24 टोपी = <<2*24=48>> 48 नीली टोपी भी है। ज़ोला के पास कुल 48 टोपी + 16 टोपी = <<48+16=64>> 64 टोपी हैं। जब वे अपनी टोपी जोड़ते हैं, तो उनके पास 64 टोपी + 44 टोपी = <<64+44=108>> 108 टोपी यदि वे टोपी को समान रूप से साझा करते हैं, तो प्रत्येक को 108 टोपी / 2 लोग = <<108/2=54>> 54 टोपी / व्यक्ति मिलता है उत्तर 54 है",83
113,113,"प्रश्न: बाज़ के पास 25 बुलबुले हैं। वह उनमें से 20% एक दिन खो देती है। फिर एक दोस्त उसे देखता है और उसे उस राशि का दोगुना देता है जो बेज़ के पास उनके खोने के बाद है। कितने गोले बेज़ के साथ समाप्त होता है? उत्तर: चलो एक-एक करके सोचें। वह 5 बुलबुले खो देता है क्योंकि 25 x .2 = <<25*.2=5>> 5 उसके बाद उसके पास 20 बुलबुले हैं क्योंकि 25 - 5 = <<25-5=20>> 20 उसका दोस्त उसे 40 बुलबुले देता है क्योंकि 20 x 2 = <<20*2=40>> 40 उन बुलबुले को जोड़ने से पहले उसके पास 20 थे, उसके पास 40 बुलबुले + 20 बुलबुले = <<40+20=60>> 60 बुलबुले #### 60","प्रश्न: बाज़ के पास 25 बुलबुले हैं। वह उनमें से 20% एक दिन खो देती है। फिर एक दोस्त उसे देखता है और उसे उस राशि का दोगुना देता है जो बेज़ के पास उनके खोने के बाद है। कितने गोले बेज़ के साथ समाप्त होता है? उत्तर: चलो एक-एक करके सोचें। वह 5 बुलबुले खो देता है क्योंकि 25 x .2 = <<25*.2=5>> 5 उसके बाद उसके पास 20 बुलबुले हैं क्योंकि 25 - 5 = <<25-5=20>> 20 उसका दोस्त उसे 40 बुलबुले देता है क्योंकि 20 x 2 = <<20*2=40>> 40 उन बुलबुले को जोड़ना उसके पास पहले 20 थे, वह 40 बुलबुले + 20 बुलबुले = <<40+20=60>> 60 बुलबुले के साथ समाप्त होती है उत्तर 60 है",113
122,122,"प्रश्नः एक सम्मेलन कक्ष में, एक कंपनी के बोर्ड की बैठक की तैयारी में प्रत्येक में 2 लोगों की क्षमता के साथ 40 कुर्सियों को पंक्तियों में व्यवस्थित किया गया था, जिनकी सदस्यों की संख्या कुर्सियों की क्षमता के समान थी। यदि 2/5 कुर्सियां खाली थीं, और बाकी में प्रत्येक में दो लोग थे, तो बोर्ड के सदस्यों की संख्या की गणना करें जो बैठक में उपस्थित थे। उत्तर: चलो एक-एक करके सोचें। 40 कुर्सियों की कुल क्षमता 40*2= <<40*2=80>> 80 लोगों की थी। यदि अध्यक्षों में से 2/5 खाली थे, तो 2/5*80= <<2/5*80=32>> 32 लोग बोर्ड की बैठक से चूक गए क्योंकि सदस्यों की संख्या अध्यक्ष की क्षमता के बराबर थी। बैठक में उपस्थित बोर्ड सदस्यों की संख्या 80-32= <<80-32=48>> 48 #### 48 थी।","प्रश्नः एक सम्मेलन कक्ष में, एक कंपनी के बोर्ड की बैठक की तैयारी में प्रत्येक में 2 लोगों की क्षमता के साथ 40 कुर्सियों को पंक्तियों में व्यवस्थित किया गया था, जिनकी सदस्यों की संख्या कुर्सियों की क्षमता के समान थी। यदि 2/5 कुर्सियां खाली थीं, और बाकी में प्रत्येक में दो लोग थे, तो बोर्ड के सदस्यों की संख्या की गणना करें जो बैठक में उपस्थित थे। उत्तर: चलो एक-एक करके सोचें। 40 कुर्सियों की कुल क्षमता 40*2= <<40*2=80>> 80 लोगों की थी। यदि अध्यक्षों में से 2/5 खाली थे, तो 2/5*80= <<2/5*80=32>> 32 लोग बोर्ड की बैठक से चूक गए क्योंकि सदस्यों की संख्या अध्यक्ष की क्षमता के बराबर थी। बैठक में उपस्थित बोर्ड सदस्यों की संख्या 80-32= <<80-32=48>> 48 थी उत्तर 48 है",122
147,147,"प्रश्न: मैरी के पास विभिन्न रंगों की 5 हरी पेंसिल और 8 नीली पेंसिल हैं। यदि वह बेकी को 3 हरी पेंसिल और 1 नीली पेंसिल देती है, तो उसके पास कितनी पेंसिल बची हैं? उत्तर: चलो एक-एक करके सोचें। वह 5+8 = <<5+8=13>> के साथ शुरू करने के लिए 13 पेंसिल था वह बेकी को 3+1 = <<3+1=4>> 4 पेंसिल दिया वह 13-4 = <<13-4=9>> 9 पेंसिल छोड़ दिया #### 9 होगा","प्रश्न: मैरी के पास विभिन्न रंगों की 5 हरी पेंसिल और 8 नीली पेंसिल हैं। यदि वह बेकी को 3 हरी पेंसिल और 1 नीली पेंसिल देती है, तो उसके पास कितनी पेंसिल बची हैं? उत्तर: चलो एक-एक करके सोचें। उसके पास 5+8 = <<5+8=13>> 13 पेंसिल के साथ शुरू करने के लिए उसने 3+1 = <<3+1=4>> 4 पेंसिल को बेकी को दिया उसके पास 13-4 = <<13-4=9>> 9 पेंसिल बचे हैं उत्तर 9 है",147
190,190,प्रश्न: पिछले साल डलास अपनी बहन डार्सी से तीन गुना बड़े थे। डार्सी डेक्सटर की उम्र से दोगुनी है जो अभी 8 साल का है. डलास अब कितने साल का है? उत्तर: चलो एक-एक करके सोचें। डार्सी = 2*डेक्स्टर = 2*8 = 16 पिछले साल डार्सी 16 - 1 = <<16-1=15>> 15 डलास 3 गुना डार्सी था पिछले साल = 3*15 = <<3*15=45>> 45 डलास अब एक साल बड़ा है = 45 + 1 = <<45+1=46>> 46 डलास अब 46 साल का है। #### 46,प्रश्न: पिछले साल डलास अपनी बहन डार्सी से तीन गुना बड़े थे। डार्सी डेक्सटर की उम्र से दोगुनी है जो अभी 8 साल का है. डलास अब कितने साल का है? उत्तर: चलो एक-एक करके सोचें। डार्सी = 2*डेक्स्टर = 2*8 = 16 पिछले साल डार्सी 16 - 1 = <<16-1=15>> 15 डलास 3 गुना डार्सी था पिछले साल = 3*15 = <<3*15=45>> 45 डलास अब एक साल बड़ा है = 45 + 1 = <<45+1=46>> 46 डलास अब 46 साल का है। उत्तर 46 है,190
204,204,"प्रश्न: जैक के पास 12 इंच मोटी किताबों का ढेर है। वह अनुभव से जानता है कि 80 पृष्ठ एक इंच मोटे होते हैं। यदि उसके पास 6 पुस्तकें हैं, तो प्रत्येक में औसतन कितने पृष्ठ हैं? उत्तर: चलो एक-एक करके सोचें। 960 पृष्ठ हैं क्योंकि 80 x 12 = <<80*12=960>> 960 प्रत्येक पुस्तक 160 पृष्ठ है क्योंकि 960 / 6 = <<960/6=160>> 160 #### 160","प्रश्न: जैक के पास 12 इंच मोटी किताबों का ढेर है। वह अनुभव से जानता है कि 80 पृष्ठ एक इंच मोटे होते हैं। यदि उसके पास 6 पुस्तकें हैं, तो प्रत्येक में औसतन कितने पृष्ठ हैं? उत्तर: चलो एक-एक करके सोचें। 960 पृष्ठ हैं क्योंकि 80 x 12 = <<80*12=960>> 960 प्रत्येक पुस्तक 160 पृष्ठ है क्योंकि 960 / 6 = <<960/6=160>> 160 उत्तर 160 है",204
226,226,"प्रश्न: एक हॉल में 32 टेबल हैं। आधे टेबल में दो-दो कुर्सियां हैं, पांच में तीन-तीन कुर्सियां हैं और बाकी में चार-चार कुर्सियां हैं। हॉल में कुल कितनी कुर्सियां हैं? उत्तर: चलो एक-एक करके सोचें। 32 तालिकाओं में से आधे 32*(1/2) = <<32*(1/2)=16>> 16 तालिकाओं 16 तालिकाओं में प्रत्येक में 2 कुर्सियां हैं कुल 16*2 = <<16*2=32>> 32 कुर्सियां 5 तालिकाओं में प्रत्येक में 3 कुर्सियां हैं कुल 5*3 = <<5*3=15>> 15 कुर्सियां हैं 32-(16+5) = <<32-(16+5)=11>> 11 तालिकाएं बची हैं 11 तालिकाओं में प्रत्येक में 4 कुर्सियां हैं कुल 11*4 = <<11*4=44>> 44 कुर्सियां कुर्सियों की कुल संख्या 32+15+44 = <<32+15+44=91>> 91 कुर्सियां #### 91","प्रश्न: एक हॉल में 32 टेबल हैं। आधे टेबल में दो-दो कुर्सियां हैं, पांच में तीन-तीन कुर्सियां हैं और बाकी में चार-चार कुर्सियां हैं। हॉल में कुल कितनी कुर्सियां हैं? उत्तर: चलो एक-एक करके सोचें। 32 तालिकाओं का आधा 32*(1/2) = <<32*(1/2)=16>> 16 तालिकाओं 16 तालिकाओं में प्रत्येक में 2 कुर्सियां हैं कुल 16*2 = <<16*2=32>> 32 कुर्सियां 5 तालिकाओं में प्रत्येक में 3 कुर्सियां हैं कुल 5*3 = <<5*3=15>> 15 कुर्सियां हैं 32-(16+5) = <<32-(16+5)=11>> 11 तालिकाएं बची हैं 11 तालिकाओं में प्रत्येक में 4 कुर्सियां हैं कुल 11*4 = <<11*4=44>> 44 कुर्सियां कुर्सियों की कुल संख्या 32+15+44 = <<32+15+44=91>> 91 कुर्सियां उत्तर 91 है",226
