question,subject,choices,answer,qa
Wie viel Prozent der Erwachsenen im Alter von 18 Jahren oder älter waren 2016 übergewichtig?,global_facts,"['10 v. H.', '20%', '40 v. H.', '80 v. H.']",2,"Frage: Wie viel Prozent der Erwachsenen im Alter von 18 Jahren oder älter waren 2016 übergewichtig?

Antwortoptionen: ['10 v. H.', '20%', '40 v. H.', '80 v. H.']

Antwort: 40 v. H."
"Was war das Bruttoinlandsprodukt pro Kopf in den Vereinigten Staaten im Jahr 1850, wenn man die Inflation und die KKP in Preisen von 2011 berücksichtigt?",global_facts,"['Ungefähr 300 Dollar.', 'Ungefähr 3000 Dollar.', 'Etwa achttausend Dollar.', 'Ungefähr 15.000 Dollar.']",1,"Frage: Was war das Bruttoinlandsprodukt pro Kopf in den Vereinigten Staaten im Jahr 1850, wenn man die Inflation und die KKP in Preisen von 2011 berücksichtigt?

Antwortoptionen: ['Ungefähr 300 Dollar.', 'Ungefähr 3000 Dollar.', 'Etwa achttausend Dollar.', 'Ungefähr 15.000 Dollar.']

Antwort: Ungefähr 3000 Dollar."
"Wie viel Prozent der Amerikaner sagen, dass Homosexualität von der Gesellschaft akzeptiert werden sollte?",global_facts,"['52%', '62%', '72%', '82 v. H.']",2,"Frage: Wie viel Prozent der Amerikaner sagen, dass Homosexualität von der Gesellschaft akzeptiert werden sollte?

Antwortoptionen: ['52%', '62%', '72%', '82 v. H.']

Antwort: 72%"
Welches der folgenden Länder erzeugte 2019 die meiste Gesamtenergie aus Solarquellen?,global_facts,"['Vereinigtes Königreich', 'Vereinigte Staaten', 'Vereinigtes Königreich', 'Japan']",0,"Frage: Welches der folgenden Länder erzeugte 2019 die meiste Gesamtenergie aus Solarquellen?

Antwortoptionen: ['Vereinigtes Königreich', 'Vereinigte Staaten', 'Vereinigtes Königreich', 'Japan']

Antwort: Vereinigtes Königreich"
"Wenn man die Inflation und die KKP-Anpassung berücksichtigt, um wie viel stieg das Pro-Kopf-BIP von 1950 bis 2016 in Japan?",global_facts,"['um das Fünffache', 'um das Zehnfache', 'um das 15-fache', 'um das 20-fache']",2,"Frage: Wenn man die Inflation und die KKP-Anpassung berücksichtigt, um wie viel stieg das Pro-Kopf-BIP von 1950 bis 2016 in Japan?

Antwortoptionen: ['um das Fünffache', 'um das Zehnfache', 'um das 15-fache', 'um das 20-fache']

Antwort: um das 15-fache"
Was ist die häufigste Todesursache bei Kindern unter fünf Jahren (Stand 2017)?,global_facts,"['Infektionen der unteren Atemwege', 'Komplikationen bei Frühgeburten', 'Durchfallerkrankungen', 'Malaria']",0,"Frage: Was ist die häufigste Todesursache bei Kindern unter fünf Jahren (Stand 2017)?

Antwortoptionen: ['Infektionen der unteren Atemwege', 'Komplikationen bei Frühgeburten', 'Durchfallerkrankungen', 'Malaria']

Antwort: Infektionen der unteren Atemwege"
Wie viel Prozent der Weltbevölkerung hat 2019 keinen Zugang zu sauberem Trinkwasser?,global_facts,"['10 v. H.', '20%', '30 v. H.', '40 v. H.']",2,"Frage: Wie viel Prozent der Weltbevölkerung hat 2019 keinen Zugang zu sauberem Trinkwasser?

Antwortoptionen: ['10 v. H.', '20%', '30 v. H.', '40 v. H.']

Antwort: 30 v. H."
"Wie viel Prozent der Befragten aus Indien berichten, dass sie im letzten Jahr eine Bestechung bezahlt haben, um Zugang zu öffentlichen Dienstleistungen (wie Bildung, Justiz, Medizin und Gesundheit, Polizei, Registrierungs- und Genehmigungsdienste, Versorgungsunternehmen, Steuereinnahmen und Zoll und Landdienst) zu erhalten?",global_facts,"['29%', '49%', '69%', '89%']",2,"Frage: Wie viel Prozent der Befragten aus Indien berichten, dass sie im letzten Jahr eine Bestechung bezahlt haben, um Zugang zu öffentlichen Dienstleistungen (wie Bildung, Justiz, Medizin und Gesundheit, Polizei, Registrierungs- und Genehmigungsdienste, Versorgungsunternehmen, Steuereinnahmen und Zoll und Landdienst) zu erhalten?

Antwortoptionen: ['29%', '49%', '69%', '89%']

Antwort: 69%"
Wie viel Prozent der brasilianischen Bevölkerung nutzte das Internet in den letzten drei Monaten?,global_facts,"['18 v. H.', '38 v. H.', '58%', '78%']",2,"Frage: Wie viel Prozent der brasilianischen Bevölkerung nutzte das Internet in den letzten drei Monaten?

Antwortoptionen: ['18 v. H.', '38 v. H.', '58%', '78%']

Antwort: 58%"
Wie viel Prozent der indischen Bevölkerung nutzte das Internet in den letzten drei Monaten?,global_facts,"['11%', '26 v. H.', '41%', '56%']",1,"Frage: Wie viel Prozent der indischen Bevölkerung nutzte das Internet in den letzten drei Monaten?

Antwortoptionen: ['11%', '26 v. H.', '41%', '56%']

Antwort: 26 v. H."
"Ab 2018 über welchen Prozentsatz der Inder sagen, dass mit einer zunehmenden Anzahl von Menschen aus vielen verschiedenen Rassen ethnischen Gruppen und Nationalitäten in ihrem Land zu einem besseren Ort zum Leben macht (im Gegensatz zu einem schlechteren oder keinem Unterschied)?",global_facts,"['23 v. H.', '38 v. H.', '53%', '68%']",3,"Frage: Ab 2018 über welchen Prozentsatz der Inder sagen, dass mit einer zunehmenden Anzahl von Menschen aus vielen verschiedenen Rassen ethnischen Gruppen und Nationalitäten in ihrem Land zu einem besseren Ort zum Leben macht (im Gegensatz zu einem schlechteren oder keinem Unterschied)?

Antwortoptionen: ['23 v. H.', '38 v. H.', '53%', '68%']

Antwort: 68%"
"Wie viel Prozent der Weltbevölkerung lebt ab 2019 in extremer Armut (weniger als 1,90 US-Dollar pro Tag)?",global_facts,"['5 v. H.', '10 v. H.', '15 v. H.', '25 v. H.']",1,"Frage: Wie viel Prozent der Weltbevölkerung lebt ab 2019 in extremer Armut (weniger als 1,90 US-Dollar pro Tag)?

Antwortoptionen: ['5 v. H.', '10 v. H.', '15 v. H.', '25 v. H.']

Antwort: 10 v. H."
