question,subject,choices,answer,qa
"En 2016, environ quel pourcentage d'adultes âgés de 18 ans ou plus étaient en surpoids?",global_facts,"['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']",2,"Question: En 2016, environ quel pourcentage d'adultes âgés de 18 ans ou plus étaient en surpoids?

Choix: ['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']

Réponse: Pourcentage"
Quel était le PIB par habitant aux États-Unis en 1850 en tenant compte de l'inflation et de la PPA aux prix de 2011 ?,global_facts,"['À peu près 300 dollars.', 'À peu près 3 000 dollars.', 'À peu près 8 000 $ .', 'À peu près 15 000 $ .']",1,"Question: Quel était le PIB par habitant aux États-Unis en 1850 en tenant compte de l'inflation et de la PPA aux prix de 2011 ?

Choix: ['À peu près 300 dollars.', 'À peu près 3 000 dollars.', 'À peu près 8 000 $ .', 'À peu près 15 000 $ .']

Réponse: À peu près 3 000 dollars."
"En 2019, à peu près quel pourcentage de personnes aux États-Unis disent que l'homosexualité devrait être acceptée par la société ?",global_facts,"['Pourcentage de 52%', '62 pour cent', 'à 72%', '82% de la population']",2,"Question: En 2019, à peu près quel pourcentage de personnes aux États-Unis disent que l'homosexualité devrait être acceptée par la société ?

Choix: ['Pourcentage de 52%', '62 pour cent', 'à 72%', '82% de la population']

Réponse: à 72%"
Lequel des pays suivants a généré le plus d'énergie totale à partir de sources solaires en 2019?,global_facts,"['États-Unis', 'États-Unis', 'Autriche', 'États-Unis']",0,"Question: Lequel des pays suivants a généré le plus d'énergie totale à partir de sources solaires en 2019?

Choix: ['États-Unis', 'États-Unis', 'Autriche', 'États-Unis']

Réponse: États-Unis"
"En tenant compte de l'inflation et de l'ajustement PPA, de combien le PIB par habitant a-t-il augmenté de 1950 à 2016 au Japon ?",global_facts,"['par 5 fois', 'par 10 fois', 'par 15 fois', 'par 20 fois']",2,"Question: En tenant compte de l'inflation et de l'ajustement PPA, de combien le PIB par habitant a-t-il augmenté de 1950 à 2016 au Japon ?

Choix: ['par 5 fois', 'par 10 fois', 'par 15 fois', 'par 20 fois']

Réponse: par 15 fois"
Quelle est la principale cause de décès chez les enfants de moins de cinq ans (en 2017)?,global_facts,"['Infections des voies respiratoires inférieures', 'Complications liées à l' accouchement prématuré', 'Maladies diarrhéiques', 'Le paludisme']",0,"Question: Quelle est la principale cause de décès chez les enfants de moins de cinq ans (en 2017)?

Choix: ['Infections des voies respiratoires inférieures', 'Complications liées à l' accouchement prématuré', 'Maladies diarrhéiques', 'Le paludisme']

Réponse: Infections des voies respiratoires inférieures"
"En 2019, à peu près quel pourcentage de la population mondiale n'a pas accès à de l'eau potable ?",global_facts,"['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']",2,"Question: En 2019, à peu près quel pourcentage de la population mondiale n'a pas accès à de l'eau potable ?

Choix: ['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']

Réponse: Pourcentage"
"Environ quel pourcentage des personnes interrogées en Inde ont déclaré avoir payé un pot-de-vin au cours de la dernière année pour accéder à des services publics (tels que l'éducation, le système judiciaire, les services médicaux et de santé, la police, les services d'enregistrement et de permis, les services publics, les recettes fiscales et les douanes et les services fonciers) en 2017?",global_facts,"['Pourcentage de 29%', '49 pour cent', '69 pour cent', '89 pour cent']",2,"Question: Environ quel pourcentage des personnes interrogées en Inde ont déclaré avoir payé un pot-de-vin au cours de la dernière année pour accéder à des services publics (tels que l'éducation, le système judiciaire, les services médicaux et de santé, la police, les services d'enregistrement et de permis, les services publics, les recettes fiscales et les douanes et les services fonciers) en 2017?

Choix: ['Pourcentage de 29%', '49 pour cent', '69 pour cent', '89 pour cent']

Réponse: 69 pour cent"
"En 2017, quelle fraction de la population brésilienne a utilisé Internet au cours des trois derniers mois ?",global_facts,"['Pourcentage', 'Pourcentage', '58 pour cent', '78 pour cent']",2,"Question: En 2017, quelle fraction de la population brésilienne a utilisé Internet au cours des trois derniers mois ?

Choix: ['Pourcentage', 'Pourcentage', '58 pour cent', '78 pour cent']

Réponse: 58 pour cent"
"En 2017, quelle fraction de la population indienne a utilisé Internet au cours des trois derniers mois ?",global_facts,"['Pourcentage', 'Pourcentage', '41 pour cent', 'Pourcentage de 56%']",1,"Question: En 2017, quelle fraction de la population indienne a utilisé Internet au cours des trois derniers mois ?

Choix: ['Pourcentage', 'Pourcentage', '41 pour cent', 'Pourcentage de 56%']

Réponse: Pourcentage"
À compter de 2018 à propos de quel pourcentage d'Indiens disent qu'avoir un nombre croissant de personnes de nombreuses races différentes Les groupes ethniques et les nationalités dans leur pays en font-ils un meilleur endroit pour vivre (par opposition à pire ou aucune différence)?,global_facts,"['Pourcentage', 'Pourcentage', 'Pourcentage de 53%', 'Pourcentage']",3,"Question: À compter de 2018 à propos de quel pourcentage d'Indiens disent qu'avoir un nombre croissant de personnes de nombreuses races différentes Les groupes ethniques et les nationalités dans leur pays en font-ils un meilleur endroit pour vivre (par opposition à pire ou aucune différence)?

Choix: ['Pourcentage', 'Pourcentage', 'Pourcentage de 53%', 'Pourcentage']

Réponse: Pourcentage"
"En 2019, à peu près quel pourcentage de la population mondiale vit dans l'extrême pauvreté (moins de 1,90 $ par jour)?",global_facts,"['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']",1,"Question: En 2019, à peu près quel pourcentage de la population mondiale vit dans l'extrême pauvreté (moins de 1,90 $ par jour)?

Choix: ['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']

Réponse: Pourcentage"
"En 2020, à peu près quel pourcentage de la population mondiale pratique la défécation en plein air ?",global_facts,"['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']",2,"Question: En 2020, à peu près quel pourcentage de la population mondiale pratique la défécation en plein air ?

Choix: ['Pourcentage', 'Pourcentage', 'Pourcentage', 'Pourcentage']

Réponse: Pourcentage"
Lequel des éléments suivants ne fait pas partie de l'approche de la politique de redistribution avec croissance?,global_facts,"['législation sur le salaire minimum', 'réforme agraire', 'l'imposition progressive', 'accroissement de l'accès à l'éducation']",0,"Question: Lequel des éléments suivants ne fait pas partie de l'approche de la politique de redistribution avec croissance?

Choix: ['législation sur le salaire minimum', 'réforme agraire', 'l'imposition progressive', 'accroissement de l'accès à l'éducation']

Réponse: législation sur le salaire minimum"
Quel pourcentage de la population mondiale était alphabétisée en 1950?,global_facts,"['Pourcentage', 'Pourcentage de 56%', 'Pourcentage de 76%', 'Résistance à l'humidité']",1,"Question: Quel pourcentage de la population mondiale était alphabétisée en 1950?

Choix: ['Pourcentage', 'Pourcentage de 56%', 'Pourcentage de 76%', 'Résistance à l'humidité']

Réponse: Pourcentage de 56%"
