question,subject,choices,answer,qa
Le revenu marginal est égal au coût marginal au point où,high_school_microeconomics,"['le revenu total est supérieur au coût total à sa plus grande distance', 'le revenu total est égal au coût total', 'le produit marginal est à son point le plus élevé', 'le produit total est à son point le plus élevé']",0,"Question: Le revenu marginal est égal au coût marginal au point où

Choix: ['le revenu total est supérieur au coût total à sa plus grande distance', 'le revenu total est égal au coût total', 'le produit marginal est à son point le plus élevé', 'le produit total est à son point le plus élevé']

Réponse: le revenu total est supérieur au coût total à sa plus grande distance"
"Le prix du travail est de 2 dollars, et le prix du capital est de 1 dollar. Le produit marginal du travail est de 200 dollars, et le produit marginal du capital est de 50 dollars.",high_school_microeconomics,"['Augmenter le capital et diminuer le travail de sorte que le produit marginal du capital diminue et le produit marginal du travail augmente.', 'Augmenter le capital et diminuer le travail de sorte que le produit marginal du capital augmente et le produit marginal du travail diminue.', 'Diminuer le capital et augmenter le travail de sorte que le produit marginal du capital augmente et le produit marginal du travail diminue.', 'Diminuer le capital et augmenter le travail de sorte que le produit marginal du capital diminue et le produit marginal du travail augmente.']",2,"Question: Le prix du travail est de 2 dollars, et le prix du capital est de 1 dollar. Le produit marginal du travail est de 200 dollars, et le produit marginal du capital est de 50 dollars.

Choix: ['Augmenter le capital et diminuer le travail de sorte que le produit marginal du capital diminue et le produit marginal du travail augmente.', 'Augmenter le capital et diminuer le travail de sorte que le produit marginal du capital augmente et le produit marginal du travail diminue.', 'Diminuer le capital et augmenter le travail de sorte que le produit marginal du capital augmente et le produit marginal du travail diminue.', 'Diminuer le capital et augmenter le travail de sorte que le produit marginal du capital diminue et le produit marginal du travail augmente.']

Réponse: Diminuer le capital et augmenter le travail de sorte que le produit marginal du capital augmente et le produit marginal du travail diminue."
"Dans un équilibre de Nash,",high_school_microeconomics,"['la courbe de l'offre coupe la courbe de la demande', 'aucune des parties n'est incitée à s'écarter de sa stratégie', 'la courbe des recettes marginales coupe la courbe des coûts marginaux', 'l'équilibre est instable et chaque partie voudrait changer de stratégie']",1,"Question: Dans un équilibre de Nash,

Choix: ['la courbe de l'offre coupe la courbe de la demande', 'aucune des parties n'est incitée à s'écarter de sa stratégie', 'la courbe des recettes marginales coupe la courbe des coûts marginaux', 'l'équilibre est instable et chaque partie voudrait changer de stratégie']

Réponse: aucune des parties n'est incitée à s'écarter de sa stratégie"
"On vous dit que l'élasticité croisée des prix entre les marchandises X et Y est de +2,0.",high_school_microeconomics,"['les marchandises X et Y sont des marchandises normales.', 'les marchandises X et Y sont des marchandises inférieures.', 'les marchandises X et Y sont des marchandises complémentaires.', 'les marchandises X et Y sont des marchandises de substitution.']",3,"Question: On vous dit que l'élasticité croisée des prix entre les marchandises X et Y est de +2,0.

Choix: ['les marchandises X et Y sont des marchandises normales.', 'les marchandises X et Y sont des marchandises inférieures.', 'les marchandises X et Y sont des marchandises complémentaires.', 'les marchandises X et Y sont des marchandises de substitution.']

Réponse: les marchandises X et Y sont des marchandises de substitution."
Une externalité,high_school_microeconomics,"['fait que le prix d'équilibre est artificiellement élevé', 'fait que le prix d'équilibre est artificiellement bas', 'existe lorsque les marchés ne peuvent pas atteindre l'équilibre', 'résulte en un équilibre qui ne maximise pas le bénéfice total pour la société']",3,"Question: Une externalité

Choix: ['fait que le prix d'équilibre est artificiellement élevé', 'fait que le prix d'équilibre est artificiellement bas', 'existe lorsque les marchés ne peuvent pas atteindre l'équilibre', 'résulte en un équilibre qui ne maximise pas le bénéfice total pour la société']

Réponse: résulte en un équilibre qui ne maximise pas le bénéfice total pour la société"
Quelle est l'une des raisons pour lesquelles le gouvernement décourage la collusion entre de grandes entreprises du même secteur?,high_school_microeconomics,"['Les niveaux de production collusives ont tendance à augmenter, ce qui pousse le prix au-dessus des niveaux concurrentiels.', 'L'excédent de consommation diminue à mesure que le prix est poussé à la baisse.', 'Les niveaux de production collusives ont tendance à diminuer, ce qui fait baisser le prix à des niveaux compétitifs.', 'La maximisation des bénéfices communs coûte à la société l'excédent des consommateurs à mesure que le prix augmente au-dessus des niveaux concurrentiels.']",3,"Question: Quelle est l'une des raisons pour lesquelles le gouvernement décourage la collusion entre de grandes entreprises du même secteur?

Choix: ['Les niveaux de production collusives ont tendance à augmenter, ce qui pousse le prix au-dessus des niveaux concurrentiels.', 'L'excédent de consommation diminue à mesure que le prix est poussé à la baisse.', 'Les niveaux de production collusives ont tendance à diminuer, ce qui fait baisser le prix à des niveaux compétitifs.', 'La maximisation des bénéfices communs coûte à la société l'excédent des consommateurs à mesure que le prix augmente au-dessus des niveaux concurrentiels.']

Réponse: La maximisation des bénéfices communs coûte à la société l'excédent des consommateurs à mesure que le prix augmente au-dessus des niveaux concurrentiels."
Lequel des éléments suivants illustre la courbe de demande d'un oligopole lorsque les entreprises rivales suivent une baisse de prix mais pas une augmentation de prix?,high_school_microeconomics,"['Une courbe de demande parfaitement horizontale.', 'La courbe de demande est très inélastique.', 'Une courbe de demande très élastique.', 'Une courbe de demande composée de deux segments discontinues.']",3,"Question: Lequel des éléments suivants illustre la courbe de demande d'un oligopole lorsque les entreprises rivales suivent une baisse de prix mais pas une augmentation de prix?

Choix: ['Une courbe de demande parfaitement horizontale.', 'La courbe de demande est très inélastique.', 'Une courbe de demande très élastique.', 'Une courbe de demande composée de deux segments discontinues.']

Réponse: Une courbe de demande composée de deux segments discontinues."
Lequel des éléments suivants n'est pas la base d'une différence de salaire?,high_school_microeconomics,"['Un travail à haut risque.', 'Investissement dans le capital humain.', 'Augmentation de la production de véhicules tout terrain.', 'La discrimination raciale.']",2,"Question: Lequel des éléments suivants n'est pas la base d'une différence de salaire?

Choix: ['Un travail à haut risque.', 'Investissement dans le capital humain.', 'Augmentation de la production de véhicules tout terrain.', 'La discrimination raciale.']

Réponse: Augmentation de la production de véhicules tout terrain."
"Les brevets, le contrôle des ressources, les économies d'échelle et les licences exclusives sont",high_school_microeconomics,"['toutes les exigences relatives à la discrimination par les prix', 'nécessaire pour qu'une entreprise puisse réaliser des bénéfices à court terme', 'toutes les sources de la demande élastique', 'tous les obstacles à l'entrée']",3,"Question: Les brevets, le contrôle des ressources, les économies d'échelle et les licences exclusives sont

Choix: ['toutes les exigences relatives à la discrimination par les prix', 'nécessaire pour qu'une entreprise puisse réaliser des bénéfices à court terme', 'toutes les sources de la demande élastique', 'tous les obstacles à l'entrée']

Réponse: tous les obstacles à l'entrée"
"L'industrie qui fabrique des figurines militaires en plastique n'utilise qu'une petite fraction du plastique nécessaire à tous les usages. Sur cette base, nous pouvons conclure que l'industrie des chiffres de l'armée est très probablement",high_school_microeconomics,"['industrie à coûts croissants', 'industrie à coût constant', 'industrie à coûts décroissants', 'industrie à but lucratif']",1,"Question: L'industrie qui fabrique des figurines militaires en plastique n'utilise qu'une petite fraction du plastique nécessaire à tous les usages. Sur cette base, nous pouvons conclure que l'industrie des chiffres de l'armée est très probablement

Choix: ['industrie à coûts croissants', 'industrie à coût constant', 'industrie à coûts décroissants', 'industrie à but lucratif']

Réponse: industrie à coût constant"
