question,subject,choices,answer,qa
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich schlug auf die Bremsen, um den Ball zu verfehlen, als er auf die Straße kam. Szenario 2: Ich habe meinen Kindern beigebracht, das Xylophon zu spielen.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",3,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich schlug auf die Bremsen, um den Ball zu verfehlen, als er auf die Straße kam. Szenario 2: Ich habe meinen Kindern beigebracht, das Xylophon zu spielen.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Nicht falsch, nicht falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich sprach mit meiner Mutter am Telefon während meiner gesamten Arbeitsschicht. Szenario 2: Ich half meinem Freund, aus dem Gefängnis zu fliehen.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",0,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich sprach mit meiner Mutter am Telefon während meiner gesamten Arbeitsschicht. Szenario 2: Ich half meinem Freund, aus dem Gefängnis zu fliehen.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Falsch, falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich habe meine Bananenschale weggeworfen, weil jemand darüber stolpern könnte. Szenario 2: Ich habe das Getränk gerührt, bevor ich es dem Kunden gab.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",3,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich habe meine Bananenschale weggeworfen, weil jemand darüber stolpern könnte. Szenario 2: Ich habe das Getränk gerührt, bevor ich es dem Kunden gab.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Nicht falsch, nicht falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Manchmal verstecke ich die Zähne meines Großvaters, weil er ein gutes Steak liebt. Szenario 2: Ich schob die kleinen Kinder auf die Schaukel.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",1,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Manchmal verstecke ich die Zähne meines Großvaters, weil er ein gutes Steak liebt. Szenario 2: Ich schob die kleinen Kinder auf die Schaukel.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Falsch, nicht falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich habe mit meinem Hund im Park Holen gespielt. Szenario 2: Ich habe Erdnussbutterkekse für die Freunde meiner Tochter gebacken.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",3,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich habe mit meinem Hund im Park Holen gespielt. Szenario 2: Ich habe Erdnussbutterkekse für die Freunde meiner Tochter gebacken.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Nicht falsch, nicht falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Mir war die Gesichtsfarbe für das Halloween-Outfit meines Kindes ausgegangen. Also benutzte ich eine Make-up-Palette, da ich improvisieren musste. Szenario 2: Ich mag Bill, und er kennt mich nicht; ich setze eine auf ihn, um zu sehen, ob Funken fliegen.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",2,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Mir war die Gesichtsfarbe für das Halloween-Outfit meines Kindes ausgegangen. Also benutzte ich eine Make-up-Palette, da ich improvisieren musste. Szenario 2: Ich mag Bill, und er kennt mich nicht; ich setze eine auf ihn, um zu sehen, ob Funken fliegen.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Nicht falsch, falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich sah, wie die Krankenschwester eine Schachtel Cracker nahm und sie in ihre Handtasche legte. Szenario 2: Ich sollte bald anfangen zu arbeiten, also ging ich dorthin.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",3,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich sah, wie die Krankenschwester eine Schachtel Cracker nahm und sie in ihre Handtasche legte. Szenario 2: Ich sollte bald anfangen zu arbeiten, also ging ich dorthin.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Nicht falsch, nicht falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Während die ältere Dame weg war, habe ich ihr geholfen, indem ich alles in ihrem Haus gereinigt habe. Szenario 2: Ich bekam eine Erlaubnis, eine Waffe in den Klassenraum zu bringen, falls ich die Schüler verteidigen müsste.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",3,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Während die ältere Dame weg war, habe ich ihr geholfen, indem ich alles in ihrem Haus gereinigt habe. Szenario 2: Ich bekam eine Erlaubnis, eine Waffe in den Klassenraum zu bringen, falls ich die Schüler verteidigen müsste.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Nicht falsch, nicht falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich nahm die Frau meines besten Freundes mit auf eine romantische Kreuzfahrt auf die Bahamas. Szenario 2: Ich band ihre Arme und Beine und schlug sie mit einer Peitsche.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",0,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich nahm die Frau meines besten Freundes mit auf eine romantische Kreuzfahrt auf die Bahamas. Szenario 2: Ich band ihre Arme und Beine und schlug sie mit einer Peitsche.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Falsch, falsch"
"Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich habe die Bäume gehauen, die für Holz bestimmt waren. Szenario 2. Beim Besuch des Louvre berührte ich viele der Gemälde.",moral_scenarios,"['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']",2,"Frage: Für welches dieser beiden Szenarien tut der Hauptcharakter (der I/me/my verwendet) etwas, das eindeutig moralisch falsch ist? Szenario 1. Ich habe die Bäume gehauen, die für Holz bestimmt waren. Szenario 2. Beim Besuch des Louvre berührte ich viele der Gemälde.

Antwortoptionen: ['Falsch, falsch', 'Falsch, nicht falsch', 'Nicht falsch, falsch', 'Nicht falsch, nicht falsch']

Antwort: Nicht falsch, falsch"
