question,subject,choices,answer,qa
Quel est le terme pour un résultat sous-optimal mais acceptable des négociations entre les parties ?,management,"['Négociation', 'Satisfaisant', 'Je l' accepte .', 'Faire des compromis']",1,"Question: Quel est le terme pour un résultat sous-optimal mais acceptable des négociations entre les parties ?

Choix: ['Négociation', 'Satisfaisant', 'Je l' accepte .', 'Faire des compromis']

Réponse: Satisfaisant"
"Quel est le terme pour le type de parti pris de la ""règle du pouce"" dans la prise de décision?",management,"['Préjugé d'encadrement', 'Préjugé rétrospectif', 'Préjugé de confiance excessive', 'Heuristique']",3,"Question: Quel est le terme pour le type de parti pris de la ""règle du pouce"" dans la prise de décision?

Choix: ['Préjugé d'encadrement', 'Préjugé rétrospectif', 'Préjugé de confiance excessive', 'Heuristique']

Réponse: Heuristique"
Quel est le point de vue normatif ?,management,"['La façon dont les choses sont.', 'La façon dont les choses vont être.', 'La façon dont les choses devraient être.', 'La façon dont les choses étaient.']",2,"Question: Quel est le point de vue normatif ?

Choix: ['La façon dont les choses sont.', 'La façon dont les choses vont être.', 'La façon dont les choses devraient être.', 'La façon dont les choses étaient.']

Réponse: La façon dont les choses devraient être."
"Dans le ""modèle des cinq forces"", quel est le type d'activité concurrentielle qui existe entre les organisations?",management,"['Le potentiel d'entrée dans l'industrie', 'La menace des produits de substitution', 'Le pouvoir des clients', 'Le niveau de rivalité']",3,"Question: Dans le ""modèle des cinq forces"", quel est le type d'activité concurrentielle qui existe entre les organisations?

Choix: ['Le potentiel d'entrée dans l'industrie', 'La menace des produits de substitution', 'Le pouvoir des clients', 'Le niveau de rivalité']

Réponse: Le niveau de rivalité"
"Lequel des dirigeants politiques suivants ne pourrait pas être qualifié de dirigeant ""transformateur""?",management,"['Je suis Margaret Thatcher .', 'Il s'agit de Mikhaïl Gorbatchev.', 'Le président Nelson Mandela', 'Nom de l'acteur Bill Clinton']",3,"Question: Lequel des dirigeants politiques suivants ne pourrait pas être qualifié de dirigeant ""transformateur""?

Choix: ['Je suis Margaret Thatcher .', 'Il s'agit de Mikhaïl Gorbatchev.', 'Le président Nelson Mandela', 'Nom de l'acteur Bill Clinton']

Réponse: Nom de l'acteur Bill Clinton"
C'est quoi un diagramme de Gantt ?,management,"['Conception du flux de travail', 'Conception de l'horaire de travail', 'Conception du rythme de travail', 'Conception du résultat du travail']",1,"Question: C'est quoi un diagramme de Gantt ?

Choix: ['Conception du flux de travail', 'Conception de l'horaire de travail', 'Conception du rythme de travail', 'Conception du résultat du travail']

Réponse: Conception de l'horaire de travail"
Lequel des éléments suivants est une caractéristique de la Théorie X de McGregor ?,management,"['Les travailleurs apprécient la responsabilité.', 'Les travailleurs considèrent l'effort physique et mental comme une partie naturelle du travail.', 'Les travailleurs aiment faire preuve d'initiative.', 'Les ouvriers aiment être dirigés.']",3,"Question: Lequel des éléments suivants est une caractéristique de la Théorie X de McGregor ?

Choix: ['Les travailleurs apprécient la responsabilité.', 'Les travailleurs considèrent l'effort physique et mental comme une partie naturelle du travail.', 'Les travailleurs aiment faire preuve d'initiative.', 'Les ouvriers aiment être dirigés.']

Réponse: Les ouvriers aiment être dirigés."
Quel est le terme pour le pouvoir dérivé du statut ou de la position dans une organisation?,management,"['Référent', 'Spécialiste', 'Récompense', 'Légitime']",3,"Question: Quel est le terme pour le pouvoir dérivé du statut ou de la position dans une organisation?

Choix: ['Référent', 'Spécialiste', 'Récompense', 'Légitime']

Réponse: Légitime"
Quel écrivain est le plus associé aux structures bureaucratiques ?,management,"['Henri Fayol', 'Je suis Max Weber.', 'Il s'agit d'Adam Smith.', 'Elle s'appelle Mary Parker Follett .']",1,"Question: Quel écrivain est le plus associé aux structures bureaucratiques ?

Choix: ['Henri Fayol', 'Je suis Max Weber.', 'Il s'agit d'Adam Smith.', 'Elle s'appelle Mary Parker Follett .']

Réponse: Je suis Max Weber."
Lequel des suivants est le philanthrope industriel ?,management,"['Il s'agit de Frederick Taylor .', 'Nom de famille Seebohm Rowntree', 'Je suis Henry Ford .', 'Je suis Max Weber.']",1,"Question: Lequel des suivants est le philanthrope industriel ?

Choix: ['Il s'agit de Frederick Taylor .', 'Nom de famille Seebohm Rowntree', 'Je suis Henry Ford .', 'Je suis Max Weber.']

Réponse: Nom de famille Seebohm Rowntree"
