question,subject,choices,answer,qa
Combien de polyomavirus humains sont connus à l'heure actuelle ?,virology,"['Il y en a 100 .', 'Nom de l'établissement', 'Nom de l'entreprise', 'inconnue']",0,"Question: Combien de polyomavirus humains sont connus à l'heure actuelle ?

Choix: ['Il y en a 100 .', 'Nom de l'établissement', 'Nom de l'entreprise', 'inconnue']

Réponse: Il y en a 100 ."
L'activisme contre le sida aux États-Unis a abouti à:,virology,"['Réformes de l'administration américaine des aliments et des médicaments', 'Accès plus facile aux médicaments expérimentaux', 'Des changements dans la façon dont la médecine était pratiquée aux États-Unis.', 'Tout ce qui précède']",3,"Question: L'activisme contre le sida aux États-Unis a abouti à:

Choix: ['Réformes de l'administration américaine des aliments et des médicaments', 'Accès plus facile aux médicaments expérimentaux', 'Des changements dans la façon dont la médecine était pratiquée aux États-Unis.', 'Tout ce qui précède']

Réponse: Tout ce qui précède"
"À l'échelle mondiale, la plupart des décès sont causés par:",virology,"['Infections des voies respiratoires', 'Maladies diarrhéiques', 'Le paludisme', 'Tuberculose']",1,"Question: À l'échelle mondiale, la plupart des décès sont causés par:

Choix: ['Infections des voies respiratoires', 'Maladies diarrhéiques', 'Le paludisme', 'Tuberculose']

Réponse: Maladies diarrhéiques"
Que se passe- t- il pendant la période d'incubation?,virology,"['Le virus est éliminé du corps par le système immunitaire.', 'La réplication du virus se produit au niveau intracellulaire.', 'Cette période dure généralement quelques jours.', 'Cette période dure généralement quelques heures.']",1,"Question: Que se passe- t- il pendant la période d'incubation?

Choix: ['Le virus est éliminé du corps par le système immunitaire.', 'La réplication du virus se produit au niveau intracellulaire.', 'Cette période dure généralement quelques jours.', 'Cette période dure généralement quelques heures.']

Réponse: La réplication du virus se produit au niveau intracellulaire."
Les nouveau-nés dans les pays où l'accès à l'eau potable est limité et où le niveau d'éducation est faible devraient:,virology,"['Alimentation exclusivement à base de lait maternisé pendant six mois', 'Se nourrir exclusivement au sein pendant six mois', 'Doit recevoir à la fois du lait maternel et d' autres aliments tels que tolérés pendant les 6 premiers mois de la grossesse.', 'mois']",1,"Question: Les nouveau-nés dans les pays où l'accès à l'eau potable est limité et où le niveau d'éducation est faible devraient:

Choix: ['Alimentation exclusivement à base de lait maternisé pendant six mois', 'Se nourrir exclusivement au sein pendant six mois', 'Doit recevoir à la fois du lait maternel et d' autres aliments tels que tolérés pendant les 6 premiers mois de la grossesse.', 'mois']

Réponse: Se nourrir exclusivement au sein pendant six mois"
La réalisation d'un changement efficace dans une communauté dépend généralement de laquelle des catégories suivantes de la société?,virology,"['Les innovateurs', 'Les premiers adaptateurs', 'Adaptateurs intermédiaires', 'Adaptateurs tardifs']",0,"Question: La réalisation d'un changement efficace dans une communauté dépend généralement de laquelle des catégories suivantes de la société?

Choix: ['Les innovateurs', 'Les premiers adaptateurs', 'Adaptateurs intermédiaires', 'Adaptateurs tardifs']

Réponse: Les innovateurs"
La gestion des situations d'urgence  est :,virology,"['Une stratégie de dernier recours pour réduire les comportements à haut risque', 'Paiement des usagers de drogues pour des échantillons d'urine négatifs', 'Payer les travailleurs du sexe pour qu'ils utilisent des préservatifs', 'Payer les toxicomanes pour qu'ils utilisent des préservatifs']",1,"Question: La gestion des situations d'urgence  est :

Choix: ['Une stratégie de dernier recours pour réduire les comportements à haut risque', 'Paiement des usagers de drogues pour des échantillons d'urine négatifs', 'Payer les travailleurs du sexe pour qu'ils utilisent des préservatifs', 'Payer les toxicomanes pour qu'ils utilisent des préservatifs']

Réponse: Paiement des usagers de drogues pour des échantillons d'urine négatifs"
Quels sont les symptômes cliniques typiques de l'infection par les astrovirus?,virology,"['Pneumonie aiguë', 'Gastro-entérite chez les enfants', 'Infection par le virus de l' hépatite', 'éruptions cutanées']",1,"Question: Quels sont les symptômes cliniques typiques de l'infection par les astrovirus?

Choix: ['Pneumonie aiguë', 'Gastro-entérite chez les enfants', 'Infection par le virus de l' hépatite', 'éruptions cutanées']

Réponse: Gastro-entérite chez les enfants"
Laquelle des caractéristiques suivantes est la plus particulière du système immunitaire adaptatif ?,virology,"['Anticorps', 'Cellules T', 'Cellules T de mémoire', 'Expansion clonale d'anticorps et/ou de cellules T préexistants']",3,"Question: Laquelle des caractéristiques suivantes est la plus particulière du système immunitaire adaptatif ?

Choix: ['Anticorps', 'Cellules T', 'Cellules T de mémoire', 'Expansion clonale d'anticorps et/ou de cellules T préexistants']

Réponse: Expansion clonale d'anticorps et/ou de cellules T préexistants"
La chimiothérapie est désormais une option pour les soins cliniques des patients.,virology,"['Interféron et ribavirine', 'La lamivudine et la ribavirine', 'Combinaisons d'adefovir et d'entecavir et/ou de ténofovir (DAA)', 'Interférons seuls']",1,"Question: La chimiothérapie est désormais une option pour les soins cliniques des patients.

Choix: ['Interféron et ribavirine', 'La lamivudine et la ribavirine', 'Combinaisons d'adefovir et d'entecavir et/ou de ténofovir (DAA)', 'Interférons seuls']

Réponse: La lamivudine et la ribavirine"
Il n'y a eu aucun nouveau cas d'Ebola aux États-Unis entre le 1er janvier 1997 et le 1er janvier 1998.,virology,"['Incidence de la maladie', 'L'espérance de vie', 'Prévalence au cours de la vie', 'Prévalence de la période']",2,"Question: Il n'y a eu aucun nouveau cas d'Ebola aux États-Unis entre le 1er janvier 1997 et le 1er janvier 1998.

Choix: ['Incidence de la maladie', 'L'espérance de vie', 'Prévalence au cours de la vie', 'Prévalence de la période']

Réponse: Prévalence au cours de la vie"
Comment les rétrovirus ont- ils été découverts?,virology,"['Chez les poulets sous forme de sarcome de Rous', 'Chez l'homme sous forme de HTLV-1', 'Chez la souris provoquant une leucémie', 'Chez les chats provoquant une leucémie']",2,"Question: Comment les rétrovirus ont- ils été découverts?

Choix: ['Chez les poulets sous forme de sarcome de Rous', 'Chez l'homme sous forme de HTLV-1', 'Chez la souris provoquant une leucémie', 'Chez les chats provoquant une leucémie']

Réponse: Chez la souris provoquant une leucémie"
La plupart des systèmes de surveillance utilisent lequel des modèles d'étude suivants?,virology,"['Cohorte', 'Séries à section transversale', 'Le taux de mortalité', 'Syndromique']",1,"Question: La plupart des systèmes de surveillance utilisent lequel des modèles d'étude suivants?

Choix: ['Cohorte', 'Séries à section transversale', 'Le taux de mortalité', 'Syndromique']

Réponse: Séries à section transversale"
La polio peut-elle être éradiquée par lequel des moyens suivants?,virology,"['Attention au contrôle des eaux usées et à l'hygiène', 'Vaccin contre la poliomyélite tué', 'Vaccin contre la poliomyélite vivant', 'Combinaison de vaccins morts et vivants.']",0,"Question: La polio peut-elle être éradiquée par lequel des moyens suivants?

Choix: ['Attention au contrôle des eaux usées et à l'hygiène', 'Vaccin contre la poliomyélite tué', 'Vaccin contre la poliomyélite vivant', 'Combinaison de vaccins morts et vivants.']

Réponse: Attention au contrôle des eaux usées et à l'hygiène"
L'éthique de la santé publique est:,virology,"['Centré sur le patient', 'Centré sur la population', 'Centré sur le sujet', 'Doit respecter les droits des individus']",1,"Question: L'éthique de la santé publique est:

Choix: ['Centré sur le patient', 'Centré sur la population', 'Centré sur le sujet', 'Doit respecter les droits des individus']

Réponse: Centré sur la population"
Combien de personnes dans le monde sont actuellement infectées par l'hépatite B ?,virology,"['350 millions d'écus', '2 milliards', '100 000 personnes', '1 million']",0,"Question: Combien de personnes dans le monde sont actuellement infectées par l'hépatite B ?

Choix: ['350 millions d'écus', '2 milliards', '100 000 personnes', '1 million']

Réponse: 350 millions d'écus"
Dans une étude un groupe de personnes est exposé à une toxine environnementale mais n'est pas traité observé au fil du temps sur une série de mesures standard pour déterminer les effets potentiels de la toxine Ce type de conception d'étude est appelé,virology,"['Essai clinique', 'À double aveugle', 'Nom de l'établissement', 'Cohorte potentielle']",3,"Question: Dans une étude un groupe de personnes est exposé à une toxine environnementale mais n'est pas traité observé au fil du temps sur une série de mesures standard pour déterminer les effets potentiels de la toxine Ce type de conception d'étude est appelé

Choix: ['Essai clinique', 'À double aveugle', 'Nom de l'établissement', 'Cohorte potentielle']

Réponse: Cohorte potentielle"
Quelle maladie est principalement causée par les polyomavirus ?,virology,"['Les tumeurs', 'Pathologie du cerveau', 'Pas de maladie du tout .', 'Infections rénales']",2,"Question: Quelle maladie est principalement causée par les polyomavirus ?

Choix: ['Les tumeurs', 'Pathologie du cerveau', 'Pas de maladie du tout .', 'Infections rénales']

Réponse: Pas de maladie du tout ."
Comment les cellules productrices d'anticorps sont- elles stimulées?,virology,"['Interaction avec un peptide court de virus', 'Interagissant avec une cellule T auxiliaire.', 'Interaction avec une cellule plasmatique', 'Interaction avec une cellule infectée par un virus']",1,"Question: Comment les cellules productrices d'anticorps sont- elles stimulées?

Choix: ['Interaction avec un peptide court de virus', 'Interagissant avec une cellule T auxiliaire.', 'Interaction avec une cellule plasmatique', 'Interaction avec une cellule infectée par un virus']

Réponse: Interagissant avec une cellule T auxiliaire."
La clé la plus importante du succès de la cohorte multicentrique sur le sida (MACS) est la suivante:,virology,"['L' ingéniosité de l' enquêteur principal', 'L'engagement du personnel', 'L'engagement des participants', 'La qualité des laboratoires']",2,"Question: La clé la plus importante du succès de la cohorte multicentrique sur le sida (MACS) est la suivante:

Choix: ['L' ingéniosité de l' enquêteur principal', 'L'engagement du personnel', 'L'engagement des participants', 'La qualité des laboratoires']

Réponse: L'engagement des participants"
