question,subject,choices,answer,qa
निम्नलिखित में से कौन सा सबसे अच्छा संतुलन का वर्णन करता है जिसे सर्वोच्च न्यायालय ने स्थापना खंड और मुक्त अभ्यास खंड के बीच मारा है?,high_school_government_and_politics,"['भाषण की स्वतंत्रता को कुछ स्थितियों को छोड़कर संरक्षित किया जाता है, जैसे कि भीड़ भरे थिएटर में 'आग' चिल्लाना।', 'एक बार जब एक चर्च को संघीय सरकार द्वारा मान्यता प्राप्त हो जाती है, तो उसकी कर-मुक्त स्थिति को कभी भी निरस्त नहीं किया जा सकता है।', 'एक बार जब कांग्रेस ने एक प्रशासनिक एजेंसी बनाई है, तो उस एजेंसी को केवल एक संवैधानिक संशोधन द्वारा भंग किया जा सकता है।', 'स्कूल के घंटों के दौरान राज्य प्रायोजित प्रार्थना निषिद्ध है, लेकिन स्कूल से पहले छात्र समूहों द्वारा स्वैच्छिक प्रार्थना की अनुमति है।']",3,"प्रश्न: निम्नलिखित में से कौन सा सबसे अच्छा संतुलन का वर्णन करता है जिसे सर्वोच्च न्यायालय ने स्थापना खंड और मुक्त अभ्यास खंड के बीच मारा है?

उत्तर विकल्प: ['भाषण की स्वतंत्रता को कुछ स्थितियों को छोड़कर संरक्षित किया जाता है, जैसे कि भीड़ भरे थिएटर में 'आग' चिल्लाना।', 'एक बार जब एक चर्च को संघीय सरकार द्वारा मान्यता प्राप्त हो जाती है, तो उसकी कर-मुक्त स्थिति को कभी भी निरस्त नहीं किया जा सकता है।', 'एक बार जब कांग्रेस ने एक प्रशासनिक एजेंसी बनाई है, तो उस एजेंसी को केवल एक संवैधानिक संशोधन द्वारा भंग किया जा सकता है।', 'स्कूल के घंटों के दौरान राज्य प्रायोजित प्रार्थना निषिद्ध है, लेकिन स्कूल से पहले छात्र समूहों द्वारा स्वैच्छिक प्रार्थना की अनुमति है।']

उत्तर: स्कूल के घंटों के दौरान राज्य प्रायोजित प्रार्थना निषिद्ध है, लेकिन स्कूल से पहले छात्र समूहों द्वारा स्वैच्छिक प्रार्थना की अनुमति है।"
निम्नलिखित में से कौन सा कथन संयुक्त राज्य अमेरिका में मतदान व्यवहार का सटीक वर्णन नहीं करता है?,high_school_government_and_politics,"['35 से 45 वर्ष की आयु के पंजीकृत मतदाता 21 वर्ष से कम आयु के मतदाताओं की तुलना में मतदान करने की अधिक संभावना रखते हैं।', 'एक पंजीकृत मतदाता जिसने अपना सामान्य शैक्षिक विकास (जीईडी) प्राप्त किया है, उसके मतदान करने की संभावना हाई स्कूल छोड़ने वाले की तुलना में कम है।', 'पंजीकृत मतदाताओं के आम चुनावों में मतदान करने की संभावना प्राथमिक चुनावों की तुलना में अधिक होती है।', '1980 के बाद से हर राष्ट्रपति चुनाव में पुरुषों की तुलना में अधिक महिलाओं ने मतदान किया है।']",1,"प्रश्न: निम्नलिखित में से कौन सा कथन संयुक्त राज्य अमेरिका में मतदान व्यवहार का सटीक वर्णन नहीं करता है?

उत्तर विकल्प: ['35 से 45 वर्ष की आयु के पंजीकृत मतदाता 21 वर्ष से कम आयु के मतदाताओं की तुलना में मतदान करने की अधिक संभावना रखते हैं।', 'एक पंजीकृत मतदाता जिसने अपना सामान्य शैक्षिक विकास (जीईडी) प्राप्त किया है, उसके मतदान करने की संभावना हाई स्कूल छोड़ने वाले की तुलना में कम है।', 'पंजीकृत मतदाताओं के आम चुनावों में मतदान करने की संभावना प्राथमिक चुनावों की तुलना में अधिक होती है।', '1980 के बाद से हर राष्ट्रपति चुनाव में पुरुषों की तुलना में अधिक महिलाओं ने मतदान किया है।']

उत्तर: एक पंजीकृत मतदाता जिसने अपना सामान्य शैक्षिक विकास (जीईडी) प्राप्त किया है, उसके मतदान करने की संभावना हाई स्कूल छोड़ने वाले की तुलना में कम है।"
निम्नलिखित में से कौन सा एक बच्चे के राजनीतिक विचारों के निर्माण में सबसे महत्वपूर्ण भूमिका निभाता है?,high_school_government_and_politics,"['जिस भौगोलिक क्षेत्र में बच्चा बड़ा होता है', 'बच्चे का परिवार', 'वह माध्यम जिसके संपर्क में बच्चा आता है', 'बच्चे का धर्म']",1,"प्रश्न: निम्नलिखित में से कौन सा एक बच्चे के राजनीतिक विचारों के निर्माण में सबसे महत्वपूर्ण भूमिका निभाता है?

उत्तर विकल्प: ['जिस भौगोलिक क्षेत्र में बच्चा बड़ा होता है', 'बच्चे का परिवार', 'वह माध्यम जिसके संपर्क में बच्चा आता है', 'बच्चे का धर्म']

उत्तर: बच्चे का परिवार"
संघ के अनुच्छेदों द्वारा राज्यों को कौन सी शक्ति प्रदान की गई थी लेकिन संविधान द्वारा नहीं?,high_school_government_and_politics,"['सिक्का बनाना', 'संवैधानिक संशोधनों को अधिकृत करना', 'कांग्रेस में प्रतिनिधित्व होना', 'विवादों को सुलझाने के लिए राष्ट्रपति से अपील करना']",0,"प्रश्न: संघ के अनुच्छेदों द्वारा राज्यों को कौन सी शक्ति प्रदान की गई थी लेकिन संविधान द्वारा नहीं?

उत्तर विकल्प: ['सिक्का बनाना', 'संवैधानिक संशोधनों को अधिकृत करना', 'कांग्रेस में प्रतिनिधित्व होना', 'विवादों को सुलझाने के लिए राष्ट्रपति से अपील करना']

उत्तर: सिक्का बनाना"
राजनीतिक कार्रवाई समितियों (पीएसी) का प्राथमिक कार्य,high_school_government_and_politics,"['चुनाव के लिए उम्मीदवारों को धन दान करना', 'स्थानीय वोट-आउट-द-वोट अभियानों का समन्वय करना', 'संघीय और राज्य विधानमंडलों में मौजूदा पदाधिकारियों की हार को बढ़ावा देना', 'विरोध प्रदर्शन और नागरिक अवज्ञा के अन्य कृत्यों का आयोजन करना']",0,"प्रश्न: राजनीतिक कार्रवाई समितियों (पीएसी) का प्राथमिक कार्य

उत्तर विकल्प: ['चुनाव के लिए उम्मीदवारों को धन दान करना', 'स्थानीय वोट-आउट-द-वोट अभियानों का समन्वय करना', 'संघीय और राज्य विधानमंडलों में मौजूदा पदाधिकारियों की हार को बढ़ावा देना', 'विरोध प्रदर्शन और नागरिक अवज्ञा के अन्य कृत्यों का आयोजन करना']

उत्तर: चुनाव के लिए उम्मीदवारों को धन दान करना"
संघीय न्यायाधीशों को निम्नलिखित में से किस अनुशासनात्मक कार्रवाई के अधीन किया जाता है?,high_school_government_and_politics,"['कांग्रेस द्वारा महाभियोग, दोषी ठहराना और पद से हटाना', 'नियुक्ति करने वाले अध्यक्ष द्वारा पद से हटाना', 'निर्वाचित राष्ट्रपति द्वारा पद से हटाना', 'उस जिले में रहने वाले नागरिकों द्वारा चुनावों को याद करें जिस पर न्यायाधीश का अधिकार क्षेत्र है']",0,"प्रश्न: संघीय न्यायाधीशों को निम्नलिखित में से किस अनुशासनात्मक कार्रवाई के अधीन किया जाता है?

उत्तर विकल्प: ['कांग्रेस द्वारा महाभियोग, दोषी ठहराना और पद से हटाना', 'नियुक्ति करने वाले अध्यक्ष द्वारा पद से हटाना', 'निर्वाचित राष्ट्रपति द्वारा पद से हटाना', 'उस जिले में रहने वाले नागरिकों द्वारा चुनावों को याद करें जिस पर न्यायाधीश का अधिकार क्षेत्र है']

उत्तर: कांग्रेस द्वारा महाभियोग, दोषी ठहराना और पद से हटाना"
कैबिनेट सचिवों की राष्ट्रपति तक पहुंच की मात्रा सबसे अधिक संभावना है कि राष्ट्रपति द्वारा नियंत्रित किया जाएगा,high_school_government_and_politics,"['उपाध्यक्ष', 'राष्ट्रपति के चीफ ऑफ स्टाफ', 'राष्ट्रीय सुरक्षा सलाहकार', 'फेडरल रिजर्व बोर्ड के अध्यक्ष']",1,"प्रश्न: कैबिनेट सचिवों की राष्ट्रपति तक पहुंच की मात्रा सबसे अधिक संभावना है कि राष्ट्रपति द्वारा नियंत्रित किया जाएगा

उत्तर विकल्प: ['उपाध्यक्ष', 'राष्ट्रपति के चीफ ऑफ स्टाफ', 'राष्ट्रीय सुरक्षा सलाहकार', 'फेडरल रिजर्व बोर्ड के अध्यक्ष']

उत्तर: राष्ट्रपति के चीफ ऑफ स्टाफ"
निम्नलिखित में से कौन सा एक राजनीतिक मुद्दे की प्रमुखता को परिभाषित करता है?,high_school_government_and_politics,"['प्रमुख समाचार माध्यमों में इस मुद्दे को प्राप्त कवरेज की मात्रा', 'इस मुद्दे पर जनता की राय में किस हद तक तेजी से बदलाव होने की संभावना है', 'इस मुद्दे से प्रभावित लोगों की संख्या', 'किसी विशेष व्यक्ति या समूह के लिए इस मुद्दे का महत्व']",3,"प्रश्न: निम्नलिखित में से कौन सा एक राजनीतिक मुद्दे की प्रमुखता को परिभाषित करता है?

उत्तर विकल्प: ['प्रमुख समाचार माध्यमों में इस मुद्दे को प्राप्त कवरेज की मात्रा', 'इस मुद्दे पर जनता की राय में किस हद तक तेजी से बदलाव होने की संभावना है', 'इस मुद्दे से प्रभावित लोगों की संख्या', 'किसी विशेष व्यक्ति या समूह के लिए इस मुद्दे का महत्व']

उत्तर: किसी विशेष व्यक्ति या समूह के लिए इस मुद्दे का महत्व"
"वोटर जो राष्ट्रीय चुनावों के टेलीविजन नेटवर्क समाचार कवरेज पर विशेष रूप से भरोसा करते हैं, वे सबसे अधिक जागरूक होने की संभावना रखते हैं",high_school_government_and_politics,"['किस विशेष हित समूह ने किस उम्मीदवार का समर्थन किया है', 'प्रत्येक उम्मीदवार के समर्थन की सापेक्ष शक्ति, जैसा कि जनमत सर्वेक्षणों द्वारा संकेत दिया गया है', 'अंतरराष्ट्रीय मुद्दों पर उम्मीदवारों के रुख', 'घरेलू मुद्दों पर उम्मीदवारों के रुख']",1,"प्रश्न: वोटर जो राष्ट्रीय चुनावों के टेलीविजन नेटवर्क समाचार कवरेज पर विशेष रूप से भरोसा करते हैं, वे सबसे अधिक जागरूक होने की संभावना रखते हैं

उत्तर विकल्प: ['किस विशेष हित समूह ने किस उम्मीदवार का समर्थन किया है', 'प्रत्येक उम्मीदवार के समर्थन की सापेक्ष शक्ति, जैसा कि जनमत सर्वेक्षणों द्वारा संकेत दिया गया है', 'अंतरराष्ट्रीय मुद्दों पर उम्मीदवारों के रुख', 'घरेलू मुद्दों पर उम्मीदवारों के रुख']

उत्तर: प्रत्येक उम्मीदवार के समर्थन की सापेक्ष शक्ति, जैसा कि जनमत सर्वेक्षणों द्वारा संकेत दिया गया है"
मार्बरी बनाम मैडिसन मामले में सुप्रीम कोर्ट के फैसले द्वारा कौन सा सिद्धांत स्थापित किया गया था?,high_school_government_and_politics,"['एक आदमी, एक वोट', 'अलग लेकिन बराबर', 'न्यायिक समीक्षा', 'निजता का अधिकार']",2,"प्रश्न: मार्बरी बनाम मैडिसन मामले में सुप्रीम कोर्ट के फैसले द्वारा कौन सा सिद्धांत स्थापित किया गया था?

उत्तर विकल्प: ['एक आदमी, एक वोट', 'अलग लेकिन बराबर', 'न्यायिक समीक्षा', 'निजता का अधिकार']

उत्तर: न्यायिक समीक्षा"
