question,subject,choices,answer,qa
Quelle taille de canule utiliseriez-vous chez un patient qui a besoin d'une transfusion sanguine rapide (selon les connaissances médicales de 2020)?,clinical_knowledge,"['Le calibre 18.', 'Un calibre 20.', 'Un calibre 22.', 'Une calibre 24.']",0,"Question: Quelle taille de canule utiliseriez-vous chez un patient qui a besoin d'une transfusion sanguine rapide (selon les connaissances médicales de 2020)?

Choix: ['Le calibre 18.', 'Un calibre 20.', 'Un calibre 22.', 'Une calibre 24.']

Réponse: Le calibre 18."
L'attribut clé pour réussir un marathon est:,clinical_knowledge,"['La force.', 'Le pouvoir.', 'la longueur de la foulée.', 'C'était de l'endurance.']",3,"Question: L'attribut clé pour réussir un marathon est:

Choix: ['La force.', 'Le pouvoir.', 'la longueur de la foulée.', 'C'était de l'endurance.']

Réponse: C'était de l'endurance."
Laquelle des causes suivantes est la cause la plus fréquente de démence au Royaume-Uni ?,clinical_knowledge,"['La maladie d'Alzheimer.', 'Maladie cérébrovasculaire (accident vasculaire cérébral).', 'La démence à corps de Lewy.', 'Infection par le VIH.']",0,"Question: Laquelle des causes suivantes est la cause la plus fréquente de démence au Royaume-Uni ?

Choix: ['La maladie d'Alzheimer.', 'Maladie cérébrovasculaire (accident vasculaire cérébral).', 'La démence à corps de Lewy.', 'Infection par le VIH.']

Réponse: La maladie d'Alzheimer."
Lequel des éléments suivants n'est PAS un symptôme d'anaphylaxie ?,clinical_knowledge,"['Je suis Stridor.', 'Une bradycardie.', 'Une forte respiration sifflante.', 'Une éruption cutanée.']",1,"Question: Lequel des éléments suivants n'est PAS un symptôme d'anaphylaxie ?

Choix: ['Je suis Stridor.', 'Une bradycardie.', 'Une forte respiration sifflante.', 'Une éruption cutanée.']

Réponse: Une bradycardie."
Dans quelle situation les sachets fermés sont-ils utilisés?,clinical_knowledge,"['Le patient a une sortie semi-formée ou liquide.', 'Le patient a une colostomie.', 'Dans la période post-opératoire immédiate.', 'Le patient a une urostomie.']",1,"Question: Dans quelle situation les sachets fermés sont-ils utilisés?

Choix: ['Le patient a une sortie semi-formée ou liquide.', 'Le patient a une colostomie.', 'Dans la période post-opératoire immédiate.', 'Le patient a une urostomie.']

Réponse: Le patient a une colostomie."
Avec un nombre croissant de sprints:,clinical_knowledge,"['La contribution anaérobie augmente progressivement.', 'Le pH du muscle est inférieur à 6,0.', 'la concentration de glucose dans le sang est inférieure à 3 mmol/l.', 'augmentation de la contribution relative du métabolisme aérobie.']",3,"Question: Avec un nombre croissant de sprints:

Choix: ['La contribution anaérobie augmente progressivement.', 'Le pH du muscle est inférieur à 6,0.', 'la concentration de glucose dans le sang est inférieure à 3 mmol/l.', 'augmentation de la contribution relative du métabolisme aérobie.']

Réponse: augmentation de la contribution relative du métabolisme aérobie."
Laquelle des affirmations suivantes est vraie pour la diplopie ?,clinical_knowledge,"['La diplopie ne peut jamais se produire si un œil est couvert.', 'L'image extérieure est toujours la fausse image.', 'Une quatrième paralysie nerveuse se produit lorsque le patient regarde vers le haut.', 'Une paralysie du sixième nerf provoque un strabisme divergent .']",1,"Question: Laquelle des affirmations suivantes est vraie pour la diplopie ?

Choix: ['La diplopie ne peut jamais se produire si un œil est couvert.', 'L'image extérieure est toujours la fausse image.', 'Une quatrième paralysie nerveuse se produit lorsque le patient regarde vers le haut.', 'Une paralysie du sixième nerf provoque un strabisme divergent .']

Réponse: L'image extérieure est toujours la fausse image."
L'ingestion de bicarbonate de sodium améliore les performances de course sur distance moyenne en:,clinical_knowledge,"['augmentation du pH et de la capacité tampon du fluide extracellulaire permettant un écoulement plus rapide des ions hydrogène des muscles.', 'réduisant le pH et la capacité tampon du fluide extracellulaire permettant un écoulement plus rapide des ions hydrogène du muscle.', 'augmentation du pH et de la capacité tampon du fluide extracellulaire permettant un afflux plus rapide d' ions hydrogène dans le muscle.', 'augmentation du pH musculaire avant l' exercice.']",0,"Question: L'ingestion de bicarbonate de sodium améliore les performances de course sur distance moyenne en:

Choix: ['augmentation du pH et de la capacité tampon du fluide extracellulaire permettant un écoulement plus rapide des ions hydrogène des muscles.', 'réduisant le pH et la capacité tampon du fluide extracellulaire permettant un écoulement plus rapide des ions hydrogène du muscle.', 'augmentation du pH et de la capacité tampon du fluide extracellulaire permettant un afflux plus rapide d' ions hydrogène dans le muscle.', 'augmentation du pH musculaire avant l' exercice.']

Réponse: augmentation du pH et de la capacité tampon du fluide extracellulaire permettant un écoulement plus rapide des ions hydrogène des muscles."
Les codons sont composés de:,clinical_knowledge,"['des séquences triplet de bases nucléotidiques dans l' ARNm ou l' ADN .', 'séquences quadruplées de bases nucléotidiques dans l'ARNm ou l'ADN.', 'séquences triplet d'acides aminés dans des chaînes polypeptidiques.', 'séquences triplet de sucres désoxyribose dans l'ADN.']",0,"Question: Les codons sont composés de:

Choix: ['des séquences triplet de bases nucléotidiques dans l' ARNm ou l' ADN .', 'séquences quadruplées de bases nucléotidiques dans l'ARNm ou l'ADN.', 'séquences triplet d'acides aminés dans des chaînes polypeptidiques.', 'séquences triplet de sucres désoxyribose dans l'ADN.']

Réponse: des séquences triplet de bases nucléotidiques dans l' ARNm ou l' ADN ."
Les acides gras sont transportés dans les mitochondries liés à:,clinical_knowledge,"['une thiokinase.', 'coenzyme A (CoA).', 'de l'acétyl-CoA.', 'la carnitine.']",3,"Question: Les acides gras sont transportés dans les mitochondries liés à:

Choix: ['une thiokinase.', 'coenzyme A (CoA).', 'de l'acétyl-CoA.', 'la carnitine.']

Réponse: la carnitine."
Laquelle des réponses ci-dessous indique le mieux les groupes sanguins compatibles qui peuvent être donnés à une personne du groupe sanguin B (résus négatif)?,clinical_knowledge,"['Le groupe sanguin AB (résus négatif), le groupe sanguin B et le groupe sanguin O (résus négatif).', 'Le groupe sanguin B (résus positif) et le groupe sanguin O (résus positif).', 'Le groupe sanguin B (résus négatif) et le groupe sanguin O (résus négatif).', 'Groupe sanguin B (résus négatif) uniquement.']",2,"Question: Laquelle des réponses ci-dessous indique le mieux les groupes sanguins compatibles qui peuvent être donnés à une personne du groupe sanguin B (résus négatif)?

Choix: ['Le groupe sanguin AB (résus négatif), le groupe sanguin B et le groupe sanguin O (résus négatif).', 'Le groupe sanguin B (résus positif) et le groupe sanguin O (résus positif).', 'Le groupe sanguin B (résus négatif) et le groupe sanguin O (résus négatif).', 'Groupe sanguin B (résus négatif) uniquement.']

Réponse: Le groupe sanguin B (résus négatif) et le groupe sanguin O (résus négatif)."
Laquelle des suivantes est vraie pour une lésion des neurones moteurs inférieurs dans le bras ?,clinical_knowledge,"['Elle entraîne une augmentation du tonus dans le bras (hypertonie)', 'On ne voit jamais de fasciculations .', 'Les réflexes sont vifs .', 'Une paralysie du nerf cubital est un exemple de lésion des neurones moteurs inférieurs.']",3,"Question: Laquelle des suivantes est vraie pour une lésion des neurones moteurs inférieurs dans le bras ?

Choix: ['Elle entraîne une augmentation du tonus dans le bras (hypertonie)', 'On ne voit jamais de fasciculations .', 'Les réflexes sont vifs .', 'Une paralysie du nerf cubital est un exemple de lésion des neurones moteurs inférieurs.']

Réponse: Une paralysie du nerf cubital est un exemple de lésion des neurones moteurs inférieurs."
Laquelle des affirmations suivantes est fausse ?,clinical_knowledge,"['L'ammoniac est produit lors d'exercices répétés de haute intensité.', 'L' accumulation de lactate musculaire ne commence qu' après au moins 5 secondes de contractions musculaires intermittentes.', 'L'épuisement de la phosphocréatine musculaire commence dans les premières secondes de l'exercice de haute intensité.', 'Avec un nombre croissant de sprints répétés, le taux d'accumulation de lactate dans les muscles diminue.']",1,"Question: Laquelle des affirmations suivantes est fausse ?

Choix: ['L'ammoniac est produit lors d'exercices répétés de haute intensité.', 'L' accumulation de lactate musculaire ne commence qu' après au moins 5 secondes de contractions musculaires intermittentes.', 'L'épuisement de la phosphocréatine musculaire commence dans les premières secondes de l'exercice de haute intensité.', 'Avec un nombre croissant de sprints répétés, le taux d'accumulation de lactate dans les muscles diminue.']

Réponse: L' accumulation de lactate musculaire ne commence qu' après au moins 5 secondes de contractions musculaires intermittentes."
La dégradation du glycogène dans le muscle entraîne initialement la formation de:,clinical_knowledge,"['le glucose.', 'le glucose-1-phosphate.', 'le glucose-6-phosphate.', 'le glucose-1,6-diphosphate.']",1,"Question: La dégradation du glycogène dans le muscle entraîne initialement la formation de:

Choix: ['le glucose.', 'le glucose-1-phosphate.', 'le glucose-6-phosphate.', 'le glucose-1,6-diphosphate.']

Réponse: le glucose-1-phosphate."
Les deux principales protéines contractiles présentes dans le muscle squelettique sont:,clinical_knowledge,"['l'actine et la troponine.', 'l'actine et la myosine.', 'troponine et tropomyosine.', 'myosine et tropomyosine.']",1,"Question: Les deux principales protéines contractiles présentes dans le muscle squelettique sont:

Choix: ['l'actine et la troponine.', 'l'actine et la myosine.', 'troponine et tropomyosine.', 'myosine et tropomyosine.']

Réponse: l'actine et la myosine."
Lequel des éléments suivants représente une paralysie du nerf crânien III et constitue une urgence neurochirurgicale ?,clinical_knowledge,"['Une pupille unilatérale rétrécie.', 'Des pupilles bilatérales rétrécies.', 'Une pupille unilatérale fixée et dilatée.', 'Les pupilles sont ovales.']",2,"Question: Lequel des éléments suivants représente une paralysie du nerf crânien III et constitue une urgence neurochirurgicale ?

Choix: ['Une pupille unilatérale rétrécie.', 'Des pupilles bilatérales rétrécies.', 'Une pupille unilatérale fixée et dilatée.', 'Les pupilles sont ovales.']

Réponse: Une pupille unilatérale fixée et dilatée."
Laquelle des affirmations suivantes est vraie au sujet d'un gonflement de la thyroïde?,clinical_knowledge,"['Il s'élève toujours en avalant.', 'L' élargissement des ganglions lymphatiques est un bon signe de pronostic .', 'Une échographie de l'enflure est le meilleur test pour déterminer si le nodule sécrète activement des hormones.', 'Un nodule fonctionnel sur la numérisation isotopique est peu susceptible d'être dû au cancer']",3,"Question: Laquelle des affirmations suivantes est vraie au sujet d'un gonflement de la thyroïde?

Choix: ['Il s'élève toujours en avalant.', 'L' élargissement des ganglions lymphatiques est un bon signe de pronostic .', 'Une échographie de l'enflure est le meilleur test pour déterminer si le nodule sécrète activement des hormones.', 'Un nodule fonctionnel sur la numérisation isotopique est peu susceptible d'être dû au cancer']

Réponse: Un nodule fonctionnel sur la numérisation isotopique est peu susceptible d'être dû au cancer"
Laquelle des affirmations suivantes est vraie pour l'hépatomégalie ?,clinical_knowledge,"['L'emphysème est une cause', 'Le foie s' élargit vers le bas à partir de l' hypochondre gauche .', 'La présence de jaunisse, de naïveté d'araignée et de purpura suggère l'alcool comme cause.', 'Le foie est généralement résonant à la percussion.']",2,"Question: Laquelle des affirmations suivantes est vraie pour l'hépatomégalie ?

Choix: ['L'emphysème est une cause', 'Le foie s' élargit vers le bas à partir de l' hypochondre gauche .', 'La présence de jaunisse, de naïveté d'araignée et de purpura suggère l'alcool comme cause.', 'Le foie est généralement résonant à la percussion.']

Réponse: La présence de jaunisse, de naïveté d'araignée et de purpura suggère l'alcool comme cause."
Laquelle des affirmations suivantes est vraie en ce qui concerne les réflexes?,clinical_knowledge,"['Un réflexe de Babinski positif est identique à une réponse normale du fléchisseur dans l'évaluation du réflexe plantaire', 'Une réponse plantaire extensrice indique une lésion des neurones moteurs inférieurs.', 'La valeur racine du réflexe de la cheville est S1', 'La valeur racine du réflexe du genou est L1, L2']",2,"Question: Laquelle des affirmations suivantes est vraie en ce qui concerne les réflexes?

Choix: ['Un réflexe de Babinski positif est identique à une réponse normale du fléchisseur dans l'évaluation du réflexe plantaire', 'Une réponse plantaire extensrice indique une lésion des neurones moteurs inférieurs.', 'La valeur racine du réflexe de la cheville est S1', 'La valeur racine du réflexe du genou est L1, L2']

Réponse: La valeur racine du réflexe de la cheville est S1"
Laquelle des affirmations suivantes est vraie pour la paralysie du nerf facial ?,clinical_knowledge,"['La paralysie de Bell est un autre terme pour désigner une lésion des neurones moteurs supérieurs.', 'Le syndrome de Ramsay Hunt est une lésion des neurones moteurs supérieurs secondaire à une infection à Herpes Zoster', 'Une incapacité à fermer la paupière du côté paralysé indique une lésion des neurones moteurs inférieurs.', 'Dans la paralysie de Bell, le sens du goût n'est jamais affecté.']",2,"Question: Laquelle des affirmations suivantes est vraie pour la paralysie du nerf facial ?

Choix: ['La paralysie de Bell est un autre terme pour désigner une lésion des neurones moteurs supérieurs.', 'Le syndrome de Ramsay Hunt est une lésion des neurones moteurs supérieurs secondaire à une infection à Herpes Zoster', 'Une incapacité à fermer la paupière du côté paralysé indique une lésion des neurones moteurs inférieurs.', 'Dans la paralysie de Bell, le sens du goût n'est jamais affecté.']

Réponse: Une incapacité à fermer la paupière du côté paralysé indique une lésion des neurones moteurs inférieurs."
C'est quoi une fracture de Colles ?,clinical_knowledge,"['Une fracture de la main.', 'Fracture du coude.', 'Fracture du doigt.', 'Fracture du rayon et de l'ulna au poignet.']",3,"Question: C'est quoi une fracture de Colles ?

Choix: ['Une fracture de la main.', 'Fracture du coude.', 'Fracture du doigt.', 'Fracture du rayon et de l'ulna au poignet.']

Réponse: Fracture du rayon et de l'ulna au poignet."
"Si vous soupçonnez une réaction à la transfusion, vous devez:",clinical_knowledge,"['cessez la transfusion, informez immédiatement le personnel médical et suivez les conseils de la politique transfusionnelle sur la façon de traiter les réactions aiguës liées à la transfusion.', 'Laissez la transfusion allumée et contactez immédiatement le personnel médical.', 'débrancher et éliminer immédiatement le sac de sang.', 'laissez la transfusion fonctionner et enregistrez une série d'observations sur le patient.']",0,"Question: Si vous soupçonnez une réaction à la transfusion, vous devez:

Choix: ['cessez la transfusion, informez immédiatement le personnel médical et suivez les conseils de la politique transfusionnelle sur la façon de traiter les réactions aiguës liées à la transfusion.', 'Laissez la transfusion allumée et contactez immédiatement le personnel médical.', 'débrancher et éliminer immédiatement le sac de sang.', 'laissez la transfusion fonctionner et enregistrez une série d'observations sur le patient.']

Réponse: cessez la transfusion, informez immédiatement le personnel médical et suivez les conseils de la politique transfusionnelle sur la façon de traiter les réactions aiguës liées à la transfusion."
Une fois qu'une unité de produit sanguin prescrite a été obtenue de la banque de sang et qu'elle est sortie du réfrigérateur la transfusion doit commencer dans quelle période de temps avant qu'elle ne commence à se détériorer (selon les connaissances médicales de 2020)?,clinical_knowledge,"['Une demi-heure.', 'Une heure et demie.', 'Ça fait 4 heures.', 'Ça fait 12 heures.']",0,"Question: Une fois qu'une unité de produit sanguin prescrite a été obtenue de la banque de sang et qu'elle est sortie du réfrigérateur la transfusion doit commencer dans quelle période de temps avant qu'elle ne commence à se détériorer (selon les connaissances médicales de 2020)?

Choix: ['Une demi-heure.', 'Une heure et demie.', 'Ça fait 4 heures.', 'Ça fait 12 heures.']

Réponse: Une demi-heure."
Laquelle des affirmations suivantes est vraie au sujet des soignants informels (à partir de 2020)?,clinical_knowledge,"['50% des personnes de plus de 65 ans fournissent des soins informels.', 'Une personne sur six âgée de plus de 65 ans fournit une forme quelconque de soins informels.', 'Les soignants informels ne devraient pas être inclus dans la planification de la sortie.', 'La majorité des soignants informels sont en bonne santé et actifs.']",1,"Question: Laquelle des affirmations suivantes est vraie au sujet des soignants informels (à partir de 2020)?

Choix: ['50% des personnes de plus de 65 ans fournissent des soins informels.', 'Une personne sur six âgée de plus de 65 ans fournit une forme quelconque de soins informels.', 'Les soignants informels ne devraient pas être inclus dans la planification de la sortie.', 'La majorité des soignants informels sont en bonne santé et actifs.']

Réponse: Une personne sur six âgée de plus de 65 ans fournit une forme quelconque de soins informels."
Lequel des processus suivants n'est pas utilisé pour modifier la structure des protéines après la traduction?,clinical_knowledge,"['Il y a de la lipidation.', 'Attachement de plus d'acides aminés via des liaisons peptidiques.', 'La glycosylation.', 'La phosphorylation.']",1,"Question: Lequel des processus suivants n'est pas utilisé pour modifier la structure des protéines après la traduction?

Choix: ['Il y a de la lipidation.', 'Attachement de plus d'acides aminés via des liaisons peptidiques.', 'La glycosylation.', 'La phosphorylation.']

Réponse: Attachement de plus d'acides aminés via des liaisons peptidiques."
Pourquoi avez-vous besoin d'effectuer un lavage de la vessie pour un patient à la maison?,clinical_knowledge,"['Quand leur urine est claire.', 'Quand le cathéter est bloqué.', 'Quand le cathéter est en contournement.', 'Quand le cathéter est sale.']",1,"Question: Pourquoi avez-vous besoin d'effectuer un lavage de la vessie pour un patient à la maison?

Choix: ['Quand leur urine est claire.', 'Quand le cathéter est bloqué.', 'Quand le cathéter est en contournement.', 'Quand le cathéter est sale.']

Réponse: Quand le cathéter est bloqué."
Une aiguille de calibre 14-16 est le plus susceptible d'être utilisée pour:,clinical_knowledge,"['Les enfants.', 'patients âgés.', 'qui est insérée dans le dos de la main.', 'les patients atteints de traumatismes ou de brûlures.']",3,"Question: Une aiguille de calibre 14-16 est le plus susceptible d'être utilisée pour:

Choix: ['Les enfants.', 'patients âgés.', 'qui est insérée dans le dos de la main.', 'les patients atteints de traumatismes ou de brûlures.']

Réponse: les patients atteints de traumatismes ou de brûlures."
Laquelle de ces caractéristiques suggère qu'un bruit de craquement est plus probablement dû à un frottement pleural qu'à des craquements ?,clinical_knowledge,"['Plus proéminent à l'expiration', 'Alters avec toux', 'Pas de douleur dans la région', 'Les clubs']",0,"Question: Laquelle de ces caractéristiques suggère qu'un bruit de craquement est plus probablement dû à un frottement pleural qu'à des craquements ?

Choix: ['Plus proéminent à l'expiration', 'Alters avec toux', 'Pas de douleur dans la région', 'Les clubs']

Réponse: Plus proéminent à l'expiration"
"Dans des jeux comme le football, la concentration de lactate dans le sang:",clinical_knowledge,"['augmentent rarement au-dessus de 3 mM.', 'est généralement plus faible à la fin de la partie qu'à la fin de la première mi-temps.', 'est généralement plus élevé à la fin de la partie qu'à la fin de la première mi-temps.', 'augmente tout au long du jeu à mesure que les joueurs deviennent plus fatigués.']",1,"Question: Dans des jeux comme le football, la concentration de lactate dans le sang:

Choix: ['augmentent rarement au-dessus de 3 mM.', 'est généralement plus faible à la fin de la partie qu'à la fin de la première mi-temps.', 'est généralement plus élevé à la fin de la partie qu'à la fin de la première mi-temps.', 'augmente tout au long du jeu à mesure que les joueurs deviennent plus fatigués.']

Réponse: est généralement plus faible à la fin de la partie qu'à la fin de la première mi-temps."
Les ions lactate et hydrogène quittent le muscle:,clinical_knowledge,"['par un mécanisme de cotransport avec la carnosine.', 'par un mécanisme de transport actif.', 'par l'intermédiaire d'une molécule de transporteur de protéines.', 'par simple diffusion.']",2,"Question: Les ions lactate et hydrogène quittent le muscle:

Choix: ['par un mécanisme de cotransport avec la carnosine.', 'par un mécanisme de transport actif.', 'par l'intermédiaire d'une molécule de transporteur de protéines.', 'par simple diffusion.']

Réponse: par l'intermédiaire d'une molécule de transporteur de protéines."
Laquelle des affirmations suivantes est vraie pour la colonne vertébrale?,clinical_knowledge,"['Les maux de dos sont une plainte rare.', 'Le test de Schober est conçu pour quantifier la flexion de la colonne lombaire.', 'La spondylarthrite ankylosante est une cause d'hypermobilité de la colonne vertébrale', 'La grossesse est une cause de perte de lordose de la colonne lombaire']",1,"Question: Laquelle des affirmations suivantes est vraie pour la colonne vertébrale?

Choix: ['Les maux de dos sont une plainte rare.', 'Le test de Schober est conçu pour quantifier la flexion de la colonne lombaire.', 'La spondylarthrite ankylosante est une cause d'hypermobilité de la colonne vertébrale', 'La grossesse est une cause de perte de lordose de la colonne lombaire']

Réponse: Le test de Schober est conçu pour quantifier la flexion de la colonne lombaire."
Laquelle des affirmations suivantes est vraie pour l'arthropathie psoriasique ?,clinical_knowledge,"['L'absence de plaques de psoriasis exclut le diagnostic', 'Le diagnostic peut être confirmé par un marqueur sanguin.', 'Tophi peut parfois être vu sur les articulations touchées', 'Le creusement des ongles peut donner un indice sur le diagnostic.']",3,"Question: Laquelle des affirmations suivantes est vraie pour l'arthropathie psoriasique ?

Choix: ['L'absence de plaques de psoriasis exclut le diagnostic', 'Le diagnostic peut être confirmé par un marqueur sanguin.', 'Tophi peut parfois être vu sur les articulations touchées', 'Le creusement des ongles peut donner un indice sur le diagnostic.']

Réponse: Le creusement des ongles peut donner un indice sur le diagnostic."
Laquelle des affirmations suivantes est vraie pour la maladie de Graves de la thyroïde?,clinical_knowledge,"['C' est une cause d' ophtalmoplégie .', 'Ça provoque un gros goitre multi-noduleux.', 'Il est plus fréquent chez les hommes que chez les femmes.', 'Dans le passé, la maladie de Grave provoquait parfois le 'Derbyshire Neck'']",0,"Question: Laquelle des affirmations suivantes est vraie pour la maladie de Graves de la thyroïde?

Choix: ['C' est une cause d' ophtalmoplégie .', 'Ça provoque un gros goitre multi-noduleux.', 'Il est plus fréquent chez les hommes que chez les femmes.', 'Dans le passé, la maladie de Grave provoquait parfois le 'Derbyshire Neck'']

Réponse: C' est une cause d' ophtalmoplégie ."
Laquelle des affirmations suivantes est vraie pour le métabolisme du calcium ?,clinical_knowledge,"['La calcitonine provoque une augmentation du calcium plasmatique', 'L'hyperparathyroïdie primaire est généralement asymptomatique.', 'La vitamine D est sécrétée par les glandes parathyroïdes.', 'L' oligurie est un symptôme de l' hypercalcémie .']",1,"Question: Laquelle des affirmations suivantes est vraie pour le métabolisme du calcium ?

Choix: ['La calcitonine provoque une augmentation du calcium plasmatique', 'L'hyperparathyroïdie primaire est généralement asymptomatique.', 'La vitamine D est sécrétée par les glandes parathyroïdes.', 'L' oligurie est un symptôme de l' hypercalcémie .']

Réponse: L'hyperparathyroïdie primaire est généralement asymptomatique."
Réactions de kinase:,clinical_knowledge,"['inhiber la dégradation de l'ATP.', 'impliquent l'ajout ou la suppression d'un groupe phosphate.', 'impliquent l'ajout ou la suppression d'un groupe cétonique.', 'impliquent l'ajout ou le retrait d'un acide aminé à une chaîne polypeptidique.']",1,"Question: Réactions de kinase:

Choix: ['inhiber la dégradation de l'ATP.', 'impliquent l'ajout ou la suppression d'un groupe phosphate.', 'impliquent l'ajout ou la suppression d'un groupe cétonique.', 'impliquent l'ajout ou le retrait d'un acide aminé à une chaîne polypeptidique.']

Réponse: impliquent l'ajout ou la suppression d'un groupe phosphate."
Le rythme respiratoire normal pour un homme adulte est:,clinical_knowledge,"['10 à 12 respirations par minute.', '8 à 10 respirations par minute.', '20 à 22 respirations par minute.', '14 à 16 respirations par minute.']",3,"Question: Le rythme respiratoire normal pour un homme adulte est:

Choix: ['10 à 12 respirations par minute.', '8 à 10 respirations par minute.', '20 à 22 respirations par minute.', '14 à 16 respirations par minute.']

Réponse: 14 à 16 respirations par minute."
d'une épaisseur n'excédant pas 1 mm,clinical_knowledge,"['sont rétablis dans les cinq premiers jours de cicatrisation de la plaie.', 'fournir un pont à travers la surface d'une plaie.', 'Il faut du temps pour se rétablir.', 'ne sont pas nécessaires si une blessure guérit par intention première.']",2,"Question: d'une épaisseur n'excédant pas 1 mm

Choix: ['sont rétablis dans les cinq premiers jours de cicatrisation de la plaie.', 'fournir un pont à travers la surface d'une plaie.', 'Il faut du temps pour se rétablir.', 'ne sont pas nécessaires si une blessure guérit par intention première.']

Réponse: Il faut du temps pour se rétablir."
Lequel des éléments suivants libère le plus d'énergie lorsqu'il est complètement oxydé dans le corps ?,clinical_knowledge,"['Un gramme de glucose', 'Un gramme d'acide palmitique', 'Un gramme de leucine', 'Un gramme d'alcool']",1,"Question: Lequel des éléments suivants libère le plus d'énergie lorsqu'il est complètement oxydé dans le corps ?

Choix: ['Un gramme de glucose', 'Un gramme d'acide palmitique', 'Un gramme de leucine', 'Un gramme d'alcool']

Réponse: Un gramme d'acide palmitique"
