question,subject,choices,answer,qa
Welche der folgenden Aussagen drückt eine Beziehung zwischen Alterung und sexueller Funktion aus ?,professional_psychology,"['Alterung hängt mit einer erhöhten vaginalen Schmierung zusammen', 'Alterung ist mit einer Zunahme der Häufigkeit und Anzahl der orgasmischen Kontraktionen bei beiden Geschlechtern verbunden', 'Es gibt keinen signifikanten Zusammenhang zwischen Alterung und sexuellen Reaktionen bei beiden Geschlechtern.', 'Alterung ist mit einem gewissen Verlust der erektilen Steifigkeit bei Männern verbunden']",3,"Frage: Welche der folgenden Aussagen drückt eine Beziehung zwischen Alterung und sexueller Funktion aus ?

Antwortoptionen: ['Alterung hängt mit einer erhöhten vaginalen Schmierung zusammen', 'Alterung ist mit einer Zunahme der Häufigkeit und Anzahl der orgasmischen Kontraktionen bei beiden Geschlechtern verbunden', 'Es gibt keinen signifikanten Zusammenhang zwischen Alterung und sexuellen Reaktionen bei beiden Geschlechtern.', 'Alterung ist mit einem gewissen Verlust der erektilen Steifigkeit bei Männern verbunden']

Antwort: Alterung ist mit einem gewissen Verlust der erektilen Steifigkeit bei Männern verbunden"
Laut Piaget sind Kinder ___________.,professional_psychology,"['Leere Schiefer', 'Weniger intelligent als Erwachsene', 'Kleine Wissenschaftler', 'Geprägt von der Kultur']",2,"Frage: Laut Piaget sind Kinder ___________.

Antwortoptionen: ['Leere Schiefer', 'Weniger intelligent als Erwachsene', 'Kleine Wissenschaftler', 'Geprägt von der Kultur']

Antwort: Kleine Wissenschaftler"
"Wenn eine Prüfung einen Standardfehler von 15 Punkten aufweist, ist es richtig, zu der Schlussfolgerung zu gelangen, dass",professional_psychology,"['etwa 68% der beobachteten Werte für die Testpopulation liegen innerhalb von 15 Punkten des Durchschnittswerts', 'etwa 68% der Personen mit einem gegebenen Heilungswert haben Werte innerhalb von 15 Punkten des wahren Wertes beobachtet', 'etwa 15% der Werte sind falsch (d. h. sie messen das Merkmal nicht zuverlässig)', 'Unterschiede von bis zu 30 Punkten stellen die gleiche tatsächliche Punktzahl dar.']",1,"Frage: Wenn eine Prüfung einen Standardfehler von 15 Punkten aufweist, ist es richtig, zu der Schlussfolgerung zu gelangen, dass

Antwortoptionen: ['etwa 68% der beobachteten Werte für die Testpopulation liegen innerhalb von 15 Punkten des Durchschnittswerts', 'etwa 68% der Personen mit einem gegebenen Heilungswert haben Werte innerhalb von 15 Punkten des wahren Wertes beobachtet', 'etwa 15% der Werte sind falsch (d. h. sie messen das Merkmal nicht zuverlässig)', 'Unterschiede von bis zu 30 Punkten stellen die gleiche tatsächliche Punktzahl dar.']

Antwort: etwa 68% der Personen mit einem gegebenen Heilungswert haben Werte innerhalb von 15 Punkten des wahren Wertes beobachtet"
"Jede Substanz, die sich negativ auf die Entwicklung des Fötus auswirken kann, ist ___________.",professional_psychology,"['Ein Apgar', 'Ein Teratogen', 'Nur ein Problem in den ersten 6 Wochen', 'Ein geregelter Stoff']",1,"Frage: Jede Substanz, die sich negativ auf die Entwicklung des Fötus auswirken kann, ist ___________.

Antwortoptionen: ['Ein Apgar', 'Ein Teratogen', 'Nur ein Problem in den ersten 6 Wochen', 'Ein geregelter Stoff']

Antwort: Ein Teratogen"
"Wenn Sie von einem großen Unternehmen beauftragt werden, ein neues Ausbildungsprogramm zu entwickeln, besteht Ihr erster Schritt wahrscheinlich darin,",professional_psychology,"['benötigt eine Analyse.', 'Arbeitsplatzbewertung.', 'Zusammenfassende Bewertung.', 'Formative Evaluierung.']",0,"Frage: Wenn Sie von einem großen Unternehmen beauftragt werden, ein neues Ausbildungsprogramm zu entwickeln, besteht Ihr erster Schritt wahrscheinlich darin,

Antwortoptionen: ['benötigt eine Analyse.', 'Arbeitsplatzbewertung.', 'Zusammenfassende Bewertung.', 'Formative Evaluierung.']

Antwort: benötigt eine Analyse."
"Gestalt-Psychotherapeuten betrachten den Wunsch eines Klienten, über seine/ihre Vergangenheit zu sprechen, als:",professional_psychology,"['Eine nützliche Strategie, um dem Klienten zu helfen, die Gegenwart zu verstehen.', 'Eine Möglichkeit für den Klienten, sich nicht mit der Gegenwart abzufinden.', ''die zweite Schicht der Therapie'.', ''eine Möglichkeit zum Abschluss der Therapie'.']",1,"Frage: Gestalt-Psychotherapeuten betrachten den Wunsch eines Klienten, über seine/ihre Vergangenheit zu sprechen, als:

Antwortoptionen: ['Eine nützliche Strategie, um dem Klienten zu helfen, die Gegenwart zu verstehen.', 'Eine Möglichkeit für den Klienten, sich nicht mit der Gegenwart abzufinden.', ''die zweite Schicht der Therapie'.', ''eine Möglichkeit zum Abschluss der Therapie'.']

Antwort: Eine Möglichkeit für den Klienten, sich nicht mit der Gegenwart abzufinden."
Im Hinblick auf das Gedächtnis ist das Altern am engsten mit einem Rückgang der,professional_psychology,"['die Effizienz kontrollierter Speicherprozesse', 'Metamemory-Fähigkeiten oder Kenntnisse über das Gedächtnis', 'Erkennungsspeicher', 'die Menge an verfügbaren faktenbezogenen Gedächtniskenntnissen']",0,"Frage: Im Hinblick auf das Gedächtnis ist das Altern am engsten mit einem Rückgang der

Antwortoptionen: ['die Effizienz kontrollierter Speicherprozesse', 'Metamemory-Fähigkeiten oder Kenntnisse über das Gedächtnis', 'Erkennungsspeicher', 'die Menge an verfügbaren faktenbezogenen Gedächtniskenntnissen']

Antwort: die Effizienz kontrollierter Speicherprozesse"
"Ein 66-jähriger Klient, der depressiv ist, rhythmische Handbewegungen hat und einen abgeflachten Affekt hat, leidet wahrscheinlich an",professional_psychology,"['Parkinson-Krankheit', 'Gefäßdemenz', 'ein Tumor im rechten Frontallappen', 'Alzheimer-Krankheit']",0,"Frage: Ein 66-jähriger Klient, der depressiv ist, rhythmische Handbewegungen hat und einen abgeflachten Affekt hat, leidet wahrscheinlich an

Antwortoptionen: ['Parkinson-Krankheit', 'Gefäßdemenz', 'ein Tumor im rechten Frontallappen', 'Alzheimer-Krankheit']

Antwort: Parkinson-Krankheit"
"Eines Freitagnachmittags, kurz vor der Abreise für ein Wochenende, erhält ein Psychologe einen Anruf von einem Therapiekunden, der behauptet, in einem Selbstmordversuch eine Überdosis Pillen eingenommen zu haben. Der Psychologe sagt dem Klienten , er soll sofort einen Arzt rufen und um 9 Uhr morgens kommen . für eine Sitzung am Montag Der Psychologe unternimmt keinen weiteren Versuch einzugreifen, und der Klient stirbt noch am selben Abend, ohne weitere Hilfe zu rufen. In dieser Situation war das Verhalten des Psychologen eindeutig",professional_psychology,"['unethisch, weil die Bedürfnisse des Kunden nicht direkter angesprochen wurden', 'unethisch, denn der Psychologe hätte die Reise verzögern und dem Klienten einen Termin für diesen Nachmittag geben sollen', 'unethisch, denn der Psychologe hätte einen Arzt direkt anrufen sollen,', 'Ethisch, weil es nicht möglich war zu bestimmen, ob der Kunde manipulativ war oder nicht']",0,"Frage: Eines Freitagnachmittags, kurz vor der Abreise für ein Wochenende, erhält ein Psychologe einen Anruf von einem Therapiekunden, der behauptet, in einem Selbstmordversuch eine Überdosis Pillen eingenommen zu haben. Der Psychologe sagt dem Klienten , er soll sofort einen Arzt rufen und um 9 Uhr morgens kommen . für eine Sitzung am Montag Der Psychologe unternimmt keinen weiteren Versuch einzugreifen, und der Klient stirbt noch am selben Abend, ohne weitere Hilfe zu rufen. In dieser Situation war das Verhalten des Psychologen eindeutig

Antwortoptionen: ['unethisch, weil die Bedürfnisse des Kunden nicht direkter angesprochen wurden', 'unethisch, denn der Psychologe hätte die Reise verzögern und dem Klienten einen Termin für diesen Nachmittag geben sollen', 'unethisch, denn der Psychologe hätte einen Arzt direkt anrufen sollen,', 'Ethisch, weil es nicht möglich war zu bestimmen, ob der Kunde manipulativ war oder nicht']

Antwort: unethisch, weil die Bedürfnisse des Kunden nicht direkter angesprochen wurden"
"Ein Familientherapeut, der den strukturellen Ansatz von Salvador Minuchin anwendet, würde höchstwahrscheinlich:",professional_psychology,"['Grenzen zwischen Familienmitgliedern zu klären, um Verstrickungen zu verringern.', 'Arbeit zunächst mit dem am stärksten differenzierten Familienmitglied.', ''Verwenden Sie ein Team mit mehreren Therapeuten, um zu verhindern, dass ein Therapeut in das Familiensystem 'trianguliert' wird'.', ''spezifische' 'Richtlinien' herausgeben, die dazu bestimmt sind, dysfunktionalen Prozessen entgegenzuwirken'.']",0,"Frage: Ein Familientherapeut, der den strukturellen Ansatz von Salvador Minuchin anwendet, würde höchstwahrscheinlich:

Antwortoptionen: ['Grenzen zwischen Familienmitgliedern zu klären, um Verstrickungen zu verringern.', 'Arbeit zunächst mit dem am stärksten differenzierten Familienmitglied.', ''Verwenden Sie ein Team mit mehreren Therapeuten, um zu verhindern, dass ein Therapeut in das Familiensystem 'trianguliert' wird'.', ''spezifische' 'Richtlinien' herausgeben, die dazu bestimmt sind, dysfunktionalen Prozessen entgegenzuwirken'.']

Antwort: Grenzen zwischen Familienmitgliedern zu klären, um Verstrickungen zu verringern."
