question,subject,choices,answer,qa
Il s'agit d'une hiérarchie d'effets ou d'un modèle séquentiel utilisé pour expliquer le fonctionnement de la publicité:,marketing,"['Déficit de déficit de l'attention.', 'À l'aide.', '- Je ne sais pas.', 'Le SWOT.']",1,"Question: Il s'agit d'une hiérarchie d'effets ou d'un modèle séquentiel utilisé pour expliquer le fonctionnement de la publicité:

Choix: ['Déficit de déficit de l'attention.', 'À l'aide.', '- Je ne sais pas.', 'Le SWOT.']

Réponse: À l'aide."
_____________ est un élément important du processus de communication Il reconnaît que les communications réussies sont plus susceptibles d'être réalisées si la source et le récepteur se comprennent mutuellement.,marketing,"['Le royaume de la compréhension.', 'Des ventes personnelles.', 'Le bruit.', 'Les commentaires.']",0,"Question: _____________ est un élément important du processus de communication Il reconnaît que les communications réussies sont plus susceptibles d'être réalisées si la source et le récepteur se comprennent mutuellement.

Choix: ['Le royaume de la compréhension.', 'Des ventes personnelles.', 'Le bruit.', 'Les commentaires.']

Réponse: Le royaume de la compréhension."
"Dans l'histoire de la commercialisation, quand la période de production a-t-elle pris fin ?",marketing,"['À la fin des années 1800.', 'Au début des années 1900.', 'Dans les années 20.', 'Après la fin de la Seconde Guerre mondiale.']",2,"Question: Dans l'histoire de la commercialisation, quand la période de production a-t-elle pris fin ?

Choix: ['À la fin des années 1800.', 'Au début des années 1900.', 'Dans les années 20.', 'Après la fin de la Seconde Guerre mondiale.']

Réponse: Dans les années 20."
La mesure dans laquelle un service englobe un produit varie en fonction d'un certain nombre de facteurs.,marketing,"['Le niveau de tangibilité associé au type de produit.', 'Valeur de performance.', 'Variations de l'offre et de la demande.', 'La manière dont le service est fourni.']",1,"Question: La mesure dans laquelle un service englobe un produit varie en fonction d'un certain nombre de facteurs.

Choix: ['Le niveau de tangibilité associé au type de produit.', 'Valeur de performance.', 'Variations de l'offre et de la demande.', 'La manière dont le service est fourni.']

Réponse: Valeur de performance."
"Les propriétaires de stations-service indépendantes dans une communauté se réunissent secrètement et s'accordent à maintenir leurs prix élevés pour protéger leur rentabilité. Si leur plan est découvert et qu'ils sont accusés d'un crime, ils pourraient être",marketing,"['reconnu coupable en vertu de la loi antitrust Sherman et face à une peine de prison', 'reconnu coupable en vertu de la loi de garantie Magnuson-Moss et face à de lourdes amendes', 'reconnu coupable en vertu de la loi Adamson et face à une peine de prison et des amendes', 'jugé non coupable parce que les détaillants sont autorisés à fixer leurs propres niveaux de prix']",0,"Question: Les propriétaires de stations-service indépendantes dans une communauté se réunissent secrètement et s'accordent à maintenir leurs prix élevés pour protéger leur rentabilité. Si leur plan est découvert et qu'ils sont accusés d'un crime, ils pourraient être

Choix: ['reconnu coupable en vertu de la loi antitrust Sherman et face à une peine de prison', 'reconnu coupable en vertu de la loi de garantie Magnuson-Moss et face à de lourdes amendes', 'reconnu coupable en vertu de la loi Adamson et face à une peine de prison et des amendes', 'jugé non coupable parce que les détaillants sont autorisés à fixer leurs propres niveaux de prix']

Réponse: reconnu coupable en vertu de la loi antitrust Sherman et face à une peine de prison"
"Le terme ""marketing mix"" décrit:",marketing,"['Une analyse composite de tous les facteurs environnementaux à l'intérieur et à l'extérieur de l'entreprise.', 'Une série de décisions commerciales qui aident à la vente d'un produit.', 'La relation entre les forces marketing d'une entreprise et ses faiblesses commerciales.', 'Une combinaison de quatre éléments stratégiques pour satisfaire des marchés cibles spécifiques.']",3,"Question: Le terme ""marketing mix"" décrit:

Choix: ['Une analyse composite de tous les facteurs environnementaux à l'intérieur et à l'extérieur de l'entreprise.', 'Une série de décisions commerciales qui aident à la vente d'un produit.', 'La relation entre les forces marketing d'une entreprise et ses faiblesses commerciales.', 'Une combinaison de quatre éléments stratégiques pour satisfaire des marchés cibles spécifiques.']

Réponse: Une combinaison de quatre éléments stratégiques pour satisfaire des marchés cibles spécifiques."
__________ ont le potentiel de contrôler le type et le flux d'informations à l'organisation et aux membres du DMU.,marketing,"['Les gardiens de la porte.', 'Des acheteurs.', 'Utilisateurs.', 'Des initiateurs.']",0,"Question: __________ ont le potentiel de contrôler le type et le flux d'informations à l'organisation et aux membres du DMU.

Choix: ['Les gardiens de la porte.', 'Des acheteurs.', 'Utilisateurs.', 'Des initiateurs.']

Réponse: Les gardiens de la porte."
Un déséquilibre entre l'état réel et souhaité d'un consommateur dans lequel la reconnaissance d'une lacune ou d'un problème doit être résolue s'appelle:,marketing,"['Développement des motifs.', 'Une attitude.', 'Un concept de soi.', 'Évaluation du produit.']",0,"Question: Un déséquilibre entre l'état réel et souhaité d'un consommateur dans lequel la reconnaissance d'une lacune ou d'un problème doit être résolue s'appelle:

Choix: ['Développement des motifs.', 'Une attitude.', 'Un concept de soi.', 'Évaluation du produit.']

Réponse: Développement des motifs."
Lequel des éléments suivants n'est pas un élément du marketing mix?,marketing,"['Une promotion.', 'Le produit.', 'Le marché cible.', 'Le prix.']",2,"Question: Lequel des éléments suivants n'est pas un élément du marketing mix?

Choix: ['Une promotion.', 'Le produit.', 'Le marché cible.', 'Le prix.']

Réponse: Le marché cible."
Donner gratuitement des échantillons de parfums (parfums) dans les magazines est un exemple de lequel des éléments suivants?,marketing,"['Le conditionnement classique.', 'Le conditionnement de l'opérant.', 'L'apprentissage social.', 'L'apprentissage du comportement.']",0,"Question: Donner gratuitement des échantillons de parfums (parfums) dans les magazines est un exemple de lequel des éléments suivants?

Choix: ['Le conditionnement classique.', 'Le conditionnement de l'opérant.', 'L'apprentissage social.', 'L'apprentissage du comportement.']

Réponse: Le conditionnement classique."
