question,subject,choices,answer,qa
Laquelle des méthodes suivantes de détection du cancer du sein implique une exposition aux rayonnements?,human_sexuality,"['Aspiration à l'aiguille', 'La mammographie', 'Mastectomie', 'Lumpéctomie']",1,"Question: Laquelle des méthodes suivantes de détection du cancer du sein implique une exposition aux rayonnements?

Choix: ['Aspiration à l'aiguille', 'La mammographie', 'Mastectomie', 'Lumpéctomie']

Réponse: La mammographie"
"Les parties du corps qui, lorsqu'elles sont touchées, provoquent une excitation sexuelle:",human_sexuality,"['varient d'une personne à l'autre', 'varient pour les femmes en fonction des phases du cycle menstruel', 'sont principalement sur la partie inférieure du corps', 'tout ce qui précède']",3,"Question: Les parties du corps qui, lorsqu'elles sont touchées, provoquent une excitation sexuelle:

Choix: ['varient d'une personne à l'autre', 'varient pour les femmes en fonction des phases du cycle menstruel', 'sont principalement sur la partie inférieure du corps', 'tout ce qui précède']

Réponse: tout ce qui précède"
Lequel des éléments suivants s'applique à la gonorrhée?,human_sexuality,"['peut être traitée avec des antibiotiques', 'présente un risque élevé d'infection lors d'une exposition unique', 'est asymptomatique (sans symptômes) chez seulement un petit pourcentage des personnes infectées', 'les infections sont limitées aux parties génitales']",0,"Question: Lequel des éléments suivants s'applique à la gonorrhée?

Choix: ['peut être traitée avec des antibiotiques', 'présente un risque élevé d'infection lors d'une exposition unique', 'est asymptomatique (sans symptômes) chez seulement un petit pourcentage des personnes infectées', 'les infections sont limitées aux parties génitales']

Réponse: peut être traitée avec des antibiotiques"
"Vous êtes un homme homosexuel: hier soir, vous avez été tenté par le luxuriant et brun Jacques (le roi de la fraternité) de vous joindre à lui au bar laitier local pour un grand verre de lait frais Vous avez aussi envisagé brièvement d'étudier pour ce test, mais Jacques l'a emporté. En termes freudiens, lequel des éléments suivants était dominant ?",human_sexuality,"['le numéro d'identification', 'le moi', 'le surmoi', 'le complexe d'Œdipe']",0,"Question: Vous êtes un homme homosexuel: hier soir, vous avez été tenté par le luxuriant et brun Jacques (le roi de la fraternité) de vous joindre à lui au bar laitier local pour un grand verre de lait frais Vous avez aussi envisagé brièvement d'étudier pour ce test, mais Jacques l'a emporté. En termes freudiens, lequel des éléments suivants était dominant ?

Choix: ['le numéro d'identification', 'le moi', 'le surmoi', 'le complexe d'Œdipe']

Réponse: le numéro d'identification"
Les sociobiologistes pensent qu'il y a plus d'hommes que de femmes avec des paraphilies parce que:,human_sexuality,"['Les paraphilies garantissent la survie de l'espèce.', 'La sélection évolutionnaire a favorisé le développement de mâles qui répondent à de nouveaux stimuli sexuels.', 'de différences entre le cerveau gauche et le cerveau droit entre les sexes', 'Le cerveau des hommes est plus développé que celui des femmes.']",1,"Question: Les sociobiologistes pensent qu'il y a plus d'hommes que de femmes avec des paraphilies parce que:

Choix: ['Les paraphilies garantissent la survie de l'espèce.', 'La sélection évolutionnaire a favorisé le développement de mâles qui répondent à de nouveaux stimuli sexuels.', 'de différences entre le cerveau gauche et le cerveau droit entre les sexes', 'Le cerveau des hommes est plus développé que celui des femmes.']

Réponse: La sélection évolutionnaire a favorisé le développement de mâles qui répondent à de nouveaux stimuli sexuels."
"Selon une étude réalisée par Sprecher, Barbee et Schwartz (1995), les femmes étaient plus susceptibles que les hommes d'avoir des ________ après leur premier acte sexuel.",human_sexuality,"['Je me suis sentie heureuse.', 'éprouvé de la peur', 'culpabilité éprouvée', 'avoir éprouvé des regrets']",2,"Question: Selon une étude réalisée par Sprecher, Barbee et Schwartz (1995), les femmes étaient plus susceptibles que les hommes d'avoir des ________ après leur premier acte sexuel.

Choix: ['Je me suis sentie heureuse.', 'éprouvé de la peur', 'culpabilité éprouvée', 'avoir éprouvé des regrets']

Réponse: culpabilité éprouvée"
À quoi est liée l'abus de cocaïne pendant la grossesse?,human_sexuality,"['un risque accru de bébés de faible poids à la naissance', 'une croissance plus faible et une intelligence plus faible', 'circonférence de la tête plus petite', 'tout ce qui précède']",3,"Question: À quoi est liée l'abus de cocaïne pendant la grossesse?

Choix: ['un risque accru de bébés de faible poids à la naissance', 'une croissance plus faible et une intelligence plus faible', 'circonférence de la tête plus petite', 'tout ce qui précède']

Réponse: tout ce qui précède"
Joe veut désespérément se rapprocher d'Helen. Helen semble être découragée par les avances désespérées de Joe. C'est typique des relations de Joe avec les femmes. Selon la théorie de l'attachement Joe serait mieux décrit comme:,human_sexuality,"['Une amoureuse sûre', 'une amoureuse évitante,', 'Un amoureux anxieux et ambivalent', 'Un amoureux passionné']",2,"Question: Joe veut désespérément se rapprocher d'Helen. Helen semble être découragée par les avances désespérées de Joe. C'est typique des relations de Joe avec les femmes. Selon la théorie de l'attachement Joe serait mieux décrit comme:

Choix: ['Une amoureuse sûre', 'une amoureuse évitante,', 'Un amoureux anxieux et ambivalent', 'Un amoureux passionné']

Réponse: Un amoureux anxieux et ambivalent"
"Bruce est un homme homosexuel. Son ami Chuck est un homme hétérosexuel. Si nous avions pu observer Bruce et Chuck en tant qu'enfants, nous aurions pu nous attendre à quoi ?",human_sexuality,"['Bruce a participé à des jeux plus féminins que Chuck.', 'Bruce a participé à des jeux plus masculins que Chuck.', 'Bruce et Chuck ont probablement participé à un jeu plus typiquement masculin qu'à un jeu typiquement féminin.', 'Le père de Bruce avait plus de tendances homosexuelles que le père de Chuck.']",0,"Question: Bruce est un homme homosexuel. Son ami Chuck est un homme hétérosexuel. Si nous avions pu observer Bruce et Chuck en tant qu'enfants, nous aurions pu nous attendre à quoi ?

Choix: ['Bruce a participé à des jeux plus féminins que Chuck.', 'Bruce a participé à des jeux plus masculins que Chuck.', 'Bruce et Chuck ont probablement participé à un jeu plus typiquement masculin qu'à un jeu typiquement féminin.', 'Le père de Bruce avait plus de tendances homosexuelles que le père de Chuck.']

Réponse: Bruce a participé à des jeux plus féminins que Chuck."
Le judaïsme considère la sexualité comme,human_sexuality,"['intrinsèquement mauvais', 'La pensée de Dieu est devenue une aberration.', 'un don de Dieu', 'principalement une fonction biologique']",2,"Question: Le judaïsme considère la sexualité comme

Choix: ['intrinsèquement mauvais', 'La pensée de Dieu est devenue une aberration.', 'un don de Dieu', 'principalement une fonction biologique']

Réponse: un don de Dieu"
