question,subject,choices,answer,qa
Lequel de ces principes n'est pas un élément de la responsabilité de protéger ?,security_studies,"['La responsabilité de prévenir.', 'La responsabilité de réagir.', 'La responsabilité de rester souverain.', 'La responsabilité de le reconstruire.']",2,"Question: Lequel de ces principes n'est pas un élément de la responsabilité de protéger ?

Choix: ['La responsabilité de prévenir.', 'La responsabilité de réagir.', 'La responsabilité de rester souverain.', 'La responsabilité de le reconstruire.']

Réponse: La responsabilité de rester souverain."
Les changements environnementaux peuvent-ils être conciliés avec les intérêts de la sécurité nationale?,security_studies,"['Les enjeux environnementaux pour la croissance économique comme la gestion des ressources naturelles et l'emploi Elle conduit à la diversification et à la recherche qui peuvent, à long terme, aboutir à des avancées technologiques qui renforcent les programmes militaires.', 'Les changements environnementaux peuvent nuire à la sécurité nationale de plusieurs façons; y compris l'affaiblissement de la base économique qui détermine la capacité militaire Donc si la base de capital naturel d'une économie s'érode, la capacité à long terme de ses forces armées s'érode aussi. Tous les développements, cependant, auront un impact 'humain'.', 'Les problèmes environnementaux rencontrés par les pays sont principalement internes. Les menaces extérieures restent sous le contrôle d'un pays: les menaces militaires extérieures resteront inchangées et constitueront une préoccupation majeure.', 'Toutes ces options.']",1,"Question: Les changements environnementaux peuvent-ils être conciliés avec les intérêts de la sécurité nationale?

Choix: ['Les enjeux environnementaux pour la croissance économique comme la gestion des ressources naturelles et l'emploi Elle conduit à la diversification et à la recherche qui peuvent, à long terme, aboutir à des avancées technologiques qui renforcent les programmes militaires.', 'Les changements environnementaux peuvent nuire à la sécurité nationale de plusieurs façons; y compris l'affaiblissement de la base économique qui détermine la capacité militaire Donc si la base de capital naturel d'une économie s'érode, la capacité à long terme de ses forces armées s'érode aussi. Tous les développements, cependant, auront un impact 'humain'.', 'Les problèmes environnementaux rencontrés par les pays sont principalement internes. Les menaces extérieures restent sous le contrôle d'un pays: les menaces militaires extérieures resteront inchangées et constitueront une préoccupation majeure.', 'Toutes ces options.']

Réponse: Les changements environnementaux peuvent nuire à la sécurité nationale de plusieurs façons; y compris l'affaiblissement de la base économique qui détermine la capacité militaire Donc si la base de capital naturel d'une économie s'érode, la capacité à long terme de ses forces armées s'érode aussi. Tous les développements, cependant, auront un impact ""humain""."
Lequel des énoncés suivants pourrait être décrit comme une perspective libérale sur la sécurité énergétique future?,security_studies,"['L'économie mondiale est interconnectée, ce qui garantit que la sécurité énergétique d'un pays dépend de la sécurité énergétique de tous les autres. Ainsi, toutes les puissances centrales ont les mêmes intérêts à maintenir et à étendre les conditions dans lesquelles ce marché fonctionne. Tant que cet ordre économique existe, un conflit entre les grandes puissances sur les réserves d'énergie est hautement improbable.', 'La pénurie d'énergie est susceptible d'entraîner de futures perturbations dans le système mondial et l'émergence d'un 'nouvel ordre énergétique international'. Il s'agit d'un pays qui se caractérise moins par le libre-échange libéral que par l'étatisme et le néo-mercantilisme.', 'Le pétrole reste la force vitale de l'ordre actuel - un ordre basé sur une répartition inégale (et profondément injuste) de la richesse et du pouvoir en faveur des élites économiques capitalistes Ceux qui bénéficient le plus de l'ordre dominant veilleront à ce que le flux d'énergie dans des conditions favorables continue de soutenir leur position dans le système mondial.', 'La pénurie d'énergie marquera le retour à une ère de plus grande confrontation géopolitique. 'Guerre pour les ressources' en particulier sur les sources d'énergie présentent une possibilité évidente d'une rupture dans la coopération internationale alors que les États commencent à rivaliser (et éventuellement à entrer en conflit) pour le contrôle des principales réserves.']",0,"Question: Lequel des énoncés suivants pourrait être décrit comme une perspective libérale sur la sécurité énergétique future?

Choix: ['L'économie mondiale est interconnectée, ce qui garantit que la sécurité énergétique d'un pays dépend de la sécurité énergétique de tous les autres. Ainsi, toutes les puissances centrales ont les mêmes intérêts à maintenir et à étendre les conditions dans lesquelles ce marché fonctionne. Tant que cet ordre économique existe, un conflit entre les grandes puissances sur les réserves d'énergie est hautement improbable.', 'La pénurie d'énergie est susceptible d'entraîner de futures perturbations dans le système mondial et l'émergence d'un 'nouvel ordre énergétique international'. Il s'agit d'un pays qui se caractérise moins par le libre-échange libéral que par l'étatisme et le néo-mercantilisme.', 'Le pétrole reste la force vitale de l'ordre actuel - un ordre basé sur une répartition inégale (et profondément injuste) de la richesse et du pouvoir en faveur des élites économiques capitalistes Ceux qui bénéficient le plus de l'ordre dominant veilleront à ce que le flux d'énergie dans des conditions favorables continue de soutenir leur position dans le système mondial.', 'La pénurie d'énergie marquera le retour à une ère de plus grande confrontation géopolitique. 'Guerre pour les ressources' en particulier sur les sources d'énergie présentent une possibilité évidente d'une rupture dans la coopération internationale alors que les États commencent à rivaliser (et éventuellement à entrer en conflit) pour le contrôle des principales réserves.']

Réponse: L'économie mondiale est interconnectée, ce qui garantit que la sécurité énergétique d'un pays dépend de la sécurité énergétique de tous les autres. Ainsi, toutes les puissances centrales ont les mêmes intérêts à maintenir et à étendre les conditions dans lesquelles ce marché fonctionne. Tant que cet ordre économique existe, un conflit entre les grandes puissances sur les réserves d'énergie est hautement improbable."
Laquelle des critiques suivantes est une critique courante du concept de sécurité humaine ?,security_studies,"['La sécurité humaine est néocoloniale.', 'La sécurité humaine favorise le capitalisme mondial.', 'La sécurité humaine est trop large.', 'Toutes ces options.']",3,"Question: Laquelle des critiques suivantes est une critique courante du concept de sécurité humaine ?

Choix: ['La sécurité humaine est néocoloniale.', 'La sécurité humaine favorise le capitalisme mondial.', 'La sécurité humaine est trop large.', 'Toutes ces options.']

Réponse: Toutes ces options."
Comment les gouvernements ont-ils réagi à la menace des sociétés multinationales après la guerre froide ?,security_studies,"['Les réponses de l'État à la criminalité transnationale ont évolué en corrélation avec la menace accrue posée à l'intégrité de l'État La criminalité organisée a été considérée principalement comme une menace pour la sécurité nationale devant être traitée au niveau national. Les approches internationales institutionnalisées pour l'échange d'informations ont été principalement bilatérales dans la mesure où les auteurs de crimes qui cherchent à échapper à la justice ont été traduits en justice.', 'Avec l'expansion des sociétés multinationales dans les années Les États sont devenus de plus en plus disposés à prendre des mesures pour réduire les asymétries entre les pays grâce à l'harmonisation de la législation et à l'accroissement des capacités policières et de la mise en réseau. La réponse du gouvernement à la criminalité transnationale s'est concentrée sur le ciblage des individus et des organisations qui commettent le crime, plutôt que sur les marchés criminels eux-mêmes.', 'La guerre américaine contre la drogue a fortement influencé la construction de la réponse gouvernementale à la perception croissante que le phénomène des TNC représente une menace pour la sécurité nationale. L'approche met l'accent sur la coopération bilatérale et multilatérale dans le domaine de l'application de la loi, combinée à des mesures prises sur une base bilatérale pour inciter les États à renforcer la réglementation et l'application de la loi à l'encontre des sociétés multinationales.', 'L'émergence de normes régissant la réponse au spectre du crime organisé et à l'harmonisation de la législation s'est produite avec l'évolution de la guerre mondiale contre le terrorisme dans laquelle le lien entre le terrorisme et le crime organisé a abouti à la militarisation de l'application de la loi: l'utilisation de la technologie et du renseignement militaires au lieu de s'attaquer aux conditions sous-jacentes qui facilitent le commerce illicite par le biais d'une réponse institutionnaliste internationale.']",1,"Question: Comment les gouvernements ont-ils réagi à la menace des sociétés multinationales après la guerre froide ?

Choix: ['Les réponses de l'État à la criminalité transnationale ont évolué en corrélation avec la menace accrue posée à l'intégrité de l'État La criminalité organisée a été considérée principalement comme une menace pour la sécurité nationale devant être traitée au niveau national. Les approches internationales institutionnalisées pour l'échange d'informations ont été principalement bilatérales dans la mesure où les auteurs de crimes qui cherchent à échapper à la justice ont été traduits en justice.', 'Avec l'expansion des sociétés multinationales dans les années Les États sont devenus de plus en plus disposés à prendre des mesures pour réduire les asymétries entre les pays grâce à l'harmonisation de la législation et à l'accroissement des capacités policières et de la mise en réseau. La réponse du gouvernement à la criminalité transnationale s'est concentrée sur le ciblage des individus et des organisations qui commettent le crime, plutôt que sur les marchés criminels eux-mêmes.', 'La guerre américaine contre la drogue a fortement influencé la construction de la réponse gouvernementale à la perception croissante que le phénomène des TNC représente une menace pour la sécurité nationale. L'approche met l'accent sur la coopération bilatérale et multilatérale dans le domaine de l'application de la loi, combinée à des mesures prises sur une base bilatérale pour inciter les États à renforcer la réglementation et l'application de la loi à l'encontre des sociétés multinationales.', 'L'émergence de normes régissant la réponse au spectre du crime organisé et à l'harmonisation de la législation s'est produite avec l'évolution de la guerre mondiale contre le terrorisme dans laquelle le lien entre le terrorisme et le crime organisé a abouti à la militarisation de l'application de la loi: l'utilisation de la technologie et du renseignement militaires au lieu de s'attaquer aux conditions sous-jacentes qui facilitent le commerce illicite par le biais d'une réponse institutionnaliste internationale.']

Réponse: Avec l'expansion des sociétés multinationales dans les années Les États sont devenus de plus en plus disposés à prendre des mesures pour réduire les asymétries entre les pays grâce à l'harmonisation de la législation et à l'accroissement des capacités policières et de la mise en réseau. La réponse du gouvernement à la criminalité transnationale s'est concentrée sur le ciblage des individus et des organisations qui commettent le crime, plutôt que sur les marchés criminels eux-mêmes."
Quel problème potentiel pour la politique dans l'institutionnalisation de l'interaction académique-politique est apparu?,security_studies,"['Le contexte disciplinaire principal pour la théorisation des études de sécurité était un éloignement de la domination disciplinaire des sciences politiques vers une interaction multi-académique de la sociologie mathématiques psychologie les sciences naturelles et les sciences politiques et de l'économie.', 'Les développements politiques-académiques ont entraîné une modification du rôle des groupes de réflexion loin de la politique vers une théorie résistante à la politisation.', 'Les études de sécurité ont été marquées par la ' IR-ification ' progressive de la discipline Les études de sécurité sont devenues l'un des deux piliers des relations internationales, le second étant l'économie politique internationale. Désormais, l'IR est devenu le principal contexte disciplinaire dans lequel les études de sécurité ont été délibérées.', 'Les groupes de réflexion et les décideurs politiques sont de plus en plus interdépendants.Le flou institutionnel entre les universités, les groupes de réflexion et la politique a entraîné des fusions politiques à tous les niveaux.']",2,"Question: Quel problème potentiel pour la politique dans l'institutionnalisation de l'interaction académique-politique est apparu?

Choix: ['Le contexte disciplinaire principal pour la théorisation des études de sécurité était un éloignement de la domination disciplinaire des sciences politiques vers une interaction multi-académique de la sociologie mathématiques psychologie les sciences naturelles et les sciences politiques et de l'économie.', 'Les développements politiques-académiques ont entraîné une modification du rôle des groupes de réflexion loin de la politique vers une théorie résistante à la politisation.', 'Les études de sécurité ont été marquées par la ' IR-ification ' progressive de la discipline Les études de sécurité sont devenues l'un des deux piliers des relations internationales, le second étant l'économie politique internationale. Désormais, l'IR est devenu le principal contexte disciplinaire dans lequel les études de sécurité ont été délibérées.', 'Les groupes de réflexion et les décideurs politiques sont de plus en plus interdépendants.Le flou institutionnel entre les universités, les groupes de réflexion et la politique a entraîné des fusions politiques à tous les niveaux.']

Réponse: Les études de sécurité ont été marquées par la "" IR-ification "" progressive de la discipline Les études de sécurité sont devenues l'un des deux piliers des relations internationales, le second étant l'économie politique internationale. Désormais, l'IR est devenu le principal contexte disciplinaire dans lequel les études de sécurité ont été délibérées."
Lequel des éléments suivants ne fait pas partie des 10 étapes du Consensus de Washington ?,security_studies,"['Discipline budgétaire: déficits budgétaires n'excédant pas 2% du produit intérieur brut (PIB).', 'Réforme fiscale: élargissement de la base d'imposition, réduction des taux marginaux d'imposition, amélioration de l'administration fiscale.', 'Droits de propriété: réformes juridiques visant à garantir les droits de propriété sans coûts excessifs et à régulariser le secteur informel.', 'La nationalisation: les entreprises publiques doivent être protégées.']",3,"Question: Lequel des éléments suivants ne fait pas partie des 10 étapes du Consensus de Washington ?

Choix: ['Discipline budgétaire: déficits budgétaires n'excédant pas 2% du produit intérieur brut (PIB).', 'Réforme fiscale: élargissement de la base d'imposition, réduction des taux marginaux d'imposition, amélioration de l'administration fiscale.', 'Droits de propriété: réformes juridiques visant à garantir les droits de propriété sans coûts excessifs et à régulariser le secteur informel.', 'La nationalisation: les entreprises publiques doivent être protégées.']

Réponse: La nationalisation: les entreprises publiques doivent être protégées."
Lequel des concepts suivants ne fait PAS partie du discours technique sur la cybersécurité?,security_studies,"['Réseaux d'entreprises', 'Spécialistes en informatique', 'Industrie de l'antivirus', 'Réseaux informatiques']",0,"Question: Lequel des concepts suivants ne fait PAS partie du discours technique sur la cybersécurité?

Choix: ['Réseaux d'entreprises', 'Spécialistes en informatique', 'Industrie de l'antivirus', 'Réseaux informatiques']

Réponse: Réseaux d'entreprises"
Quelles sont les caractéristiques et les manifestations de la stratégie adoptée par les États-Unis en vue de la sécurité énergétique?,security_studies,"['Le déploiement de troupes dans le golfe Persique fait partie de la tentative des États-Unis d'assurer leur domination dans la région riche en pétrole.', 'Toutes ces options.', 'Les États-Unis ont cherché à affirmer leur primauté vis-à-vis des puissances amies et rivales, par le déploiement de troupes et d'autres interventions.', 'Les États-Unis ont activement cherché à stabiliser les acteurs politiques proches des pays riches en pétrole et à assurer le statu quo économique et politique.']",1,"Question: Quelles sont les caractéristiques et les manifestations de la stratégie adoptée par les États-Unis en vue de la sécurité énergétique?

Choix: ['Le déploiement de troupes dans le golfe Persique fait partie de la tentative des États-Unis d'assurer leur domination dans la région riche en pétrole.', 'Toutes ces options.', 'Les États-Unis ont cherché à affirmer leur primauté vis-à-vis des puissances amies et rivales, par le déploiement de troupes et d'autres interventions.', 'Les États-Unis ont activement cherché à stabiliser les acteurs politiques proches des pays riches en pétrole et à assurer le statu quo économique et politique.']

Réponse: Toutes ces options."
En quoi les théories du constructivisme social conventionnel et critique diffèrent-elles?,security_studies,"['Les constructivistes conventionnels considèrent le constructivisme comme un pont entre les approches rationalistes et réflectivistes, permettant aux deux de bénéficier des idées de l'autre. Inversement, les constructivistes critiques soutiennent que cette approche reproduit simplement les distinctions binaires qui caractérisent la méthodologie positiviste.', 'Le constructivisme critique considère que la force du constructivisme social est sa capacité à combler les approches rationalistes et de réflectivité. À l'inverse, les constructivistes sociaux considèrent cela comme une régression inutile vers des cadres d'analyse binaires positiviste.', 'Le constructivisme conventionnel fait référence aux travaux antérieurs des théoriciens du constructivisme social qui se caractérisent par un rejet de la méthodologie positiviste. Les constructivistes critiques remettent en question ces théories, en adoptant des méthodologies positiviste dans leur travail.', 'Le constructivisme social est mieux compris comme une approche uniforme de la construction des identités sociales et de la sécurité; bien que des distinctions existent dans le domaine il n'est pas facile de les définir comme des approches distinctes et distinctes.']",0,"Question: En quoi les théories du constructivisme social conventionnel et critique diffèrent-elles?

Choix: ['Les constructivistes conventionnels considèrent le constructivisme comme un pont entre les approches rationalistes et réflectivistes, permettant aux deux de bénéficier des idées de l'autre. Inversement, les constructivistes critiques soutiennent que cette approche reproduit simplement les distinctions binaires qui caractérisent la méthodologie positiviste.', 'Le constructivisme critique considère que la force du constructivisme social est sa capacité à combler les approches rationalistes et de réflectivité. À l'inverse, les constructivistes sociaux considèrent cela comme une régression inutile vers des cadres d'analyse binaires positiviste.', 'Le constructivisme conventionnel fait référence aux travaux antérieurs des théoriciens du constructivisme social qui se caractérisent par un rejet de la méthodologie positiviste. Les constructivistes critiques remettent en question ces théories, en adoptant des méthodologies positiviste dans leur travail.', 'Le constructivisme social est mieux compris comme une approche uniforme de la construction des identités sociales et de la sécurité; bien que des distinctions existent dans le domaine il n'est pas facile de les définir comme des approches distinctes et distinctes.']

Réponse: Les constructivistes conventionnels considèrent le constructivisme comme un pont entre les approches rationalistes et réflectivistes, permettant aux deux de bénéficier des idées de l'autre. Inversement, les constructivistes critiques soutiennent que cette approche reproduit simplement les distinctions binaires qui caractérisent la méthodologie positiviste."
