question,subject,choices,answer,qa
किस आम जनसंपर्क रणनीति में पत्रकारों को उपयुक्त स्थानों पर भेजना शामिल है?,public_relations,"['मीडिया विज्ञप्ति', 'मीडिया टूर', 'प्रेस कक्ष', 'प्रचारक दिन/सप्ताह']",1,"प्रश्न: किस आम जनसंपर्क रणनीति में पत्रकारों को उपयुक्त स्थानों पर भेजना शामिल है?

उत्तर विकल्प: ['मीडिया विज्ञप्ति', 'मीडिया टूर', 'प्रेस कक्ष', 'प्रचारक दिन/सप्ताह']

उत्तर: मीडिया टूर"
"आप एक निगम के लिए जनसंपर्क के उपाध्यक्ष हैं जो खाद्य उत्पादों के एक प्रसिद्ध ब्रांड का उत्पादन करता है अल्बानी, न्यूयॉर्क, बाजार में, अपने उत्पादों में से एक हाल ही में कुछ संदूषण पाया गया है जबकि यह स्पष्ट रूप से घातक नहीं है, इसने बड़ी संख्या में उपभोक्ताओं को गंभीर पेट के ऐंठन और अन्य आंतों की समस्याएं दी हैं कारण अपने उत्पाद, जो देश भर में बेचा जाता है करने के लिए वापस पता लगाया गया है आपका सीईओ जानना चाहता है कि आप स्थिति को जनसंपर्क आपदा बनने से बचाने के लिए क्या सलाह देंगे आप क्या सलाह देंगे?",public_relations,"['यह सुनिश्चित करने के लिए जल्दी से जांच करें कि आपका उत्पाद निश्चित रूप से बीमारी का कारण है।', 'पूरे देश में उत्पाद की सभी बिक्री को रोकें और उस उत्पाद के लिए एक रिकॉल जारी करें।', 'अल्बानी, न्यू यॉर्क, बाजार में उत्पाद की बिक्री रोकें और उस उत्पाद के लिए एक रिकॉल जारी करें।', 'अल्बानी, न्यू यॉर्क, बाजार में एक प्रेस विज्ञप्ति जारी करें, जिसमें बताया गया है कि लक्षणों का इलाज कैसे किया जाए।']",1,"प्रश्न: आप एक निगम के लिए जनसंपर्क के उपाध्यक्ष हैं जो खाद्य उत्पादों के एक प्रसिद्ध ब्रांड का उत्पादन करता है अल्बानी, न्यूयॉर्क, बाजार में, अपने उत्पादों में से एक हाल ही में कुछ संदूषण पाया गया है जबकि यह स्पष्ट रूप से घातक नहीं है, इसने बड़ी संख्या में उपभोक्ताओं को गंभीर पेट के ऐंठन और अन्य आंतों की समस्याएं दी हैं कारण अपने उत्पाद, जो देश भर में बेचा जाता है करने के लिए वापस पता लगाया गया है आपका सीईओ जानना चाहता है कि आप स्थिति को जनसंपर्क आपदा बनने से बचाने के लिए क्या सलाह देंगे आप क्या सलाह देंगे?

उत्तर विकल्प: ['यह सुनिश्चित करने के लिए जल्दी से जांच करें कि आपका उत्पाद निश्चित रूप से बीमारी का कारण है।', 'पूरे देश में उत्पाद की सभी बिक्री को रोकें और उस उत्पाद के लिए एक रिकॉल जारी करें।', 'अल्बानी, न्यू यॉर्क, बाजार में उत्पाद की बिक्री रोकें और उस उत्पाद के लिए एक रिकॉल जारी करें।', 'अल्बानी, न्यू यॉर्क, बाजार में एक प्रेस विज्ञप्ति जारी करें, जिसमें बताया गया है कि लक्षणों का इलाज कैसे किया जाए।']

उत्तर: पूरे देश में उत्पाद की सभी बिक्री को रोकें और उस उत्पाद के लिए एक रिकॉल जारी करें।"
"जनसंपर्क में, ________ अपने उपभोक्ताओं के लिए एक सकारात्मक अनुभव को संतुष्ट करने और बनाने के लिए एक संगठन की क्षमता से संबंधित है।",public_relations,"['सामुदायिक संबंध', 'उपभोक्ता संबंध', 'कर्मचारी संबंध', 'सार्वजनिक मुद्दे']",1,"प्रश्न: जनसंपर्क में, ________ अपने उपभोक्ताओं के लिए एक सकारात्मक अनुभव को संतुष्ट करने और बनाने के लिए एक संगठन की क्षमता से संबंधित है।

उत्तर विकल्प: ['सामुदायिक संबंध', 'उपभोक्ता संबंध', 'कर्मचारी संबंध', 'सार्वजनिक मुद्दे']

उत्तर: उपभोक्ता संबंध"
बीबीसी ने किस वर्ष रेडियो प्रसारण शुरू किया?,public_relations,"['१९१७', '१९२२', '१९२५', '१९२७']",1,"प्रश्न: बीबीसी ने किस वर्ष रेडियो प्रसारण शुरू किया?

उत्तर विकल्प: ['१९१७', '१९२२', '१९२५', '१९२७']

उत्तर: १९२२"
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,public_relations,"['उत्पाद-उन्मुख', 'व्यक्ति-उन्मुख', 'विचार-उन्मुख', 'संदेश-उन्मुख']",2,"प्रश्न: . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .

उत्तर विकल्प: ['उत्पाद-उन्मुख', 'व्यक्ति-उन्मुख', 'विचार-उन्मुख', 'संदेश-उन्मुख']

उत्तर: विचार-उन्मुख"
एक सफल जनसंपर्क सलाहकार को संगठन के लिए वर्तमान और भविष्य की वास्तविकताओं की निरंतर समीक्षा क्यों करनी चाहिए?,public_relations,"['एक विजन स्टेटमेंट विकसित करने के लिए', 'प्रबंधन के लिए रुझानों की व्याख्या करने के लिए', 'संगठन की व्यावसायिक योजना की व्याख्या करना', 'जनसंपर्क की भूमिका पर विचार करने के लिए']",1,"प्रश्न: एक सफल जनसंपर्क सलाहकार को संगठन के लिए वर्तमान और भविष्य की वास्तविकताओं की निरंतर समीक्षा क्यों करनी चाहिए?

उत्तर विकल्प: ['एक विजन स्टेटमेंट विकसित करने के लिए', 'प्रबंधन के लिए रुझानों की व्याख्या करने के लिए', 'संगठन की व्यावसायिक योजना की व्याख्या करना', 'जनसंपर्क की भूमिका पर विचार करने के लिए']

उत्तर: प्रबंधन के लिए रुझानों की व्याख्या करने के लिए"
इनमें से कौन-सी परिभाषा 'चुपचाप के सर्पिल' का सबसे अच्छा वर्णन करती है?,public_relations,"['जब दुर्व्यवहार के शिकार लोग दुर्व्यवहार के बारे में चुप रहते हैं', 'जब लोग अपनी राय छिपाते हैं यदि वे बहुमत से सहमत नहीं हैं', 'जब लोग अपने विचारों को छिपाते हैं जब वे अपने करीबी साथियों या परिवार के सदस्यों के साथ असहमत होते हैं', 'जब जनसंपर्क किसी विशेष मुद्दे के लिए समर्थन उत्पन्न करने के लिए जनमत सर्वेक्षण के परिणामों का उपयोग करता है']",0,"प्रश्न: इनमें से कौन-सी परिभाषा 'चुपचाप के सर्पिल' का सबसे अच्छा वर्णन करती है?

उत्तर विकल्प: ['जब दुर्व्यवहार के शिकार लोग दुर्व्यवहार के बारे में चुप रहते हैं', 'जब लोग अपनी राय छिपाते हैं यदि वे बहुमत से सहमत नहीं हैं', 'जब लोग अपने विचारों को छिपाते हैं जब वे अपने करीबी साथियों या परिवार के सदस्यों के साथ असहमत होते हैं', 'जब जनसंपर्क किसी विशेष मुद्दे के लिए समर्थन उत्पन्न करने के लिए जनमत सर्वेक्षण के परिणामों का उपयोग करता है']

उत्तर: जब दुर्व्यवहार के शिकार लोग दुर्व्यवहार के बारे में चुप रहते हैं"
"हेन्ड्रिक्स (२००२), केंडल (१९९९), मर्स्टन (१९६३) और पार्किंसंस और एकचाई (२००६) के नियोजन मॉडल में कौन से दो तत्व समान हैं?",public_relations,"['अनुसंधान और मूल्यांकन', 'रणनीति और मूल्यांकन', 'रणनीति और कार्यान्वयन', 'उद्देश्य और क्रियान्वयन']",0,"प्रश्न: हेन्ड्रिक्स (२००२), केंडल (१९९९), मर्स्टन (१९६३) और पार्किंसंस और एकचाई (२००६) के नियोजन मॉडल में कौन से दो तत्व समान हैं?

उत्तर विकल्प: ['अनुसंधान और मूल्यांकन', 'रणनीति और मूल्यांकन', 'रणनीति और कार्यान्वयन', 'उद्देश्य और क्रियान्वयन']

उत्तर: अनुसंधान और मूल्यांकन"
योजना प्रक्रिया के किस चरण में उद्देश्यों पर निर्णय लिया जाता है?,public_relations,"['कार्यक्रम को परिभाषित करना', 'कार्यक्रम की योजना बनाना', 'कार्रवाई करना और विचारों को लागू करना', 'कार्यक्रम का मूल्यांकन']",1,"प्रश्न: योजना प्रक्रिया के किस चरण में उद्देश्यों पर निर्णय लिया जाता है?

उत्तर विकल्प: ['कार्यक्रम को परिभाषित करना', 'कार्यक्रम की योजना बनाना', 'कार्रवाई करना और विचारों को लागू करना', 'कार्यक्रम का मूल्यांकन']

उत्तर: कार्यक्रम की योजना बनाना"
निम्नलिखित में से कौन सी W. Timothy Coombs द्वारा पहचानी गई प्रेरक संकट संचार रणनीतियों की चार श्रेणियों में से एक नहीं है?,public_relations,"['अभिरुचि', 'अवमूल्यन करना', 'दूरी', 'अस्तित्वहीनता']",1,"प्रश्न: निम्नलिखित में से कौन सी W. Timothy Coombs द्वारा पहचानी गई प्रेरक संकट संचार रणनीतियों की चार श्रेणियों में से एक नहीं है?

उत्तर विकल्प: ['अभिरुचि', 'अवमूल्यन करना', 'दूरी', 'अस्तित्वहीनता']

उत्तर: अवमूल्यन करना"
25 साल पहले की तुलना में ब्रिटेन में परामर्श संस्थानों में काम करने वाले चिकित्सकों की संख्या कितनी बढ़ी है?,public_relations,"['यह नहीं है', 'दोगुना', 'तीन गुना', 'चौगुना']",2,"प्रश्न: 25 साल पहले की तुलना में ब्रिटेन में परामर्श संस्थानों में काम करने वाले चिकित्सकों की संख्या कितनी बढ़ी है?

उत्तर विकल्प: ['यह नहीं है', 'दोगुना', 'तीन गुना', 'चौगुना']

उत्तर: तीन गुना"
प्रश्न प्रबंधन और संकट प्रबंधन दोनों के लिए कौन सा कथन सत्य नहीं है?,public_relations,"['इन दोनों के लिए अनुसंधान निगरानी की आवश्यकता होती है।', 'वे दोनों तीव्र जोखिमों से निपटते हैं।', 'प्रत्येक के परिणामस्वरूप नई संगठनात्मक प्रथाएं विकसित की जाती हैं।', 'दोनों में किसी संगठन की प्रतिष्ठा को नुकसान पहुंचाने की क्षमता होती है।']",1,"प्रश्न: प्रश्न प्रबंधन और संकट प्रबंधन दोनों के लिए कौन सा कथन सत्य नहीं है?

उत्तर विकल्प: ['इन दोनों के लिए अनुसंधान निगरानी की आवश्यकता होती है।', 'वे दोनों तीव्र जोखिमों से निपटते हैं।', 'प्रत्येक के परिणामस्वरूप नई संगठनात्मक प्रथाएं विकसित की जाती हैं।', 'दोनों में किसी संगठन की प्रतिष्ठा को नुकसान पहुंचाने की क्षमता होती है।']

उत्तर: वे दोनों तीव्र जोखिमों से निपटते हैं।"
बीबीसी ने किस वर्ष रेडियो प्रसारण शुरू किया?,public_relations,"['१९१७', '१९२२', '१९२५', '१९२७']",1,"प्रश्न: बीबीसी ने किस वर्ष रेडियो प्रसारण शुरू किया?

उत्तर विकल्प: ['१९१७', '१९२२', '१९२५', '१९२७']

उत्तर: १९२२"
ब्रिटेन में कितने क्षेत्रीय समाचार पत्र हैं?,public_relations,"['२७०', '६००', '२८००', '५,२००']",2,"प्रश्न: ब्रिटेन में कितने क्षेत्रीय समाचार पत्र हैं?

उत्तर विकल्प: ['२७०', '६००', '२८००', '५,२००']

उत्तर: २८००"
"एस्मान (1972) के अनुसार, साझा औद्योगिक हितों के माध्यम से कौन से लोग संगठन से संबंधित हैं?",public_relations,"['सक्षम करना', 'कार्यात्मक', 'विनियामक', 'फैला हुआ']",2,"प्रश्न: एस्मान (1972) के अनुसार, साझा औद्योगिक हितों के माध्यम से कौन से लोग संगठन से संबंधित हैं?

उत्तर विकल्प: ['सक्षम करना', 'कार्यात्मक', 'विनियामक', 'फैला हुआ']

उत्तर: विनियामक"
