question,subject,choices,answer,qa
Bei einer Robertson-Translokation tritt die Fusion an:,medical_genetics,"['die Telomere.', 'Zentromere.', 'histonen.', 'die Enden der langen Arme.']",1,"Frage: Bei einer Robertson-Translokation tritt die Fusion an:

Antwortoptionen: ['die Telomere.', 'Zentromere.', 'histonen.', 'die Enden der langen Arme.']

Antwort: Zentromere."
Zinkfingerproteine und Helix-Turn-Helix-Proteine sind,medical_genetics,"['Arten von DNA-bindenden Proteinen', 'an der Übersetzungskontrolle beteiligt', 'Komponenten von Ribosomen', 'Teil des Hämoglobins in Blutzellen']",0,"Frage: Zinkfingerproteine und Helix-Turn-Helix-Proteine sind

Antwortoptionen: ['Arten von DNA-bindenden Proteinen', 'an der Übersetzungskontrolle beteiligt', 'Komponenten von Ribosomen', 'Teil des Hämoglobins in Blutzellen']

Antwort: Arten von DNA-bindenden Proteinen"
"Wenn die Häufigkeit von Männern mit einer X-verknüpften rezessiven Erkrankung in einer menschlichen Population 0,10 (einer von zehn) beträgt, wie hoch ist die erwartete Häufigkeit von betroffenen Frauen?",medical_genetics,"['0,01', '0,001', '0,02', '0,0001']",0,"Frage: Wenn die Häufigkeit von Männern mit einer X-verknüpften rezessiven Erkrankung in einer menschlichen Population 0,10 (einer von zehn) beträgt, wie hoch ist die erwartete Häufigkeit von betroffenen Frauen?

Antwortoptionen: ['0,01', '0,001', '0,02', '0,0001']

Antwort: 0,01"
In der DNA paart sich Adenin normalerweise mit:,medical_genetics,"['Cytosin.', 'Guanin.', 'Thymin.', 'uracil.']",2,"Frage: In der DNA paart sich Adenin normalerweise mit:

Antwortoptionen: ['Cytosin.', 'Guanin.', 'Thymin.', 'uracil.']

Antwort: Thymin."
"Das Erbmuster, das durch maligne Hyperthermie (Hyperpyrexie) gezeigt wird, ist:",medical_genetics,"['Autosomale Dominanz.', 'ist autosomal rezessiv.', 'X-gebundene Dominanz.', 'X-gebundene rezessive.']",0,"Frage: Das Erbmuster, das durch maligne Hyperthermie (Hyperpyrexie) gezeigt wird, ist:

Antwortoptionen: ['Autosomale Dominanz.', 'ist autosomal rezessiv.', 'X-gebundene Dominanz.', 'X-gebundene rezessive.']

Antwort: Autosomale Dominanz."
Kartierung menschlicher Chromosomen:,medical_genetics,"['wurde aufgrund der geringen Familiengröße auf die Geschlechtschromosomen beschränkt', 'In den letzten Jahrzehnten hat sich die Entwicklung der DNA-Markierung wesentlich erfolgreicher fortgesetzt, da eine große Anzahl von DNA-Markern verfügbar wurde.', 'hat festgestellt, dass die Anzahl der Verknüpfungsgruppen etwa doppelt so hoch ist wie die Anzahl der Chromosomen', 'hat gezeigt, dass fast die gesamte DNA an der Codierung von Genen beteiligt ist']",1,"Frage: Kartierung menschlicher Chromosomen:

Antwortoptionen: ['wurde aufgrund der geringen Familiengröße auf die Geschlechtschromosomen beschränkt', 'In den letzten Jahrzehnten hat sich die Entwicklung der DNA-Markierung wesentlich erfolgreicher fortgesetzt, da eine große Anzahl von DNA-Markern verfügbar wurde.', 'hat festgestellt, dass die Anzahl der Verknüpfungsgruppen etwa doppelt so hoch ist wie die Anzahl der Chromosomen', 'hat gezeigt, dass fast die gesamte DNA an der Codierung von Genen beteiligt ist']

Antwort: In den letzten Jahrzehnten hat sich die Entwicklung der DNA-Markierung wesentlich erfolgreicher fortgesetzt, da eine große Anzahl von DNA-Markern verfügbar wurde."
Die generationenübergreifende Übertragung auf die Nachkommen kann durch die Exposition der Eltern gegenüber ______ erfolgen.,medical_genetics,"['Krieg', 'Naturkatastrophen', 'Hunger', 'alle diese']",3,"Frage: Die generationenübergreifende Übertragung auf die Nachkommen kann durch die Exposition der Eltern gegenüber ______ erfolgen.

Antwortoptionen: ['Krieg', 'Naturkatastrophen', 'Hunger', 'alle diese']

Antwort: alle diese"
"Asp235Phe in einem molekularen Bericht weist darauf hin, dass:",medical_genetics,"['Asparagin wurde durch Phenylalanin ersetzt.', 'Phenylalanin wurde durch Asparagin ersetzt.', 'Asparaginsäure wurde durch Phenylalanin ersetzt.', 'Phenylalanin wurde durch Asparaginsäure ersetzt.']",2,"Frage: Asp235Phe in einem molekularen Bericht weist darauf hin, dass:

Antwortoptionen: ['Asparagin wurde durch Phenylalanin ersetzt.', 'Phenylalanin wurde durch Asparagin ersetzt.', 'Asparaginsäure wurde durch Phenylalanin ersetzt.', 'Phenylalanin wurde durch Asparaginsäure ersetzt.']

Antwort: Asparaginsäure wurde durch Phenylalanin ersetzt."
Das Risiko von Abnormitäten beim Kind einer Mutter mit unbehandelter Phenylketonurie beträgt:,medical_genetics,"['1%', '10 v. H.', '25 v. H.', 'Fast 100%']",3,"Frage: Das Risiko von Abnormitäten beim Kind einer Mutter mit unbehandelter Phenylketonurie beträgt:

Antwortoptionen: ['1%', '10 v. H.', '25 v. H.', 'Fast 100%']

Antwort: Fast 100%"
Exon-Skipping ist assoziiert mit:,medical_genetics,"['Unsinn-Mutationen.', 'Regulierungsmutationen.', 'RNA-Verarbeitungsmutationen.', 'Schweigende Mutationen.']",2,"Frage: Exon-Skipping ist assoziiert mit:

Antwortoptionen: ['Unsinn-Mutationen.', 'Regulierungsmutationen.', 'RNA-Verarbeitungsmutationen.', 'Schweigende Mutationen.']

Antwort: RNA-Verarbeitungsmutationen."
Welches der folgenden Symptome ist kein Syndrom der Chromosomeninstabilität?,medical_genetics,"['Klinefelter-Syndrom', 'Ataxie Telangiectasie', 'Fanconi-Anämie', 'Bloom-Syndrom']",0,"Frage: Welches der folgenden Symptome ist kein Syndrom der Chromosomeninstabilität?

Antwortoptionen: ['Klinefelter-Syndrom', 'Ataxie Telangiectasie', 'Fanconi-Anämie', 'Bloom-Syndrom']

Antwort: Klinefelter-Syndrom"
Das normale Hämoglobin eines Erwachsenen (Hb A) besteht aus:,medical_genetics,"['zwei α (alpha) und zwei β (beta) Ketten.', 'zwei α- und zwei γ- (Gamma-) Ketten.', 'zwei α- und zwei δ- (Delta-) Ketten.', 'vier γ-Ketten.']",0,"Frage: Das normale Hämoglobin eines Erwachsenen (Hb A) besteht aus:

Antwortoptionen: ['zwei α (alpha) und zwei β (beta) Ketten.', 'zwei α- und zwei γ- (Gamma-) Ketten.', 'zwei α- und zwei δ- (Delta-) Ketten.', 'vier γ-Ketten.']

Antwort: zwei α (alpha) und zwei β (beta) Ketten."
Bei einer Erkrankung wie Schizophrenie besteht bei welchem der folgenden Angehörigen der betroffenen Person das größte Rückfallrisiko?,medical_genetics,"['Bruder .', 'Neffe .', 'Enkelkind', 'Meine Tante .']",0,"Frage: Bei einer Erkrankung wie Schizophrenie besteht bei welchem der folgenden Angehörigen der betroffenen Person das größte Rückfallrisiko?

Antwortoptionen: ['Bruder .', 'Neffe .', 'Enkelkind', 'Meine Tante .']

Antwort: Bruder ."
Die Mutation bei der Sichelzellkrankheit besteht aus:,medical_genetics,"['eine Löschung.', 'eine Vervielfältigung.', 'eine Einfügung.', 'Eine Punktmutation.']",3,"Frage: Die Mutation bei der Sichelzellkrankheit besteht aus:

Antwortoptionen: ['eine Löschung.', 'eine Vervielfältigung.', 'eine Einfügung.', 'Eine Punktmutation.']

Antwort: Eine Punktmutation."
Welches der folgenden Beispiele ist ein Beispiel für Monosomie?,medical_genetics,"['46,XX', '47,XXX', '69,XYY', '45,X']",3,"Frage: Welches der folgenden Beispiele ist ein Beispiel für Monosomie?

Antwortoptionen: ['46,XX', '47,XXX', '69,XYY', '45,X']

Antwort: 45,X"
"Die QTL-Analyse wird verwendet, um",medical_genetics,"['Identifizierung von Chromosomenregionen, die mit einem komplexen Merkmal in einer genetischen Kreuzung verbunden sind', 'Bestimmung, welche Gene in einem Entwicklungsstadium exprimiert werden', 'Kartierung von Genen in bakteriellen Viren', 'Identifizierung von RNA-Polymerase-Bindungsstellen']",0,"Frage: Die QTL-Analyse wird verwendet, um

Antwortoptionen: ['Identifizierung von Chromosomenregionen, die mit einem komplexen Merkmal in einer genetischen Kreuzung verbunden sind', 'Bestimmung, welche Gene in einem Entwicklungsstadium exprimiert werden', 'Kartierung von Genen in bakteriellen Viren', 'Identifizierung von RNA-Polymerase-Bindungsstellen']

Antwort: Identifizierung von Chromosomenregionen, die mit einem komplexen Merkmal in einer genetischen Kreuzung verbunden sind"
Was wäre die Häufigkeit von AABBCC-Individuen aus einer Paarung von zwei AaBbCc-Individuen?,medical_genetics,"['1,0/64', '1,0/32', '1.0,128', 'Der Präsident. - Die Aussprache ist geschlossen.']",0,"Frage: Was wäre die Häufigkeit von AABBCC-Individuen aus einer Paarung von zwei AaBbCc-Individuen?

Antwortoptionen: ['1,0/64', '1,0/32', '1.0,128', 'Der Präsident. - Die Aussprache ist geschlossen.']

Antwort: 1,0/64"
