question,subject,choices,answer,qa
"Ein gültiger disjunktiver Syllogismus hat eine Hauptprämisse, dass:",logical_fallacies,"['umfasst zwei oder mehr Alternativen', 'Klassifiziert Themen', 'bestätigt die Vorgeschichte oder verneint die Folge', 'führt zu einer gültigen Schlussfolgerung']",0,"Frage: Ein gültiger disjunktiver Syllogismus hat eine Hauptprämisse, dass:

Antwortoptionen: ['umfasst zwei oder mehr Alternativen', 'Klassifiziert Themen', 'bestätigt die Vorgeschichte oder verneint die Folge', 'führt zu einer gültigen Schlussfolgerung']

Antwort: umfasst zwei oder mehr Alternativen"
"Welches der folgenden Ausdrücke beschreibt am besten den Trugschluss, dass der Stil wichtiger ist als der Inhalt?",logical_fallacies,"['Ändern der Bedeutung eines Wortes oder einer Phrase von einem Teil des Arguments zu einem anderen.', 'Verwechseln von Bildsprache mit buchstäblicher Sprache.', 'Argumentieren, daß Ideen, die auf ansprechende Weise dargestellt werden, richtig sind, ungeachtet des Inhalts der Botschaft.', 'Emotional geladene Sprache verwenden, um einen Eindruck über das Thema eines Anspruchs zu erzeugen, ohne zu argumentieren, dass die Sprache zum Thema passt.']",2,"Frage: Welches der folgenden Ausdrücke beschreibt am besten den Trugschluss, dass der Stil wichtiger ist als der Inhalt?

Antwortoptionen: ['Ändern der Bedeutung eines Wortes oder einer Phrase von einem Teil des Arguments zu einem anderen.', 'Verwechseln von Bildsprache mit buchstäblicher Sprache.', 'Argumentieren, daß Ideen, die auf ansprechende Weise dargestellt werden, richtig sind, ungeachtet des Inhalts der Botschaft.', 'Emotional geladene Sprache verwenden, um einen Eindruck über das Thema eines Anspruchs zu erzeugen, ohne zu argumentieren, dass die Sprache zum Thema passt.']

Antwort: Argumentieren, daß Ideen, die auf ansprechende Weise dargestellt werden, richtig sind, ungeachtet des Inhalts der Botschaft."
"Welcher der folgenden Irrtümer ist eine Möglichkeit, Beweise zu unterdrücken, die eine Beweisquelle aus der Betrachtung ausschließt, indem behauptet wird, dass die Quelle fehlerhaft ist? wenn es keinen echten Zusammenhang zwischen dem behaupteten Fehler und der Zuverlässigkeit der Quelle gibt?",logical_fallacies,"['Bedeutung', 'Snob-Appeal', 'Vergiftung des Brunnens', 'Berufung auf eine anonyme Behörde']",2,"Frage: Welcher der folgenden Irrtümer ist eine Möglichkeit, Beweise zu unterdrücken, die eine Beweisquelle aus der Betrachtung ausschließt, indem behauptet wird, dass die Quelle fehlerhaft ist? wenn es keinen echten Zusammenhang zwischen dem behaupteten Fehler und der Zuverlässigkeit der Quelle gibt?

Antwortoptionen: ['Bedeutung', 'Snob-Appeal', 'Vergiftung des Brunnens', 'Berufung auf eine anonyme Behörde']

Antwort: Vergiftung des Brunnens"
Der falsche Analogiefehler ist,logical_fallacies,"['Eine spezifische Art des falschen Ursachenfehlers, der argumentiert, dass, da zwei Ereignisse zur gleichen Zeit stattfanden, ein Ereignis das andere verursacht haben muss.', 'Behauptung, dass ein Ereignis, das einem anderen Ereignis vorausging, notwendigerweise die Ursache des zweiten Ereignisses ist', 'Argumentieren, dass etwas, das neu ist, notwendigerweise gut ist', 'eine Schlussfolgerung auf der Grundlage eines Vergleichs zu ziehen, wenn die Gegenstände, die verglichen werden, nicht ähnlich genug sind, um die Schlussfolgerung zu stützen.']",3,"Frage: Der falsche Analogiefehler ist

Antwortoptionen: ['Eine spezifische Art des falschen Ursachenfehlers, der argumentiert, dass, da zwei Ereignisse zur gleichen Zeit stattfanden, ein Ereignis das andere verursacht haben muss.', 'Behauptung, dass ein Ereignis, das einem anderen Ereignis vorausging, notwendigerweise die Ursache des zweiten Ereignisses ist', 'Argumentieren, dass etwas, das neu ist, notwendigerweise gut ist', 'eine Schlussfolgerung auf der Grundlage eines Vergleichs zu ziehen, wenn die Gegenstände, die verglichen werden, nicht ähnlich genug sind, um die Schlussfolgerung zu stützen.']

Antwort: eine Schlussfolgerung auf der Grundlage eines Vergleichs zu ziehen, wenn die Gegenstände, die verglichen werden, nicht ähnlich genug sind, um die Schlussfolgerung zu stützen."
Der _ad nauseam_ Trugschluss ist,logical_fallacies,"['Argumentieren, dass etwas getan werden sollte, weil es in der Vergangenheit so gemacht wurde.', 'die Behauptung, dass eine Handlung ausgeführt werden sollte, weil sie keine wesentlichen Folgen haben wird, wenn keine Beweise dafür vorliegen,', 'Argumentation, dass eine Schlussfolgerung wahr ist, weil sie so oft behauptet wurde', 'Argumentation, dass eine Behauptung wahr ist, weil so viele Menschen glauben, dass es wahr ist']",2,"Frage: Der _ad nauseam_ Trugschluss ist

Antwortoptionen: ['Argumentieren, dass etwas getan werden sollte, weil es in der Vergangenheit so gemacht wurde.', 'die Behauptung, dass eine Handlung ausgeführt werden sollte, weil sie keine wesentlichen Folgen haben wird, wenn keine Beweise dafür vorliegen,', 'Argumentation, dass eine Schlussfolgerung wahr ist, weil sie so oft behauptet wurde', 'Argumentation, dass eine Behauptung wahr ist, weil so viele Menschen glauben, dass es wahr ist']

Antwort: Argumentation, dass eine Schlussfolgerung wahr ist, weil sie so oft behauptet wurde"
"Die Behauptung, dass das, was für ein ganzes Objekt gilt, auch für jeden Teil dieses Objekts gilt, ist der Irrtum von",logical_fallacies,"['falsche Kriterien', 'überstürzte Verallgemeinerung', 'ad crumenam ad crumenam', 'Abteilung']",3,"Frage: Die Behauptung, dass das, was für ein ganzes Objekt gilt, auch für jeden Teil dieses Objekts gilt, ist der Irrtum von

Antwortoptionen: ['falsche Kriterien', 'überstürzte Verallgemeinerung', 'ad crumenam ad crumenam', 'Abteilung']

Antwort: Abteilung"
Welche der folgenden Beschreibungen beschreibt die Pferde lachen Trugschluss?,logical_fallacies,"['auf ein Argument mit einem Ausdruck des Spottes anstelle eines Gegenarguments zu reagieren', 'Versuche, eine Einigung zu erzielen, die sich ausschließlich auf die Gefühle stützt, die durch die Botschaft hervorgerufen wurden', 'die Position eines Gegners so zu charakterisieren, dass sie oder ihre Folgen lächerlich erscheinen', 'Argumentation, dass Maßnahmen ergriffen werden sollten, um negative Ergebnisse zu vermeiden, wenn diese Ergebnisse übertrieben, unwahrscheinlich oder irrelevant sind']",0,"Frage: Welche der folgenden Beschreibungen beschreibt die Pferde lachen Trugschluss?

Antwortoptionen: ['auf ein Argument mit einem Ausdruck des Spottes anstelle eines Gegenarguments zu reagieren', 'Versuche, eine Einigung zu erzielen, die sich ausschließlich auf die Gefühle stützt, die durch die Botschaft hervorgerufen wurden', 'die Position eines Gegners so zu charakterisieren, dass sie oder ihre Folgen lächerlich erscheinen', 'Argumentation, dass Maßnahmen ergriffen werden sollten, um negative Ergebnisse zu vermeiden, wenn diese Ergebnisse übertrieben, unwahrscheinlich oder irrelevant sind']

Antwort: auf ein Argument mit einem Ausdruck des Spottes anstelle eines Gegenarguments zu reagieren"
"Die Behauptung, dass ein Mangel an Beweisen etwas beweist, ist der Irrtum von...",logical_fallacies,"['Appell an die Unwissenheit', 'Doppelnegativ', 'Zweideutigkeit', 'Beweislast']",0,"Frage: Die Behauptung, dass ein Mangel an Beweisen etwas beweist, ist der Irrtum von...

Antwortoptionen: ['Appell an die Unwissenheit', 'Doppelnegativ', 'Zweideutigkeit', 'Beweislast']

Antwort: Appell an die Unwissenheit"
Das Argument gegen die Person besteht aus,logical_fallacies,"['die Argumente einer anderen Person zu ignorieren und stattdessen ihren Charakter anzugreifen', 'Behauptung, dass ein gegnerischer Argumentator eine leicht zu besiegende Position eingenommen hat, die sie nicht wirklich eingenommen hat', 'Verwirrung während einer Auseinandersetzung durch mangelnde Fähigkeit zur Widerlegung zu verursachen', 'Bedrohungen auszusprechen, anstatt zu argumentieren, um eine Einigung herbeizuführen']",0,"Frage: Das Argument gegen die Person besteht aus

Antwortoptionen: ['die Argumente einer anderen Person zu ignorieren und stattdessen ihren Charakter anzugreifen', 'Behauptung, dass ein gegnerischer Argumentator eine leicht zu besiegende Position eingenommen hat, die sie nicht wirklich eingenommen hat', 'Verwirrung während einer Auseinandersetzung durch mangelnde Fähigkeit zur Widerlegung zu verursachen', 'Bedrohungen auszusprechen, anstatt zu argumentieren, um eine Einigung herbeizuführen']

Antwort: die Argumente einer anderen Person zu ignorieren und stattdessen ihren Charakter anzugreifen"
"Welche der folgenden Irrtümer treten auf, wenn jemand zu dem Schluss kommt, dass jemand ehrlich sein muss, weil die Menschen, mit denen er zusammen ist, ehrlich sind?",logical_fallacies,"['Lobende Persönlichkeit', 'Schuld durch Assoziation', 'Verwerfliche Persönlichkeit', 'Zirkuläre Argumentation']",1,"Frage: Welche der folgenden Irrtümer treten auf, wenn jemand zu dem Schluss kommt, dass jemand ehrlich sein muss, weil die Menschen, mit denen er zusammen ist, ehrlich sind?

Antwortoptionen: ['Lobende Persönlichkeit', 'Schuld durch Assoziation', 'Verwerfliche Persönlichkeit', 'Zirkuläre Argumentation']

Antwort: Schuld durch Assoziation"
