question,subject,choices,answer,qa
Lequel des styles de fuzzer suivants est plus susceptible d'explorer des chemins couvrant chaque ligne de code dans le programme suivant?,computer_security,"['Génération après génération', 'Boîte noire', 'Boîte blanche', 'Basé sur la mutation']",2,"Question: Lequel des styles de fuzzer suivants est plus susceptible d'explorer des chemins couvrant chaque ligne de code dans le programme suivant?

Choix: ['Génération après génération', 'Boîte noire', 'Boîte blanche', 'Basé sur la mutation']

Réponse: Boîte blanche"
"Assumer qu'une connexion TLS a été établie avec succès entre un client et un serveur L'établissement de la session comprenait la vérification du certificat du serveur et l'exécution d'un échange DiffieHelmann, mais le client n'a pas fourni de certificat client En outre, supposons que le client et le serveur sont honnêtes, que le client et le serveur ne divulguent pas leurs clés, et que la cryptographie est bonne Contre laquelle des attaques suivantes le TLS protège-t-il ? Un attaquant rejouant les octets qu'un client a envoyés plus tôt. 2 Un attaquant se faisant passer pour le serveur.",computer_security,"['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']",0,"Question: Assumer qu'une connexion TLS a été établie avec succès entre un client et un serveur L'établissement de la session comprenait la vérification du certificat du serveur et l'exécution d'un échange DiffieHelmann, mais le client n'a pas fourni de certificat client En outre, supposons que le client et le serveur sont honnêtes, que le client et le serveur ne divulguent pas leurs clés, et que la cryptographie est bonne Contre laquelle des attaques suivantes le TLS protège-t-il ? Un attaquant rejouant les octets qu'un client a envoyés plus tôt. 2 Un attaquant se faisant passer pour le serveur.

Choix: ['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']

Réponse: C'est vrai, c'est vrai"
Le serveur Kerberos KDC du MIT a une durée de vie maximale de 24 heures (pour la plupart des utilisateurs principaux). Qu'est-ce qui garantit qu'un ticket Kerberos expiré ne peut plus être utilisé ?,computer_security,"['Le serveur Kerberos (KDC) refuse d'établir de nouvelles connexions entre les clients et les serveurs pour les tickets expirés.', 'Lorsqu'un client se connecte à un serveur, le serveur définit une minuterie de 24 heures pour mettre fin à la connexion, ce qui garantit qu'un client ne peut pas rester connecté au-delà de la durée de vie maximale du ticket.', 'Lorsqu'un client se connecte à un serveur le serveur compare l'heure d'expiration du ticket à l'horloge actuelle du serveur et refuse d'authentifier l'utilisateur si l'heure d'expiration du ticket est dans le passé.', 'Lorsqu'un client se connecte à un serveur le serveur envoie une requête au KDC pour vérifier si le ticket est toujours valide par rapport à l'horloge du KDC et refuse d'authentifier l'utilisateur si le KDC signale que le ticket est expiré.']",2,"Question: Le serveur Kerberos KDC du MIT a une durée de vie maximale de 24 heures (pour la plupart des utilisateurs principaux). Qu'est-ce qui garantit qu'un ticket Kerberos expiré ne peut plus être utilisé ?

Choix: ['Le serveur Kerberos (KDC) refuse d'établir de nouvelles connexions entre les clients et les serveurs pour les tickets expirés.', 'Lorsqu'un client se connecte à un serveur, le serveur définit une minuterie de 24 heures pour mettre fin à la connexion, ce qui garantit qu'un client ne peut pas rester connecté au-delà de la durée de vie maximale du ticket.', 'Lorsqu'un client se connecte à un serveur le serveur compare l'heure d'expiration du ticket à l'horloge actuelle du serveur et refuse d'authentifier l'utilisateur si l'heure d'expiration du ticket est dans le passé.', 'Lorsqu'un client se connecte à un serveur le serveur envoie une requête au KDC pour vérifier si le ticket est toujours valide par rapport à l'horloge du KDC et refuse d'authentifier l'utilisateur si le KDC signale que le ticket est expiré.']

Réponse: Lorsqu'un client se connecte à un serveur le serveur compare l'heure d'expiration du ticket à l'horloge actuelle du serveur et refuse d'authentifier l'utilisateur si l'heure d'expiration du ticket est dans le passé."
"Dans Message Condentiality, le message transmis doit avoir un sens uniquement pour le destinataire.",computer_security,"['Récepteur', 'Expéditeur', 'Moduleur', 'Traducteur']",0,"Question: Dans Message Condentiality, le message transmis doit avoir un sens uniquement pour le destinataire.

Choix: ['Récepteur', 'Expéditeur', 'Moduleur', 'Traducteur']

Réponse: Récepteur"
Lequel des éléments suivants est un cheval de Troie distant ?,computer_security,"['Nom de l'entreprise:', 'Le DaCryptic', 'Le banquier .', 'Jeu de chevaux de Troie']",0,"Question: Lequel des éléments suivants est un cheval de Troie distant ?

Choix: ['Nom de l'entreprise:', 'Le DaCryptic', 'Le banquier .', 'Jeu de chevaux de Troie']

Réponse: Nom de l'entreprise:"
______________ est une erreur généralisée de codage d'applications commise par les développeurs qui pourrait être exploitée par un attaquant pour obtenir un accès ou un dysfonctionnement de votre système.,computer_security,"['Fuite de mémoire', 'Dépassement de la réserve tampon', 'Moins de puissance de traitement', 'Une programmation inefficace']",1,"Question: ______________ est une erreur généralisée de codage d'applications commise par les développeurs qui pourrait être exploitée par un attaquant pour obtenir un accès ou un dysfonctionnement de votre système.

Choix: ['Fuite de mémoire', 'Dépassement de la réserve tampon', 'Moins de puissance de traitement', 'Une programmation inefficace']

Réponse: Dépassement de la réserve tampon"
"Considérez l'article Client natif: un bac à sable pour le code natif x86 portable et non fiable par Yee et al. Ben Bitdiddle note que NaCl utilise la segmentation Intel x86 pour s'assurer que le module sandboxé ne lit ni n'écrit de mémoire en dehors de sa propre zone de données et n'exécute pas d'instructions en dehors de son propre code Ben pense qu'avec ces seules restrictions, l'exécution du module sandbox doit être sûre; c'est-à-dire qu'il pense que la validation n'est pas nécessaire Ben est dans l'erreur. Entourez les types d'instructions de machine x86 que le validateur interdit toujours dans le code sandboxé Veuillez ignorer le code du trampoline et du tremplin.",computer_security,"['toutes les instructions qui modifient l'état du segment', 'tous les chargements ou entrepôts vers des adresses autres que 0 mod 32', 'tous les chargements ou stocks indirects (par l'intermédiaire d'une adresse dans un registre ou d'une variable)', 'tous les sauts indirects (via une adresse dans un registre ou une variable)']",0,"Question: Considérez l'article Client natif: un bac à sable pour le code natif x86 portable et non fiable par Yee et al. Ben Bitdiddle note que NaCl utilise la segmentation Intel x86 pour s'assurer que le module sandboxé ne lit ni n'écrit de mémoire en dehors de sa propre zone de données et n'exécute pas d'instructions en dehors de son propre code Ben pense qu'avec ces seules restrictions, l'exécution du module sandbox doit être sûre; c'est-à-dire qu'il pense que la validation n'est pas nécessaire Ben est dans l'erreur. Entourez les types d'instructions de machine x86 que le validateur interdit toujours dans le code sandboxé Veuillez ignorer le code du trampoline et du tremplin.

Choix: ['toutes les instructions qui modifient l'état du segment', 'tous les chargements ou entrepôts vers des adresses autres que 0 mod 32', 'tous les chargements ou stocks indirects (par l'intermédiaire d'une adresse dans un registre ou d'une variable)', 'tous les sauts indirects (via une adresse dans un registre ou une variable)']

Réponse: toutes les instructions qui modifient l'état du segment"
____________ est également une partie du darknet qui est utilisée pour transférer des fichiers de manière anonyme.,computer_security,"['Le Freenet', 'Le réseau ARPANET', 'Le Stuxnet', 'Réseau électronique']",0,"Question: ____________ est également une partie du darknet qui est utilisée pour transférer des fichiers de manière anonyme.

Choix: ['Le Freenet', 'Le réseau ARPANET', 'Le Stuxnet', 'Réseau électronique']

Réponse: Le Freenet"
"Pourquoi les applications développées dans des langages tels que C, C ++ sont sujettes à un débordement de tampon?",computer_security,"['Aucune vérification des limites de chaîne dans les fonctions prédéfinies', 'Aucune vérification de stockage dans la mémoire externe', 'Aucune vérification de la puissance de traitement', 'Aucune vérification de la base de données']",0,"Question: Pourquoi les applications développées dans des langages tels que C, C ++ sont sujettes à un débordement de tampon?

Choix: ['Aucune vérification des limites de chaîne dans les fonctions prédéfinies', 'Aucune vérification de stockage dans la mémoire externe', 'Aucune vérification de la puissance de traitement', 'Aucune vérification de la base de données']

Réponse: Aucune vérification des limites de chaîne dans les fonctions prédéfinies"
L'homme au milieu de l'attaque peut mettre en danger la sécurité de la méthode Diffie Hellman si deux parties ne sont pas,computer_security,"['Rejoint', 'Authentifié', 'Présenté', 'Partagé']",1,"Question: L'homme au milieu de l'attaque peut mettre en danger la sécurité de la méthode Diffie Hellman si deux parties ne sont pas

Choix: ['Rejoint', 'Authentifié', 'Présenté', 'Partagé']

Réponse: Authentifié"
Un débordement d'entier se produit lorsque,computer_security,"['le résultat d'une expression entière 's'enroule autour'; au lieu de créer un très grand nombre, un très petit (ou négatif) nombre finit par être créé', 'un entier est utilisé comme si c' était un pointeur', 'un entier est utilisé pour accéder à un tampon en dehors des limites du tampon', 'il n'y a plus d'espace pour tenir des entiers dans le programme']",3,"Question: Un débordement d'entier se produit lorsque

Choix: ['le résultat d'une expression entière 's'enroule autour'; au lieu de créer un très grand nombre, un très petit (ou négatif) nombre finit par être créé', 'un entier est utilisé comme si c' était un pointeur', 'un entier est utilisé pour accéder à un tampon en dehors des limites du tampon', 'il n'y a plus d'espace pour tenir des entiers dans le programme']

Réponse: il n'y a plus d'espace pour tenir des entiers dans le programme"
Soit HH est une fonction de hachage de Merkle-Damgard est H:X^{\leq L} \to TH:X^≤L →T Construisez un MAC à partir de cette HH comme suit: Ce Mac est dangereux parce que:,computer_security,"['Étant donné que n'importe qui peut calculer n'importe qui peut calculer n'importe qui peut calculer n'importe qui peut calculer n'importe qui peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi', 'Étant donné que n'importe qui peut calculer n'importe quoi pour n'importe qui.', 'Étant donné que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut.', 'N'importe qui peut calculer H{\displaystyle H{\mathrm {H} }{\displaystyle H{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} } }']",2,"Question: Soit HH est une fonction de hachage de Merkle-Damgard est H:X^{\leq L} \to TH:X^≤L →T Construisez un MAC à partir de cette HH comme suit: Ce Mac est dangereux parce que:

Choix: ['Étant donné que n'importe qui peut calculer n'importe qui peut calculer n'importe qui peut calculer n'importe qui peut calculer n'importe qui peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi peut calculer n'importe quoi', 'Étant donné que n'importe qui peut calculer n'importe quoi pour n'importe qui.', 'Étant donné que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut.', 'N'importe qui peut calculer H{\displaystyle H{\mathrm {H} }{\displaystyle H{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} }{\mathrm {H} } }']

Réponse: Étant donné que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut calculer que n'importe qui peut."
Supposons qu'Alice et Bob se soient envoyés des messages confidentiels le mois dernier par un système de messagerie crypté. Alice et Bob craignent qu' un adversaire ne compromette l' un de leurs ordinateurs aujourd'hui alors qu'ils sont en train de passer l'examen final 6.858 et serait alors en mesure de déchiffrer ces messages Laquelle des propriétés de sécurité suivantes peut répondre aux préoccupations d'Alice et de Bob?,computer_security,"['Pour l'authentification.', 'Le déni.', 'Confidentialité de l'envoi', 'Le secret à l'envers.']",2,"Question: Supposons qu'Alice et Bob se soient envoyés des messages confidentiels le mois dernier par un système de messagerie crypté. Alice et Bob craignent qu' un adversaire ne compromette l' un de leurs ordinateurs aujourd'hui alors qu'ils sont en train de passer l'examen final 6.858 et serait alors en mesure de déchiffrer ces messages Laquelle des propriétés de sécurité suivantes peut répondre aux préoccupations d'Alice et de Bob?

Choix: ['Pour l'authentification.', 'Le déni.', 'Confidentialité de l'envoi', 'Le secret à l'envers.']

Réponse: Confidentialité de l'envoi"
"Le protocole AH fournit l'authentification de la source et l'intégrité des données, mais pas",computer_security,"['Intégrité', 'Le respect de la vie privée', 'Non-répudiation', 'Les deux A & C']",1,"Question: Le protocole AH fournit l'authentification de la source et l'intégrité des données, mais pas

Choix: ['Intégrité', 'Le respect de la vie privée', 'Non-répudiation', 'Les deux A & C']

Réponse: Le respect de la vie privée"
Lequel des éléments suivants n'est pas une faille de sécurité ?,computer_security,"['Écouter à la dérobée .', 'Création de scripts entre les sites', 'L'authentification est effectuée', 'Injection SQL']",2,"Question: Lequel des éléments suivants n'est pas une faille de sécurité ?

Choix: ['Écouter à la dérobée .', 'Création de scripts entre les sites', 'L'authentification est effectuée', 'Injection SQL']

Réponse: L'authentification est effectuée"
_______________ est le nœud central des opérations sans fil 802.11.,computer_security,"['Autres déchets', 'Point d'accès', 'Produits agricoles', 'Port d'accès']",1,"Question: _______________ est le nœud central des opérations sans fil 802.11.

Choix: ['Autres déchets', 'Point d'accès', 'Produits agricoles', 'Port d'accès']

Réponse: Point d'accès"
"Dans MD-5, la longueur du résumé du message est",computer_security,"['160 de l'année précédente.', 'Résolution du Parlement européen', '6 à 7', 'Il y en a 54 .']",1,"Question: Dans MD-5, la longueur du résumé du message est

Choix: ['160 de l'année précédente.', 'Résolution du Parlement européen', '6 à 7', 'Il y en a 54 .']

Réponse: Résolution du Parlement européen"
