question,subject,choices,answer,qa
Quelle tactique courante de relations publiques implique l'envoi de journalistes en visite dans des endroits appropriés?,public_relations,"['Communiqué de presse', 'Tournée médiatique', 'Salle de presse', 'Journées/semaines de promotion']",1,"Question: Quelle tactique courante de relations publiques implique l'envoi de journalistes en visite dans des endroits appropriés?

Choix: ['Communiqué de presse', 'Tournée médiatique', 'Salle de presse', 'Journées/semaines de promotion']

Réponse: Tournée médiatique"
"Vous êtes le vice-président des relations publiques pour une société qui produit une marque bien connue de produits alimentaires Au marché d'Albany, à New York, l'un de vos produits a récemment été contaminé Bien qu'il ne soit apparemment pas mortel, il a causé à un grand nombre de consommateurs de graves crampes d'estomac et d'autres problèmes intestinaux. La cause a été retracée à votre produit, qui est vendu dans tout le pays Votre PDG veut savoir ce que vous conseilleriez pour que la situation ne devienne pas une catastrophe de relations publiques . Que recommanderiez-vous ?",public_relations,"['Renseignez- vous rapidement pour vous assurer que votre produit est définitivement la cause de la maladie.', 'Arrêtez toutes les ventes du produit à travers le pays et émettez un rappel pour ce produit.', 'Arrêter les ventes du produit sur le marché d'Albany, New York, et émettre un rappel pour ce produit.', 'Émettez un communiqué de presse au marché d'Albany, New York, expliquant comment traiter les symptômes.']",1,"Question: Vous êtes le vice-président des relations publiques pour une société qui produit une marque bien connue de produits alimentaires Au marché d'Albany, à New York, l'un de vos produits a récemment été contaminé Bien qu'il ne soit apparemment pas mortel, il a causé à un grand nombre de consommateurs de graves crampes d'estomac et d'autres problèmes intestinaux. La cause a été retracée à votre produit, qui est vendu dans tout le pays Votre PDG veut savoir ce que vous conseilleriez pour que la situation ne devienne pas une catastrophe de relations publiques . Que recommanderiez-vous ?

Choix: ['Renseignez- vous rapidement pour vous assurer que votre produit est définitivement la cause de la maladie.', 'Arrêtez toutes les ventes du produit à travers le pays et émettez un rappel pour ce produit.', 'Arrêter les ventes du produit sur le marché d'Albany, New York, et émettre un rappel pour ce produit.', 'Émettez un communiqué de presse au marché d'Albany, New York, expliquant comment traiter les symptômes.']

Réponse: Arrêtez toutes les ventes du produit à travers le pays et émettez un rappel pour ce produit."
"Dans les relations publiques, la ________ traite de la capacité d'une organisation à satisfaire et à créer une expérience positive pour ses consommateurs.",public_relations,"['relations avec la communauté', 'relations avec les consommateurs', 'relations avec les employés', 'les questions publiques']",1,"Question: Dans les relations publiques, la ________ traite de la capacité d'une organisation à satisfaire et à créer une expérience positive pour ses consommateurs.

Choix: ['relations avec la communauté', 'relations avec les consommateurs', 'relations avec les employés', 'les questions publiques']

Réponse: relations avec les consommateurs"
En quelle année la BBC a-t-elle commencé à diffuser la radio ?,public_relations,"['Il est mort en 1917.', 'Il est né en 1922.', 'Il est né en 1925.', 'Il est mort en 1927.']",1,"Question: En quelle année la BBC a-t-elle commencé à diffuser la radio ?

Choix: ['Il est mort en 1917.', 'Il est né en 1922.', 'Il est né en 1925.', 'Il est mort en 1927.']

Réponse: Il est né en 1922."
Les campagnes publicitaires sont axées sur la collecte de soutien pour un message ou une cause particulière.,public_relations,"['Orienté vers le produit', 'Orienté vers la personne', 'Orienté sur les idées', 'Orienté vers le message']",2,"Question: Les campagnes publicitaires sont axées sur la collecte de soutien pour un message ou une cause particulière.

Choix: ['Orienté vers le produit', 'Orienté vers la personne', 'Orienté sur les idées', 'Orienté vers le message']

Réponse: Orienté sur les idées"
Pourquoi un conseiller en relations publiques devrait- il constamment examiner les réalités présentes et futures d'une organisation?,public_relations,"['d'élaborer une déclaration de vision', 'd'interpréter les tendances pour la gestion', 'pour interpréter le plan d'affaires de l'organisation', 'd'examiner le rôle que pourraient jouer les relations publiques']",1,"Question: Pourquoi un conseiller en relations publiques devrait- il constamment examiner les réalités présentes et futures d'une organisation?

Choix: ['d'élaborer une déclaration de vision', 'd'interpréter les tendances pour la gestion', 'pour interpréter le plan d'affaires de l'organisation', 'd'examiner le rôle que pourraient jouer les relations publiques']

Réponse: d'interpréter les tendances pour la gestion"
Laquelle de ces définitions décrit le mieux la 'spirale du silence'?,public_relations,"['Quand les victimes de mauvais traitements gardent le silence', 'Quand les gens cachent leurs opinions s'ils ne sont pas d'accord avec la majorité', 'Quand les gens cachent leurs opinions s'ils ne sont pas d'accord avec leurs pairs proches ou les membres de leur famille.', 'Lorsque les relations publiques utilisent les résultats des sondages d'opinion pour générer un soutien pour une question particulière']",0,"Question: Laquelle de ces définitions décrit le mieux la 'spirale du silence'?

Choix: ['Quand les victimes de mauvais traitements gardent le silence', 'Quand les gens cachent leurs opinions s'ils ne sont pas d'accord avec la majorité', 'Quand les gens cachent leurs opinions s'ils ne sont pas d'accord avec leurs pairs proches ou les membres de leur famille.', 'Lorsque les relations publiques utilisent les résultats des sondages d'opinion pour générer un soutien pour une question particulière']

Réponse: Quand les victimes de mauvais traitements gardent le silence"
"Quels sont les deux éléments communs aux modèles de planification développés par Hendrix (2002), Kendall (1999), Merston (1963) et Parkinson et Ekachai (2006) ?",public_relations,"['Recherche et évaluation', 'Stratégie et évaluation', 'Stratégie et mise en œuvre', 'Objectifs et mise en œuvre']",0,"Question: Quels sont les deux éléments communs aux modèles de planification développés par Hendrix (2002), Kendall (1999), Merston (1963) et Parkinson et Ekachai (2006) ?

Choix: ['Recherche et évaluation', 'Stratégie et évaluation', 'Stratégie et mise en œuvre', 'Objectifs et mise en œuvre']

Réponse: Recherche et évaluation"
À quel stade du processus de planification les objectifs sont-ils fixés?,public_relations,"['Définition du programme', 'Planification du programme', 'Prendre des mesures et mettre en œuvre des idées', 'Évaluation du programme']",1,"Question: À quel stade du processus de planification les objectifs sont-ils fixés?

Choix: ['Définition du programme', 'Planification du programme', 'Prendre des mesures et mettre en œuvre des idées', 'Évaluation du programme']

Réponse: Planification du programme"
Lequel des éléments suivants n'est PAS l'une des quatre catégories de stratégies de communication de crise persuasive identifiées par W. Timothy Coombs?,public_relations,"['démobilisation', 'sous-estimer', 'mise à l'écart', 'non-existence']",1,"Question: Lequel des éléments suivants n'est PAS l'une des quatre catégories de stratégies de communication de crise persuasive identifiées par W. Timothy Coombs?

Choix: ['démobilisation', 'sous-estimer', 'mise à l'écart', 'non-existence']

Réponse: sous-estimer"
