question,subject,choices,answer,qa
Das Barkhausen-Kriterium für einen Oszillator,electrical_engineering,"['Loop-Gewinn sollte Einheit sein', 'Loop-Gewinn sollte weniger als Einheit sein', 'Die Phase eines Rückkopplungssignals in Bezug auf den Eingang sollte 0° oder 360° betragen', 'Sowohl A als auch C']",3,"Frage: Das Barkhausen-Kriterium für einen Oszillator

Antwortoptionen: ['Loop-Gewinn sollte Einheit sein', 'Loop-Gewinn sollte weniger als Einheit sein', 'Die Phase eines Rückkopplungssignals in Bezug auf den Eingang sollte 0° oder 360° betragen', 'Sowohl A als auch C']

Antwort: Sowohl A als auch C"
"Potentiometer-Methode der Gleichspannungsmessung ist genauer als direkte Messung mit einem Voltmeter, weil",electrical_engineering,"['Es belastet den Stromkreis mäßig.', 'Es belastet den Stromkreis maximal.', 'Es verwendet ein Galvanometer mit Zentralnull anstelle eines Voltmeters.', 'Es belastet den Stromkreis überhaupt nicht.']",3,"Frage: Potentiometer-Methode der Gleichspannungsmessung ist genauer als direkte Messung mit einem Voltmeter, weil

Antwortoptionen: ['Es belastet den Stromkreis mäßig.', 'Es belastet den Stromkreis maximal.', 'Es verwendet ein Galvanometer mit Zentralnull anstelle eines Voltmeters.', 'Es belastet den Stromkreis überhaupt nicht.']

Antwort: Es belastet den Stromkreis überhaupt nicht."
Welche dieser Logik-Tore werden als universelle Tore bezeichnet?,electrical_engineering,"['NOR und NAND.', 'XOR, NOR und NAND.', 'WENN, NICHT, UND.', 'NOR, NAND und XNOR.']",0,"Frage: Welche dieser Logik-Tore werden als universelle Tore bezeichnet?

Antwortoptionen: ['NOR und NAND.', 'XOR, NOR und NAND.', 'WENN, NICHT, UND.', 'NOR, NAND und XNOR.']

Antwort: NOR und NAND."
Ein einphasiger Puls-gesteuerter Stromkreis hat einen Widerstand R und eine Gegenbelastung E sin (314 t) als Quellspannung Bei einem Lastzähler emf von 200 V ist der Bereich der Feuerwinkelregelung,electrical_engineering,"['30° bis 150°', '30° bis 180°', '60° bis 120°', '60° bis 180°']",0,"Frage: Ein einphasiger Puls-gesteuerter Stromkreis hat einen Widerstand R und eine Gegenbelastung E sin (314 t) als Quellspannung Bei einem Lastzähler emf von 200 V ist der Bereich der Feuerwinkelregelung

Antwortoptionen: ['30° bis 150°', '30° bis 180°', '60° bis 120°', '60° bis 180°']

Antwort: 30° bis 150°"
"Ein Kästchen, das die Wirkung der Eingänge auf das Steuerungssystem angibt, wird als",electrical_engineering,"['Die Datenbox.', 'Logische Schachtel.', 'Entscheidungsschachtel.', 'Zustandskarton.']",2,"Frage: Ein Kästchen, das die Wirkung der Eingänge auf das Steuerungssystem angibt, wird als

Antwortoptionen: ['Die Datenbox.', 'Logische Schachtel.', 'Entscheidungsschachtel.', 'Zustandskarton.']

Antwort: Entscheidungsschachtel."
Zwei unendlich parallele Metallplatten sind mit gleicher Oberflächenladungsdichte derselben Polarität geladen. Das elektrische Feld in der Lücke zwischen den Platten ist,electrical_engineering,"['Dieselbe wie die, die von einer Platte erzeugt wird.', 'verdoppelt das Feld, das eine Platte erzeugt.', 'abhängig von den Koordinaten der Feldpunkte.', 'Das ist Null.']",3,"Frage: Zwei unendlich parallele Metallplatten sind mit gleicher Oberflächenladungsdichte derselben Polarität geladen. Das elektrische Feld in der Lücke zwischen den Platten ist

Antwortoptionen: ['Dieselbe wie die, die von einer Platte erzeugt wird.', 'verdoppelt das Feld, das eine Platte erzeugt.', 'abhängig von den Koordinaten der Feldpunkte.', 'Das ist Null.']

Antwort: Das ist Null."
Der Widerstand in der Schaltung der beweglichen Spule eines Dynamometers Wattmeter sollte,electrical_engineering,"['Niedrig.', 'Sehr niedrig.', 'Hoch.', 'Beinahe null.']",2,"Frage: Der Widerstand in der Schaltung der beweglichen Spule eines Dynamometers Wattmeter sollte

Antwortoptionen: ['Niedrig.', 'Sehr niedrig.', 'Hoch.', 'Beinahe null.']

Antwort: Hoch."
Im Folgenden sind die notwendigen Anforderungen an einen Oszillator aufgeführt.,electrical_engineering,"['Stabilität der Amplitude', 'Frequenzstabilität', 'Leistungsstabilität', 'Sowohl A als auch B']",3,"Frage: Im Folgenden sind die notwendigen Anforderungen an einen Oszillator aufgeführt.

Antwortoptionen: ['Stabilität der Amplitude', 'Frequenzstabilität', 'Leistungsstabilität', 'Sowohl A als auch B']

Antwort: Sowohl A als auch B"
Die bei der Richtheizung verwendete normale Spannung beträgt:,electrical_engineering,"['1,5 KV.', '15 KV.', '33 KV.', '66 KV.']",0,"Frage: Die bei der Richtheizung verwendete normale Spannung beträgt:

Antwortoptionen: ['1,5 KV.', '15 KV.', '33 KV.', '66 KV.']

Antwort: 1,5 KV."
"LC-Oszillatoren werden verwendet, um eine Wellenform mit einer Frequenz von",electrical_engineering,"['1MHz bis 500 MHz', '100 KHz bis 500 MHz', '1 KHz bis 1 MHz', '1MHz bis 100 GHz']",0,"Frage: LC-Oszillatoren werden verwendet, um eine Wellenform mit einer Frequenz von

Antwortoptionen: ['1MHz bis 500 MHz', '100 KHz bis 500 MHz', '1 KHz bis 1 MHz', '1MHz bis 100 GHz']

Antwort: 1MHz bis 500 MHz"
Eine funktionierende Diode muss,electrical_engineering,"['Hoher Widerstand bei Vorwärts- oder Rückwärtsbeugung', 'Niedriger Widerstand bei Vorwärtsverlagerung, hoher Widerstand bei Rückwärtsverlagerung', 'Hoher Widerstand bei Vorwärtsverzerrung, geringer Widerstand bei Rückwärtsverzerrung', 'Niedriger Widerstand bei Vorwärts- oder Rückwärtsbewegung']",1,"Frage: Eine funktionierende Diode muss

Antwortoptionen: ['Hoher Widerstand bei Vorwärts- oder Rückwärtsbeugung', 'Niedriger Widerstand bei Vorwärtsverlagerung, hoher Widerstand bei Rückwärtsverlagerung', 'Hoher Widerstand bei Vorwärtsverzerrung, geringer Widerstand bei Rückwärtsverzerrung', 'Niedriger Widerstand bei Vorwärts- oder Rückwärtsbewegung']

Antwort: Niedriger Widerstand bei Vorwärtsverlagerung, hoher Widerstand bei Rückwärtsverlagerung"
"Wie heißt das fluoreszierende Material, das die rote Farbe fluoresziert?",electrical_engineering,"['Zinksilikat.', 'Kalziumsilikat.', 'Zinksulfid.', 'Magnesiumsilikat.']",3,"Frage: Wie heißt das fluoreszierende Material, das die rote Farbe fluoresziert?

Antwortoptionen: ['Zinksilikat.', 'Kalziumsilikat.', 'Zinksulfid.', 'Magnesiumsilikat.']

Antwort: Magnesiumsilikat."
"Wie viele Bits werden benötigt , um eine BCD-Zahl zu speichern ?",electrical_engineering,"['1 und 2', '1 und 2', '3 und 4', '4 und 5']",3,"Frage: Wie viele Bits werden benötigt , um eine BCD-Zahl zu speichern ?

Antwortoptionen: ['1 und 2', '1 und 2', '3 und 4', '4 und 5']

Antwort: 4 und 5"
Der Kommutator im Gleichstromgenerator wird für,electrical_engineering,"['Sammlung von Strom', 'Verluste verringern', 'Effizienzsteigerung', 'Umwandlung von Wechselstrom in Gleichstrom']",3,"Frage: Der Kommutator im Gleichstromgenerator wird für

Antwortoptionen: ['Sammlung von Strom', 'Verluste verringern', 'Effizienzsteigerung', 'Umwandlung von Wechselstrom in Gleichstrom']

Antwort: Umwandlung von Wechselstrom in Gleichstrom"
1 F ist theoretisch gleich,electrical_engineering,"['1 Ohm Widerstand', 'Verhältnis von 1 V zu 1 C', 'Verhältnis von 1 C zu 1 V', 'Nichts davon']",2,"Frage: 1 F ist theoretisch gleich

Antwortoptionen: ['1 Ohm Widerstand', 'Verhältnis von 1 V zu 1 C', 'Verhältnis von 1 C zu 1 V', 'Nichts davon']

Antwort: Verhältnis von 1 C zu 1 V"
Wie viele Einträge gibt es in der Wahrheitstabelle eines 3-Eingangs-NAND-Gates ?,electrical_engineering,"['3 und 4', '5 und 6', '8 und 9', '9 und 9']",2,"Frage: Wie viele Einträge gibt es in der Wahrheitstabelle eines 3-Eingangs-NAND-Gates ?

Antwortoptionen: ['3 und 4', '5 und 6', '8 und 9', '9 und 9']

Antwort: 8 und 9"
Was ist MSD im Dezimalsystem?,electrical_engineering,"['Erste Ziffer von links nach rechts', 'Erste Ziffer von rechts nach links', 'Mittlere Ziffer', 'Mittelwert aller Ziffern']",0,"Frage: Was ist MSD im Dezimalsystem?

Antwortoptionen: ['Erste Ziffer von links nach rechts', 'Erste Ziffer von rechts nach links', 'Mittlere Ziffer', 'Mittelwert aller Ziffern']

Antwort: Erste Ziffer von links nach rechts"
In Digital Logic Designs wird GAL abgekürzt als,electrical_engineering,"['Allgemeine Vorlauflogik', 'Allgemeine Array-Logik', 'Generische Vorlauflogik', 'Generische Array-Logik']",3,"Frage: In Digital Logic Designs wird GAL abgekürzt als

Antwortoptionen: ['Allgemeine Vorlauflogik', 'Allgemeine Array-Logik', 'Generische Vorlauflogik', 'Generische Array-Logik']

Antwort: Generische Array-Logik"
