question,subject,choices,answer,qa
मान लीजिए कि एक विस्तारवादी राजकोषीय नीति वास्तविक उत्पादन में एक बड़ी वृद्धि और मूल्य स्तर में एक छोटी वृद्धि की ओर ले जाती है। इससे यह निष्कर्ष निकाला जा सकता है कि,high_school_macroeconomics,"['मुद्रास्फीति पहले से ही राजकोषीय प्रोत्साहन से पहले ही अर्थव्यवस्था को प्रभावित कर चुकी थी।', 'अर्थव्यवस्था में शुरू में कुछ बेरोजगार संसाधन थे।', 'कुल आपूर्ति में कमी आई।', 'कुल मांग में भारी गिरावट आई है।']",1,"प्रश्न: मान लीजिए कि एक विस्तारवादी राजकोषीय नीति वास्तविक उत्पादन में एक बड़ी वृद्धि और मूल्य स्तर में एक छोटी वृद्धि की ओर ले जाती है। इससे यह निष्कर्ष निकाला जा सकता है कि

उत्तर विकल्प: ['मुद्रास्फीति पहले से ही राजकोषीय प्रोत्साहन से पहले ही अर्थव्यवस्था को प्रभावित कर चुकी थी।', 'अर्थव्यवस्था में शुरू में कुछ बेरोजगार संसाधन थे।', 'कुल आपूर्ति में कमी आई।', 'कुल मांग में भारी गिरावट आई है।']

उत्तर: अर्थव्यवस्था में शुरू में कुछ बेरोजगार संसाधन थे।"
निम्नलिखित में से कौन सा U.S. में सम्मिलित है? जीडीपी? अमेरिका द्वारा अफ्रीका में बनाई गई फिल्मों का बाजार मूल्य नागरिक II इटली में निर्मित और संयुक्त राज्य अमेरिका में बेचे जाने वाले जैतून के तेल का बाजार मूल्य तृतीय संयुक्त राज्य अमेरिका में निर्मित और जापान में बेचे जाने वाले ब्लू जीन्स का बाजार मूल्य IV कनाडाई नागरिकों द्वारा संयुक्त राज्य अमेरिका में बनाई गई शराब का बाजार मूल्य,high_school_macroeconomics,"['II केवल III और IV', 'केवल I और III', 'केवल II और IV', 'केवल III और IV']",3,"प्रश्न: निम्नलिखित में से कौन सा U.S. में सम्मिलित है? जीडीपी? अमेरिका द्वारा अफ्रीका में बनाई गई फिल्मों का बाजार मूल्य नागरिक II इटली में निर्मित और संयुक्त राज्य अमेरिका में बेचे जाने वाले जैतून के तेल का बाजार मूल्य तृतीय संयुक्त राज्य अमेरिका में निर्मित और जापान में बेचे जाने वाले ब्लू जीन्स का बाजार मूल्य IV कनाडाई नागरिकों द्वारा संयुक्त राज्य अमेरिका में बनाई गई शराब का बाजार मूल्य

उत्तर विकल्प: ['II केवल III और IV', 'केवल I और III', 'केवल II और IV', 'केवल III और IV']

उत्तर: केवल III और IV"
जब अल्पकालिक समग्र आपूर्ति और समग्र मांग दोनों में वृद्धि होती है तो निम्न में से किसके बारे में निश्चित रूप से कहा जा सकता है?,high_school_macroeconomics,"['मूल्य स्तर बढ़ता है लेकिन वास्तविक सकल घरेलू उत्पाद घटता है।', 'मूल्य स्तर और वास्तविक सकल घरेलू उत्पाद दोनों में वृद्धि हुई है।', 'मूल्य स्तर बढ़ता है लेकिन वास्तविक सकल घरेलू उत्पाद में परिवर्तन अनिश्चित है।', 'वास्तविक सकल घरेलू उत्पाद बढ़ता है लेकिन मूल्य स्तर में परिवर्तन अनिश्चित है।']",3,"प्रश्न: जब अल्पकालिक समग्र आपूर्ति और समग्र मांग दोनों में वृद्धि होती है तो निम्न में से किसके बारे में निश्चित रूप से कहा जा सकता है?

उत्तर विकल्प: ['मूल्य स्तर बढ़ता है लेकिन वास्तविक सकल घरेलू उत्पाद घटता है।', 'मूल्य स्तर और वास्तविक सकल घरेलू उत्पाद दोनों में वृद्धि हुई है।', 'मूल्य स्तर बढ़ता है लेकिन वास्तविक सकल घरेलू उत्पाद में परिवर्तन अनिश्चित है।', 'वास्तविक सकल घरेलू उत्पाद बढ़ता है लेकिन मूल्य स्तर में परिवर्तन अनिश्चित है।']

उत्तर: वास्तविक सकल घरेलू उत्पाद बढ़ता है लेकिन मूल्य स्तर में परिवर्तन अनिश्चित है।"
टैरिफ और कोटा,high_school_macroeconomics,"['इससे घरेलू कीमतें कम हो जाती हैं।', 'कभी-कभी घरेलू स्तर पर बेचे जाने वाले उत्पाद की मात्रा बढ़ जाती है और कभी-कभी कम हो जाती है।', 'घरेलू स्तर पर बेचे जाने वाले उत्पाद की मात्रा को कम करें।', 'घरेलू स्तर पर बेचे जाने वाले उत्पाद की मात्रा बढ़ाएं।']",2,"प्रश्न: टैरिफ और कोटा

उत्तर विकल्प: ['इससे घरेलू कीमतें कम हो जाती हैं।', 'कभी-कभी घरेलू स्तर पर बेचे जाने वाले उत्पाद की मात्रा बढ़ जाती है और कभी-कभी कम हो जाती है।', 'घरेलू स्तर पर बेचे जाने वाले उत्पाद की मात्रा को कम करें।', 'घरेलू स्तर पर बेचे जाने वाले उत्पाद की मात्रा बढ़ाएं।']

उत्तर: घरेलू स्तर पर बेचे जाने वाले उत्पाद की मात्रा को कम करें।"
ट्रेजरी बांड की कीमतों में गिरावट का एक संभावित कारण हो सकता है,high_school_macroeconomics,"['विस्तारवादी मौद्रिक नीति।', 'संकुचित मौद्रिक नीति।', 'एक अवमूल्यन डॉलर।', 'बजट घाटे को कम करने के लिए बनाई गई राजकोषीय नीति।']",1,"प्रश्न: ट्रेजरी बांड की कीमतों में गिरावट का एक संभावित कारण हो सकता है

उत्तर विकल्प: ['विस्तारवादी मौद्रिक नीति।', 'संकुचित मौद्रिक नीति।', 'एक अवमूल्यन डॉलर।', 'बजट घाटे को कम करने के लिए बनाई गई राजकोषीय नीति।']

उत्तर: संकुचित मौद्रिक नीति।"
परिवार एक संपत्ति के रूप में अधिक धन की मांग करते हैं जब,high_school_macroeconomics,"['नाममात्र सकल घरेलू उत्पाद गिरता है।', 'नाममात्र ब्याज दर गिरती है।', 'बांड की कीमतें गिरती हैं।', 'धन की आपूर्ति कम हो जाती है।']",1,"प्रश्न: परिवार एक संपत्ति के रूप में अधिक धन की मांग करते हैं जब

उत्तर विकल्प: ['नाममात्र सकल घरेलू उत्पाद गिरता है।', 'नाममात्र ब्याज दर गिरती है।', 'बांड की कीमतें गिरती हैं।', 'धन की आपूर्ति कम हो जाती है।']

उत्तर: नाममात्र ब्याज दर गिरती है।"
आवंटनात्मक दक्षता,high_school_macroeconomics,"['इसका मतलब है कि कोई कम गुणवत्ता वाले उत्पाद नहीं बनाए जाएंगे।', 'इसका अर्थ है कि अर्थव्यवस्था का उत्पादन समान रूप से वितरित किया जाता है।', 'इसका मतलब है कि जो लोग सबसे ज्यादा मेहनत करते हैं उन्हें अधिक मिलेगा।', 'इसका अर्थ है कि संसाधनों का उपयोग केवल सही मात्रा में समाज द्वारा वांछित वस्तुओं और सेवाओं के उत्पादन के लिए किया जाता है।']",3,"प्रश्न: आवंटनात्मक दक्षता

उत्तर विकल्प: ['इसका मतलब है कि कोई कम गुणवत्ता वाले उत्पाद नहीं बनाए जाएंगे।', 'इसका अर्थ है कि अर्थव्यवस्था का उत्पादन समान रूप से वितरित किया जाता है।', 'इसका मतलब है कि जो लोग सबसे ज्यादा मेहनत करते हैं उन्हें अधिक मिलेगा।', 'इसका अर्थ है कि संसाधनों का उपयोग केवल सही मात्रा में समाज द्वारा वांछित वस्तुओं और सेवाओं के उत्पादन के लिए किया जाता है।']

उत्तर: इसका अर्थ है कि संसाधनों का उपयोग केवल सही मात्रा में समाज द्वारा वांछित वस्तुओं और सेवाओं के उत्पादन के लिए किया जाता है।"
जीडीपी उपाय,high_school_macroeconomics,"['एक राष्ट्र की सीमाओं के भीतर उत्पादन।', 'एक राष्ट्र के नागरिकों द्वारा उत्पादन किया जाता है, चाहे वे कहीं भी हों।', 'उत्पादन के कारकों द्वारा अर्जित आय प्लस मूल्यह्रास और अप्रत्यक्ष व्यावसायिक कर।', '(ए) और (सी)']",3,"प्रश्न: जीडीपी उपाय

उत्तर विकल्प: ['एक राष्ट्र की सीमाओं के भीतर उत्पादन।', 'एक राष्ट्र के नागरिकों द्वारा उत्पादन किया जाता है, चाहे वे कहीं भी हों।', 'उत्पादन के कारकों द्वारा अर्जित आय प्लस मूल्यह्रास और अप्रत्यक्ष व्यावसायिक कर।', '(ए) और (सी)']

उत्तर: (ए) और (सी)"
प्रत्येक विकल्प का परिणाम एक पूर्व निर्धारित सबसे अच्छा विकल्प होता है जिसे अर्थशास्त्री सबसे अच्छा विकल्प कहते हैं।,high_school_macroeconomics,"['लेखा लागत', 'स्विचिंग लागत', 'कम लागत', 'अवसर लागत']",3,"प्रश्न: प्रत्येक विकल्प का परिणाम एक पूर्व निर्धारित सबसे अच्छा विकल्प होता है जिसे अर्थशास्त्री सबसे अच्छा विकल्प कहते हैं।

उत्तर विकल्प: ['लेखा लागत', 'स्विचिंग लागत', 'कम लागत', 'अवसर लागत']

उत्तर: अवसर लागत"
जब एक राष्ट्र बेरोजगारी की प्राकृतिक दर पर काम कर रहा है,high_school_macroeconomics,"['कोई चक्रीय बेरोजगारी नहीं है।', 'मुद्रास्फीति की दर शून्य है।', 'कोई संरचनात्मक बेरोजगारी नहीं है।', 'देश मंदी का सामना कर रहा है।']",0,"प्रश्न: जब एक राष्ट्र बेरोजगारी की प्राकृतिक दर पर काम कर रहा है

उत्तर विकल्प: ['कोई चक्रीय बेरोजगारी नहीं है।', 'मुद्रास्फीति की दर शून्य है।', 'कोई संरचनात्मक बेरोजगारी नहीं है।', 'देश मंदी का सामना कर रहा है।']

उत्तर: कोई चक्रीय बेरोजगारी नहीं है।"
