question,subject,choices,answer,qa
Le critère de Barkhausen pour un oscillateur,electrical_engineering,"['Le gain de boucle devrait être l'unité', 'Le gain de boucle doit être inférieur à unité', 'La phase d'un signal de rétroaction par rapport à l'entrée doit être de 0° ou 360°', 'Les deux A et C']",3,"Question: Le critère de Barkhausen pour un oscillateur

Choix: ['Le gain de boucle devrait être l'unité', 'Le gain de boucle doit être inférieur à unité', 'La phase d'un signal de rétroaction par rapport à l'entrée doit être de 0° ou 360°', 'Les deux A et C']

Réponse: Les deux A et C"
La méthode potentiométrique de mesure de la tension CC est plus précise que la mesure directe à l'aide d'un voltmètre car,electrical_engineering,"['Il charge le circuit modérément.', 'Il charge le circuit au maximum.', 'Il utilise un galvanomètre au centre zéro au lieu d'un voltmètre.', 'Il ne charge pas du tout le circuit.']",3,"Question: La méthode potentiométrique de mesure de la tension CC est plus précise que la mesure directe à l'aide d'un voltmètre car

Choix: ['Il charge le circuit modérément.', 'Il charge le circuit au maximum.', 'Il utilise un galvanomètre au centre zéro au lieu d'un voltmètre.', 'Il ne charge pas du tout le circuit.']

Réponse: Il ne charge pas du tout le circuit."
Lequel de ces ensembles de portes logiques est désigné comme porte universelle ?,electrical_engineering,"['Le NOR, le NAND.', 'XOR, NOR ou NAND.', 'Ou, ou pas, ou et.', 'Le NOR, le NAND, le XNOR.']",0,"Question: Lequel de ces ensembles de portes logiques est désigné comme porte universelle ?

Choix: ['Le NOR, le NAND.', 'XOR, NOR ou NAND.', 'Ou, ou pas, ou et.', 'Le NOR, le NAND, le XNOR.']

Réponse: Le NOR, le NAND."
"Un circuit monophasé à commande d'impulsion a une résistance R et une contre-intensité E de charge 400 sin ((314 t) comme tension de source Pour un compteur de charge emf de 200 V, la plage de contrôle de l'angle de tir est:",electrical_engineering,"['30° à 150°.', '30° à 180°.', '60° à 120°.', '60° à 180°.']",0,"Question: Un circuit monophasé à commande d'impulsion a une résistance R et une contre-intensité E de charge 400 sin ((314 t) comme tension de source Pour un compteur de charge emf de 200 V, la plage de contrôle de l'angle de tir est:

Choix: ['30° à 150°.', '30° à 180°.', '60° à 120°.', '60° à 180°.']

Réponse: 30° à 150°."
Une boîte qui indique l'effet des entrées sur le sous-système de commande est connue sous le nom de,electrical_engineering,"['La boîte à données.', 'Une boîte logique.', 'La boîte de décision.', 'Une boîte d'état.']",2,"Question: Une boîte qui indique l'effet des entrées sur le sous-système de commande est connue sous le nom de

Choix: ['La boîte à données.', 'Une boîte logique.', 'La boîte de décision.', 'Une boîte d'état.']

Réponse: La boîte de décision."
Deux plaques métalliques parallèles infinies sont chargées avec une densité de charge de surface égale de la même polarité. Le champ électrique dans l'espace entre les plaques est,electrical_engineering,"['la même que celle produite par une seule plaque.', 'doubler le champ produit par une plaque.', 'dépendant des coordonnées des points du champ.', 'Il est à zéro.']",3,"Question: Deux plaques métalliques parallèles infinies sont chargées avec une densité de charge de surface égale de la même polarité. Le champ électrique dans l'espace entre les plaques est

Choix: ['la même que celle produite par une seule plaque.', 'doubler le champ produit par une plaque.', 'dépendant des coordonnées des points du champ.', 'Il est à zéro.']

Réponse: Il est à zéro."
La résistance dans le circuit de la bobine mobile d'un dynamomètre wattmètre doit être,electrical_engineering,"['Elle est basse.', 'Très bas.', 'Très haut.', 'Près de zéro.']",2,"Question: La résistance dans le circuit de la bobine mobile d'un dynamomètre wattmètre doit être

Choix: ['Elle est basse.', 'Très bas.', 'Très haut.', 'Près de zéro.']

Réponse: Très haut."
Les exigences nécessaires d'un oscillateur sont les suivantes:,electrical_engineering,"['Stabilité de l'amplitude', 'Stabilité de fréquence', 'Stabilité de la puissance', 'Les deux A et B']",3,"Question: Les exigences nécessaires d'un oscillateur sont les suivantes:

Choix: ['Stabilité de l'amplitude', 'Stabilité de fréquence', 'Stabilité de la puissance', 'Les deux A et B']

Réponse: Les deux A et B"
La tension normale utilisée dans le chauffage directionnel est:,electrical_engineering,"['Elle est de 1,5 KV.', 'Elle est de 15 KV.', '33 KV.', '66 KV.']",0,"Question: La tension normale utilisée dans le chauffage directionnel est:

Choix: ['Elle est de 1,5 KV.', 'Elle est de 15 KV.', '33 KV.', '66 KV.']

Réponse: Elle est de 1,5 KV."
Les oscillateurs LC sont utilisés pour produire une forme d'onde dont la fréquence varie de,electrical_engineering,"['1 MHz à 500 MHz', '100 KHz à 500 MHz', '1 KHz à 1 MHz', '1 MHz à 100 GHz']",0,"Question: Les oscillateurs LC sont utilisés pour produire une forme d'onde dont la fréquence varie de

Choix: ['1 MHz à 500 MHz', '100 KHz à 500 MHz', '1 KHz à 1 MHz', '1 MHz à 100 GHz']

Réponse: 1 MHz à 500 MHz"
