question,subject,choices,answer,qa
"Identifiez la conclusion de l'argument suivant Il est difficile de ne pas vérifier chez nos pairs la même intelligence affaiblie due aux émotions que nous observons chez nos patients de tous les jours L'arrogance de notre conscience, qui en général, appartient aux mécanismes de défense les plus forts, bloque les complexes inconscients Pour cette raison, il est difficile de convaincre les gens de l'inconscient, et à son tour de leur enseigner ce que leur connaissance consciente contredit (Sigmund Freud, L'origine et le développement de la psychanalyse)",formal_logic,"['Il est difficile de ne pas constater chez nos pairs le même affaiblissement de l'intelligence dû aux émotions que nous observons chez nos patients de tous les jours.', 'L'arrogance de notre conscience, qui, en général, appartient aux mécanismes de défense les plus forts, bloque les complexes inconscients.', 'Pour cette raison, il est difficile de convaincre les gens de l'inconscient, et à son tour de leur enseigner ce que leur connaissance consciente contredit.', 'Il est difficile de convaincre les gens de l'inconscient, et à son tour de leur enseigner ce que leur connaissance consciente contredit.']",3,"Question: Identifiez la conclusion de l'argument suivant Il est difficile de ne pas vérifier chez nos pairs la même intelligence affaiblie due aux émotions que nous observons chez nos patients de tous les jours L'arrogance de notre conscience, qui en général, appartient aux mécanismes de défense les plus forts, bloque les complexes inconscients Pour cette raison, il est difficile de convaincre les gens de l'inconscient, et à son tour de leur enseigner ce que leur connaissance consciente contredit (Sigmund Freud, L'origine et le développement de la psychanalyse)

Choix: ['Il est difficile de ne pas constater chez nos pairs le même affaiblissement de l'intelligence dû aux émotions que nous observons chez nos patients de tous les jours.', 'L'arrogance de notre conscience, qui, en général, appartient aux mécanismes de défense les plus forts, bloque les complexes inconscients.', 'Pour cette raison, il est difficile de convaincre les gens de l'inconscient, et à son tour de leur enseigner ce que leur connaissance consciente contredit.', 'Il est difficile de convaincre les gens de l'inconscient, et à son tour de leur enseigner ce que leur connaissance consciente contredit.']

Réponse: Il est difficile de convaincre les gens de l'inconscient, et à son tour de leur enseigner ce que leur connaissance consciente contredit."
Sélectionnez la meilleure traduction en logique de prédicat. David enseigne à Chris. (c: Chris; d: David; Txy: x enseigne à y),formal_logic,"['Tdc', 'Tcd', 'Nom de l'établissement', 'dTc']",0,"Question: Sélectionnez la meilleure traduction en logique de prédicat. David enseigne à Chris. (c: Chris; d: David; Txy: x enseigne à y)

Choix: ['Tdc', 'Tcd', 'Nom de l'établissement', 'dTc']

Réponse: Tdc"
Sélectionner la meilleure interprétation anglaise de la proposition donnée en utilisant la clé de traduction suivante: Ax: x est un appartement Hx: x est une maison Lx: x est grand Bxy: x est plus grand que y (x),formal_logic,"['Certaines grandes maisons sont plus grandes que certains appartements.', 'Certaines maisons sont plus grandes que tous les grands appartements.', 'Certains grands appartements sont plus grands que certaines maisons.', 'Certaines maisons sont plus grandes que certains grands appartements.']",2,"Question: Sélectionner la meilleure interprétation anglaise de la proposition donnée en utilisant la clé de traduction suivante: Ax: x est un appartement Hx: x est une maison Lx: x est grand Bxy: x est plus grand que y (x)

Choix: ['Certaines grandes maisons sont plus grandes que certains appartements.', 'Certaines maisons sont plus grandes que tous les grands appartements.', 'Certains grands appartements sont plus grands que certaines maisons.', 'Certaines maisons sont plus grandes que certains grands appartements.']

Réponse: Certains grands appartements sont plus grands que certaines maisons."
"Construire une table de vérité complète pour l'argument suivant Ensuite, en utilisant la table de vérité, déterminer si l'argument est valide ou invalide Si l'argument est invalide, choisissez une option qui présente un contre-exemple (Il peut y avoir d'autres contre-exemples aussi.)",formal_logic,"['Vérifié', 'Invalide. Contre-exemple lorsque G et H sont vrais', 'Invalide. Contre-exemple lorsque G est vrai et H est faux', 'Invalide. Contre-exemple lorsque H est vrai et G est faux']",0,"Question: Construire une table de vérité complète pour l'argument suivant Ensuite, en utilisant la table de vérité, déterminer si l'argument est valide ou invalide Si l'argument est invalide, choisissez une option qui présente un contre-exemple (Il peut y avoir d'autres contre-exemples aussi.)

Choix: ['Vérifié', 'Invalide. Contre-exemple lorsque G et H sont vrais', 'Invalide. Contre-exemple lorsque G est vrai et H est faux', 'Invalide. Contre-exemple lorsque H est vrai et G est faux']

Réponse: Vérifié"
Utilisez la clé suivante pour traduire la formule donnée de PL en naturel Des phrases en anglais. A: Marina lit un livre de Percy Jackson. B: Izzy joue à Minecraft. C: Emily arrête de travailler. D: Russell fait le dîner. E: Ashleigh passe par là.,formal_logic,"['Si ce n'est pas le cas que Izzy joue à Minecraft et Ashleigh s'arrête alors Russell fait le dîner.', 'Si ce n'est pas le cas que Izzy joue à Minecraft et Ashleigh s'arrête alors Russell fait le dîner.', 'Izzy qui joue à Minecraft et Ashleigh qui passe implique que Russell prépare le dîner.', 'Le fait que Russell prépare le dîner est une condition suffisante pour qu'Izzy ne joue pas à Minecraft et pour qu'Ashleigh passe.']",1,"Question: Utilisez la clé suivante pour traduire la formule donnée de PL en naturel Des phrases en anglais. A: Marina lit un livre de Percy Jackson. B: Izzy joue à Minecraft. C: Emily arrête de travailler. D: Russell fait le dîner. E: Ashleigh passe par là.

Choix: ['Si ce n'est pas le cas que Izzy joue à Minecraft et Ashleigh s'arrête alors Russell fait le dîner.', 'Si ce n'est pas le cas que Izzy joue à Minecraft et Ashleigh s'arrête alors Russell fait le dîner.', 'Izzy qui joue à Minecraft et Ashleigh qui passe implique que Russell prépare le dîner.', 'Le fait que Russell prépare le dîner est une condition suffisante pour qu'Izzy ne joue pas à Minecraft et pour qu'Ashleigh passe.']

Réponse: Si ce n'est pas le cas que Izzy joue à Minecraft et Ashleigh s'arrête alors Russell fait le dîner."
Sélectionner la meilleure interprétation anglaise de la proposition donnée en utilisant la clé de traduction suivante: Ax: x est un appartement Hx: x est une maison Lx: x est grand Bxy: x est plus grand que y (x) [Hx • (∀y) ((Ay  Bxy) ],formal_logic,"['Certaines maisons sont plus petites que tous les appartements.', 'Chaque maison est plus grande que chaque appartement.', 'Certains appartements sont plus petits que toutes les maisons.', 'Certaines maisons sont plus grandes que tous les appartements.']",3,"Question: Sélectionner la meilleure interprétation anglaise de la proposition donnée en utilisant la clé de traduction suivante: Ax: x est un appartement Hx: x est une maison Lx: x est grand Bxy: x est plus grand que y (x) [Hx • (∀y) ((Ay  Bxy) ]

Choix: ['Certaines maisons sont plus petites que tous les appartements.', 'Chaque maison est plus grande que chaque appartement.', 'Certains appartements sont plus petits que toutes les maisons.', 'Certaines maisons sont plus grandes que tous les appartements.']

Réponse: Certaines maisons sont plus grandes que tous les appartements."
"Construire une table de vérité complète pour l'argument suivant Ensuite, en utilisant la table de vérité, déterminer si l'argument est valide ou invalide Si l'argument est invalide, choisissez une option qui présente un contre-exemple (Il peut y avoir d'autres contre-exemples aussi.) ~K  L / (K · L)  (K · ~L)",formal_logic,"['Vérifié', 'Invalide. Contre-exemple lorsque K et L sont vrais', 'Invalide. Contre-exemple lorsque K est vrai et L est faux', 'Invalide. Contre-exemple lorsque L est vrai et K est faux']",3,"Question: Construire une table de vérité complète pour l'argument suivant Ensuite, en utilisant la table de vérité, déterminer si l'argument est valide ou invalide Si l'argument est invalide, choisissez une option qui présente un contre-exemple (Il peut y avoir d'autres contre-exemples aussi.) ~K  L / (K · L)  (K · ~L)

Choix: ['Vérifié', 'Invalide. Contre-exemple lorsque K et L sont vrais', 'Invalide. Contre-exemple lorsque K est vrai et L est faux', 'Invalide. Contre-exemple lorsque L est vrai et K est faux']

Réponse: Invalide. Contre-exemple lorsque L est vrai et K est faux"
"Identifiez l'antécédent de la proposition conditionnelle suivante: Si l'université n'augmente pas l'aide financière Soit le président ne l'approuve pas, soit le conseil d'administration l'empêche.",formal_logic,"['L'université augmente l'aide financière.', 'L'université n'augmente pas l'aide financière.', 'Le conseil d'administration l'empêche.', 'Le président ne l'approuve pas.']",1,"Question: Identifiez l'antécédent de la proposition conditionnelle suivante: Si l'université n'augmente pas l'aide financière Soit le président ne l'approuve pas, soit le conseil d'administration l'empêche.

Choix: ['L'université augmente l'aide financière.', 'L'université n'augmente pas l'aide financière.', 'Le conseil d'administration l'empêche.', 'Le président ne l'approuve pas.']

Réponse: L'université n'augmente pas l'aide financière."
Laquelle des propositions suivantes est une conséquence immédiate (en une étape) dans PL des prémisses données? ~E  ~F G  F H  ~E H  I ~I,formal_logic,"['E  F', 'F  G', 'H  ~E', '- Je ne sais pas.']",3,"Question: Laquelle des propositions suivantes est une conséquence immédiate (en une étape) dans PL des prémisses données? ~E  ~F G  F H  ~E H  I ~I

Choix: ['E  F', 'F  G', 'H  ~E', '- Je ne sais pas.']

Réponse: - Je ne sais pas."
"Laquelle des formules données de PL est la meilleure symbolisation de la phrase suivante? Tout le monde aime Raymond, ou pas.",formal_logic,"['L', '- Je ne sais pas.', 'L • ~L', 'L  ~L']",3,"Question: Laquelle des formules données de PL est la meilleure symbolisation de la phrase suivante? Tout le monde aime Raymond, ou pas.

Choix: ['L', '- Je ne sais pas.', 'L • ~L', 'L  ~L']

Réponse: L  ~L"
