question,subject,choices,answer,qa
"Quelle déclaration explique le mieux le but de la distinction de Hart entre ""être obligé"" et ""avoir une obligation""?",jurisprudence,"['Il démontre la différence entre l'aspect interne et l'aspect externe d'une règle.', 'Il réfute le point de vue de l'avocat naturel sur le rôle de la moralité dans le droit.', 'Il explique la nature des règles de transfert de pouvoir.', 'Il éclaire le concept d'une règle.']",3,"Question: Quelle déclaration explique le mieux le but de la distinction de Hart entre ""être obligé"" et ""avoir une obligation""?

Choix: ['Il démontre la différence entre l'aspect interne et l'aspect externe d'une règle.', 'Il réfute le point de vue de l'avocat naturel sur le rôle de la moralité dans le droit.', 'Il explique la nature des règles de transfert de pouvoir.', 'Il éclaire le concept d'une règle.']

Réponse: Il éclaire le concept d'une règle."
"Le célèbre aphorisme du Maine selon lequel ""le mouvement des sociétés progressistes a été jusqu'à présent un mouvement du statut au contrat"" est souvent mal compris.",jurisprudence,"['Elle est mal interprétée comme une prédiction.', 'Son concept de statut est déformé.', 'Elle est prise au sens littéral.', 'Son idée est considérée comme inapplicable aux systèmes juridiques occidentaux.']",0,"Question: Le célèbre aphorisme du Maine selon lequel ""le mouvement des sociétés progressistes a été jusqu'à présent un mouvement du statut au contrat"" est souvent mal compris.

Choix: ['Elle est mal interprétée comme une prédiction.', 'Son concept de statut est déformé.', 'Elle est prise au sens littéral.', 'Son idée est considérée comme inapplicable aux systèmes juridiques occidentaux.']

Réponse: Elle est mal interprétée comme une prédiction."
Lequel des facteurs suivants a contribué de manière significative à la renaissance de la loi naturelle au XXe siècle?,jurisprudence,"['Dépression des années 1930', 'La montée du fascisme', 'La reconnaissance internationale des droits de l'homme après la Seconde Guerre mondiale', 'La révolution bolchevique']",2,"Question: Lequel des facteurs suivants a contribué de manière significative à la renaissance de la loi naturelle au XXe siècle?

Choix: ['Dépression des années 1930', 'La montée du fascisme', 'La reconnaissance internationale des droits de l'homme après la Seconde Guerre mondiale', 'La révolution bolchevique']

Réponse: La reconnaissance internationale des droits de l'homme après la Seconde Guerre mondiale"
Laquelle des critiques suivantes de la distinction de Llewellyn entre les grands et les styles formels de raisonnement juridique est la plus convaincante?,jurisprudence,"['Il n'y a pas de distinction entre les deux formes de raisonnement juridique.', 'Les juges sont nommés pour interpréter la loi, pas pour la faire.', 'Il est trompeur pour les juges de pigeon-hole de cette façon.', 'Le raisonnement judiciaire est toujours formel.']",2,"Question: Laquelle des critiques suivantes de la distinction de Llewellyn entre les grands et les styles formels de raisonnement juridique est la plus convaincante?

Choix: ['Il n'y a pas de distinction entre les deux formes de raisonnement juridique.', 'Les juges sont nommés pour interpréter la loi, pas pour la faire.', 'Il est trompeur pour les juges de pigeon-hole de cette façon.', 'Le raisonnement judiciaire est toujours formel.']

Réponse: Il est trompeur pour les juges de pigeon-hole de cette façon."
"Quelle proposition ci-dessous est la plus cohérente avec ce que Rawls prétend que le POP choisirait en ce qui concerne les ""biens primaires sociaux""?",jurisprudence,"['Le POP choisira la richesse plutôt qu'une société compatissante.', 'Le POP choisira l'égalité plutôt que le pouvoir.', 'Le POP sera désintéressé.', 'Le POP choisira de protéger les handicapés.']",0,"Question: Quelle proposition ci-dessous est la plus cohérente avec ce que Rawls prétend que le POP choisirait en ce qui concerne les ""biens primaires sociaux""?

Choix: ['Le POP choisira la richesse plutôt qu'une société compatissante.', 'Le POP choisira l'égalité plutôt que le pouvoir.', 'Le POP sera désintéressé.', 'Le POP choisira de protéger les handicapés.']

Réponse: Le POP choisira la richesse plutôt qu'une société compatissante."
L'école ________ croit que la promotion de l'efficacité du marché devrait être l'objectif central de la prise de décision juridique.,jurisprudence,"['Droit et économie', 'Des études juridiques critiques', 'Historique', 'La loi naturelle']",0,"Question: L'école ________ croit que la promotion de l'efficacité du marché devrait être l'objectif central de la prise de décision juridique.

Choix: ['Droit et économie', 'Des études juridiques critiques', 'Historique', 'La loi naturelle']

Réponse: Droit et économie"
Quelle déclaration ci-dessous est la moins susceptible de découler logiquement de l'argument d'Austin selon lequel une sanction consiste en la plus petite chance d'engager le plus petit mal?,jurisprudence,"['Tous les ordres comportent une sanction.', 'Le concept d'ordre implique la probabilité qu'une sanction soit appliquée en cas de non-respect de l'ordre.', 'Sans une sanction, la simple expression d'un souhait n'est pas un ordre.', 'Un commandement confère le pouvoir de changer son statut juridique.']",3,"Question: Quelle déclaration ci-dessous est la moins susceptible de découler logiquement de l'argument d'Austin selon lequel une sanction consiste en la plus petite chance d'engager le plus petit mal?

Choix: ['Tous les ordres comportent une sanction.', 'Le concept d'ordre implique la probabilité qu'une sanction soit appliquée en cas de non-respect de l'ordre.', 'Sans une sanction, la simple expression d'un souhait n'est pas un ordre.', 'Un commandement confère le pouvoir de changer son statut juridique.']

Réponse: Un commandement confère le pouvoir de changer son statut juridique."
"Comment Weber résout-il le ""problème de l'Angleterre""?",jurisprudence,"['En niant son existence.', 'En expliquant la différence entre le common law et le droit civil.', 'En distinguant certaines caractéristiques du système juridique anglais qui ont facilité le développement du capitalisme.', 'En reconnaissant l'importance de la domination légitime.']",2,"Question: Comment Weber résout-il le ""problème de l'Angleterre""?

Choix: ['En niant son existence.', 'En expliquant la différence entre le common law et le droit civil.', 'En distinguant certaines caractéristiques du système juridique anglais qui ont facilité le développement du capitalisme.', 'En reconnaissant l'importance de la domination légitime.']

Réponse: En distinguant certaines caractéristiques du système juridique anglais qui ont facilité le développement du capitalisme."
"La conception de Cicéron de la loi naturelle est ""basée sur l'idée que"" la vraie loi est la raison juste en accord avec la Nature. ""La raison est un élément clé parce que:",jurisprudence,"['C'est un péché pour les humains de ne pas appliquer la raison.', 'Les principes de la loi naturelle peuvent être découverts par la raison.', 'La loi naturelle ne s'applique pas sans une bonne raison.', 'La loi de la nature est la base de toute loi positive.']",1,"Question: La conception de Cicéron de la loi naturelle est ""basée sur l'idée que"" la vraie loi est la raison juste en accord avec la Nature. ""La raison est un élément clé parce que:

Choix: ['C'est un péché pour les humains de ne pas appliquer la raison.', 'Les principes de la loi naturelle peuvent être découverts par la raison.', 'La loi naturelle ne s'applique pas sans une bonne raison.', 'La loi de la nature est la base de toute loi positive.']

Réponse: Les principes de la loi naturelle peuvent être découverts par la raison."
"Catharine MacKinnon soutient que puisque les hommes dominent les femmes, la question est finalement celle du pouvoir.",jurisprudence,"['Les femmes peuvent obtenir l'égalité par la pression politique.', 'L'égalité est impossible parce que les hommes définissent les femmes comme différentes.', 'L'idée de 'femme' doit être redéfinie.', 'Le monde est phallocentrique et oppressif.']",0,"Question: Catharine MacKinnon soutient que puisque les hommes dominent les femmes, la question est finalement celle du pouvoir.

Choix: ['Les femmes peuvent obtenir l'égalité par la pression politique.', 'L'égalité est impossible parce que les hommes définissent les femmes comme différentes.', 'L'idée de 'femme' doit être redéfinie.', 'Le monde est phallocentrique et oppressif.']

Réponse: Les femmes peuvent obtenir l'égalité par la pression politique."
