question,subject,choices,answer,qa
एक थरथरानवाला के लिए Barkhausen मानदंड,electrical_engineering,"['लूप लाभ एकता होना चाहिए', 'लूप लाभ एकता से कम होना चाहिए', 'इनपुट के संबंध में फीडबैक सिग्नल का चरण 0° या 360° होना चाहिए', 'A और C दोनों']",3,"प्रश्न: एक थरथरानवाला के लिए Barkhausen मानदंड

उत्तर विकल्प: ['लूप लाभ एकता होना चाहिए', 'लूप लाभ एकता से कम होना चाहिए', 'इनपुट के संबंध में फीडबैक सिग्नल का चरण 0° या 360° होना चाहिए', 'A और C दोनों']

उत्तर: A और C दोनों"
एक वोल्टमीटर का उपयोग कर प्रत्यक्ष माप की तुलना में डीसी वोल्टेज माप की पोटेंशियोमीटर विधि अधिक सटीक है क्योंकि,electrical_engineering,"['यह सर्किट को मध्यम रूप से लोड करता है।', 'यह सर्किट को अधिकतम सीमा तक लोड करता है।', 'यह वोल्टमीटर के बजाय केंद्र शून्य गैल्वेनोमीटर का उपयोग करता है।', 'यह सर्किट को बिल्कुल भी लोड नहीं करता है।']",3,"प्रश्न: एक वोल्टमीटर का उपयोग कर प्रत्यक्ष माप की तुलना में डीसी वोल्टेज माप की पोटेंशियोमीटर विधि अधिक सटीक है क्योंकि

उत्तर विकल्प: ['यह सर्किट को मध्यम रूप से लोड करता है।', 'यह सर्किट को अधिकतम सीमा तक लोड करता है।', 'यह वोल्टमीटर के बजाय केंद्र शून्य गैल्वेनोमीटर का उपयोग करता है।', 'यह सर्किट को बिल्कुल भी लोड नहीं करता है।']

उत्तर: यह सर्किट को बिल्कुल भी लोड नहीं करता है।"
लॉजिक गेट के इन सेटों में से किसे सार्वभौमिक गेट के रूप में नामित किया गया है?,electrical_engineering,"['NOR, NAND.', 'XOR, NOR, NAND.', 'या, नहीं, और।', 'NOR, NAND, XNOR.']",0,"प्रश्न: लॉजिक गेट के इन सेटों में से किसे सार्वभौमिक गेट के रूप में नामित किया गया है?

उत्तर विकल्प: ['NOR, NAND.', 'XOR, NOR, NAND.', 'या, नहीं, और।', 'NOR, NAND, XNOR.']

उत्तर: NOR, NAND."
"एक एकल चरण एक पल्स नियंत्रित सर्किट एक प्रतिरोध आर और काउंटर emf ई लोड 400 sin (((314 t) के रूप में स्रोत वोल्टेज है 200 V के लोड काउंटर emf के लिए, फायरिंग कोण नियंत्रण की सीमा हैः",electrical_engineering,"['30° से 150° तक', '30° से 180° तक', '60° से 120° तक', '60° से 180° तक']",0,"प्रश्न: एक एकल चरण एक पल्स नियंत्रित सर्किट एक प्रतिरोध आर और काउंटर emf ई लोड 400 sin (((314 t) के रूप में स्रोत वोल्टेज है 200 V के लोड काउंटर emf के लिए, फायरिंग कोण नियंत्रण की सीमा हैः

उत्तर विकल्प: ['30° से 150° तक', '30° से 180° तक', '60° से 120° तक', '60° से 180° तक']

उत्तर: 30° से 150° तक"
"एक बॉक्स जो नियंत्रण उप-प्रणाली पर इनपुट के प्रभाव को बताता है, के रूप में जाना जाता है",electrical_engineering,"['डेटा बॉक्स.', 'तार्किक बॉक्स.', 'निर्णय बॉक्स।', 'स्टेट बॉक्स.']",2,"प्रश्न: एक बॉक्स जो नियंत्रण उप-प्रणाली पर इनपुट के प्रभाव को बताता है, के रूप में जाना जाता है

उत्तर विकल्प: ['डेटा बॉक्स.', 'तार्किक बॉक्स.', 'निर्णय बॉक्स।', 'स्टेट बॉक्स.']

उत्तर: निर्णय बॉक्स।"
दो असीमित समानांतर धातु प्लेटों को समान ध्रुवीयता के समान सतह चार्ज घनत्व के साथ चार्ज किया जाता है। प्लेटों के बीच के अंतराल में विद्युत क्षेत्र है,electrical_engineering,"['एक प्लेट द्वारा उत्पादित के रूप में एक ही।', 'एक प्लेट द्वारा उत्पादित क्षेत्र को दोगुना करना।', 'क्षेत्र बिंदुओं के निर्देशांक पर निर्भर करता है।', 'शून्य।']",3,"प्रश्न: दो असीमित समानांतर धातु प्लेटों को समान ध्रुवीयता के समान सतह चार्ज घनत्व के साथ चार्ज किया जाता है। प्लेटों के बीच के अंतराल में विद्युत क्षेत्र है

उत्तर विकल्प: ['एक प्लेट द्वारा उत्पादित के रूप में एक ही।', 'एक प्लेट द्वारा उत्पादित क्षेत्र को दोगुना करना।', 'क्षेत्र बिंदुओं के निर्देशांक पर निर्भर करता है।', 'शून्य।']

उत्तर: शून्य।"
डायनामोमीटर वाटमीटर के चलती कॉइल के सर्किट में प्रतिरोध होना चाहिए,electrical_engineering,"['कम।', 'बहुत कम।', 'ऊंचा।', 'लगभग शून्य।']",2,"प्रश्न: डायनामोमीटर वाटमीटर के चलती कॉइल के सर्किट में प्रतिरोध होना चाहिए

उत्तर विकल्प: ['कम।', 'बहुत कम।', 'ऊंचा।', 'लगभग शून्य।']

उत्तर: ऊंचा।"
निम्नलिखित एक थरथरानवाला की आवश्यक आवश्यकताएं हैं,electrical_engineering,"['आयाम स्थिरता', 'आवृत्ति स्थिरता', 'शक्ति स्थिरता', 'ए और बी दोनों']",3,"प्रश्न: निम्नलिखित एक थरथरानवाला की आवश्यक आवश्यकताएं हैं

उत्तर विकल्प: ['आयाम स्थिरता', 'आवृत्ति स्थिरता', 'शक्ति स्थिरता', 'ए और बी दोनों']

उत्तर: ए और बी दोनों"
दिशात्मक ताप में प्रयुक्त सामान्य वोल्टेज है,electrical_engineering,"['1.5 केवी', '15 केवी', '33 केवी', '66 केवी']",0,"प्रश्न: दिशात्मक ताप में प्रयुक्त सामान्य वोल्टेज है

उत्तर विकल्प: ['1.5 केवी', '15 केवी', '33 केवी', '66 केवी']

उत्तर: 1.5 केवी"
एलसी ऑसिलेटर का उपयोग आवृत्ति के साथ एक तरंगरूप उत्पन्न करने के लिए किया जाता है,electrical_engineering,"['1MHz से 500 MHz तक', '100 केएचजेड से 500 मेगाहर्ट्ज तक', '1 केएचजेड से 1 मेगाहर्ट्ज', '1MHz से 100 GHz तक']",0,"प्रश्न: एलसी ऑसिलेटर का उपयोग आवृत्ति के साथ एक तरंगरूप उत्पन्न करने के लिए किया जाता है

उत्तर विकल्प: ['1MHz से 500 MHz तक', '100 केएचजेड से 500 मेगाहर्ट्ज तक', '1 केएचजेड से 1 मेगाहर्ट्ज', '1MHz से 100 GHz तक']

उत्तर: 1MHz से 500 MHz तक"
