question,subject,choices,answer,qa
"Angenommen, eine expansive Haushaltspolitik führt zu einem starken Anstieg der realen Produktion und zu einem leichten Anstieg des Preisniveaus.",high_school_macroeconomics,"['Inflation hatte bereits vor dem fiskalischen Anreiz Auswirkungen auf die Wirtschaft.', 'Die Wirtschaft hatte zunächst einige arbeitslose Ressourcen.', 'Das gesamte Angebot verringerte sich.', 'Die Gesamtnachfrage ist stark schwankend.']",1,"Frage: Angenommen, eine expansive Haushaltspolitik führt zu einem starken Anstieg der realen Produktion und zu einem leichten Anstieg des Preisniveaus.

Antwortoptionen: ['Inflation hatte bereits vor dem fiskalischen Anreiz Auswirkungen auf die Wirtschaft.', 'Die Wirtschaft hatte zunächst einige arbeitslose Ressourcen.', 'Das gesamte Angebot verringerte sich.', 'Die Gesamtnachfrage ist stark schwankend.']

Antwort: Die Wirtschaft hatte zunächst einige arbeitslose Ressourcen."
"Welches der folgenden ist in U.S. Das BIP? Der Marktwert von Filmen, die in Afrika von U.S. Bürger II Marktwert des in Italien hergestellten und in den Vereinigten Staaten verkauften Olivenöls Der Präsident. - Die Aussprache ist geschlossen. Marktwert der in den Vereinigten Staaten hergestellten und in Japan verkauften Jeans Der Marktwert von Wein, der in den Vereinigten Staaten von kanadischen Bürgern hergestellt wird",high_school_macroeconomics,"['Nur II, III und IV', 'Nur I und III', 'Nur II und IV', 'Nur III und IV']",3,"Frage: Welches der folgenden ist in U.S. Das BIP? Der Marktwert von Filmen, die in Afrika von U.S. Bürger II Marktwert des in Italien hergestellten und in den Vereinigten Staaten verkauften Olivenöls Der Präsident. - Die Aussprache ist geschlossen. Marktwert der in den Vereinigten Staaten hergestellten und in Japan verkauften Jeans Der Marktwert von Wein, der in den Vereinigten Staaten von kanadischen Bürgern hergestellt wird

Antwortoptionen: ['Nur II, III und IV', 'Nur I und III', 'Nur II und IV', 'Nur III und IV']

Antwort: Nur III und IV"
"Wenn sowohl das kurzfristige aggregierte Angebot als auch die aggregierte Nachfrage zunehmen, welche der folgenden Aussagen ist sicher?",high_school_macroeconomics,"['Das Preisniveau steigt, aber das reale BIP sinkt.', 'Sowohl das Preisniveau als auch das reale BIP steigen.', 'Das Preisniveau steigt, aber die Veränderung des realen BIP ist unsicher.', 'Das reale BIP steigt, aber die Veränderung des Preisniveaus ist unsicher.']",3,"Frage: Wenn sowohl das kurzfristige aggregierte Angebot als auch die aggregierte Nachfrage zunehmen, welche der folgenden Aussagen ist sicher?

Antwortoptionen: ['Das Preisniveau steigt, aber das reale BIP sinkt.', 'Sowohl das Preisniveau als auch das reale BIP steigen.', 'Das Preisniveau steigt, aber die Veränderung des realen BIP ist unsicher.', 'Das reale BIP steigt, aber die Veränderung des Preisniveaus ist unsicher.']

Antwort: Das reale BIP steigt, aber die Veränderung des Preisniveaus ist unsicher."
Tarife und Kontingente,high_school_macroeconomics,"['Dies führt zu niedrigeren Inlandspreisen.', 'die Menge der auf dem Inlandsmarkt verkauften Ware teilweise erhöhen und teilweise senken.', 'die Menge der auf dem Inlandsmarkt verkauften Ware zu senken.', 'die Menge der auf dem Inlandsmarkt verkauften Ware erhöhen.']",2,"Frage: Tarife und Kontingente

Antwortoptionen: ['Dies führt zu niedrigeren Inlandspreisen.', 'die Menge der auf dem Inlandsmarkt verkauften Ware teilweise erhöhen und teilweise senken.', 'die Menge der auf dem Inlandsmarkt verkauften Ware zu senken.', 'die Menge der auf dem Inlandsmarkt verkauften Ware erhöhen.']

Antwort: die Menge der auf dem Inlandsmarkt verkauften Ware zu senken."
Eine wahrscheinliche Ursache für den Rückgang der Preise für Staatsanleihen könnte,high_school_macroeconomics,"['die expansive Geldpolitik.', 'Der Präsident. - Die Aussprache ist geschlossen.', 'Der Dollar verliert an Wert.', 'Haushaltspolitik, die darauf abzielt, das Haushaltsdefizit zu verringern.']",1,"Frage: Eine wahrscheinliche Ursache für den Rückgang der Preise für Staatsanleihen könnte

Antwortoptionen: ['die expansive Geldpolitik.', 'Der Präsident. - Die Aussprache ist geschlossen.', 'Der Dollar verliert an Wert.', 'Haushaltspolitik, die darauf abzielt, das Haushaltsdefizit zu verringern.']

Antwort: Der Präsident. - Die Aussprache ist geschlossen."
"Die Haushalte verlangen mehr Geld als Vermögenswert, wenn",high_school_macroeconomics,"['Das nominale BIP sinkt.', 'der Nominalzins sinkt.', 'Die Anleihekurse fallen.', 'die Geldmenge sinkt.']",1,"Frage: Die Haushalte verlangen mehr Geld als Vermögenswert, wenn

Antwortoptionen: ['Das nominale BIP sinkt.', 'der Nominalzins sinkt.', 'Die Anleihekurse fallen.', 'die Geldmenge sinkt.']

Antwort: der Nominalzins sinkt."
Allokative Effizienz,high_school_macroeconomics,"['Das bedeutet, dass keine minderwertigen Produkte hergestellt werden.', 'bedeutet, dass die Produktion der Wirtschaft gleichmäßig verteilt ist.', 'bedeutet, dass diejenigen, die am härtesten arbeiten, mehr bekommen.', 'bedeutet, dass Ressourcen verwendet werden, um die Güter und Dienstleistungen zu produzieren, die die Gesellschaft in den richtigen Mengen wünscht.']",3,"Frage: Allokative Effizienz

Antwortoptionen: ['Das bedeutet, dass keine minderwertigen Produkte hergestellt werden.', 'bedeutet, dass die Produktion der Wirtschaft gleichmäßig verteilt ist.', 'bedeutet, dass diejenigen, die am härtesten arbeiten, mehr bekommen.', 'bedeutet, dass Ressourcen verwendet werden, um die Güter und Dienstleistungen zu produzieren, die die Gesellschaft in den richtigen Mengen wünscht.']

Antwort: bedeutet, dass Ressourcen verwendet werden, um die Güter und Dienstleistungen zu produzieren, die die Gesellschaft in den richtigen Mengen wünscht."
BIP-Maßnahmen,high_school_macroeconomics,"['Produktion innerhalb der Grenzen eines Staates.', 'Produktion durch die Bürger einer Nation, wo immer sie sich befinden.', 'Einkommen aus Produktionsfaktoren zuzüglich Abschreibungen und indirekten Unternehmenssteuern.', '(A) und (C)']",3,"Frage: BIP-Maßnahmen

Antwortoptionen: ['Produktion innerhalb der Grenzen eines Staates.', 'Produktion durch die Bürger einer Nation, wo immer sie sich befinden.', 'Einkommen aus Produktionsfaktoren zuzüglich Abschreibungen und indirekten Unternehmenssteuern.', '(A) und (C)']

Antwort: (A) und (C)"
"Jede Wahl führt zu einer beste Alternative, die Ökonomen als ""die beste Alternative"" bezeichnen.",high_school_macroeconomics,"['Buchhaltungskosten', 'Wechselkosten', 'niedrigere Kosten', 'Opportunitätskosten']",3,"Frage: Jede Wahl führt zu einer beste Alternative, die Ökonomen als ""die beste Alternative"" bezeichnen.

Antwortoptionen: ['Buchhaltungskosten', 'Wechselkosten', 'niedrigere Kosten', 'Opportunitätskosten']

Antwort: Opportunitätskosten"
Wenn eine Nation mit der natürlichen Arbeitslosenquote arbeitet,high_school_macroeconomics,"['Es gibt keine zyklische Arbeitslosigkeit.', 'Die Inflationsrate ist Null.', 'Es gibt keine strukturelle Arbeitslosigkeit.', 'Die Nation erlebt eine Rezession.']",0,"Frage: Wenn eine Nation mit der natürlichen Arbeitslosenquote arbeitet

Antwortoptionen: ['Es gibt keine zyklische Arbeitslosigkeit.', 'Die Inflationsrate ist Null.', 'Es gibt keine strukturelle Arbeitslosigkeit.', 'Die Nation erlebt eine Rezession.']

Antwort: Es gibt keine zyklische Arbeitslosigkeit."
