question,subject,choices,answer,qa
Die Kurzsichtigkeit resultiert aus,high_school_psychology,"['zu starke Krümmung der Hornhaut und der Linse', 'zu geringe Krümmung der Hornhaut und der Linse', 'zu starke Krümmung der Iris und der Linse', 'zu geringe Krümmung der Iris und der Linse']",0,"Frage: Die Kurzsichtigkeit resultiert aus

Antwortoptionen: ['zu starke Krümmung der Hornhaut und der Linse', 'zu geringe Krümmung der Hornhaut und der Linse', 'zu starke Krümmung der Iris und der Linse', 'zu geringe Krümmung der Iris und der Linse']

Antwort: zu starke Krümmung der Hornhaut und der Linse"
Wahnvorstellungen von Größe sind am charakteristischsten für,high_school_psychology,"['Zwangsstörungen.', 'Schizophrenie.', 'Umwandlungsstörung.', 'Antisoziale Persönlichkeitsstörung.']",1,"Frage: Wahnvorstellungen von Größe sind am charakteristischsten für

Antwortoptionen: ['Zwangsstörungen.', 'Schizophrenie.', 'Umwandlungsstörung.', 'Antisoziale Persönlichkeitsstörung.']

Antwort: Schizophrenie."
"Abraham Maslow schlug die Idee vor, dass einige Motive für das Überleben wichtiger sind als andere. Welcher der folgenden Ansätze drückt dies aus?",high_school_psychology,"['Homöostatische Regulierung', 'Zielsetzung', 'Erwartungswert', 'Hierarchie der Bedürfnisse']",3,"Frage: Abraham Maslow schlug die Idee vor, dass einige Motive für das Überleben wichtiger sind als andere. Welcher der folgenden Ansätze drückt dies aus?

Antwortoptionen: ['Homöostatische Regulierung', 'Zielsetzung', 'Erwartungswert', 'Hierarchie der Bedürfnisse']

Antwort: Hierarchie der Bedürfnisse"
"In der Testkonstruktion und -bewertung bezieht sich die Gültigkeit auf den Grad, in dem ein Test",high_school_psychology,"['das zu messen, was es zu messen beabsichtigt', 'bei aufeinanderfolgenden Verwaltungen einheitliche Ergebnisse liefert', 'wurde pilotiert und statistisch analysiert', 'umfasst Normen, die auf einer repräsentativen Stichprobe der Allgemeinbevölkerung beruhen']",0,"Frage: In der Testkonstruktion und -bewertung bezieht sich die Gültigkeit auf den Grad, in dem ein Test

Antwortoptionen: ['das zu messen, was es zu messen beabsichtigt', 'bei aufeinanderfolgenden Verwaltungen einheitliche Ergebnisse liefert', 'wurde pilotiert und statistisch analysiert', 'umfasst Normen, die auf einer repräsentativen Stichprobe der Allgemeinbevölkerung beruhen']

Antwort: das zu messen, was es zu messen beabsichtigt"
Der Präzedenzfall im Fall Larry P. gegen Riles führte zu,high_school_psychology,"['die Bereitstellung einer kostenlosen, angemessenen öffentlichen Bildung für Schüler mit Behinderungen', 'die Bereitstellung von zweisprachigem Unterricht für englischsprachige Lernende', 'Schulen für die Bereitstellung von Tests verantwortlich gemacht werden, die nicht auf der Grundlage von Rasse diskriminieren', 'die Zuweisung ähnlicher Mittel für sportliche Aktivitäten für Jungen und Mädchen']",2,"Frage: Der Präzedenzfall im Fall Larry P. gegen Riles führte zu

Antwortoptionen: ['die Bereitstellung einer kostenlosen, angemessenen öffentlichen Bildung für Schüler mit Behinderungen', 'die Bereitstellung von zweisprachigem Unterricht für englischsprachige Lernende', 'Schulen für die Bereitstellung von Tests verantwortlich gemacht werden, die nicht auf der Grundlage von Rasse diskriminieren', 'die Zuweisung ähnlicher Mittel für sportliche Aktivitäten für Jungen und Mädchen']

Antwort: Schulen für die Bereitstellung von Tests verantwortlich gemacht werden, die nicht auf der Grundlage von Rasse diskriminieren"
Die Vererbung von Merkmalen einer geklonten Population ist,high_school_psychology,"['0 Prozent', '25 v. H.', '50 v. H.', '75 v. H.']",0,"Frage: Die Vererbung von Merkmalen einer geklonten Population ist

Antwortoptionen: ['0 Prozent', '25 v. H.', '50 v. H.', '75 v. H.']

Antwort: 0 Prozent"
"Welche der folgenden Statistiken liefert die meisten Informationen darüber, wie weit die Verteilung der Noten verteilt ist?",high_school_psychology,"['Abweichung', 'Mittelwert', 'Spannweite', 'Mittelwert']",0,"Frage: Welche der folgenden Statistiken liefert die meisten Informationen darüber, wie weit die Verteilung der Noten verteilt ist?

Antwortoptionen: ['Abweichung', 'Mittelwert', 'Spannweite', 'Mittelwert']

Antwort: Abweichung"
"Gemäß der von der National Association of School Psychologists (NASP) veröffentlichten Positionserklärung Supervision in School Psychology (Überwachung in der Schulpsychologie) Welche der folgenden Aussagen ist in Bezug auf Schulpsychologen, die in einem Schulbezirk beaufsichtigt werden, am zutreffendsten?",high_school_psychology,"['Sie müssen nur Schulpsychologen, die nicht vollständig zertifiziert oder lizenziert sind, und Praktikanten der Schulpsychologie beaufsichtigen.', 'Sie sollten eine professionelle, aber keine administrative Aufsicht gewährleisten.', 'Sie sind berechtigt, nach einem Jahr Erfahrung als Schulpsychologe als Vorgesetzte zu fungieren.', 'Sie sollten im Besitz des National Certified School Psychologist-Zertifikats oder des staatlichen Schulpsychologen-Zertifikats sein.']",3,"Frage: Gemäß der von der National Association of School Psychologists (NASP) veröffentlichten Positionserklärung Supervision in School Psychology (Überwachung in der Schulpsychologie) Welche der folgenden Aussagen ist in Bezug auf Schulpsychologen, die in einem Schulbezirk beaufsichtigt werden, am zutreffendsten?

Antwortoptionen: ['Sie müssen nur Schulpsychologen, die nicht vollständig zertifiziert oder lizenziert sind, und Praktikanten der Schulpsychologie beaufsichtigen.', 'Sie sollten eine professionelle, aber keine administrative Aufsicht gewährleisten.', 'Sie sind berechtigt, nach einem Jahr Erfahrung als Schulpsychologe als Vorgesetzte zu fungieren.', 'Sie sollten im Besitz des National Certified School Psychologist-Zertifikats oder des staatlichen Schulpsychologen-Zertifikats sein.']

Antwort: Sie sollten im Besitz des National Certified School Psychologist-Zertifikats oder des staatlichen Schulpsychologen-Zertifikats sein."
"Wenn er typisch ist und den seriellen Positions-Effekt zeigt, würden wir erwarten, dass die Wörter, an die er sich zwei Tage später erinnert,",high_school_psychology,"['am Anfang der Liste', 'in der Mitte der Liste', 'am Ende der Liste', 'über die gesamte Liste verteilt']",0,"Frage: Wenn er typisch ist und den seriellen Positions-Effekt zeigt, würden wir erwarten, dass die Wörter, an die er sich zwei Tage später erinnert,

Antwortoptionen: ['am Anfang der Liste', 'in der Mitte der Liste', 'am Ende der Liste', 'über die gesamte Liste verteilt']

Antwort: am Anfang der Liste"
"Welche Entwicklungstheorie erklärt, wie Erfahrungen im Säuglingsalter, in der Kindheit, im Jugendalter, im Erwachsenenalter und im Alter spätere Persönlichkeitsmerkmale beeinflussen?",high_school_psychology,"['Piagets Theorie der kognitiven Entwicklung', 'Eriksons Theorie der psychosozialen Phasen', 'Kohlbergs Theorie der moralischen Entwicklung', 'Ainsworths Theorie der sozialen Bindung']",1,"Frage: Welche Entwicklungstheorie erklärt, wie Erfahrungen im Säuglingsalter, in der Kindheit, im Jugendalter, im Erwachsenenalter und im Alter spätere Persönlichkeitsmerkmale beeinflussen?

Antwortoptionen: ['Piagets Theorie der kognitiven Entwicklung', 'Eriksons Theorie der psychosozialen Phasen', 'Kohlbergs Theorie der moralischen Entwicklung', 'Ainsworths Theorie der sozialen Bindung']

Antwort: Eriksons Theorie der psychosozialen Phasen"
"Die AP Psychologie Prüfung, die vom College Board im Mai gegeben wird, ist ein Beispiel für welche der folgenden Arten von Tests?",high_school_psychology,"['Fähigkeit', 'Projektiv', 'Leistung', 'Intelligenz']",2,"Frage: Die AP Psychologie Prüfung, die vom College Board im Mai gegeben wird, ist ein Beispiel für welche der folgenden Arten von Tests?

Antwortoptionen: ['Fähigkeit', 'Projektiv', 'Leistung', 'Intelligenz']

Antwort: Leistung"
"Von welchen anderen Wahrnehmungsfähigkeiten hängt unsere Fähigkeit, Tiefe wahrzunehmen, hauptsächlich ab?",high_school_psychology,"['Nähe und Ähnlichkeit', 'Top-Down-Verarbeitung und Bottom-Up-Verarbeitung', 'Binoklare und monokulare Anhaltspunkte', 'Größen- und Formkonstanz']",2,"Frage: Von welchen anderen Wahrnehmungsfähigkeiten hängt unsere Fähigkeit, Tiefe wahrzunehmen, hauptsächlich ab?

Antwortoptionen: ['Nähe und Ähnlichkeit', 'Top-Down-Verarbeitung und Bottom-Up-Verarbeitung', 'Binoklare und monokulare Anhaltspunkte', 'Größen- und Formkonstanz']

Antwort: Binoklare und monokulare Anhaltspunkte"
"Eine Person, die schwere Verletzungen erleidet, die die Zerstörung des Medulla oblongata beinhalten, wird",high_school_psychology,"['Ich bin gelähmt.', 'in ein Koma fallen', 'eine schwere Sprachstörung haben', 'sterben']",3,"Frage: Eine Person, die schwere Verletzungen erleidet, die die Zerstörung des Medulla oblongata beinhalten, wird

Antwortoptionen: ['Ich bin gelähmt.', 'in ein Koma fallen', 'eine schwere Sprachstörung haben', 'sterben']

Antwort: sterben"
Welcher der folgenden Begriffe gilt für IQ-Tests?,high_school_psychology,"['Leistung', 'Standardisiert', 'Projektiv', 'triarchisch']",1,"Frage: Welcher der folgenden Begriffe gilt für IQ-Tests?

Antwortoptionen: ['Leistung', 'Standardisiert', 'Projektiv', 'triarchisch']

Antwort: Standardisiert"
"Welcher klassische Konditionierungsbegriff beschreibt am besten das folgende Szenario: Die Hunde von Iwan Pawlow begannen zu speicheln, wenn sie Geräusche hörten, die einer Glocke ähnelten wie eine Türglocke oder jemand, der versehentlich ein Wasserglas klingelt.",high_school_psychology,"['Diskriminierung', 'Spontane Erholung', 'Spurenkonditionierung', 'Verallgemeinerung']",3,"Frage: Welcher klassische Konditionierungsbegriff beschreibt am besten das folgende Szenario: Die Hunde von Iwan Pawlow begannen zu speicheln, wenn sie Geräusche hörten, die einer Glocke ähnelten wie eine Türglocke oder jemand, der versehentlich ein Wasserglas klingelt.

Antwortoptionen: ['Diskriminierung', 'Spontane Erholung', 'Spurenkonditionierung', 'Verallgemeinerung']

Antwort: Verallgemeinerung"
"Sal trifft Petunia zum ersten Mal Sie ist aufgeschlossen und witzig . Er geht davon mit der Meinung, dass Petunia eine lustige Person ist, während in Wirklichkeit Petunia vorübergehend fröhlich ist, weil sie gerade die Lotterie gewonnen hat Sal's Meinung, dass Petunia witzig ist, erklärt sich am besten durch",high_school_psychology,"['die bloße Expositionswirkung.', 'Eigennützige Voreingenommenheit.', 'Gleichpotentialität.', 'der grundlegende Zuschreibungsfehler.']",3,"Frage: Sal trifft Petunia zum ersten Mal Sie ist aufgeschlossen und witzig . Er geht davon mit der Meinung, dass Petunia eine lustige Person ist, während in Wirklichkeit Petunia vorübergehend fröhlich ist, weil sie gerade die Lotterie gewonnen hat Sal's Meinung, dass Petunia witzig ist, erklärt sich am besten durch

Antwortoptionen: ['die bloße Expositionswirkung.', 'Eigennützige Voreingenommenheit.', 'Gleichpotentialität.', 'der grundlegende Zuschreibungsfehler.']

Antwort: der grundlegende Zuschreibungsfehler."
"Alle folgenden Punkte sind Beispiele für Bestrafungen, ausgenommen:",high_school_psychology,"['Haftstrafe für einen Teenager, der die Ausgangssperre überschritten hat.', 'Auspeitschen eines Kindes für Fehlverhalten', 'dauerhaft den Führerschein eines DWI-Fahrers für das dritte Mal widerrufen', 'Weigerung, den Anruf des Chefs zurückzugeben, nachdem er die erwartete Gehaltserhöhung nicht bekommen hat']",3,"Frage: Alle folgenden Punkte sind Beispiele für Bestrafungen, ausgenommen:

Antwortoptionen: ['Haftstrafe für einen Teenager, der die Ausgangssperre überschritten hat.', 'Auspeitschen eines Kindes für Fehlverhalten', 'dauerhaft den Führerschein eines DWI-Fahrers für das dritte Mal widerrufen', 'Weigerung, den Anruf des Chefs zurückzugeben, nachdem er die erwartete Gehaltserhöhung nicht bekommen hat']

Antwort: Weigerung, den Anruf des Chefs zurückzugeben, nachdem er die erwartete Gehaltserhöhung nicht bekommen hat"
