good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.04630650496141125,210,4535,2648,2097,7,100925440
0.0001,1,layers.1,0.047664442326024785,150,3147,2350,947,7,100925440
0.0001,1,layers.10,0.272776377385668,1515,5554,4303,2766,7,100925440
0.0001,1,layers.11,0.3320591656971913,1998,6017,4682,3333,7,100925440
0.0001,1,layers.12,0.18753368061792708,1044,5567,4040,2571,7,100925440
0.0001,1,layers.13,0.25986078886310904,1568,6034,4462,3140,7,100925440
0.0001,1,layers.14,0.24979211707966073,1502,6013,4023,3492,7,100925440
0.0001,1,layers.15,0.29675346635103145,1755,5914,4322,3347,7,100925440
0.0001,1,layers.16,0.3463536255973405,1667,4813,3785,2695,7,100925440
0.0001,1,layers.17,0.32530292230933716,2282,7015,5273,4024,7,100925440
0.0001,1,layers.18,0.31915230112288473,2018,6323,4330,4011,7,100925440
0.0001,1,layers.19,0.319583931133429,1782,5576,4007,3351,7,100925440
0.0001,1,layers.2,0.0610485994733062,255,4177,2809,1623,7,100925440
0.0001,1,layers.20,0.3088141025641026,1927,6240,4405,3762,7,100925440
0.0001,1,layers.21,0.2129817444219067,1260,5916,3981,3195,7,100925440
0.0001,1,layers.22,0.19713322091062394,1169,5930,3928,3171,7,100925440
0.0001,1,layers.23,0.16770186335403728,972,5796,3953,2815,7,100925440
0.0001,1,layers.24,0.16056758775205376,860,5356,3706,2510,7,100925440
0.0001,1,layers.25,0.1363345081704582,851,6242,3994,3099,7,100925440
0.0001,1,layers.26,0.19569471624266144,1100,5621,3939,2782,7,100925440
0.0001,1,layers.27,0.19485723827016196,1167,5989,3697,3459,7,100925440
0.0001,1,layers.28,0.1428301886792453,757,5300,3371,2686,7,100925440
0.0001,1,layers.29,0.15763358778625955,826,5240,3478,2588,7,100925440
0.0001,1,layers.3,0.0444581028477771,217,4881,3228,1870,7,100925440
0.0001,1,layers.30,0.1635973538351511,915,5593,3671,2837,7,100925440
0.0001,1,layers.31,0.050806057645334635,208,4094,2265,2037,7,100925440
0.0001,1,layers.32,0.03171641791044776,136,4288,2707,1717,7,100925440
0.0001,1,layers.33,0.04207456779837534,202,4801,2942,2061,7,100925440
0.0001,1,layers.34,0.05307201057035895,241,4541,2984,1798,7,100925440
0.0001,1,layers.35,0.05695428990466878,233,4091,2759,1565,7,100925440
0.0001,1,layers.4,0.06782646994054173,308,4541,3269,1580,7,100925440
0.0001,1,layers.5,0.1901066925315228,980,5155,3754,2381,7,100925440
0.0001,1,layers.6,0.11125886524822695,502,4512,2633,2381,7,100925440
0.0001,1,layers.7,0.08627027027027027,399,4625,3096,1928,7,100925440
0.0001,1,layers.8,0.1313708999158957,781,5945,4472,2254,7,100925440
0.0001,1,layers.9,0.2608318890814558,1505,5770,4512,2763,7,100925440
0.001,1,layers.0,0.0788757429317336,2840,36006,22548,16298,7,100925440
0.001,1,layers.1,0.115870808221295,3749,32355,21636,14468,7,100925440
0.001,1,layers.10,0.2843364690839346,15566,54745,40180,30131,7,100925440
0.001,1,layers.11,0.3246050062133854,18285,56330,41356,33259,7,100925440
0.001,1,layers.12,0.25620705808869454,13126,51232,36703,27655,7,100925440
0.001,1,layers.13,0.23030156133228302,11402,49509,35522,25389,7,100925440
0.001,1,layers.14,0.23792378024111982,11762,49436,34390,26808,7,100925440
0.001,1,layers.15,0.2532146389713155,12288,48528,34380,26436,7,100925440
0.001,1,layers.16,0.24963407343270044,12109,48507,34504,26112,7,100925440
0.001,1,layers.17,0.2905827865688923,15058,51820,37992,28886,7,100925440
0.001,1,layers.18,0.2858605028040173,13406,46897,35154,25149,7,100925440
0.001,1,layers.19,0.24780885516929,10942,44155,32145,22952,7,100925440
0.001,1,layers.2,0.10065491492226711,3289,32676,22103,13862,7,100925440
0.001,1,layers.20,0.2533386444160255,12084,47699,36623,23160,7,100925440
0.001,1,layers.21,0.1987348221108941,9362,47108,32594,23876,7,100925440
0.001,1,layers.22,0.19533374465848585,8548,43761,32893,19416,7,100925440
0.001,1,layers.23,0.19088196736133087,8445,44242,32635,20052,7,100925440
0.001,1,layers.24,0.16726956685145167,7121,42572,33865,15828,7,100925440
0.001,1,layers.25,0.18346263698422022,9057,49367,39777,18647,7,100925440
0.001,1,layers.26,0.19427783234759347,9296,47849,36172,20973,7,100925440
0.001,1,layers.27,0.19166006751969325,9197,47986,34226,22957,7,100925440
0.001,1,layers.28,0.17142069725782003,7464,43542,31476,19530,7,100925440
0.001,1,layers.29,0.18427482762791822,7617,41335,30565,18387,7,100925440
0.001,1,layers.3,0.09758927984935736,4457,45671,30671,19457,7,100925440
0.001,1,layers.30,0.20226245461506162,8189,40487,28777,19899,7,100925440
0.001,1,layers.31,0.11251344756107161,4288,38111,24855,17544,7,100925440
0.001,1,layers.32,0.0748587570621469,2756,36816,21828,17744,7,100925440
0.001,1,layers.33,0.10183512657399409,3890,38199,22778,19311,7,100925440
0.001,1,layers.34,0.09790422192973575,3868,39508,25064,18312,7,100925440
0.001,1,layers.35,0.11255172413793103,4080,36250,27823,12507,7,100925440
0.001,1,layers.4,0.10917782026768642,4568,41840,27774,18634,7,100925440
0.001,1,layers.5,0.1177092673057912,5120,43497,29569,19048,7,100925440
0.001,1,layers.6,0.07272209335449477,3574,49146,31741,20979,7,100925440
0.001,1,layers.7,0.10610196018552097,5559,52393,34910,23042,7,100925440
0.001,1,layers.8,0.18087780190469677,10579,58487,42857,26209,7,100925440
0.001,1,layers.9,0.26193215558194777,14115,53888,39881,28122,7,100925440
0.01,1,layers.0,0.06243432788407497,17885,286461,201539,102807,7,100925440
0.01,1,layers.1,0.08950794655757399,27568,307995,186159,149404,7,100925440
0.01,1,layers.10,0.25768514205868653,128354,498104,327395,299063,7,100925440
0.01,1,layers.11,0.2945913087283596,148535,504207,347975,304767,7,100925440
0.01,1,layers.12,0.28167098965983983,136720,485389,339241,282868,7,100925440
0.01,1,layers.13,0.2728150858429496,121164,444125,306701,258588,7,100925440
0.01,1,layers.14,0.2665140788843349,120168,450888,319161,251895,7,100925440
0.01,1,layers.15,0.2777311389509032,120422,433592,320852,233162,7,100925440
0.01,1,layers.16,0.28297211088350777,124465,439849,308121,256193,7,100925440
0.01,1,layers.17,0.3042944142720923,139456,458293,329892,267857,7,100925440
0.01,1,layers.18,0.2968107725017718,129828,437410,302994,264244,7,100925440
0.01,1,layers.19,0.2601514253306011,111465,428462,289228,250699,7,100925440
0.01,1,layers.2,0.12917885931978798,37435,289792,199238,127989,7,100925440
0.01,1,layers.20,0.27779137212253036,122606,441360,309035,254931,7,100925440
0.01,1,layers.21,0.2599631988247855,102993,396183,281093,218083,7,100925440
0.01,1,layers.22,0.24132614794855411,86875,359990,281448,165417,7,100925440
0.01,1,layers.23,0.20891328709944618,77178,369426,284575,162029,7,100925440
0.01,1,layers.24,0.14560432894130207,60005,412110,291431,180684,7,100925440
0.01,1,layers.25,0.16384132135507792,72294,441244,325000,188538,7,100925440
0.01,1,layers.26,0.1722474535914282,78128,453580,317318,214390,7,100925440
0.01,1,layers.27,0.178046004759113,77442,434955,290240,222157,7,100925440
0.01,1,layers.28,0.17409737982257067,67508,387760,260717,194551,7,100925440
0.01,1,layers.29,0.18075529241476188,67684,374451,276381,165754,7,100925440
0.01,1,layers.3,0.1216217003162106,41770,343442,223973,161239,7,100925440
0.01,1,layers.30,0.19470608474300038,75265,386557,277710,184112,7,100925440
0.01,1,layers.31,0.15829874963185092,59123,373490,255622,176991,7,100925440
0.01,1,layers.32,0.14420302461322504,48077,333398,227764,153711,7,100925440
0.01,1,layers.33,0.14096538049587948,47775,338913,229166,157522,7,100925440
0.01,1,layers.34,0.1223576579229885,51516,421028,263369,209175,7,100925440
0.01,1,layers.35,0.10080805507977887,38786,384751,249839,173698,7,100925440
0.01,1,layers.4,0.1054356490366589,37962,360049,232824,165187,7,100925440
0.01,1,layers.5,0.11976745376722849,46785,390632,288170,149247,7,100925440
0.01,1,layers.6,0.1251933281711409,61600,492039,315197,238442,7,100925440
0.01,1,layers.7,0.1612799520766773,80769,500800,318743,262826,7,100925440
0.01,1,layers.8,0.2152357760908102,114375,531394,345892,299877,7,100925440
0.01,1,layers.9,0.2487948933089844,120980,486264,316716,290528,7,100925440
0.025,1,layers.0,0.07698501778270068,62622,813431,504045,372008,7,100925440
0.025,1,layers.1,0.06071135681215959,37163,612126,412650,236639,7,100925440
0.025,1,layers.10,0.2159427659461159,251401,1164202,763217,652386,7,100925440
0.025,1,layers.11,0.23619808628963462,276322,1169874,831901,614295,7,100925440
