question,subject,choices,answer,qa
Lequel des énoncés suivants décrit le mieux l'équilibre que la Cour suprême a trouvé entre la clause d'établissement et la clause de libre exercice ?,high_school_government_and_politics,"['La liberté d'expression est protégée sauf dans certaines situations, comme crier 'feu' dans un théâtre bondé.', 'Une fois qu'une église a été reconnue par le gouvernement fédéral, son statut d'exonération fiscale ne peut jamais être révoqué.', 'Une fois que le Congrès a créé une agence administrative, cette agence ne peut être dissoute que par un amendement constitutionnel.', 'La prière parrainée par l'État pendant les heures d'école est interdite, mais la prière volontaire par des groupes d'étudiants avant l'école est autorisée.']",3,"Question: Lequel des énoncés suivants décrit le mieux l'équilibre que la Cour suprême a trouvé entre la clause d'établissement et la clause de libre exercice ?

Choix: ['La liberté d'expression est protégée sauf dans certaines situations, comme crier 'feu' dans un théâtre bondé.', 'Une fois qu'une église a été reconnue par le gouvernement fédéral, son statut d'exonération fiscale ne peut jamais être révoqué.', 'Une fois que le Congrès a créé une agence administrative, cette agence ne peut être dissoute que par un amendement constitutionnel.', 'La prière parrainée par l'État pendant les heures d'école est interdite, mais la prière volontaire par des groupes d'étudiants avant l'école est autorisée.']

Réponse: La prière parrainée par l'État pendant les heures d'école est interdite, mais la prière volontaire par des groupes d'étudiants avant l'école est autorisée."
Laquelle des déclarations suivantes ne décrit PAS avec précision le comportement de vote aux États-Unis?,high_school_government_and_politics,"['Les électeurs enregistrés âgés de 35 à 45 ans sont plus susceptibles de voter que ceux de moins de 21 ans.', 'Un électeur inscrit qui a atteint son développement éducatif général (GED) est moins susceptible de voter qu'un élève qui a abandonné l'école secondaire.', 'Les électeurs inscrits sont plus susceptibles de voter aux élections générales qu'aux élections primaires.', 'Plus de femmes que d'hommes ont voté à chaque élection présidentielle depuis 1980.']",1,"Question: Laquelle des déclarations suivantes ne décrit PAS avec précision le comportement de vote aux États-Unis?

Choix: ['Les électeurs enregistrés âgés de 35 à 45 ans sont plus susceptibles de voter que ceux de moins de 21 ans.', 'Un électeur inscrit qui a atteint son développement éducatif général (GED) est moins susceptible de voter qu'un élève qui a abandonné l'école secondaire.', 'Les électeurs inscrits sont plus susceptibles de voter aux élections générales qu'aux élections primaires.', 'Plus de femmes que d'hommes ont voté à chaque élection présidentielle depuis 1980.']

Réponse: Un électeur inscrit qui a atteint son développement éducatif général (GED) est moins susceptible de voter qu'un élève qui a abandonné l'école secondaire."
Lequel des éléments suivants joue le rôle le plus important dans la formation des opinions politiques d'un enfant?,high_school_government_and_politics,"['La zone géographique où l'enfant grandit', 'La famille de l'enfant', 'Les médias auxquels l'enfant est exposé', 'La religion de l'enfant']",1,"Question: Lequel des éléments suivants joue le rôle le plus important dans la formation des opinions politiques d'un enfant?

Choix: ['La zone géographique où l'enfant grandit', 'La famille de l'enfant', 'Les médias auxquels l'enfant est exposé', 'La religion de l'enfant']

Réponse: La famille de l'enfant"
Quel pouvoir a été accordé aux États par les Articles de la Confédération mais pas par la Constitution ?,high_school_government_and_politics,"['Fabrication de pièces de monnaie', 'Autorisation de modifications constitutionnelles', 'Avoir une représentation au Congrès', 'Demander au président de statuer sur les litiges']",0,"Question: Quel pouvoir a été accordé aux États par les Articles de la Confédération mais pas par la Constitution ?

Choix: ['Fabrication de pièces de monnaie', 'Autorisation de modifications constitutionnelles', 'Avoir une représentation au Congrès', 'Demander au président de statuer sur les litiges']

Réponse: Fabrication de pièces de monnaie"
La fonction première des comités d'action politique (CAP) est de:,high_school_government_and_politics,"['contribuer financièrement aux candidats à l'élection', 'coordonner les campagnes locales de mobilisation électorale', 'promouvoir la défaite des titulaires dans les législatures fédérales et étatiques', 'organiser des manifestations de protestation et d'autres actes de désobéissance civile']",0,"Question: La fonction première des comités d'action politique (CAP) est de:

Choix: ['contribuer financièrement aux candidats à l'élection', 'coordonner les campagnes locales de mobilisation électorale', 'promouvoir la défaite des titulaires dans les législatures fédérales et étatiques', 'organiser des manifestations de protestation et d'autres actes de désobéissance civile']

Réponse: contribuer financièrement aux candidats à l'élection"
Les juges fédéraux sont soumis à laquelle des actions disciplinaires suivantes?,high_school_government_and_politics,"['Mise en accusation, condamnation et destitution par le Congrès', 'Révocation par le président qui a procédé à la nomination', 'Démission du président élu', 'Rappel des élections par les citoyens résidant dans le district sur lequel le juge a compétence']",0,"Question: Les juges fédéraux sont soumis à laquelle des actions disciplinaires suivantes?

Choix: ['Mise en accusation, condamnation et destitution par le Congrès', 'Révocation par le président qui a procédé à la nomination', 'Démission du président élu', 'Rappel des élections par les citoyens résidant dans le district sur lequel le juge a compétence']

Réponse: Mise en accusation, condamnation et destitution par le Congrès"
La quantité d'accès que les secrétaires du cabinet ont au président est très probablement contrôlée par le,high_school_government_and_politics,"['vice-président', 'le chef de cabinet du président', 'conseiller à la sécurité nationale', 'président du conseil de la Réserve fédérale']",1,"Question: La quantité d'accès que les secrétaires du cabinet ont au président est très probablement contrôlée par le

Choix: ['vice-président', 'le chef de cabinet du président', 'conseiller à la sécurité nationale', 'président du conseil de la Réserve fédérale']

Réponse: le chef de cabinet du président"
Lequel des éléments suivants définit l'importance d'une question politique ?,high_school_government_and_politics,"['La quantité de couverture que la question reçoit dans les principaux médias d'information', 'Le degré auquel l'opinion publique sur la question est susceptible de changer rapidement', 'Le nombre de personnes touchées par le problème', 'L'importance de la question pour un individu ou un groupe particulier']",3,"Question: Lequel des éléments suivants définit l'importance d'une question politique ?

Choix: ['La quantité de couverture que la question reçoit dans les principaux médias d'information', 'Le degré auquel l'opinion publique sur la question est susceptible de changer rapidement', 'Le nombre de personnes touchées par le problème', 'L'importance de la question pour un individu ou un groupe particulier']

Réponse: L'importance de la question pour un individu ou un groupe particulier"
Les électeurs qui se fient exclusivement à la couverture des élections nationales par les chaînes de télévision sont plus susceptibles d'être,high_school_government_and_politics,"['quels groupes d'intérêt ont approuvé quels candidats', 'la force relative du soutien de chaque candidat, telle qu'indiquée par les sondages d'opinion publique', 'positions des candidats sur les questions internationales', 'positions des candidats sur les questions intérieures']",1,"Question: Les électeurs qui se fient exclusivement à la couverture des élections nationales par les chaînes de télévision sont plus susceptibles d'être

Choix: ['quels groupes d'intérêt ont approuvé quels candidats', 'la force relative du soutien de chaque candidat, telle qu'indiquée par les sondages d'opinion publique', 'positions des candidats sur les questions internationales', 'positions des candidats sur les questions intérieures']

Réponse: la force relative du soutien de chaque candidat, telle qu'indiquée par les sondages d'opinion publique"
Quel principe a été établi par la décision de la Cour suprême dans l'affaire Marbury c. Madison?,high_school_government_and_politics,"['Un homme, une voix', 'Séparés mais égaux', 'Contrôle judiciaire', 'Droit à la vie privée']",2,"Question: Quel principe a été établi par la décision de la Cour suprême dans l'affaire Marbury c. Madison?

Choix: ['Un homme, une voix', 'Séparés mais égaux', 'Contrôle judiciaire', 'Droit à la vie privée']

Réponse: Contrôle judiciaire"
